チャット ルブル [/image/luvul/images_title.gif]/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年10月17日 11時44分 ～ 2023年10月24日 00時46分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

小春六花> ゲームハードは必要になったら買うものだから……（私のPS5とか…PS5とか……。おもにPS5とか。）もう、それを言われると本当に弱い…！（ちゅー…って楽しんでから…ちょっぴりばつがわるそうに）えへへ、いってらっしゃーい。今度はいっぱいいちゃいちゃしようねー♡
  (2023/10/17 11:44:37)

甘雨> ♡（微笑んで、もう一度、ぺこりハート――てててー…）   (2023/10/17 11:46:18)
ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ ◆> 質量考えてよおっきいでしょっ…！？(わーぎゃーっ)まぁ、うん…それぐらいじゃないとねぇ…やっぱり触れ合ってナンボだと私も思うよっ…？　　…昨日あんな時間居たのに明日は早いの…？…あんまり無茶して壊さないでよー…？  
(2023/10/23 23:12:47)

トール ◆> ……大丈夫です！死にはしません！多分！……(さむずあっぷ！)今日はそんなに早起きではなかったので……(それでも4時間くらいしか寝てませんが！)今日は……7時には出ないとなので……(ぐすんぐすん)   (2023/10/23 23:15:01)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ ◆> 私一応人間っ…！(床ばんばん)……いやいやいやっ…ショートやってないなら足りないでしょっ……はぁもー……ほら、あんまり無理しないでさーっ…(一歩、一歩、近付いて頭をなでりなでりと   (2023/10/23
23:16:46)

トール ◆> 死んでもその時は何とかしますから～(むぎゅ)大丈夫ですよ～合間の時間とかに寝れたりするのでそれで何とか補ってますから～～あ、でも撫でられるのは嬉しいです……♪(にへっと撫でられるとご機嫌な様子……♪)   (2023/10/23
23:18:48)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ ◆> 死んだら意味ないんだけどっ……！？！？(背中をペシペシと)…合間合間ってそんな休めるものなの…？それはそれで気になるけど……まぁ、これぐらいは、ね…(もう少し､髪をわしゃわしゃと撫で回し   (2023/10/23
23:21:29)

トール ◆> その時はほら……愛のパワーで復活させますから！(あうあう……)合間というか電車の中で寝れたりするんですよ……これくらいのがいちばん嬉しいんですよね～(甘えるように喉をゴロゴロ)   (2023/10/23 23:23:58)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ ◆> そんなゲームじゃ無いんだからさーっ…(深々溜息一つ…)あー…長いと気休めにはなるけど…ん、んん…龍の癖に何でそんな猫っぽいの…？(それならと、逆の手で喉元を擽ってみたり   (2023/10/23 23:26:50)

トール ◆> 冗談ですよ～殺さない程度には加減しますから～(てへぺろりんっ)まぁ1時間ほどは……不思議ですよね。電車で寝ても目的地手前で目指せるのって……いやほら……懐いたらこうなるんです！……(喉元を擽られてひゃうっと声が)   (2023/10/23
23:29:05)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ
◆> そう言う問題じゃないんですけどーーっ…！？(やっぱりぺしぺしと)私一応イヤホンでアラーム付けてるかなぁ…そうしたら外には鳴らないし…そんな長く取れないし寝過ごすと怖いし……ふぅん…じゃぁ今度からちゃんと飼った方が良い？龍飼いって言うのも夢有って良いよね…♪(漏れ出る声に少し気を良くしたのか、そのまま暫くこしょこしょと
  (2023/10/23 23:31:17)

トール ◆> いててて……美味しいもの食べれば体力なんて回復しますから～(思わず＞＜の目に)あーまぁそれも一つの手ですね……鼓膜は犠牲になってしまいますが！…いやほら……私を飼う場合は場所をかなりとるかと……(え？と思いながらもくすぐったそうにくねくね)  
(2023/10/23 23:34:23)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ
◆> ほんっとゲーム脳してー……普通治すの大変なんだからー……(じとー……)え…別に鳴らしぱなしにするわけでも無いしイヤホン用の音量に下げたら良いんじゃ…？　え、まさかドラゴン状態で飼えと……？(流石に無理でしょー、と…あ、そもそも…付けなかったっけなー、と、首回りを指でなぞって
  (2023/10/23 23:37:00)

トール ◆> じゃあ私の熱い人工呼吸で……♡(やん♡)そういう調整するのミスってたまに爆音のアラームとか鳴らしちゃうタイプなので……あ、それはそうでしたね……いやほら……たまにはドラゴンの方に戻りたい時も～見たいな？(付けませんからね！？と慌てて手で確認……)
  (2023/10/23 23:41:08)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ
◆> 結局己の欲望っ……！！(目を覚ませと又ぺちぺち)え…別にアラームなんて毎回毎回調整しないでしょ……？(きょとり)……そもそもトール達は戻って何するの？そんな戦闘とかしないよね…？(あれぇ、記憶違いかなぁ、と､腕を組んで思案顔   (2023/10/23
23:46:08)

トール ◆> いつの間にかそんな雰囲気になってましたね……(痛っ！？)いやその時音楽聴いてたりとかで音量調整していたり……あ、そうですね戦闘したり～あとは軽い運動しますね！島が無くなるくらいの！(こくん)   (2023/10/23 23:50:17)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ
◆> はぁもう…これだから淫欲ドラゴンはっ……(じとー…)え…アラーム単位で音量調整出来るでしょ今時のは…？その時間で使う分だけ予め設定して痕はオンオフするだけの………………それ運動って言わない破壊活動っ…！？結局悪いドラゴンかアンタ達はっ……！？(うがぁぁっ
  (2023/10/23 23:52:26)

トール ◆> 私はそういう枠ではございませーん！(ブンブン)そうなんですね……初めて知りました……え？いやほら大丈夫です！誰も居ないような島なので………わ、悪いドラゴンでは無いのですよ！ちょっと破壊が好きなだけの……(めそらしぃ)   (2023/10/23
23:57:05)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ
◆> ……へぇ、へぇ……昨日あんなしといて…(ぼそ、ちゃっかり再燃…？)一回見てみたら…？大体使う時間帯ぱぱぱーっと何個か作ってさ…？………国境沿いの島とか破壊して無くしたら色々問題になるんだけどそう言うの解ってないよね絶対…(はぁぁぁ、と、先程よりも深い溜息が…
  (2023/10/23 23:58:47)

トール ◆> あ、あれはカンナが誘ってきたので……(無しにしたのに！？と慌てて)後で確認しますね……それはほら……ね？誰も居ない辺境の孤島を選んでるので…とそれはともかく私はそろそろ……(眠たい目をゴシゴシ)   (2023/10/24 00:02:07)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ
◆> そっかそっか……誘われたらほいほいと…♪(又ω状にニマニマして)まぁうん、そもそもまともに起きられてるなら大丈夫だけど、ね､備えあったらなんとやら？　…島が無くなったら色々大変なんだから國はさー…と、そっか…日も替わったか…お休みトール…(ぽふぽふと最後に一撫でして
  (2023/10/24 00:04:28)

トール ◆> はい……♪またこんどあったらよろしくお願いします……♪(撫でられるとふにゃりと目を閉じて夢の中へ……♪)   (2023/10/24 00:07:03)

トール ◆> 【お疲れ様です♪また今度お話しましょうね♪】   (2023/10/24 00:07:20)

おしらせ> トール ◆KYU4xJUDfn8Iさんが退室しました。  (2023/10/24 00:07:22)

おしらせ> 響さんが入室しました♪  (2023/10/24 00:08:00)

響> 響だよ。今日も明日もきっといい夜だ。(なんだか入れ替わりになってしまったようだけど、気にしないことに…。世の中には竜が発着艦する空母もあるのだろうか、と思いを馳せ)   (2023/10/24 00:10:52)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ
◆> はいはい……お休み…ん…流石に此処で寝られても、だし…私も一旦退こうかな………アレは暫く様子見にして…(静かになったメイドラゴンを抱えて立ち去ろうと)…ん…？あ…響だ、やっほー久し振り…？と、ちょっと待って、ね……(流石にアレなので、一旦抱えたのを寝室に運んでから)……んー…そもそもサイズ解んないけど…空母程度で飼えるもんなのドラゴンとかさ…？(はて、想像しても相容れなさそうな…？
  (2023/10/24 00:12:46)

響> 久しぶりだねアニス。おや…引き留めてしまったかな。(寝室まで運ぶのに一応ついていき、先客に布団をかけたり枕を敷いたりの手伝い…船団護衛のようなものさ)…そうだね、大きな竜なら格納庫は少し手狭かもだ。竜騎兵の特殊任務とか、その辺りの運用が関の山かな…(戻って来ると粗茶ですが、と持ってきた水筒に入れたスープを注いで)
  (2023/10/24 00:22:09)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ
◆> お、良かった流石に覚えててくれたねー…や、来なかったら帰るつもりだったけどね、来てくれたなら無下にはしないって♪(にぃ、と、緩い笑顔を浮かべ乍ら、就寝ドラゴンを一通り寝かしつけて)んーっ…正直甲板でのさばらせておくぐらいしか出来ないよねー絶対…邪魔になりそうだけど…と、さーんきゅっ(差し出されたスープ、適度に吐息で冷ましながらゆっくりと口を付けて
  (2023/10/24 00:25:07)

響> アニスは印象的だったからね…例え久しぶりだとしても、なかなか忘れないのが私の長所だとも言える。(珍しい武器を見せてもらったよね、と隣に座って脚をパタつかせながら微笑み)確かに…海上で怪我を負って着陸するところがない…みたいな時とかの救援とか、非常時に限る…とすれば採用は難しいかも…(中身はボルシチ、寒い日にはこれに限るよ、と赤い色のスープに賽の目状の野菜が入ったやつを一緒に頂きます)
  (2023/10/24 00:32:37)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ
◆> え、ぇぇ…そんな何かした覚えないけどなー…精々、あ、そうそう、そのマナブレイド見せたぐらいじゃないっけ…？(何とも懐かしい､アレも何時だったっけなー、と…暖かいスープを飲みながらほっこりと…)そもそも大抵のドラゴンって飛べるイメージ有るんだけど私の中だと…それならもう自分で飛んで付いて来いってならない…？戦力には良いかもだけどねー…(実際島破壊するぐらいなら、過剰過ぎる気がするのは…想像したら無いなと首を振って
  (2023/10/24 00:35:28)

響> あんな事したのに覚えてない…？…なんて。そうそう…あれの使い方とかいろいろ悩んでたのは記憶に新しいよ。(半年以上前…かな…？もっとたくさん来て色んな思い出を作りたいね…と口元に手を当てて)生き物である以上補給は必要かな…と思ったんだけど、ドラゴンはそんなに疲れないのかな…(そもそもドラゴンをあまり見たことのない鍋響さん、どんなものを食べるのかしら、とスープで身体を温めながら)
  (2023/10/24 00:46:00)

2023年10月17日 11時44分 ～ 2023年10月24日 00時46分 の過去ログ
「版権百合部屋」
現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
