/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]
https://pcmax.jp/?ad_id=rm176481
2022年11月26日 10時53分 ～ 2022年11月27日 04時34分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

クレー> はーい、お話してくてありがとう♡   (2022/11/26 10:53:41)
アリサ> 美貌…美貌はそんなことないと思いますけど…年齢はどうなんだろう…？あ、でもでも！弓術は得意ですよ…！あと、魔法とは違いますけど、風を起こすことも出来ますね…！そういう意味では割と伝承とあってるんでしょうか？（自身のことを思い返すように頬に手を添えつつ小さくうなったり、余程自信があるのか弓術の時だけふふん♡と得意げに胸を張ったり。表情の変化が激しいエルフ。）>ライネスさん
  (2022/11/27 04:05:00)

渋谷凛 ◆> ここに来るのはそういう意味でそういう目的の娘も多いからね…時間とタイミングがあれば色々と…ってなってくるとは思うけれどね＞ライネス   (2022/11/27 04:05:11)

後藤ひとり> か、可愛くなんて……♡あっ…く、くすぐったいですぅ……////(首筋を舐められてまゆさんの湿った舌の感触を感じてドキドキ)   (2022/11/27 04:07:12)

レム> 少し慌ててるようにも見えますけれど大丈夫でしょうか…？　レムが鬼として未熟者なのはレムが一番知っています…時々力を暴走させることもありましたから…最近は制御もかなりできているのでご安心してください…♪ その一点…どの一点のことでしょうか…♡
(反応が少し面白くてジェスチャーしてる貴女の前でふにふにって押し寄せて見せつける様に少し前屈みになってみます…♡) 自己紹介がまだでした…♪ レムはレムです…貴女のお名前を差し支えなければ教えてください…♪
>ライネス様　　　　　鬼と言っても怖いモノって認識が強いだけで本当は優しい鬼さんいるのかもってレムの英雄が言っていました…♪ (握ってくれる貴女に満面の笑顔を見せていて)
>ひとり様　　　　　　　　凛様は深い意味を作ろうとしているのでしょうか…？　(太ももを撫でる手に手を重ねてイジワルするなら許しませんよって合図でもあります…♪) >凛様   (2022/11/27 04:09:17)

佐久間まゆ> ふふ、ドキドキしてるんですかぁ…？♡(抱きしめていた手を緩め腰あたりで再度抱きしめては首筋を吸うように口付けて)   (2022/11/27 04:11:16)

後藤ひとり> そうですね……種族の偏見は良くないですよね……不思議なことにここには人間の方以外もよく来るので……それにレムさんは優しい方ですから……(こちらもニコッとぎこちない笑みを浮かべて)   (2022/11/27 04:12:01)

渋谷凛 ◆> （重なる手に手を緩めてはそのまま手のひらで指を絡めあって小首を傾げて）作るのもいいし、今はお話だけでもいいしね？（こんな時間だしと、絡めた手を持ち上げてそっと手先に口づけて）＞レム   (2022/11/27 04:12:22)

後藤ひとり> は、はい………き、緊張で胸がドキドキ……♡(顔を真っ赤にされながら初対面のまゆさんにされるがままに首筋を座れて心臓をバクバク……)   (2022/11/27 04:12:57)

ライネス> ふむ、私の目利きでしかないが美貌について自信を持って良いとは思うけど。…弓が得意な方だったか。ん、ん？風を起こすのが…魔法や魔術でないならなんだというんだい？（サラッと言いのけるのが恐ろしいね…って少し眉間に皺がよりつつ、嬉しそうに自身の事を教えてくれるのはこちらも嬉しい限りで）＞アリサ　なるほど、ああいうお愉しみもありそれが目的でもあると…悪くないね。私も乙女の花を散らすというなら好みだ＞凛
  (2022/11/27 04:13:10)

佐久間まゆ> 素直ですね…♡ほんと、可愛い…♡(ゆっくりと口を離し、痕が着いた首筋をつん、と指でつついて)   (2022/11/27 04:14:24)

後藤ひとり> 初対面なのにすごいグイグイ来るんですね……嫌いじゃないですよ……♡(跡がついたのを何となく察しつつドキドキは収まらず……)   (2022/11/27 04:15:40)

レム> ひとり様もレムに優しくしてくれるのでレムも自然と優しく接してしまうんですよ… 今はレムはお邪魔みたいですけれど… (まゆ様との絡みを眺めながら一歩引いていて) >ひとり様   (2022/11/27 04:16:02)

アリサ> いえいえ、そんなっ…！ここにいる皆さんの方がとっても可愛らしかったり美人さんだったり…！わたしも…いい方なんですかね…？（そっと目を逸らしながら赤く染った頬を指先でかき…）んと、なんて言うんでしょうか、精霊の加護？みたいな感じで…大まかに言えば魔法と同じだと思って大丈夫だと思いますよ…！（説明するとなると難しい…んむむ…と眉間に皺を寄せて考えては見るものの納得する説明が思い浮かばず…）>ライネスさん
  (2022/11/27 04:17:20)

渋谷凛 ◆> 散らす方なのか、それとも愛でられる花になったらどうなるかも気になるけれどね…（崩れたら結構弱そうだしなんてね）＞ライネス   (2022/11/27 04:18:08)

佐久間まゆ> ふふ、それは良かった…♡今日はここまでですね…夜も遅いですし、初対面ですしね♡(くるん、と相手の前へ回っては光の無い目で貴方を見つめ)   (2022/11/27 04:18:37)

後藤ひとり> 思いやりが大切ですからね…お互い優しくなれるならそれはもんだいないかと……お、お邪魔だなんねそんな……思ってませんよ…(あわあわ……)   (2022/11/27 04:19:08)

後藤ひとり> は、はい………って怖い！？も、もしかして怒ってますか……？(光のないまゆさんの目を見ては別の意味でドキドキしてしまい)   (2022/11/27 04:19:47)

レム> そういうのは流れと雰囲気だとレムは思うので… (手先にキスをされたら少し驚きつつも…見つめていて) >凛様   (2022/11/27 04:20:35)

ライネス> 大丈夫だよ。こう多人数で話すのは久しぶりで慌ただしく見えたのかもしれないね。…自分の出自による力が制御できていなかった、か。暴走というからには力加減とかの次元の話じゃないか…だとするとバーサーカーの様な意識的な、といけない。何はともあれ落ち着いてきてるなら何よりだ。（一瞬思考の深みに入りかけた所で首を軽くって）なっ…これは、なんだ、明らかな確信犯じゃないかっ？！（思った以上の積極さに少したじろぎつつ…かといってわざわざ此方から手を離すでもなく、触れる感触を少し意識したりも…）おっと、さっきも軽く言ったが…ライネスだよ。よろしくレム＞レム
  (2022/11/27 04:21:51)

佐久間まゆ> いいえ…♡まゆはただ、貴方を見つめているだけです…♡(パチ、と瞬きすると目に光が入り、柔らかく微笑んで)   (2022/11/27 04:23:16)

渋谷凛 ◆> 雰囲気を作ってしまうとその辺戻れなくなってしまうのかもね（そっと見つめ返したまま髪を撫でて指先を滑らせて髪を浅く梳いて）＞レム   (2022/11/27 04:23:30)

後藤ひとり> よ、良かった……なにか怒らせたのかと……わ、私でよければいくらでも見て大丈夫ですよ……面白みは無いですが……(微笑んでるまゆさんを見てほっとして)   (2022/11/27 04:25:47)

佐久間まゆ> 面白みもなんも、可愛いので…♡(相手の手をとってはぎゅ、と握り)   (2022/11/27 04:26:49)

渋谷凛 ◆> 種族的なものとしてエルフなところはやっぱり綺麗や美人には見えるから自分も美人だと褒められていて大丈夫だよ＞アリサ   (2022/11/27 04:27:15)

後藤ひとり> か、可愛くもないですけど………///まゆさんの方が綺麗です………(手を取られると暖かい手……と握り返して)   (2022/11/27 04:28:17)

レム> バーサーカー？自我を失う時はたまにありましたけどバーサーカーさんとは別なのでしょうか…。　ふふっ…触ってみますか…♡ (耳元で甘い囁きをしながら特別サービスですって付け加えて♡)ライネス様… これからもこのお部屋をご利用してくださいね…♡
(自分の腕を組んでぎゅってお胸を寄せ合わせながらお胸を強調させつつ…貴女の反応を見て少し楽しくなってしまう悪いメイドさんです…♡) >ライネス様   (2022/11/27 04:28:50)

アリサ> ありがとうございます…♪自負するのは気が引けますが、褒められたら喜んじゃおうかな…♪でも、貴方も本当に美人さんですよね…！>凛さん   (2022/11/27 04:28:56)

ライネス> 遜色ないという表現であってるかは怪しいが、見劣りはしていないさ（その反応も可愛らしいしね…とかクスッと微笑み）精霊の加護、魔法……ははっ、何となく察せる事はできるけれど。私の常識じゃ意識が危うくなりそうな大技だ（相手のふわっとした説明に対して、しがない魔術師としては愛想笑いの様な引き攣った笑顔になるのは許して欲しい）＞アリサ　そうだね、好みとしてなら散らす側…ただ、愛でられるのもそれもまた一興だと思っている。とここは素直に答えておこうか。（その時々に私がどんな表情になるかは…お愉しみにって事で）＞凛
  (2022/11/27 04:29:43)

渋谷凛 ◆> 美人というにはまだまだ若いけれどね…そうなるくらいにちゃんと自分を高めていかないとかな（商品価値を上げるみたいにと…油断したらそうは言われなくなってしまうと）＞アリサ   (2022/11/27 04:30:02)

佐久間まゆ> いえいえ、ほんと…見蕩れてしまいます…♡(小指に巻いた赤いリボンを揺らしながら緩く微笑んで)   (2022/11/27 04:30:29)

渋谷凛 ◆> それならそんな姿もいつかは見れてしまうのかもしれないね……結構趣味人な感じはあるみたいだしと（楽しみにしてしまうねと片目をつぶって）＞ライネス   (2022/11/27 04:30:51)

レム> そうですね…雰囲気を作ってしまったら最後までしたくなっちゃうんでしょうか…♪ (髪に触れる手を拒まずに受け入れていて) >凛様   (2022/11/27 04:32:06)

後藤ひとり> えへへ……♡そう言われると照れちゃいますね……♡今はさすがに時間があれなのでまた今度はゆっくりいちゃつきたいです……♡(なんて言いながらむぎゅっと抱きついて)   (2022/11/27 04:33:05)

佐久間まゆ> ふふ…♡もちろん♡自分から抱きついてくれるなんて…嬉しいです…♡(きゅん、としてはこちらからも抱き締め返して)   (2022/11/27 04:34:30)

アリサ> 皆さんと比べられて見劣りしないのであれば十分すぎますねっ…！えへへ…♪…そ、そうなんですか？でも、魔法使いの人みたいに色々使える訳じゃなくて本当に風に関係することだけですよ…？（引き攣った笑みを浮かべるライネスさんの方を見つめながらわたわたと手を動かして…）>ライネスさん
  (2022/11/27 04:34:45)

渋谷凛 ◆> そうしたら、戻れなくなっても知らないよ（するりと頭を引き寄せて目の前に。こつんとおでこを合わせてちゅっと軽い口づけを唇の横に。吐息がくすぐりからかって見つめて）＞レム   (2022/11/27 04:34:49)

2022年11月26日 10時53分 ～ 2022年11月27日 04時34分 の過去ログ
「版権百合部屋」
現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
