/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2018年08月08日 22時27分 ～ 2018年08月11日 01時38分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

九条カレン> 【そっか、時雨ちゃんも寝てる？】   (2018/8/8 22:27:27)
竹井 久> 【とりあえず浜風は麦茶が用意されてるわ。←止まった所】   (2018/8/10 21:30:53)

浜風> とりあえず変わったわけですが…暑いですね…(会釈だけして麦茶を貰い)   (2018/8/10 21:31:54)

竹井 久> 暑いけど私は引っ付きたいわ(浜風を手招き)   (2018/8/10 21:32:33)

浜風> それはいいですが暑いから控えめでお願いします…(近寄って)   (2018/8/10 21:33:38)

木幡茜> おやおやお熱い。いよっ、ご両人、ってね（温かく若い二人を見守る21歳の私。っていうか浜風ちゃんを見てるとでかい盾を持たせたくなるのはなんでかしらねえ）   (2018/8/10 21:33:50)

竹井 久> え～そんなのやだわよ(浜風を膝に座らせて向かい合いにして抱き着くわ)浜風、麦茶飲ませて？   (2018/8/10 21:35:23)

浜風> ていうか見られてますよ？(親のように暖かい目で見られてるのを恥ずかしげに。何やら不思議そうな目付きですどこかに髪以外似てる人でもいるのでしょうaか)   (2018/8/10 21:36:11)

竹井 久> 茜、それ披露宴とかのオジさんみたいよ？(イヤな例えをしてみるわ。でもなんで盾？)   (2018/8/10 21:36:32)

おしらせ> ウオッカ♀ ◆yBxYs5wJysさんが入室しました♪  (2018/8/10 21:36:53)

木幡茜> あっはは、ごめんごめん。ちょっと悪乗りだった。あと、盾はさ。マシュちゃん思い出してちょっとね   (2018/8/10 21:37:11)

木幡茜> っと。ウォッカ、ちーす   (2018/8/10 21:37:16)

浜風> 流石にわがままですね…(膝に座らせて抱きついて)……/////(あえて麦茶のコップを差し出して)   (2018/8/10 21:37:16)

竹井 久> 良いじゃない。ほら、飲ませて？(浜風に麦茶を渡して飲ませて貰おうと口差し出すわ)   (2018/8/10 21:37:39)

浜風> マシュさん？…あ、そう言えばカレンちゃんから私に似ている人がいると聞いたことがあります。似合うのでしょうか   (2018/8/10 21:37:55)

木幡茜> わりと似合うかもしんない。浜風ちゃんも真面目そうだしね   (2018/8/10 21:38:15)

竹井 久> 【それも私知らないのよね。茜】   (2018/8/10 21:38:16)

竹井 久> ウオッカさん、こんばんは。   (2018/8/10 21:38:41)

浜風> 人が見てるのによく言えますね…///(コップを口に近づけて)   (2018/8/10 21:38:55)

木幡茜> （マシュ・キリエライト。ここの部屋にも来てる、っていうかわたしの身内みたいなもんなんだけど。FGOのヒロインでね、生真面目で後輩気質で盾持ち目隠れショートヘアなんだ）   (2018/8/10 21:39:33)

竹井 久> 浜風、口移しじゃなきゃ飲めないわ？(いたずらっ子の様に言うわよ)   (2018/8/10 21:39:48)

浜風> マシュさんも私みたいな性格なんですか…ここではそんな感じで似てる雰囲気の人がたまにいるんですね…後輩気質以外は似てますね   (2018/8/10 21:40:04)

竹井 久> 【ググってイラスト見て終わりだから私】   (2018/8/10 21:40:35)

ウオッカ♀ ◆> 【こんばんは】   (2018/8/10 21:40:42)

浜風> 人がいるのにですか？…////(とりあえず口に含んで)   (2018/8/10 21:40:50)

浜風> 【見たけど髪以外本当にそっくりだよね】   (2018/8/10 21:41:03)

竹井 久> 【あっと、猫が……チャンス！ちょっと掃除してきます！】   (2018/8/10 21:41:22)

木幡茜> 改めてちーっす、ウォッカ　そうそう。浜風ちゃん髪染めたらそっくりになるかもね。久はいってらっしゃい、かな   (2018/8/10 21:41:50)

浜風> 【はい】   (2018/8/10 21:42:00)

ウオッカ♀ ◆> ２日ぶり   (2018/8/10 21:42:34)

浜風> 面白そうですね…衣装とか交換してほかの人を困惑させられそうですね(などと変なことを言う)   (2018/8/10 21:42:45)

木幡茜> うん、二日ぶり（微笑みかけて、そっとウォッカに寄り添ってみよう。こちとら純白のアオザイなので。それなりにインナーが透ける）   (2018/8/10 21:43:37)

ウオッカ♀ ◆> ///（我慢できず、胸揉んで）＞茜   (2018/8/10 21:44:59)

木幡茜> あん……♥ こぉら、がっつかないの……♥ （なんて言いながら、服越しの愛撫で暖まっていく私）   (2018/8/10 21:46:24)

ウオッカ♀ ◆> 興奮してきたんだぜ♥ ///（モミモミとゆっくり胸揉んで）＞茜   (2018/8/10 21:52:55)

竹井 久> 【ただいま】   (2018/8/10 21:53:09)

浜風> 【おかえり】   (2018/8/10 21:53:31)

ウオッカ♀ ◆> 【こんばんは】   (2018/8/10 21:53:38)

竹井 久> ん…ちゅっ…(浜風にキスをして麦茶を飲もうとするわ)   (2018/8/10 21:53:45)

木幡茜> もう……久たちに見えちゃってるよ？（しょうがないなあ、なんて口では言うけれど、息遣いが熱を帯びてしまうわたし。という訳で、ひさ、お帰り）   (2018/8/10 21:53:51)

竹井 久> 【ウオッカさん、改めてこんばんは】   (2018/8/10 21:54:07)

浜風> んんっ…////(キスされながら麦茶を流して)   (2018/8/10 21:54:30)

竹井 久> 【猫が起きて抗議の毛玉吐きされた(泣)】   (2018/8/10 21:54:50)

浜風> 【ありゃ】   (2018/8/10 21:55:17)

ウオッカ♀ ◆> あ、///（揉むのをやめて）   (2018/8/10 21:55:21)

竹井 久> ん…ちゅっ…ちゅっ…(キスをして麦茶を口移しで飲みながら浜風の胸も揉むわ)   (2018/8/10 21:56:00)

木幡茜> ？　どったの、ウォッカ？　部屋作る？   (2018/8/10 21:56:25)

浜風> んう…////(キスされながら胸を揉まれて目をトロンと)   (2018/8/10 21:57:06)

竹井 久> あら？みせあいっこじゃなかったの？(ぇ)   (2018/8/10 21:57:09)

竹井 久> ん…んん…(浜風の口の中へ舌を入れこみ絡ませながら、揉んでる胸は乳首を探る為に指が動くわ)   (2018/8/10 21:58:11)

ウオッカ♀ ◆> ああ///（作ってと）   (2018/8/10 21:58:11)

木幡茜> ん、了解。ごめんねひさ、見せ合いっこはまた今度   (2018/8/10 21:58:28)

竹井 久> あら、残念ね。   (2018/8/10 21:58:53)

浜風> んう…////(胸を揉まれて胸の中で指が動いていて)【お疲れ様です？】   (2018/8/10 21:58:56)

木幡茜> （できたー）   (2018/8/10 21:59:21)

竹井 久> ん…ちゅっ…浜風の乳首はここかしら？(キスを一旦止めると乳首の場所を指で撫で回すわ)   (2018/8/10 22:00:25)

浜風> んう…////そうですね…///(撫でられつつもそういう)【私達も個室いく？】   (2018/8/10 22:02:23)

ウオッカ♀ ◆> 「OK」   (2018/8/10 22:02:47)

竹井 久> フフ…乳首が分かるくらい堅くなってきたわよ？(乳首を服越しに撫でていくわ、時々摘まんでもあげる)【ん～時雨とか来るかも？】   (2018/8/10 22:04:41)

浜風> もう…////見ないでください…///(乳首を撫でられてピクンっとさせてしまい)【分かった。時雨ちゃん最近会えなくて寂しい。あと寝るのが23時半であんまり時間ないけど大丈夫？】   (2018/8/10 22:07:31)

木幡茜> それじゃあ、後はお二人ごゆっくり、っと。行こう、ウォッカ   (2018/8/10 22:07:35)

浜風> ええ   (2018/8/10 22:09:14)

ウオッカ♀ ◆> ああ♪   (2018/8/10 22:09:57)

おしらせ> ウオッカ♀ ◆yBxYs5wJysさんが退室しました。  (2018/8/10 22:10:08)

木幡茜> それじゃあ二人とも、お先に。   (2018/8/10 22:10:48)

おしらせ> 木幡茜さんが退室しました。  (2018/8/10 22:10:51)

竹井 久> 見える位立たせてるのは浜風よ？(乳首を服越しに摘まんで転がすと撫でてもっと固くなるわね)【最近私もこの間から会ってないわ。忙しいみたいね】   (2018/8/10 22:11:25)

竹井 久> 【ウオッカさん、茜、行ってらっしゃい】   (2018/8/10 22:11:45)

浜風> 【だね】   (2018/8/10 22:12:13)

浜風> し、仕方ないですよ…////そんなに触られてるのに…////(しがみついてそういう)   (2018/8/10 22:18:04)

竹井 久> (乳首を撫でたり摘まんで堅くさせていき浜風の口にキスをするわ)ちゅっ…浜風は触られてるだけで感じちゃうエッチな女の子なのね？【でも時間無いなら個室にしましょうか？】   (2018/8/10 22:21:36)

浜風> 【うん。お願いします】   (2018/8/10 22:22:13)

竹井 久> 【作ったわよ】   (2018/8/10 22:23:13)

浜風> 【ええ】   (2018/8/10 22:23:47)

おしらせ> 浜風さんが退室しました。  (2018/8/10 22:23:49)

竹井 久> 【移動するわ】   (2018/8/10 22:24:41)

おしらせ> 竹井 久さんが退室しました。  (2018/8/10 22:24:46)

おしらせ> 竹井 久さんが入室しました♪  (2018/8/10 23:36:07)

竹井 久> 【寝るまで来てみたわ】   (2018/8/10 23:36:24)

おしらせ> 福路 美穂子さんが入室しました♪  (2018/8/10 23:38:56)

竹井 久> 【美穂子、こんばんは】   (2018/8/10 23:39:39)

福路 美穂子> [寝る前に来たら久いた]   (2018/8/10 23:40:03)

竹井 久> 【私も寝る前よ。今日は来なかったわね？】   (2018/8/10 23:40:39)

福路 美穂子> [おそくなちゃった   (2018/8/10 23:41:19)

竹井 久> 【明日は？】   (2018/8/10 23:41:37)

福路 美穂子> [忙しそうな予感しかしないなぁ   (2018/8/10 23:42:06)

竹井 久> 【そう…忙しいのね…】   (2018/8/10 23:44:02)

福路 美穂子> [上埜さんに甘える暇ない哀しい   (2018/8/10 23:44:32)

竹井 久> 【暇になったらたくさんしてあげるわ(額にキス)   (2018/8/10 23:45:12)

福路 美穂子> [ありがとう(キス受け)久明日も早いからおやすみ頑張るね]   (2018/8/10 23:48:02)

福路 美穂子> [後熱中症には気を付けようねお互い後いきなり冷たいもの飲んでも意味ないらしいわ、まずは常温の物で喉潤してからがいいそうよ？おやすみ   (2018/8/10 23:49:59)

おしらせ> 福路 美穂子さんが退室しました。  (2018/8/10 23:50:04)

おしらせ> 無言時間が20分を超えたため、竹井 久さんが自動退室しました。  (2018/8/11 00:05:20)

おしらせ> 泉 こなたさんが入室しました♪  (2018/8/11 00:20:23)

泉 こなた> 眠れぬ夜は東京〇店。（だから合言葉みたいに使わないで）   (2018/8/11 00:21:02)

泉 こなた> 今日も今日とて、ソファーに、ダーイヴっ！（ぼふん！柔らかそうな音とともに、リビングの長いソファーに飛び込む。スカートが乱れようが一人だからまったく気にしない様子で、さっそくゴロゴロし始める）   (2018/8/11 00:38:49)

泉 こなた> そして、TVのスイッチと一緒に～…PS4をオン！隙がない、全く隙がないよ私！（寝ころんだまま、ゲームにスイッチを入れる。慣れた手つきで、ゲストユーザーからアカウントユーザーへ画面を切り替えると、鼻歌歌いながらポチポチとボタンを押していって）  
(2018/8/11 00:41:21)

泉 こなた> のど渇いちゃったねえ。冷蔵庫のジュースをドロードロー。んー…ひんやり。（ゲームしながら、喉が渇いたようで、奥の冷蔵庫へ向かう。扉を開けるとひんやりした冷気が頬を撫でた。その感覚に心地よさそうに目を細め、冷蔵庫の中の飲み物を物色し始めて）  
(2018/8/11 01:08:56)

おしらせ> 歳納京子さんが入室しました♪  (2018/8/11 01:11:29)

泉 こなた> 【こんばんは～♪】   (2018/8/11 01:12:18)

歳納京子> んー？誰かいるなぁ…。(真っ暗な部屋の中で漏れる明かり。ブーンと電子音が聞こえる。ヒョッコリ顔を覗かせて。) おーい、こなちゃん先輩。こんな時間にジュースなんてワルですなぁ♪(ヒラヒラと手を振って冷蔵庫の前でゴソゴソ動く青髪の少女に声をかけた。)
  (2018/8/11 01:13:34)

歳納京子> 【はぁい、こんばんは♪ 寝ていたのですけどちょっと目が覚めちゃいましたを】   (2018/8/11 01:13:54)

泉
こなた> …んぁ？おぉ～京子ちゃんじゃないかね～。いやいや、深夜に飲むジュースは背徳的で良いものだヨ。かがみが聞いたら怒りそうだけどね～。京子ちゃんも何か飲むかい?果汁１００％の健康ドリンクから、きっつい炭酸のコーラやドクターペッパーまでいろいろあるよん♪（声に気づいて振り向き、やってきた少女を見遣る。活発そうな元気な声、綺麗な金髪、大きな瞳。言うまでもなく歳納京子その人だった。嗜めるような彼女の言葉に、いつもの飄々とした表情で、何か飲むか尋ねる。共犯者に仕立てる気満々だった。）
  (2018/8/11 01:21:42)

歳納京子> いえーい飲む飲むぅ♪(こなたからジュースを勧められるとあっさり飲む気満々に答えて。元からそのつもりだったらしい。)
キッツイ炭酸…は、やめとこ。(ジュースのラインナップにキョロキョロと品定め。でも夜中なので果汁100%ジュースを頂くことにした。いや、夜中に飲んでいる時点で健康ではないけど。)   (2018/8/11 01:25:16)

泉 こなた> 【私は眠れぬ夜につい顔出しに。眠れない夜、誰もいない時間にこっそり来るのが習慣に…】   (2018/8/11 01:25:45)

歳納京子> 【夜更かしする悪い子はお化け…もとい私に連れ去られてしまいますよ♪】   (2018/8/11 01:28:13)

泉
こなた> らじゃー♪それじゃあ私もそれに相伴しよっかな。（オレンジジュースを２つのコップに注ぎ、リビングへ戻ってくる。来客が嬉しいのかどこか楽しそうに鼻歌なんて歌いながら）ささ、一緒にいただこうじゃないか京子ちゃん。（ムフーっと嬉しそうにコップを手に持つと、もう片方の手で自身が座るソファーの隣をポムポムと叩き、おいで、なんてアピールしてみて）
  (2018/8/11 01:34:22)

泉 こなた> 【Oh…イチャイチャお化けに連れ去られちゃうね。何それ最高じゃない?萌える（ﾀﾞﾏﾚ】   (2018/8/11 01:36:21)

歳納京子> これはこれは…かたじけのうござる。(ジュースを注いだコップを受け取ると変なござる口調でお礼を言いつつ。)
お邪魔しまーす。じゃ、乾杯♪(こなたに隣をポンポンされると嬉しそうに隣に座って。コツンと乾杯すると、チビチビと飲み始める。一気に飲まなかったのはなんだかそんな気分だったから。)   (2018/8/11 01:38:22)

2018年08月08日 22時27分 ～ 2018年08月11日 01時38分 の過去ログ
「版権百合部屋」
現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
