/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年03月04日 21時56分 ～ 2023年03月05日 14時43分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

京町セイカ> えーっと…話題もないし、自己紹介でもする？   (2023/3/4 21:56:01)
  (2023/3/5 14:03:14)

おしらせ> 琴葉茜さんが入室しました♪  (2023/3/5 14:05:51)

琴葉茜> 呼んだー…？（ふらぁ、っとおめめ擦り擦り。後頭部に寝癖があるあたり完全に寝起きの様子。寝起きのせいでまだ視界が定まらないのか廻りがよく見えないのでそのまま空いてそうなソファまでふらついていって、倒れ込むようにぼすーん。）   (2023/3/5
14:05:55)

レン> おわぁーっ…！よ、呼んでないっ、呼んでないって…！！(噂をすればなんとやら。聞き慣れた声にぐりんと首を捻って、大げさにリアクション。…ここで茜に色々話されたらもうどうしようもないじゃんこれっ、って前髪のあたりまで顔を暗くする感じで影が伸びさぁーっと血の気も引いていくような感じ。)…って。例の無呼吸症候群？だっけ。あれで今日もよく眠れてない感じなの？
  (2023/3/5 14:09:04)

謎のヒロインXオルタ> …元々は男の子？
つまりそれは…いわゆる流行りのTSジャンルの申し子という事でしょうか？(何かの拍子で性転換した…なんてそれだけ聞けば荒唐無稽な話ではありますが…)まぁ、信じますよ…と言うか私の世界の話で言えば…そんなのばっかりです…(そもそも私ですらその末端…と同じ顔の人たちの原典を省みれば、ある意味同属のようなモノです)…ふふ、その動揺からすれば、お暑い夜を過ごされたようで…、ほら、ちょうど都合よく茜さんまで来ましたよ？
こんにちはです…(と入ってきた茜さんに会釈して)   (2023/3/5 14:09:13)

謎のヒロインXオルタ> んー、すぐには治療の段階に踏み込めないでしょうし…まだ休日ですしね   (2023/3/5 14:11:51)

レン> そう、それっ！日本だと今期アニメやってたりとか…元々海外で盛んだったジャンルみたいだったんだけどー(…そう、俺がこっちに来たときはそんなに話題にならなかった！一部には熱狂的なファンはいる、みたいだけど)…ぁー。そう言えばそうだね。織田信長とか、沖田総司とか…(あの辺、全部女の子だった。まぁ、俺みたいに後天性じゃなくって先天性っぽいけれども)……〜〜〜〜っっ！！言うなっ、聞くなぁっ！えっちゃんの意地悪っ！！(両手でえっちゃんの肩を掴んで前後にぐわんぐわん)
  (2023/3/5 14:12:22)

おしらせ> 御魂・アリアさんが入室しました♪  (2023/3/5 14:12:54)

琴葉茜> そっかぁ、呼ばれてへんかぁ…（ソファの上で蹲るみたいに寝転がり、むにゃむにゃと半分どころか８割くらい寝てるような声あげつつ手の甲で目元を擦り擦り…あ"ー…視界がまだ霞むぅ）　…ん、あぁ違う違う。きょうはむきょくう…むこくう…むこきゅう？やなくてぇ…　朝方寝るやろー…？平日用の目覚ましがなぜか暴発して叩き起こされるやろー…？止めて寝るやろー…？なぜかまた目覚ましが暴発して叩き起こされるやろー…？　結果的に三度寝みたいなことなってしまってなぁ（ふぁー…わ。あくびひとつしてから漸くむっくりと起き上がり）
  (2023/3/5 14:13:31)

御魂・アリア> はじめまして、ただいま呼ばれて着任いたしました…。アリアと言います。よろしくお願いしますね。（ぺこー   (2023/3/5 14:13:57)

謎のヒロインXオルタ> …茜さんの場合は純粋に生活リズムの乱れも疑った方がいいかもですね…(と小さく呆れ顔)   (2023/3/5 14:14:43)

琴葉茜> っと、レンちゃんもえっちゃんもおはようさん…あっごめんな、昨日の今日なんでまだ和菓子用意できてへんわ（両手真上に上げて、背筋をぐぐーっと…　ぼききっ、とか背骨が鳴った。）　うん？きのう？　　……………（そっと目を閉じ。両手で自分の肩を抱くようにして、ほんのり頬を染めて、ふる、ふる…って背中震わせて、…はふぅ、熱っぽい吐息ついてから、うっすら目を開けて…潤んだ目でちちら、と目線くれると）　…ないしょ♡（唇にひとさし指あてて、うぃんくぱちんっ☆）
  (2023/3/5 14:16:41)

謎のヒロインXオルタ> …こんにちはです、また初めての方でしょうか…？(とまた現れたゴシック調のドレスを纏う小さい子に頭を下げる)   (2023/3/5 14:16:46)

レン> ……それはまぁ、災難で…。(まだまだ眠そうだった。…まぁ、朝早く？若干、外明るかったし。時間があるなら眠れるときに寝たほうがいいかも、ね…よしよし。軽く歩み寄って、茜の寝癖付いた髪をなでなで)　短い睡眠を刻めるのもショートスリーパーの素質だって聞いたし、やっぱり長めに寝ないと寝た気がしないよね、うん。
  (2023/3/5 14:16:47)

レン> こんにちは。…なつかしー。昔、友達がやってたネトゲのキャラじゃん…っ(本物ー？って首を傾げつつ、つんつんと衣装をつついてみたり)   (2023/3/5 14:17:50)

御魂・アリア> ちょっと最近久しぶりに外に行かないかと機会がありまして、本日時間が生まれたので来てみようかと…。（こく）みなさんとははじめましてになりますね。   (2023/3/5 14:17:59)

琴葉茜> おー…初めましてかな、おはようアリアちゃん（よろしくーっておてて振って）   (2023/3/5 14:18:09)

レン> ……はぁ。その仕草、しなきゃいけないのは俺な気がしたよ。でも、代わりにやってくれたし…(説明の手間と恥ずかしがる事も無くって気が楽ではあるんだけど、って…茜のリアクションを呆れ半分感謝半分みたいな表情で眺めており。…言わないでくれたのは本当にたすかるっ)
  (2023/3/5 14:20:03)

御魂・アリア> ……皆さん私のこと、ご存知なのですか？あまり武器を突いても楽しくないのでは……？（誰も知らないつもりで来たから。意外と知られている？と首をかしげながら。））   (2023/3/5 14:20:05)

琴葉茜> せやなぁ、生活リズム狂いがちなのは否定でけん…まぁ後悔はせんけども（えっへん）　ほんま災難やったで、まぁそれでも睡眠時間的には十分とれとるし、今は眠いというより寝惚けとるだけやな…　お、ありがとー…（寝癖撫でられると頭差し出しつつの、えへー）  
(2023/3/5 14:20:58)

レン> …ああ、まぁ俺はゲーマーだったりするから、ネトゲの知識もそれなりには？…そー言うのもあると思うけども、他のひとはどうなんだろ？(ちらり)   (2023/3/5 14:21:52)

レン> 寝ぼけてるならもうちょいで眠れそう…？ま、眠くなったら寝といたほうがいいよ。睡眠は大事だし…うん(イベント間に合わないって駆け込むと早めのメンテで締め出されちゃったりするし、時間があるなら…休めるに越したこともないからなっ。差し出された髪をなでなで、ぴょこぴょこ。…水じゃないと治んないやつだこれ)
  (2023/3/5 14:24:11)

謎のヒロインXオルタ> まぁ…お熱い夜だったのだけは確かそうですね…(と茜さんとレンさんの反応からして伺うに…満足そうなのは伝わりました)私は知りませんけど…(メタい見方をすると知らない人はとりあえずググりますので、ビジュアルの認知程度はできるという寸法でややドヤっと顔を浮かべて…)
  (2023/3/5 14:24:26)

御魂・アリア> なるほどです、てっきり認知されてるのだとばかり……。それでも一人本当に知っているようで驚きました。現代には疎いですが、よろしくお願いします。   (2023/3/5 14:27:08)

琴葉茜> いやぁ…さっきのあれレンちゃんにやられたらそのまま押し倒すしかなくなってたから…（想像してみたら破壊力がやばかったらしい。それと個人的には個室の内容はとくに許可がない限りあまり他人におしゃべりすることではないと思うので言われなくても言わなかったで☆）　いやどうしてうち寝る前提になっとるん…？途中で叩き起こされたから寝惚けとるだけで十分寝たもの、これ以上は目が蕩けてしまうわ（やだわーって手ぱったぱった…　寝癖ぴょこり。このお部屋流しと電子レンジあったっけかなぁ）
  (2023/3/5 14:27:45)

レン> …なんかそういう風にえっちゃんに納得されるのが一番恥ずかしいんですけどっ！！(あーあー、そういうことね。的な。えっちゃんに抗議の視線を……いや、まぁ事実だけど、さぁっ)   (2023/3/5 14:28:53)

レン> …今の時代は目の前の機械で検索すれば色々出てくるしなっ。ビジュアル程度だったらすぐわかるし…便利な時代だよね、ほんっと。   (2023/3/5 14:29:44)

琴葉茜> あ、ごめん。うちも知らん側…エミルクロニクルって名前自体は知っとるんやけどな。（そしてうちもぐぐってヴィジュアル把握する派。）   (2023/3/5 14:30:31)

謎のヒロインXオルタ> レンさんと茜さんは相変わらずイチャついていますので…いやぁ…羨ましい限りです(虚ろな茜さんと、保護者みたいになってるレンさんを傍らで眺めつつ)ダメですか？
論ずるより状況でわかりますけど…安心してください、それはそれです…(とじっと眺めてからくすっと笑って…)なので、私は新しいこの小さな女の子と少し親睦を深めてみようかと思います…(と目線がスッとアリアさんの方を見て…)自己紹介が遅れました、ヒロインXオルタ…えっちゃんとお呼びください
  (2023/3/5 14:31:22)

御魂・アリア> よく分かりませんが、お二人はヤッた、ということですか？（赤い人と、私を知る人を交互に眺めながら。こう、ゆびでそういうことなんでしょうか、と。）   (2023/3/5 14:31:38)

レン> な、なにそれ。…流石にやんないよっ(あんなことのりのりでやってたらそれこそおしまいだよっ、色々と！男だってことを完全に諦めてるやつだったし)程度だったら…ぁ、そうなんだ。でも、5時に寝るでしょ…そっからまだ9時間くらいしかたってない、から程度だったら…(俺だったらもっと寝ちゃってる、かも？今日は流石にお腹空いて起きちゃったんだけど…って、ほっぺたぽりぽり。あるんじゃないの？たぶん文字にして書き込むと生えてくるよ、うん)
  (2023/3/5 14:33:06)

琴葉茜> うん、そこはちょっとごめん（寝起きでちょうど昨日のメンツでタイミング良く名前呼ばれたからつい…と目線反らし。）   (2023/3/5 14:34:12)

琴葉茜> （何やら不穏な指使いをする幼女に問われたので、　すっと見つめ返し、　にこぉっと満面の笑顔で、　人差し指と中指の間に親指挟んだ拳を、　ぐッ☆）   (2023/3/5 14:35:23)

御魂・アリア> えっちゃんですね。認識しました。私改めて、アリアです。えっと……この大砲に宿ってる意識のようなものだとでも思ってください。（大砲をぺしぺしと叩いて見せて）   (2023/3/5 14:36:28)

レン> 言うほどいちゃついてるかなぁ…(抱き合ったりもしてないし、きっとまだ混ざるハードルは低い…はず？って首を傾げてやんわりと、そんなことないからっ。って、首をぶんぶん。)…ぁ、でも…っ。俺だってえっちゃんと親交深めたくってこういう場所に居るんだし、遠慮とかは…しないでほしいかな(…厚かましいし図々しいかもしれないけど。じっとえっちゃんに視線を送って、大丈夫大丈夫だからって、こくんこくん)
  (2023/3/5 14:36:58)

謎のヒロインXオルタ> 私を置き去りにして奥の部屋に駆け出していくほどですから、二人ともムッシュムラムラだったに違いありません、体は女になっても心は男のままなのですか？　レンさん…(とさらに突いていきましょう、からかい甲斐のある人は嫌いではないです)  
(2023/3/5 14:37:00)

御魂・アリア> （なるほど、つまり二人はそういう関係、覚えておこう。やることやってんだなって逆に真顔でオッケー、オッケー。把握した）   (2023/3/5 14:38:20)

レン> ヤッたの意味は色々あるからねぇっ！！君が何を示してるか知んないけどさぁ！(あっちからもこっちからもイジられる…誰か助けてぇ〜なんて、心の悲鳴。)と、とりあえず…俺はレンだよ、よろしくなっ(ああああああ、茜がまた余計なこと吹き込んでるぅ…顔面蒼白状態で愛想笑い浮かべたまま小さい子に握手の手を差し伸べ)
  (2023/3/5 14:39:21)

レン> うぐ…！はうっ！！(えっちゃんの言葉が突き刺さる。なんで、なんでこんな目に…)うぅ……そ、だよ。心はまだ男のままだよぉ…体は女の子、だけど…   (2023/3/5 14:40:34)

謎のヒロインXオルタ> はい、宜しくです…大砲に宿る意識？ つまるところ中二センスによく刺さりがちなヒューマンデバイス的な？
あぁ…それは格好いいですね…私もアマゾネスドットコムでそういう武器を取り寄せてみましょうか？(と、アリアさんの設定に少し刺さるところを覚えてそんな事を考えながらアリアさんを招いてみます)   (2023/3/5 14:41:31)

琴葉茜> そうきっぱり否定されるとそれはそれでちょっぴり残念やったりもするけど、レンちゃんのアイデンティティに関わる問題やしなぁ（割り切って武器として使うって手もあるけど…下手に慣れすぎても怖いやろし）え、９時間寝てもまだ足りん？まぁうちも週末はわりと半日くらい余裕で寝るけど、平日４～６時間しか寝てへんからやけど（自分で言うてて、それはまぁ生活リズム狂っとる言われてもしゃーない思う。…まぁそやな。じゃあ流しで手ぬぐい絞って、レンジでチンして、ほどよく冷ましてから頭にのっける感じで…）　ほあっちゃぁっ（温度管理失敗）
  (2023/3/5 14:42:37)

御魂・アリア> 何を挿して示したかという話であれば、一つかと思いますけど（FTNR）。あ、レンさんですね。わかりました。これから宜しくお願いします。……いえ、よろしくされるのは…（あちらのかた？って目線を送りながら握手を受け入れましょう）  
(2023/3/5 14:43:20)

2023年03月04日 21時56分 ～ 2023年03月05日 14時43分 の過去ログ
「版権百合部屋」
現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
