/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年03月21日 18時22分 ～ 2023年03月24日 01時14分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

クレー> 食べにくいからとか？>ひとりお姉ちゃん   (2023/3/21 18:22:29)
後藤ひとり> もう少ししたら……   (2023/3/23 18:25:47)

倉田ましろ> よしよし   (2023/3/23 18:28:03)

後藤ひとり> ましろさんはしばらくこのまま？   (2023/3/23 18:29:12)

倉田ましろ> そうだねぇ   (2023/3/23 18:30:29)

後藤ひとり> そうでしたか……なら暫くはこのまま……(むぎゅ)   (2023/3/23 18:30:54)

倉田ましろ> ふふ、あまえんぼうだね？（よしよし）   (2023/3/23 18:37:59)

後藤ひとり> 元からですね……(むぎゅ)   (2023/3/23 18:38:24)

倉田ましろ> そうだったねぇ（むぎゅう）   (2023/3/23 18:39:29)

後藤ひとり> 最近はなかなか2人で話すこともなかったので…(つんつん)   (2023/3/23 18:40:38)

倉田ましろ> そうだねぇ、七深チャン至り誰かいたりしたもんねぇ（つんつん）   (2023/3/23 18:43:30)

後藤ひとり> 人が居るのは良いことですけどね……2人きりも良いので……(ぷにぷに)   (2023/3/23 18:44:37)

倉田ましろ> そうだねぇ、こうしてふたりもたまにいいねぇ（ふにふに）   (2023/3/23 18:45:09)

後藤ひとり> 仲良い人と二人でいるのはいいことです。なかなか時間も合わない人とか場合もありますが……(むぎゅ)   (2023/3/23 18:46:16)

倉田ましろ> そうだねぇ。ふふそうだねぇ（むぎゅう）   (2023/3/23 18:46:45)

後藤ひとり> ですねえ……と私もそろそろご飯の時間が……(ちゅ)   (2023/3/23 18:48:57)

倉田ましろ> いってらっしゃいだねぇ…（ちゅ）   (2023/3/23 18:53:30)

後藤ひとり> また会えたら……♪(こちらもキスをして帰宅)   (2023/3/23 18:55:23)

おしらせ> 後藤ひとりさんが退室しました。  (2023/3/23 18:55:25)

倉田ましろ> はーい♪（ひらひら）   (2023/3/23 18:57:36)

倉田ましろ> さてそろそろ私も落ちようかなお疲れ様…   (2023/3/23 19:12:52)

おしらせ> 倉田ましろさんが退室しました。  (2023/3/23 19:12:56)

おしらせ> 桜花あさひ ◆gAmHDzY8Wcさんが入室しました♪  (2023/3/24 00:07:40)

桜花あさひ ◆> こんばんはだぞぉ♪   (2023/3/24 00:07:49)

桜花あさひ ◆> んぅ、最終回悲しいぞ〜……   (2023/3/24 00:19:02)

おしらせ> 堂領姫子さんが入室しました♪  (2023/3/24 00:32:20)

桜花あさひ ◆> 姫子姉ちゃんこんばんはだっ！   (2023/3/24 00:32:31)

堂領姫子> こんばんは、あさひさん   (2023/3/24 00:32:37)

桜花あさひ ◆> えへへ、来てくれて嬉しいぞぉ♪   (2023/3/24 00:33:17)

堂領姫子> ふふっ、ありがとうございます。あさひさん♪   (2023/3/24 00:34:36)

桜花あさひ ◆> ふふふっ、どういたしましてだぞぉ♪(ぎゅぅ)   (2023/3/24 00:35:24)

堂領姫子> ふふっ、照れますね♪（むぎゅ）   (2023/3/24 00:36:15)

桜花あさひ ◆> んむ〜♪ふふ、ぽかぽかだぞぉ♪(すりすり)   (2023/3/24 00:39:28)

堂領姫子> 暖かいですね♪（よしよし）   (2023/3/24 00:40:02)

桜花あさひ ◆> えへへ、温かいの大好き大好きだぞ〜…♪(膝に座りじっと見つめながら)   (2023/3/24 00:41:32)

堂領姫子> 私も好きですね…♪（膝の上に座ったあさひさんを私もそっと見つめて）   (2023/3/24 00:43:55)

桜花あさひ ◆> はぐはぐ〜♪ふふ、あさひの暖かいのいっぱい分けてあげるぞ〜…♪(むぎゅぅっと抱きつきながら体を擦り付けて)   (2023/3/24 00:45:41)

堂領姫子> はぐはぐ〜♪では、いただきましょう♪（私もそっと背中に腕を回して、抱きつきながらそっと撫でてみて）   (2023/3/24 00:47:16)

桜花あさひ ◆> どうぞどうぞだぞ〜っ♪(すりすり、ほっぺたをくっつけて)   (2023/3/24 00:50:39)

堂領姫子> ふふっ、ぷにぷにしてますね♪ （一緒にすりすり、とほっぺをくっつけて）   (2023/3/24 00:51:31)

おしらせ> 室崎みよさんが入室しました♪  (2023/3/24 00:51:50)

堂領姫子> こんばんは   (2023/3/24 00:53:51)

室崎みよ> こんばん…………あららら～♡♡♡…ごちそうさまです…ぱたり…(今日は最終回の日で少しだけお部屋覗いて見たら友達と黒髪のお姉さんが仲良くしてるのを見てしまったわたし……♡ごちそうさまです…♡と伏してしまって)   (2023/3/24
00:54:07)

桜花あさひ ◆> いっぱいいっぱいぷにぷにするんだぞ〜♪(フニフニ柔らかい頬をくっつけながら)   (2023/3/24 00:54:29)

桜花あさひ ◆> あっ、みよちんこんばんはだぞ〜っ♪   (2023/3/24 00:54:39)

堂領姫子> ご、ごちそうさま、とは？   (2023/3/24 00:55:43)

堂領姫子> ぷにぷに…照れますね♪   (2023/3/24 00:58:03)

室崎みよ> あ、いえ……♡お気になさらず……♪こんばんは、あさひちゃんと同じ学校の室崎みよです♪えーと、お部屋自体は数えるくらいしか来たことないんですけど…よろしくお願いします(とりあえず気を戻しては丁寧にちゃんとあいさつして)   (2023/3/24
00:58:08)

堂領姫子> みよさん、ですね。私は堂領姫子です。よろしくお願いしますね   (2023/3/24 00:58:44)

桜花あさひ ◆> 姫子姉ちゃんちょっと赤くなってるぞ〜♪(くすくす)   (2023/3/24 00:58:46)

室崎みよ> あさひちゃんもこんばんは♪寝る前に少しだけのぞきにきちゃった♪   (2023/3/24 00:58:48)

桜花あさひ ◆> えへへ、久しぶりだなぁ♪来てくれて嬉しいぞっ♪   (2023/3/24 00:59:00)

堂領姫子> ふふっ、顔が近かったので少しだけ   (2023/3/24 01:00:45)

桜花あさひ ◆> はっ、来てくれて嬉しいけどっ、最終回始まっちゃったから少しお口チャックだぞ……   (2023/3/24 01:00:49)

室崎みよ> あら、あさひちゃんamebaで見てるのかしら…？私も見たいんだけど、午前中にゆっくり見ようかなと思ってるから、あさひちゃん内容はシーでお願いね♪(と言ってもそんなにネタバレの強い作品じゃないから大丈夫だけど…！)   (2023/3/24
01:02:54)

堂領姫子> ああ…そうですか。調べてみましたけど、最終回なんですね。   (2023/3/24 01:03:03)

室崎みよ> もうすぐ4月ですからね…。私は明日の準備と寝る支度をしながらお相手させていただきますね♪>堂領さん   (2023/3/24 01:04:05)

堂領姫子> 番組も入れ替えの時期ですね。終わりというのは来るとわかっていても、寂しいものですね。…わかりました、ではゆったりといきましょうか。…よろしければみよさんもこちらへ。   (2023/3/24 01:05:44)

室崎みよ> (おにまいの最終回が流れるテレビに釘付けなあさひちゃんを横目に私もお部屋に上がっては)…アニメ化もさせて頂いて楽しい3ヶ月だったと思います♪…こちらへ…って……ええ！///あわわ、私見る専なので…//(と、招かれてしまっては拒みつつもすす…とほどよく近づいて)
  (2023/3/24 01:09:27)

堂領姫子> 私も先月くらいからここへ来させていただいてますが、この部屋が出来た時は、ホラーゲームからキャラが来るとは思ってはいなかったでしょうね(汗)   (2023/3/24 01:09:29)

堂領姫子> 丁度今年からアニメ放送でしたね。３ヶ月、長いようで短いものです。（調べ物をしつつ、簡単に想いを馳せていると、近づいてきたみよさんに笑顔を向けて、手を振って）   (2023/3/24 01:11:02)

室崎みよ> ジャンルは各々あると思いますし、私たちみたいなコメディな所から来る子もいれば、ストーリーチックな所(重いって言い方は失礼かな…って言葉が思いつかず…)から来る子もいると思いますし、本来は百合とは無縁の人もいると思いますから、そこはそれぞれでいいと思いますよ♪…私はお部屋で出会った人とちゃんと仲良くできる人が好きですから(にこー)
  (2023/3/24 01:14:15)

2023年03月21日 18時22分 ～ 2023年03月24日 01時14分 の過去ログ
「版権百合部屋」
現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
