/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年01月08日 15時11分 ～ 2023年01月09日 10時54分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

後藤ひとり> ですよね……油断してたら寝そう……   (2023/1/8 15:11:45)
おしらせ> 後藤ひとりさんが退室しました。  (2023/1/9 10:23:18)

喜多 郁代> それじゃあ、行ってくるわ♪   (2023/1/9 10:23:48)

おしらせ> 喜多 郁代さんが退室しました。  (2023/1/9 10:23:50)

チリ> 行ってらっしゃいやなぁ~   (2023/1/9 10:23:50)

小春六花> 眠いときはねといでねといで。   (2023/1/9 10:24:10)

巴マミ> 素直に寝られる間に寝ておいた方が……夕方以降響きそうね…   (2023/1/9 10:24:10)

巴マミ> 二人とも行ってらっしゃい…？　本当に酷いわ………倍以上に見られるなんて…   (2023/1/9 10:24:45)

如月ついな> まーそういう本が出ちゃったから仕方ないねぇ。（しみじみ）   (2023/1/9 10:25:35)

チリ> 寝てもええんやけどなぁ。少しやることはやることであるし。とりあえず朝ごはん食べて。その後に考えよかなぁ、   (2023/1/9 10:26:38)

巴マミ> …………あれはフィクションよ(ﾆｺｯ)食べたら勢いでぐっすり、も有りそうね…人の一日は24時間では足りないのかしら…   (2023/1/9 10:28:02)

小春六花> どっちかというと17年後の未来視みたいなね（？）   (2023/1/9 10:28:03)

如月ついな> 魔法少女引退した世界戦よな（たしか）   (2023/1/9 10:29:51)

巴マミ> …………………小春さん？(じぃぃぃっ   (2023/1/9 10:30:14)

小春六花> なんですか？（にこ   (2023/1/9 10:30:49)

巴マミ> …確かに何時までも魔法少女を続けるつもりは無いけどっ……あ、あんな未来はっ……(ふる、ふる…)……小春さんは結局如何なりたいのか良く解らないわ…(じとー…   (2023/1/9 10:32:23)

小春六花> えー、何が？なになに？   (2023/1/9 10:34:43)

如月ついな> いつまでも続けられるわけではないしなぁ（うんうん）   (2023/1/9 10:35:50)

おしらせ> 後藤ひとりさんが入室しました♪  (2023/1/9 10:36:27)

おしらせ> 喜多 郁代さんが入室しました♪  (2023/1/9 10:36:36)

後藤ひとり> 戻りました……   (2023/1/9 10:36:38)

喜多 郁代> 30分も要らなかったわ（苦笑い…）   (2023/1/9 10:36:54)

巴マミ> 早いわね……二人ともおかえりなさい？   (2023/1/9 10:36:57)

チリ> おかえりな~   (2023/1/9 10:37:17)

如月ついな> おはやいおかえりで   (2023/1/9 10:37:26)

喜多 郁代> ええ、ただいま…♪   (2023/1/9 10:37:29)

小春六花> めっちゃ早かった！！   (2023/1/9 10:37:36)

小春六花> 伝説の樹の下で告白だけして戻ってきた感じ？　   (2023/1/9 10:37:48)

如月ついな> １４分だけやな   (2023/1/9 10:37:49)

巴マミ> ……何がじゃありませんっ…掴むわよ…？(ほっぺたじー)そもそも魔法少女の規定って有るのかしら………何時まで、とか特に聞いたこと無いわね…   (2023/1/9 10:38:24)

喜多 郁代> 告白なんてしてないから！？私とひとりちゃんはバンドメンバーで友達、それ以上もそれ以下もないし……！   (2023/1/9 10:38:38)

如月ついな> あるんかなぁ？わからんなぁ   (2023/1/9 10:39:06)

後藤ひとり> 告白されちゃいました……////(なんて)   (2023/1/9 10:39:53)

巴マミ> ………結束バンドは波瀾含みって事かしら、互いに惹かれ或いは互いに……   (2023/1/9 10:40:05)

喜多 郁代> ひとりちゃん！？変なところで悪ノリしないでいいからっ……！   (2023/1/9 10:40:44)

如月ついな> 告白したんやな   (2023/1/9 10:40:50)

巴マミ> ………とりあえずあんなお先真っ暗な未来だけは御免だわ…何が悲しくて……(ぶつぶつ   (2023/1/9 10:40:54)

如月ついな> おめでとう（ぱちぱち）   (2023/1/9 10:41:00)

喜多 郁代> してないって言ってますよね！？！   (2023/1/9 10:41:11)

小春六花> なんか妄想はじまった（ともえさんツンツン）掴んでもいいけど、私の頬をつかめても未来の伴侶は掴めないのよ？   (2023/1/9 10:41:19)

巴マミ> あらあら…後藤さんはおめでとう？(ニコニコ   (2023/1/9 10:41:47)

小春六花> 私と同じ声してるひとりちゃん疑えないから……   (2023/1/9 10:41:48)

後藤ひとり> あ、すいません嘘です……   (2023/1/9 10:41:59)

喜多 郁代> 巴さんが未来の悲しいお話に巻き込まれてる（苦笑い…）   (2023/1/9 10:42:01)

小春六花> 嘘つかれたぁーーー………（がびーんぬ）   (2023/1/9 10:42:21)

チリ> ふぅ~。(お腹ぽん、ぽん。   (2023/1/9 10:42:29)

巴マミ> え、ぅ………だ、だからそっちに結びつけなくても良いでしょうっ…！？(うがぁっ   (2023/1/9 10:42:46)

如月ついな> もう大丈夫だから（でも映画次マミさんのやつやるかもやんな？）   (2023/1/9 10:42:47)

如月ついな> してないんかぁ（しょぼん）   (2023/1/9 10:43:18)

小春六花> えー。だってほっぺ引きちぎろうとしてくるんだもん……（ぷるぷる   (2023/1/9 10:43:38)

後藤ひとり> あの漫画は嘘なんですね……   (2023/1/9 10:43:43)

巴マミ> ……後藤さんって言う可愛らしい彼女のいる喜多さんには解らないのよっ…！(ぴしっ   (2023/1/9 10:43:45)

喜多 郁代> ひとりちゃんは彼女じゃないから！？   (2023/1/9 10:44:17)

巴マミ> あ、あれは普通に続編新章の話じゃなかったの…………？(最近制作中、とは聞いた覚え   (2023/1/9 10:44:42)

巴マミ> ち、千切らないわよっ……！？……それならまだ簀巻きにした方が色々……(じーとー…   (2023/1/9 10:45:24)

如月ついな> 誰かがへんなほうこうにいったあとのせかいせん？（まだせいさくちゅうなんや）   (2023/1/9 10:45:37)

小春六花> 色々殺される……（ぷるぷる   (2023/1/9 10:46:07)

後藤ひとり> 殺されるんですか！？   (2023/1/9 10:46:16)

巴マミ> なんで、なんで周りは皆円満な未来を築いていくのかしら………(床にorz   (2023/1/9 10:46:28)

巴マミ> じゃないかしら………私も詳細を追ってる訳じゃないけど……(そもそも前回が何年前の…   (2023/1/9 10:47:16)

如月ついな> （私まだおらんねんけど）   (2023/1/9 10:47:18)

如月ついな> えーとねぇ、４年前くらい？（違ったかな）   (2023/1/9 10:47:47)

如月ついな> １０年前やった   (2023/1/9 10:48:52)

巴マミ> Σ殺らないわよっ………！？未だ簀巻きで色々する方が絶対…………   (2023/1/9 10:48:53)

小春六花> 巴さんにそろそろみんな死ぬしかないじゃないって言いながらミンチにされそう。ひとりちゃんたすけて。   (2023/1/9 10:49:08)

チリ> ふぅぅ。(くてん。ソファに横になって   (2023/1/9 10:50:07)

巴マミ> ………10年は流石に遠いわ…その間にサイドストーリーみたいなのは挟んだりしてたみたいだけど…根幹の話もう皆忘れてるんじゃ……？   (2023/1/9 10:50:29)

喜多 郁代> マギレコしか知らない、とかも全然ありそう…？   (2023/1/9 10:51:07)

後藤ひとり> 私に助けられることは無いです………   (2023/1/9 10:51:18)

後藤ひとり> 10年後に人気な作品が続編出すことありますよね   (2023/1/9 10:51:30)

如月ついな> うちはなんとなく覚えてるけど   (2023/1/9 10:52:01)

小春六花> そのうち喜多ちゃん30歳とかでるんだ……   (2023/1/9 10:52:10)

喜多 郁代> ちなみに私はほとんど覚えてない…！   (2023/1/9 10:52:16)

如月ついな> ひぐらしとか？   (2023/1/9 10:52:16)

喜多 郁代> そんなのでなくていいから2期して！？   (2023/1/9 10:52:27)

巴マミ> …………こうなったら後藤さんを道連れに………(ぶつぶう)最近は平成初期のを又アニメとか映画になってるわね……   (2023/1/9 10:52:37)

巴マミ> ……結局未だちゃんとした救いがないままなのよね……あの世界…本当に如何するのかしら…   (2023/1/9 10:53:33)

喜多 郁代> バスケットボールのアニメとかも映画でやってたしね…？   (2023/1/9 10:53:34)

後藤ひとり> なんで私を道連れに……私は去年好きだった作品が10周年記念作品出されたんですけどとんでもない終わり方で泣いちゃいました………()   (2023/1/9 10:54:05)

如月ついな> さぁ、わからんなぁ。   (2023/1/9 10:54:26)

小春六花> ひとりちゃんはほら……道連れにしても自動復活しそうだから胸が傷まないよね……？   (2023/1/9 10:54:48)

2023年01月08日 15時11分 ～ 2023年01月09日 10時54分 の過去ログ
「版権百合部屋」
現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
