/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2018年10月07日 10時11分 ～ 2018年10月19日 17時17分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

九条カレン> 【そうでしたか…お疲れ様です？】   (2018/10/7 10:11:49)
竹井 久> ん…チュッ…(キスしながらさとりの身体を強く抱き締めるわ)   (2018/10/18 22:35:44)

古明地さとり> んっ…ちゅっん…////（抱きつきながらキスを返して   (2018/10/18 22:37:35)

竹井 久> さとり…どうだったかしら？私の精液で子宮を満たされた感じは？(キスしながら聞いてみるわ)   (2018/10/18 22:38:49)

古明地さとり> んっ…気持ちよかったわ…////（相手を見て   (2018/10/18 22:39:17)

竹井 久> フフ…初めてで子宮まで突かれて気持ち良くなっちゃって…さとりの身体はエッチね？(クスクス笑いながらさとりをからかってみるわ)   (2018/10/18 22:41:18)

古明地さとり> んん…それは…久が気持ちよすぎるから…////（目を逸らし   (2018/10/18 22:42:32)

竹井 久> フフ…さとりの身体はすっかり快楽に従順になってるわね？(さとりの顎掴むとチュッとキスしながら聞いて)   (2018/10/18 22:50:18)

おしらせ> 福路美穂子さんが入室しました♪  (2018/10/18 22:50:49)

竹井 久> 【美穂子、久し振りね】   (2018/10/18 22:51:18)

古明地さとり> んっ…そう、かしら…？（相手を見て   (2018/10/18 22:51:37)

福路美穂子> [あっ見てるだけにしようとしたのに   (2018/10/18 22:51:38)

古明地さとり> ((こんばんは   (2018/10/18 22:52:32)

竹井 久> そうよ。私と繋がったままでいたいって締め付けてくるわよ？(言いながらおちんちんで子宮内を掻き回すわ)   (2018/10/18 22:53:04)

古明地さとり> んぁっ…ぁっ…だって…本当のことだから…////（目を逸らし   (2018/10/18 22:53:36)

竹井 久> 【見ているだけじゃ私が気づかないでしょう？美穂子】   (2018/10/18 22:53:45)

福路美穂子> [東方の地霊のお姉さんという情報しかしらないさとりさんごめんなさい   (2018/10/18 22:54:27)

古明地さとり> ((え、私は何も知らないから別に……   (2018/10/18 22:54:45)

福路美穂子> [テレパシーとかクスクス   (2018/10/18 22:54:52)

竹井 久> フフ…ほら、エッチな身体だわ。私と繋がったままが良いなんて…(子宮の中を掻き回してあげるわ)   (2018/10/18 22:55:06)

古明地さとり> あっ…あっ…んっ…////（服をきゅっと掴んで   (2018/10/18 22:55:51)

福路美穂子> [私上埜さん眠気まなこだからねちゃうかも   (2018/10/18 22:56:14)

竹井 久> 【無理よ…そんな事出来るわけないでしょう？美穂子】   (2018/10/18 22:56:31)

竹井 久> まだ足りないのかしら？(子宮の中を掻き回しては突いてあげるわ)   (2018/10/18 22:57:05)

竹井 久> 【寝るまで話してましょう？美穂子】   (2018/10/18 22:57:29)

福路美穂子> [悪待ちならお手のものじゃない？クスクス   (2018/10/18 22:57:51)

古明地さとり> ((わ、私邪魔っぽいんじゃ…   (2018/10/18 22:58:24)

竹井 久> 【美穂子、拗ねてるのかしら？私がさとりとシてて】   (2018/10/18 22:58:47)

古明地さとり> んっぁ…っあっ…ぁっ////（喘ぎ声を漏らしながら   (2018/10/18 22:58:51)

竹井 久> 【邪魔じゃないわよ？さとり。まだ足りないでしょ？クスクス】   (2018/10/18 22:59:17)

古明地さとり> ((ぅ……な、ならいいけど…   (2018/10/18 22:59:33)

竹井 久> フフ…足りないみたいね？(さとりの子宮をまた突いてあげるわ)   (2018/10/18 23:00:05)

福路美穂子> [さとりさん邪魔なわけないわ私が入らなければねごめんなさい   (2018/10/18 23:00:14)

古明地さとり> んっあっあっ……ぁあっ…気持ちいっ…////（感じていて   (2018/10/18 23:01:14)

古明地さとり> ((謝らなくても…なら良かったです   (2018/10/18 23:01:29)

竹井 久> 【気にしないでちょうだい？(さとりにチュッ)美穂子も入らなければとか言っちゃダメよ？私に会いに来たんでしょ？(美穂子にもチュッ)】   (2018/10/18 23:01:35)

古明地さとり> ((えぇ……（キス受けて   (2018/10/18 23:02:25)

福路美穂子> ありがと上埜さん(キス受)[久ごめんなさいねちゃいそ   (2018/10/18 23:02:41)

おしらせ> 福路美穂子さんが退室しました。  (2018/10/18 23:02:47)

竹井 久> さとりのおまんこキュンキュンしてるわ…(さとりの子宮奥を激しく突いてパンパン音が厭らしく部屋に響くわ)   (2018/10/18 23:03:03)

古明地さとり> んっぁっ…あっあっ……////（激しめに喘いで   (2018/10/18 23:03:32)

竹井 久> 【おやすみなさい。美穂子。さとりはまだ大丈夫かしら？(首傾げて)】   (2018/10/18 23:04:07)

竹井 久> さとり…また…いっぱい突いてあげるわ！(パンパン腰を打ち付けていって子宮奥を激しく突いていくわ)   (2018/10/18 23:05:14)

古明地さとり> ((大丈夫…   (2018/10/18 23:06:41)

古明地さとり> ぁっ…あっ…久……っんあああっ////   (2018/10/18 23:07:06)

竹井 久> さとり…こっちも弄るわよ？(突きながら手を回してクリトリスを撫でて皮を剥いて芯芽にして撫でていくわ)   (2018/10/18 23:08:19)

古明地さとり> んっ…ぁぁ！…ぁぁっ…いっちゃぅっ////   (2018/10/18 23:12:16)

竹井 久> イッて良いのよ？何度もイかせてあげるわ…(芯芽を爪先で軽く掻いてあげてイかせようとするわ)   (2018/10/18 23:14:45)

竹井 久> 【私が寝るまで付き合ってくれるかしら？さとり】   (2018/10/18 23:15:24)

古明地さとり> ((えぇ、大丈夫よ   (2018/10/18 23:15:48)

古明地さとり> んっぁんっ……あっあっ!!////（イキ   (2018/10/18 23:16:06)

竹井 久> さとり…次はこっちでイくわよ？(絶頂を迎えたさとりの子宮を激しく突いて多イキさせようとするわ)   (2018/10/18 23:17:13)

竹井 久> 【非公開行けるならそっちがいいのだけど…さとりはいけれるかしら？】   (2018/10/18 23:17:56)

古明地さとり> ぁぁっ……あんっああっ……あぁっ////（直ぐにイキ   (2018/10/18 23:18:17)

古明地さとり> ((行けれるわ   (2018/10/18 23:18:22)

竹井 久> フフ…簡単にイける身体になっちゃったわね？(子宮奥をおちんちんの先っぽでグイグイ突いてから予告無しに射精始めて精液でさとりの子宮を満タンにさせるわ)   (2018/10/18 23:20:01)

竹井 久> 【なら続きはそっちにしましょう？】   (2018/10/18 23:20:25)

古明地さとり> んっぁ……ぁぁっ……ああっ！！////   (2018/10/18 23:20:33)

古明地さとり> ((えぇ、分かったわ、部屋作ってくれたら行くわ   (2018/10/18 23:20:51)

竹井 久> さとり…奥の部屋でもっと繋がるわよ？(さとりを抱え上げると繋がったまま奥の部屋に向かうわ)【部屋を作ったわよ】   (2018/10/18 23:23:25)

古明地さとり> ((分かったわ   (2018/10/18 23:24:49)

おしらせ> 古明地さとりさんが退室しました。  (2018/10/18 23:24:54)

おしらせ> 古明地さとりさんが入室しました♪  (2018/10/18 23:27:07)

古明地さとり> ((えっと部屋がわからないわ…   (2018/10/18 23:27:18)

竹井 久> 【待ち合わせで私の名前検索で出るわよ？】　   (2018/10/18 23:27:48)

古明地さとり> ((分かったわ、ありがとう   (2018/10/18 23:29:00)

おしらせ> 古明地さとりさんが退室しました。  (2018/10/18 23:29:03)

竹井 久> 【迷子かしら？】　   (2018/10/18 23:32:23)

おしらせ> 古明地さとりさんが入室しました♪  (2018/10/18 23:33:01)

古明地さとり> ((ごめんなさい、会員登録出来なくて……   (2018/10/18 23:33:13)

竹井 久> 【作り直したから入れるわよ？】   (2018/10/18 23:34:13)

古明地さとり> ((分かったわ…何度もごめんなさい   (2018/10/18 23:36:03)

おしらせ> 古明地さとりさんが退室しました。  (2018/10/18 23:36:06)

竹井 久> 【確認したわ…】   (2018/10/18 23:37:25)

おしらせ> 竹井 久さんが退室しました。  (2018/10/18 23:37:29)

おしらせ> 竹井 久さんが入室しました♪  (2018/10/19 12:25:17)

竹井 久> 【こんにちは…待機するわ】   (2018/10/19 12:27:16)

おしらせ> 竹井 久さんが退室しました。  (2018/10/19 13:49:01)

おしらせ> 竹井 久さんが入室しました♪  (2018/10/19 16:35:33)

竹井 久> 【こんにちは…待機するわね】   (2018/10/19 16:36:00)

おしらせ> 古明地さとりさんが入室しました♪  (2018/10/19 16:52:49)

古明地さとり> ((こんばんは   (2018/10/19 16:53:07)

竹井 久> 【あら、さとり。こんばんは。昨日は楽しかったわよ】　   (2018/10/19 16:53:48)

古明地さとり> ((はい、私もです   (2018/10/19 16:53:58)

竹井 久> (リビングのソファーに座りながらティーセットを用意して紅茶を注いで自分の分とさとりの分を隣に置いて)さとり、こちらにいらっしゃい？   (2018/10/19 16:57:15)

古明地さとり> えぇ…（隣に座って   (2018/10/19 16:57:57)

竹井 久> フフ…今日もいっぱい欲しくて来たのかしら？さとり…(腰に手を回して引き寄せて撫でながら問いかけるわ)   (2018/10/19 16:59:21)

古明地さとり> い、言わせないでよ…////（紅茶を飲みながら顔を逸らし   (2018/10/19 17:00:56)

竹井 久> あら、昨日は素直に欲しがってたじゃない？(服の中に手を入れて胸を掴むとゆっくり揉むわ)   (2018/10/19 17:02:35)

古明地さとり> んっ…ちょ…ぁ////（簡単に甘い声を漏らして   (2018/10/19 17:04:05)

竹井 久> フフ…昨日初めてしたのに身体は快楽を覚えてるわね？ほら…堅くなってるわよ？(胸を揉みながら指先で乳首を撫でて堅さを伝えてあげるわ)   (2018/10/19 17:05:25)

古明地さとり> ぁっ……ぁぁんっ…////（ビクビク反応して   (2018/10/19 17:09:31)

竹井 久> ほら、さとり。乳首が気持ち良いのでしょう？(乳首を摘まむと転がしてから撫でて爪先で先端を掻いてあげるわ)   (2018/10/19 17:11:13)

古明地さとり> ぁあっ…んっんぅ…きもちぃ…////（もう既に快楽に溺れて   (2018/10/19 17:11:50)

竹井 久> さとりが何処をどうして欲しいか今度は聞いてから弄ってあげるわ(乳首を堅くさせると手を退かしてさとりに言わせようとするわ)   (2018/10/19 17:14:02)

古明地さとり> んっ……私の乳首や…割れ目も…全部めちゃくちゃに弄って欲しい…////   (2018/10/19 17:14:52)

竹井 久> 昨日より激しくして欲しいかしら？(脚の間に手を入れて下着の上から割れ目をなぞり刺激を与えていくわ)   (2018/10/19 17:16:19)

古明地さとり> ぁっ…んっ…壊れちゃうくらい…激しくめちゃくちゃに…////（ビクビクしながら蕩けた目で   (2018/10/19 17:17:03)

2018年10月07日 10時11分 ～ 2018年10月19日 17時17分 の過去ログ
「版権百合部屋」
現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
