/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2021年07月17日 02時54分 ～ 2021年08月14日 07時42分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

おしらせ> マヤさんが入室しました♪  (2021/7/17 02:54:49)
巴マミ> そ、そんな、事、はっ…Σひっ!?ダメっ…こんなっ、見られ、たらっ………あ、あっ…(それが苦痛なのか地獄の始まりなのか或いは……桜さんの声はまともな判断をさせてくれなくなる…やがてスマホの前で前屈の要領で前屈みに…そうする事で膨らみは余計強調されるものの…その間にショーツも両足からそれぞれ抜き取って……から何を思ったのか、そのスマホに向けてわざわざ脱いだショーツの裏側、最早役に立たなくなった痴態を曝してしまい…
  (2021/8/14 04:29:33)

桜衣乃> わぁ……♡自分から下着の濡れ具合を晒すなんて……本当は見られたがり、なんですね…♡えらい、えらい…♡(いじらしくショーツの裏側を写すマミちゃんを優しく抱き、頭を撫でてあげて…)それじゃあ、今度は…カメラに向かって、自己紹介してみよっか♡自分のお名前と、学校と…趣味のみっつだけでいいよ…♡(だけ、とは言うものの、ひとつひとつが漏れればまずい情報で。当然趣味は、普段のことを聞いているのではないのが、その口ぶりから察せられて…)
  (2021/8/14 04:35:42)

巴マミ> っ、っーーーーーー…♪(誉められて、間違ってるはずなのに、ロール髪が尻尾の代わりに震えて喜んでしまいそうな…)な、名前は巴マミ…み、見滝原中学の3年、で…しゅ、趣味、は…お、女の子に食べられる事、と…は、恥ずかしいのを、見られる、事、で…あっ…(始めは視線を逸らしながら応じてたはずが、自ら危険過ぎる事を語る度に表情はまだ蕩けて…やがて両足も肩幅ぐらいまで広がったかと思えばﾂﾂ,と、精度が良いと新たな蜜が腿を伝う様まで録られてしまってるか、も…？
  (2021/8/14 04:41:37)

桜衣乃> いいよいいよー……♡マミちゃん、本当にいい……♡かわいい…♡(カメラ越しにマミちゃんを眺めて…)……それじゃあ、恥ずかしいのを見られるのが大好きなマミちゃんには〜……そのままオナニーしてもらいます♡どこをいじっても大丈夫ですよ…♡自分がいつもしてるオナニーでも……普段出来ないような変態オナニーでも…好きなオナニーでいいですからね…♡(なにかを命令する度に、マミちゃんの耳元まで行って、甘く蕩けるような声で囁きに来て…。耳元で恥ずかしげもなくオナニーオナニー連呼してあげれば、…お股、ちゃんと撮れてますよ…♡とアドバイス…♡)
  (2021/8/14 04:48:15)

おしらせ> 無言時間が20分を超えたため、巴マミさんが自動退室しました。  (2021/8/14 05:01:57)

おしらせ> 巴マミさんが入室しました♪  (2021/8/14 05:02:57)

巴マミ> Σや、やっ…あ、あっ…♪(やがて又新たに聞こえた命令一つ…もう一杯一杯な中…)っ、っーぁ、あっ…ああっ…と、録られ、てっ…あ、ああっ…(結局両方の手はまずその豊かな膨らみへと伸び…そのままスマホの画面に向けてぐにゅ、と、形が変わる程に強く揉み始めて…
  (2021/8/14 05:06:50)

おしらせ> 無言時間が20分を超えたため、桜衣乃さんが自動退室しました。  (2021/8/14 05:08:21)

巴マミ> 【ああぅ御免なさい御免なさいっっ…】   (2021/8/14 05:11:36)

巴マミ> あっあっあっひぃっ…♪(やがて両手の動きはその中心に…左右の尖りを強くつねったら情けない声を上げて…)あっあっあっや、やだっ、なんでっ、こん、なっ…ΣΣふぁぁぁぁあっ、あっ♥(やがて左手はそのまま乳首をコリコリと…右手はお腹から更に下…スマホの前で既に艶やかな割れ目のその膣内に中指を差し挿入れて……もう煽る声すら聴こえないのに、一人スマホの前で繰り返される自慰行為…やがて足元は酷い有り様に、何度も快感の波に溺れた後、ぷつりと意識を手放してしまい仮初の主に折り重なる様に……【…お、お休みなさい桜、さ……こ、此処までさせられる…なんて…っ…】
  (2021/8/14 05:21:32)

おしらせ> 巴マミさんが退室しました。  (2021/8/14 05:21:38)

おしらせ> 千代田桃さんが入室しました♪  (2021/8/14 05:21:43)

千代田桃> あふ……ん、変な時間に目が覚めた…（あくびしつつ部屋を訪れれば早々にすんすんと鼻を鳴らし）どうせ起きるならもう少し早くだったら良かったかな？（独特の残り香とその濃さから何があったかをある程度察し、窓を開けてからソファへと腰下ろして）  
(2021/8/14 05:25:55)

おしらせ> 巴マミさんが入室しました♪  (2021/8/14 05:38:28)

巴マミ> Σだ、誰っ…!?(それは本能なのか魔法少女としての業なのか…反射的に骸状態から上体だけ起こしてその手には愛用のマスケット銃が今にも着火手前で構えられて…尚姿は…)【み、見直そうとしたらニアミス…!?】   (2021/8/14 05:38:35)

千代田桃> 誰って……名前は千代田桃。同業者っぽいけど……とりあえず、初めまして？（緊張感に満ちた相手とは真逆に、銃を前にしても落ち着き払った様子で目をぱちくりと。小首かしげつつ変わらぬ口調で挨拶しつつ、目は相手を値踏みするように、蠱惑的な裸身へと這わせていき）
  (2021/8/14 05:43:50)

巴マミ> ……え…えっ…人…？…えっ…？………Σっーー!?(まさかまともな返答が来るとは思わず…先に思い出したのは自分の惨状…同業者、なんて単語すらスルーしてしまう程に…その妖しい？目付きから遮ろうとマスケット銃やら両手を使いそのらしからぬ膨らみや、下腹部を覆い隠そうと…
  (2021/8/14 05:48:23)

千代田桃> とりあえず……（その動揺で十分。鍛え上げた筋力に物を言わせ一瞬で間合い詰めると、銃掴んで天井へと向けさせて。勢い余って銃身握り潰してるかも）これで話しやすくなった。あなたは見せやすくなった…かもだけど（まだ尖る乳首、太腿濡らす液体、力尽きて横たわるもう1人の女性が持つ撮影中のスマホから、ある程度察した様子）
  (2021/8/14 05:54:30)

巴マミ> ΣΣきゃっ!?(短い悲鳴、の後、何が起きたのか理解した頃には物理的に潰されたであろう銃は霧散する様に消えてしまい…間近で突き刺さる眼差しは好奇なのか侮蔑なのか判断が付かず…)Σち、違……わない事もないけど違うのよこれ、はっ…お、お願いだからそれはダメっ…!?(ふる、ふる…力無く振られた首は最早言い逃れ出来る状態ではない事を理解させられて…それでもまだ不信感ばかりが募った、じとーっと眼差しが目の前の千代田さん？とやらに注がれて…
  (2021/8/14 06:00:31)

千代田桃> うわ、それだけでも揺れるんだ…（力なく首振っただけなのに追従してたぷんっと揺れる双丘に、驚きの響きが混じった声漏らし、揺れる様子をじっと見つめて）…じゃない、この銃もやっぱり魔力……あなた、魔法少女？（握ってた銃が消えた手の感触確かめるようにぐーぱーと動かすと、注がれる眼差しをじっと見返し）……それとも露出好きの人？（シャミ子並かそれ以上かな？と、裸身へと無遠慮に視線を落とし）
  (2021/8/14 06:07:30)

巴マミ> ΣΣっーーー…(又、セクハラ同然の   (2021/8/14 06:08:38)

巴マミ> Σっーーー…(又、セクハラ同然の言動…そもそも覆う物がない以上致し方無いとはいえ…煽られる度に取り戻したはずの理性がﾁｸﾁｸと…)だ、だったら…何だって…言うのかしらっ…貴女も…何かおかしな動き、してたけど…っ(そもそも魔力製とは言え普通はあんな風にはならない、追いきれない動きの謎も解らないまま一方的な不利が…)ΣΣだ、だから違うわよっ服、着させてっ;!(何時までも止まない射抜かれる様な眼差し…(又…アブナイ感情を必死に押し殺して、違うソファに置かれたままの自分の衣服を取りに戻りたいだけ、と…
  (2021/8/14 06:14:46)

千代田桃> そう……だったら服着る前にもう1つ。あなた……いいまぞくまで狩る魔法少女？共存できる魔法少女？（相手が認めた途端、幾ばくかの逡巡。そうしながらもソファへ近づかせない様にガードしつつ、顔を寄せて幾分高い身長差から見下ろす形で、瞳を覗き込む。寄せすぎて、剥き出しの大ぶりな乳房に体が当たり、むにっとひしゃげさせる程で）
  (2021/8/14 06:22:59)

巴マミ> …は、い？…何を言ってるの…魔族って……私はただ人に害を為すナイトメアを倒すだΣきゃっ;!?(普通に答えた、はずが千代田さんはやたら高圧的で…後退する間も無く剥き出しな身体が触れられたら一方的に押し付けられてしまう………慌てて左右にロールまで揺らしながら、さっきまでの記憶を振り払って、答えたんだからもう良いでしょ!?と、両腕でその膨らみをガードしながら
  (2021/8/14 06:29:22)

千代田桃> ナイトメア？うーん……私達と似てるけど違うシステムかな。魔力は魔力だけどちょっと違う感じはさっきからあったし……（間近で見据えたまま、返された言葉と感じていた違和感とを照らし合わせ、ぶつぶつと小声で呟いて）じゃ、改めて自己紹介。私は千代田桃。桜ヶ丘高等学校1年生。まぞくと共存する魔法少女。で………服着るのはいいんだけど、これは無理じゃない？（得心いった様子で改めて、危ない情報混じりの自己紹介しつつソファへと近付けば、落ちていた下着を手にとって。蜜でぐっしょり濡れまだほのかに温かいそれを、履いていたであろう当人へと見せつけて）
  (2021/8/14 06:36:40)

巴マミ> そ、そもそも貴女がどんな、魔法少女だか解らない、けどっ…み、見ず知らずだからって手を出す粗暴な人ばっかりなのかしらっ!?(尚此方の世界でも少女同士が戦う事はチラホラ、なので人の事は…)っ…っーーーー……見滝原中学3年、巴マミ…(又上級生…だけど今回は特に敬意を払うでもなく)ΣΣきゃっ、きゃぁぁぁっ!?(それは先程自身が…に向けた行為とほぼ同じ…人にされたらただただ羞恥心と屈辱とか込み上げて…と、とにかく、返しなさい、と……内腿同士を擦り合わせながら右手だけその役に立つか解らないショーツへと伸ばして…
  (2021/8/14 06:43:14)

千代田桃> 銃向けられた側としては、大人しく返したつもりだけれどね（コアにならない程度にボコって簀巻きにする程度はプランに上がっていたなんて微塵も感じさせないクールフェイス）中学3年。（年下！？とまでは言わないものの、露骨に驚きの表情浮かべ、むっちり発育した蠱惑的な肢体へと幾度目かの視線を投げかけ、首かしげてみせ）その反応じゃマミのか……履くの？（足通す部分を広げた指で支え、くぱっと広げクロッチ部分をマミへと向けたちっちゃな布切れ。触れただけで指に絡みつく程たっぷりと蜜吸った小さな布切れを、ソックス以外何も纏ってない少女へ返そうと、伸ばされた手へと差し出して）
  (2021/8/14 06:52:32)

おしらせ> 無言時間が20分を超えたため、巴マミさんが自動退室しました。  (2021/8/14 07:03:24)

おしらせ> 巴マミさんが入室しました♪  (2021/8/14 07:10:09)

巴マミ> ΣΣな、なっ、あ、あれは不可抗力でしょっ…!?(そもそもそんなな所で服も着ないまま居る方がおかしいのは誤魔化すように脇に…)な、何よ悪いっ!?(先程の彼女同様、又も驚かれてしまう…確かに今も剥き出しなそのボディは早熟、と言うには不釣り合いな程ではあるけれど…)ΣΣあ、当たり前、で、しょっ…や、やめっ…なさっ…(恥ずかしい数々の証…どう見ても当初のレモン色は保ててないものの…差し出されたそれを受け取れば、一旦千代田さんの視線から逃れる様に背中を向けて、足を伸ばして座ったまま履こうと
  (2021/8/14 07:16:45)

千代田桃> あれが不可抗力なら私が驚いたのも不可抗力だよ。ちょっとこう、女として切なくなって（無い訳ではないがマミと比較すれば平坦と言っていい胸をそっと見下ろし）うわ……本当に履くんだ、それ（向けられた背中側からでも存在主張する胸が一挙動毎に弾み、それへ伴奏する様に粘ついた水音が響く。少しずつずり上げられていく下着が、ナメクジが這ったような跡を太腿へと残していくのが、音だけでも容易に想像できて）……ねえ、スカートだけ履いた方がマシじゃない？（向けられた背にくっつき、耳元で吐息吹きかけつつ囁いて）
  (2021/8/14 07:26:41)

巴マミ> そ、それ、はっ、その…そう、だけ、ど…ぅぅ…(こう言う時に下手な言葉は余計に相手の傷を抉るだけ…ならば多少自分が責を負ってでも黙ろう、と、最早何度となく言われただろう事は…)Σな、何よっ…さ、流石にこのままじゃ…(やがてそのショーツだったモノが膝ぐらいまで来たかと思えば背後に迫られて…)Σや、やっ!?何、何なのよもうっ!?(当然反抗する様に、慌てて振り返ってしまえば卑しく揺れる様も…本人は自覚が無い分…
  (2021/8/14 07:34:06)

千代田桃> はいはい、不可抗力同士でそこは一旦置いといて……（単に大きなだと友達で見慣れてはいるが、年下に完敗となると流石にモヤァ…っとする。流石に闇堕ちするには至らないが、ちょっと意地悪な気分に）だってさ、これじゃ濡れタオルみたいなものだよ。さっきからぐちゅぐちゅ……ってあれ、まだ膝だったんだ？（ぐっしょり濡れた生地がへばりつくせいか思ったより低い位置にあるショーツを、肩越しに乳房越しに捉え、思わずまじまじと。ショーツではなくマミ自身が濡らした太腿もしっかりと）ほらほら、そんなかっこで暴れたら転けちゃうよ？（膝がショーツで動かせなってるところで振り返って暴れ、バランス崩しそうになるのを支えようと手を伸ばして。その手が揺れる乳房を下から掴み、よく鍛えられた指が柔肉へめり込むほどにぎゅっとホールドしたのは偶然で）
  (2021/8/14 07:42:27)

2021年07月17日 02時54分 ～ 2021年08月14日 07時42分 の過去ログ
「版権百合部屋」
現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
