/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年01月03日 20時29分 ～ 2023年01月04日 21時42分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

クレー> ふにゃあ………流石衣乃お姉ちゃんにライネスお姉ちゃんだ…♡   (2023/1/3 20:29:03)
小春六花> 私だって面向かってガチな事言われると照れるのよ！（んもー！んもー！でもむぎゅー！）んー…仕方ないなぁー……ちゃんと、次楽しみにしてるからねー？（なんて、最後に一触れ、って太ももに軽く指を這わしてからこちらもこんどこそ、体を離して見せて）  
(2023/1/4 19:45:25)

十六夜ノノミ> えへへへ～。じゃあこれからもっと照れさせちゃうかもしれませんね♡はーい、またの機会に♪それじゃあ、ありがとうございました～（にこーっと笑うとこっちも最後に。もういっかいほっぺにちゅって口づけをして、いってきま～す♪）   (2023/1/4
19:48:33)

おしらせ> 十六夜ノノミさんが退室しました。  (2023/1/4 19:48:41)

小春六花> いってらー！……このログの中私一人でいるのなんか恥ずかしくなーい？   (2023/1/4 19:54:18)

おしらせ> ヤクさんが入室しました♪  (2023/1/4 20:02:41)

ヤク> そんな六花の心強いフレンズ、ヤクお姉さんが登場よ。こんばんは、あけましておめでとう♪   (2023/1/4 20:03:32)

小春六花> わぁい、心強ぉい。いぇーい、謹賀新年ー！！   (2023/1/4 20:04:32)

ヤク> 年末年始は散々だったみたいね。今年はもううさぎ年だし、うさぎの子が来るといいのでしょうけど……六花とは約束もあるしね？（片メカクレウインク♡）   (2023/1/4 20:06:32)

小春六花> まぁでもヤクちゃんきたのも寅年なわけだし、あんまりそのあたりは考えなくてもへーきへーき。私もエカテリーナ連れてこないといけなくなっちゃうし？（そんなことしたら花梨先輩にぶち殺されるし？）…本版、まだしてなかったねぇ？（にままん）  
(2023/1/4 20:11:21)

ヤク> 寅年……というか、本当は丑年には来ていたのだけど、その頃は誰にも逢えなかったから……ごめんなさいね？トラの子に衣替えしてもよかったんだけど、ほら、何かと牛娘のほうが色々できて便利じゃない？それに私は私が好きだし。（えかてりーな？）…で、結構待たせちゃったし、するでしょ？（となりにずい、と座って…すぐでも、お話してからでも、と六花を撫でり）
  (2023/1/4 20:16:27)

小春六花> あら……そうだったのねぇ……。じゃあ私よりも実はすっごいヒストリーのあるヤクちゃんなんだねぇ……。まぁ、確かに牛のほうが美味しいよね、ここ。（お胸のタンクをぢぃ…）。（エカテリーナは先輩のラキストン枠？）……いろんな遊びたい相手がいただろうし仕方ないと思ってるけど……姫はじめがヤクちゃんなのはとても魅力的。（もちろん、と。お胸に手を這わせて、身体を寄せて、断る理由は一つもないね、ってにんまり）
  (2023/1/4 20:23:07)

ヤク> 部屋の利用時間でいえば、年末年始にお顔を出してる子達には到底敵わないわ。先輩面をするつもりもないし、ただの一般通過牛さんだと思って接してよ。（あー、だいたいわかったわ♪）…で、年末年始まるまるおあずけを食らった六花としては、もう我慢できない…って感じかしら？ここでもう始めちゃう？（するり…と、胸の下の帯を解いたら、たぷん…と服の中で弾ける音がして）
  (2023/1/4 20:27:18)

小春六花> 一般通過牛さんが、こんなにいいものぶらさげてるわけないのよねー……（なんて、こんなねぇ？最高のお胸ぶら下げてる牛が一般な訳って、てしてし、ふにふにって）……んー…我慢は割とできるけれど、好きな人は…お部屋に連れ込みたいかなぁ？甘えたいし……ね？（なんて、それはそれとして、手先は既に相手の身体を求めるように指を布越しの乳房に這わせては……飼いたくなるなぁ……ってさすりさすりと）
  (2023/1/4 20:32:41)

ヤク> はいはい…そんな乱暴にしちゃだーめ。これから六花が使うものなんだから、もっと大切にして？ね♡（まぁ止めるつもりはないけれど…）　うん、六花ならそういうと思った。鍵は平気だし、いつでも連れ込んでもらっていいわよ。おあずけしてた分と、お熱でできなかったぶん…私が全部してあげる♪（飼ってもいいけど、高く付くわよ？と冗談気味に…）
  (2023/1/4 20:37:32)

小春六花> えー……大切にしてるつもりなんだけどなぁ……？(パッケージも破ってないし……とっても大切にしてるよー？ヤクさん含めてってくびきょとーん）んふー……そう言われるとドキドキしちゃうねー…♡じゃあ、今日のお部屋借りられたから、いこいこ♡（なにが高くつくか次第かなぁ？なんて、冗談に軽口を返しては）
  (2023/1/4 20:40:57)

ヤク> 【もう入ってるから、落ちちゃうわね。お部屋ありがと。】   (2023/1/4 20:41:36)

おしらせ> ヤクさんが退室しました。  (2023/1/4 20:41:45)

おしらせ> 小春六花さんが退室しました。  (2023/1/4 20:42:52)

おしらせ> 喜多 郁代さんが入室しました♪  (2023/1/4 20:59:37)

喜多 郁代> こんばんは…♪お邪魔するわね…♪   (2023/1/4 20:59:54)

おしらせ> 後藤ひとりさんが入室しました♪  (2023/1/4 21:06:39)

後藤ひとり> こんばんは………(うとうと)   (2023/1/4 21:06:47)

喜多 郁代> あら、こんばんは…♪…ってなんだか眠たそう？（ひとりちゃんのほっぺつんつん）   (2023/1/4 21:07:47)

後藤ひとり> 実はさっきまでお出かけてしてて……(うつらうつら……)   (2023/1/4 21:09:54)

喜多 郁代> そうだったのね…？それじゃあゆっくり寝た方がいいんじゃ…？（きょと）   (2023/1/4 21:11:48)

後藤ひとり> だ、大丈夫です………(なんとか目を擦り)   (2023/1/4 21:16:29)

喜多 郁代> あんまり大丈夫そうには見えないけど、ひとりちゃんが大丈夫っていうなら、私はそれでもいいけどね？（くす）   (2023/1/4 21:17:35)

後藤ひとり> こんな時間に寝たら中途半端な時間に起きちゃうので…………(冷たい水を顔にかけて)   (2023/1/4 21:18:07)

喜多 郁代> でも、ひとりちゃんっていっつも真夜中におきてるからあんまりかわらな…ｺﾎﾝ。   (2023/1/4 21:20:45)

後藤ひとり> 確かに………むしろ今寝れば深夜まで安心して話せる！？   (2023/1/4 21:23:38)

喜多 郁代> 深夜に話すのは確定してるのね！？   (2023/1/4 21:24:19)

後藤ひとり> 深夜の方が人は来るので…………   (2023/1/4 21:26:18)

喜多 郁代> まぁ、それは確かに…？皆さん深夜に盛り上がること多いものね♪   (2023/1/4 21:27:29)

おしらせ> 伊地知虹夏さんが入室しました♪  (2023/1/4 21:27:35)

伊地知虹夏> やっほぉー(とりゃー)   (2023/1/4 21:27:55)

喜多 郁代> こんばんは、伊地知先輩…♪   (2023/1/4 21:28:46)

伊地知虹夏> でも、若干眠い私ではある(ふわぁ）   (2023/1/4 21:30:05)

後藤ひとり> あら虹夏ちゃんもこんばんは……なので今は寝て……深夜に沢山話すのもありかと！   (2023/1/4 21:30:46)

喜多 郁代> 眠たそうな人が増えた！？   (2023/1/4 21:30:57)

伊地知虹夏> 寝たらね多分爆睡する未来しか見えないんだよねぇ...(めそらし)   (2023/1/4 21:31:53)

喜多 郁代> あはは…たまにはそういう日があってもいいと思いますよ？（くす）   (2023/1/4 21:32:30)

伊地知虹夏> いやだぁ、今日でお休み最後だからもっと起きてたい(むぅー)   (2023/1/4 21:33:26)

後藤ひとり> 私は明日で最後ですね   (2023/1/4 21:33:45)

喜多 郁代> 明日から大変になるやつ！？   (2023/1/4 21:33:52)

伊地知虹夏> ぼっちちゃん変わりに仕事行ってきて(無茶ぶり)   (2023/1/4 21:35:51)

喜多 郁代> ひとりちゃんに押し付けないでください…！？   (2023/1/4 21:36:18)

後藤ひとり> むむむむむりです！   (2023/1/4 21:36:19)

伊地知虹夏> まー冗談だよさすがにねうんぼっちちゃんはお休み堪能して(どこか空の奥を見るように)   (2023/1/4 21:37:51)

後藤ひとり> 良かった……   (2023/1/4 21:42:10)

2023年01月03日 20時29分 ～ 2023年01月04日 21時42分 の過去ログ
「版権百合部屋」
現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
