/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]
https://pcmax.jp/?ad_id=rm176481
2019年02月14日 16時37分 ～ 2019年03月08日 00時42分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

竹井 久> 誰か居るかしら？   (2019/2/14 16:37:34)
博麗霊夢> なんだかどんどんシュールな漫画の世界に…って元々二次元だった…(二人同時に地面に接吻を交わすところを見届けて、なんだか情報過多で頭が追い付かなくて頭から煙が…ぷしゅぅぅ…定期的にゆかりご飯のゲシュタルト崩壊で今の状況があんまり整理できてない…orz)
  (2019/3/8 00:16:59)

結月ゆかり
◆> (なんでしょう、ゆかりさんがゆかりふりかけでアティ先生にゆかり責めを敢行したら、アティ先生の影からシャルさんと源内さんが飛び出してきました。そして見事、二人そろってドミノ倒し状態になっているではありませんか)ええっと、これは……どうすればいいんでしょうかね。とりあえず、お二人ともおきられますでしょうか？(ゆかりふりかけが手から離れたことで自由になった手をお二人へと差し伸べましょう。流石にこのまま目の前で繰り広げられる痴態を見ているのは忍びありませんからね)
  (2019/3/8 00:17:20)

東北ずん子> (こういうカオスな流れは全部追わないのが一番です、ずんだ餅いります？霊夢さんお茶と一緒に一度ゆっくりしましょうか？とか他人事のように遠くから見守りいいとこ取りする、フェリエちゃんのショーツしれっと確認してますし)   (2019/3/8
00:19:03)

結月ゆかり
◆> アティ先生……まあ、このくらいにしておきましょう。ちょっとした意趣返しのつもりでした。ごめんなさい(本当ならゆかりをふりかけるゆかりご飯と混ぜ込むゆかり混ぜ込みご飯の話題につなげてさらなるゆかり責めを、なんて思っていましたがぐっと堪えてお話を切り上げて謝罪を一つして手打ちにしておきました。これ以上は本当にゆかりさんでもゆかりの力を制御できなくなりますからね)
  (2019/3/8 00:19:18)

アティ> あおさんのお手てがなにやら高速で空をきってるとおもいきや倒れていました。（…こう両手拡げてささえてあげようと思ったら…遅かったです。　展開が早い的意味で。）   (2019/3/8 00:19:51)

源内あお> …うぅ。なんかすっごいカオスぅ（言うなればいつものノリだとも言えるけれど…何だか自宅に居る時と同じ混沌さを感じる。）ごめんねシャルロット…追い打ちになった（とりあえず共に倒れた相手には謝罪を…）えっと、アティ…ほ、ほら勉強は学校で…やるのが学生らしいじゃん？だから、ほら今のうちだからこそできる色々が（と言い訳がましくなるのは後ろめたい事情があるからで…）アティの個別指導…（けど、頑張ったらご褒美あげるからって絶対言ってきそうだという確信があるのはなんでだろ）
  (2019/3/8 00:19:56)

アティ> こほん。　そうですね、これ以上は先生のうが「ゆかり」に浸食されてしまいそうですし。（せんせいはしょうきにもどった。（たぶん）　きっとこのゆかりさんはゆかり召喚術ランクSですね、間違いないです。）   (2019/3/8 00:21:04)

東北ずん子> 食べ物押し、というか、そういうのは私のやくめじゃないですか、ゆかりさん(そして今更ながらに改めて突っ込む私です)この人数でくんずほずれつになろうとすると実際実行されなくなります……は、だめですよアティさん、私がず……く、そしたら二番煎じになってしまって無意味になってしまう。私のボケが機能しないじゃないですか、どうしてくれるんですかゆかりさん！
  (2019/3/8 00:22:09)

アティ> ご褒美ほしいんですか？（って倒れてるあおさんの近くでしゃがみ込みながら首をこてんっと傾げてみます。　なぜか心を読み取った。）…どんなご褒美ほしいんです？（ぢーぢーー。）   (2019/3/8 00:22:18)

ｼｬﾙﾛｯﾄ･ﾌｪﾘｴ
◆> ───お、大声で言うなァっ！(書いていた背後が悪いのだけど！寧ろイメージカラーは金色なんですけどー！？なんて言うどうでもいい所に怒る倒れ御子。───そうだね、六人もいるとわちゃわちゃしちゃうよね、無理して返さなくても良いんだよ＼ｸﾞﾘｰﾝﾀﾞﾖｰ！／)うぎぎ…まぁ、たまにはこーゆーカオスなのがあってもいいと思うんよ、アタシ…ってうぁぁっ！(差し伸べられたゆかりの手を取ってあんがとー、という前に…時間を見てびっくりKONAMI。楽しい時ほどあっという間に過ぎちゃうね！)…あふ、そろそろ寝なくちゃ。とゆーわけで、このままおやすみしまーす。(…の前に、先ずは起こしてくれたお礼にゆかりをぎゅむーっ。…まだ1時間までは粘るから、ハグ＆キスを求めている方は挙手っ)
  (2019/3/8 00:23:37)

東北ずん子> はい、アティさんのおおきいおっぱいをいっぱいたんのうして、ついでに恥ずかしそうにキスとかしてくれると最高だと思います！先生と生徒の二人のひみつなんていわれたら倍率ドン……あ、フェリエさん、おつかれさまですー。またあそびましょうねぇ(ぶんぶん  
(2019/3/8 00:24:24)

源内あお> ご褒美……褒賞…謝礼…お金？（ダメな子だった。むくりと顔だけ起こせば…目の前にしゃがんでる先生。あれ？アティの格好でしゃがむとこの角度から…とかいう邪な思考が走った。そして邪な欲望は口に出ていた）   (2019/3/8 00:25:15)

結月ゆかり
◆> えっ？そこゆかりさんが悪いんですか！？いや、ずん子さんはずん子さんでずんだ餅をですね……(まさか後ろから味方(だと思っていた)のずん子さんに刺されるとは思っていませんでした。まあ、ゆかりさんの猛プッシュはずん子さんの暴走を参考にしているのは大いにありますけれども。ほら、別所ではゆかりさんもずんだ適合者だったこともありますし……)
  (2019/3/8 00:25:37)

博麗霊夢> うん、ありがとう…頂くわ…(頭から登った湯気が徐々に落ち着いてきて、ずんだ餅餅をずん子から受け取って…ずん子から貰ったずんだ餅…お餅に鮮やかな緑の粉がかかっていて見るからに美味しそう…普通に中にあんことか入ってそう…絶対甘そう…ううん、甘くないはずないっ！)カオスなの無理に返そうとはしてないのだけれど、読むのに必死に追い付かなかったり…返しも考えてたら流れちゃったり、やっぱり難しいわよね～。シャルロットちゃん、おやすみなさいー(誰か挙手ないかしらってワクワクしたり)
  (2019/3/8 00:25:42)

アティ> ずん子さんがあおさんの心の中をいったとおもったら、当の本人のあおさんの欲がとてつもなく俗っぽい考えでしたっ。……？（なぜか顔を起こしたままフリーズしてるあおさんに首をこてんっと傾げます…多分ニットワンピの太腿の合間からみえるのは黒のレースのショーツでしょうか、ええ。　でも先生は見えてるとかきづいてませんけど。　大丈夫ですか？って手をあおさんに挿し伸ばしつつ。）
  (2019/3/8 00:27:39)

結月ゆかり
◆> ああ、もう日付も変わってしまいましたね。ゆかりさんも明日ありますしあんまり長居は出来そうにないかもしれません(シャルさんを助け起こすとともにハグされれば、それを受け入れて背中に手を回しましょう。でも他の方への配慮もありますし、ぎゅっと一度抱きしめてはそのままさらりと開放して小さく欠伸を一つ)　先生のご褒美展開って、女の人が先生役ならご褒美って感じがしますけど、男の人が先生役ですと途端に危ない匂いが立ち込めるように感じるのはゆかりさんだけなのでしょうか……(実際はもっと俗っぽかったですけどね。寧ろ教えてもらう側がお金を支払うのが道理なんじゃないかとゆかりさんはおもうわけです)
  (2019/3/8 00:29:29)

東北ずん子> ふ、敵の敵は味方で、味方の味方は敵なんですよ。面白そうで楽しい所だけをよこどりするのがずんだりゅうです(めっちゃいい顔しながらいいたいことだけいってる、実際ほとんどなにもしてないけど気にしません)　まぁ、ほら、私がどういう人か改めてゆかりさんも思い出してくれた、という事で？霊夢さんにも多少なりとも雰囲気はつたわったでしょうし(といってもめっちゃおとなしいんですけど、というのをしってるのは二人だけだと思いたいです)
  (2019/3/8 00:30:01)

アティ> あー。わかります男の先生の場合はご褒美というより、罰みたいな展開でもっと危険な雰囲気ですよね。教育的指導（性的）みたいな、そーいう。（こくん。　ある意味エッチな話題より、相当俗っぽいとおもいます。　お金を所望するなんて…。　あおさんの未来がちょっと心配な先生です。）
  (2019/3/8 00:31:13)

源内あお> あれは私の心の中じゃなくてずん子の欲望だと思うなぁ…あっ、いや…それは、そうだよね。ゆかりの思う通り、教えてもらったのなら…お金払うのこっちだったよね（慌てて取り繕いつつゆかりの思考を読んでいた。）…と、ありがとうございます。（見えてしまったアティの大人な下着事情…人によっては十分な褒美が手に入ったかもしれないと思いつつ、差し伸ばされた手を取って）
  (2019/3/8 00:32:26)

ｼｬﾙﾛｯﾄ･ﾌｪﾘｴ
◆> (ほくほく。ドンガラガッシャーンしたけれどもアフターケアにリザレクションできた気がする。ゆかりさんは本能的に魔道士タイプ。)…さてと、挨拶もできたし、久々に楽しめれたしっ…このままお休みしマースっ…んじゃ、おやすみぃ…♪︎(のそのそ、この部屋の仮眠室にてそのままお休みするのでした。…寝相はあまりよろしくないので所々はだけているかも？)
  (2019/3/8 00:33:24)

結月ゆかり
◆> まあ、でもずん子さんはゆかりさんのリミットに気を遣ってくれたり、そこに収まる様にうまく調整してくれたり、本当は優しい人だってゆかりさんは知っていますよ(悪戯好きなのも知ってますけど、それだけだとはおもっていないゆかりさんです。流石にそのいい笑顔をしたいままさせておくのは癪ですから、シャルさんからも解放されたらずん子さんのもちもちほっぺを両手でむにむに揉みに行くとしましょう。憮然とした顔したゆかりさんも、ずんこさんのもちもちを揉めばそれに比例していいお顔になることでしょう)
  (2019/3/8 00:34:03)

ｼｬﾙﾛｯﾄ･ﾌｪﾘｴ ◆> 【っと、やっぱ大人数は文量が安定しないなぁ…。ん、反応できなかったり短かったりでごめんよぉ。また一人一人、仲良く出来たらいいな、なんて思いつつ…おやすみーっ！】   (2019/3/8 00:34:26)

おしらせ> ｼｬﾙﾛｯﾄ･ﾌｪﾘｴ ◆KLZ6n2PkL6さんが退室しました。  (2019/3/8 00:34:28)

アティ> いえ、まぁ私はそんなにお金に執着ないので別に真面目に勉強していただけるなら無償でもかまいませんけどね。（…お金貰って人に教えたことってわたしないような気がします。ほとんど遭難した場所で先生してるようなものでしたし。）よいしょっ。（くんっ。っと腕をひっぱって起こしてあげればそのまま背後のソファにあおさんの腕を引きながらぽすんっと座りましょう、ついでにむぎゅ♥っとあおさんを抱きしめて、背中ぽすぽす。　さっき手持無沙汰になった手の行動を慰める様にです。）
  (2019/3/8 00:34:55)

源内あお> っとと、シャルロットはおやすみなさい！…また会えたらその時はよろしくねー！（眠りに行くシャルロットへ挨拶はしなければ。次の機会も楽しみに待ってるからと念を飛ばす）   (2019/3/8 00:35:18)

アティ> 【全部にかえそうとすると大変ですよね、わかります。　先生も四方八方にネタふりしすぎて自爆しそうでした。（いえ、自爆してました。）おやすみなさいませっ】   (2019/3/8 00:37:18)

東北ずん子> ……ふぇ！？ゆゆゆ、ゆかりさん。え、えっと。私は無意識に大人数の時は控えに回るだけで深い意味は。わ、わたしゆかりさんに対しては何かしたか覚えてませんし。あ、うー、もー、と、とつぜんなにいうんですかぁ(ほっぺもやわらかくてむにっと伸びる頬を膨らませながら。顔を真っ赤に見上げて、ゆかりさんの腰にてをまわして、むにゅっとお返しにちょっとつまんじゃいます。ぷにぷに堪能返しです)
  (2019/3/8 00:37:56)

博麗霊夢> 【シャルロットちゃん、おやすみなさいー。また遊べる機会があれば遊んでねっ(お手々ふりふりで見送って)】   (2019/3/8 00:38:32)

源内あお> （ずん子は凄く気遣いしてくれる優しい子だよね。大胆でエッチな所もあるけれど…それでいて、ここまでなら大丈夫かな？って気にしてたり、多分困ったらすぐやめてくれる信頼を抱けると思うし。ずん子と居て困った事がないから…その信頼を使った事はないけれど。って急に思考だけで真面目な個人的思いをぶちまけるあおちゃん。高校一年生）わぷ…真面目に、勉強…（誘われるがままにアティの身体に包まれて、なんだか今日は忙しい。けれど…この抗いがたい温もりに落ち着いたように埋まってしまい）
  (2019/3/8 00:40:53)

結月ゆかり
◆> はい、シャルさんはおやすみなさいです。ゆかりさんもそろそろ……お暇するとしましょうか。あんまり遅くまで起きていると明日が辛くなってしまいますし……(まだ起きてはいられますが、眠たいのとは別です。なにより、殆ど一発芸的な落下でしたからね)　たしかにずん子さんに何かされたわけでは無いですけど、ゆかりさんの推測が間違っていなければ、ゆかりさんの言っていることもまた間違っていないという事になるはずです(こくこく、と神妙に頷いて膨らむほっぺたを受けて指を離しましょうか。もちもちほっぺをこね回すのは楽しいですけれども、いつまでもやるのは失礼ですもんね)って、ちょ…んっ！？くすぐったいですから……やめっ(まさか摘ままれるとは思っていなくて無警戒だったゆかりさんは、普通につままれてしまって思わずくすぐったさに身を捩ってしまいます。余計なお肉がいっぱいついているわけでは無いですけど、マッスルサイドに落ちたわけではないので少しは摘まめてしまいます)
  (2019/3/8 00:42:55)

2019年02月14日 16時37分 ～ 2019年03月08日 00時42分 の過去ログ
「版権百合部屋」
現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
