チャット ルブル [/image/luvul/images_title.gif]/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年04月14日 19時39分 ～ 2023年04月15日 21時58分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

羽鳥智世 ◆> ……この、言葉にできない激情みたいなOP好きだなぁ……   (2023/4/14 19:39:04)
クエット> はじめましてなのです…クエットなのです…！よろしくなのです、クレーさん（ぱああと輝くような元気さにどきどきしつつもちゃんと挨拶を返して）   (2023/4/15 21:00:58)

クレー> ひとりお姉ちゃんこんばんは♪   (2023/4/15 21:02:03)

クエット> ひとりお姉さんもこんばんはなのですっ（にこ）賑やかになってきたのです…！   (2023/4/15 21:02:17)

後藤ひとり> 夜ですからね……(こくん)   (2023/4/15 21:02:41)

クエット> そもそもの時間がなかったりタイミングが合わないと遊べないのです…（大きく包み込まれつつその暖かさに癒されるみたいに……とはいえこれ逃げようとしても逃げられないやつなのでは…？）   (2023/4/15 21:05:15)

東北ずん子> うへへー、クエットさんを渡し気つかまえちゃいますよー(わきわき)ま、でも私無理やりにはしませんのでだめだったらダメっていってくれればそれで。悪戯は好きですが好き勝手にはしないので！(クエットさんの頬を丁寧に撫でて、柔らかさを堪能し)  
(2023/4/15 21:07:08)

クレー> 【背後でアクシデントが…！でももう大丈夫かなっ、多分】   (2023/4/15 21:09:20)

クレー> ただいまっ、クレー帰還♪   (2023/4/15 21:09:41)

クエット> あわわ……捕まってしまってるのです…！んー…クエットはそれとなーく誘いをかける感じで…ってなんでこんなことを言わなきゃならないのです…！（えへへ、クエットのほっぺはもちもちなのですよーと少し嬉し気に）   (2023/4/15 21:11:48)

クエット> やや、お帰りなさいなのです   (2023/4/15 21:12:18)

東北ずん子> クレーはおかえりなさーい、クエットさんは柔らかくていいですねー……ん－♥とってもいい感じで、うへへー(ぎゅーっとしっかり抱え込んでクエットさんを撫でながら、くっついちゃいます)   (2023/4/15 21:14:25)

クレー> クレーもそっちいってもいい…？(ずん子お姉ちゃんとクエットちゃんの2人が仲良くしてるのをみてクレーもじぃーと視線をおくって。どっちのとなりに行ったらいいかな？)   (2023/4/15 21:14:42)

クエット> なんというか、クエットが甘えてるというよりはずん子お姉さんが甘えてるような…？まあなんでもいいのです、ぎゅーってされるのは嬉しいのです…！（嬉しさを表すように抱きしめられながら体揺すってすりすり…）ん、クレーさんもこっちに来るのです？もちろんいいのですっ（どっちにするかは…お好みでなのです）
  (2023/4/15 21:18:38)

東北ずん子> そこに気づくとは……！？ん－、クエットさんに甘やかす場合どうしましょう……いやまぁ、でも私が甘えれば、クエットさんが甘えやすくなるっていう事に、な、なりません？(じーっとクエットさんを見つめながら、小さな体を楽しみ。耳を優しくなでながら頭をぽんっと優しくふれて)
  (2023/4/15 21:22:56)

クレー> じゃあ、クレーもずん子お姉ちゃんの隣いってクエットちゃんとはさんじゃお…♪(たったったーと駆け寄ってずんこお姉ちゃんのとなりにぱふー)   (2023/4/15 21:23:47)

東北ずん子> おっと、いらっしゃいませー。クレーにも甘えさせてあげましょう(クレーも横から軽く片手でなでて、ぷにぷに、お腹つついちゃいましょう)   (2023/4/15 21:26:14)

クエット> クエットはひたすら撫でてもらえれば…？ふむ、たしかにこうして甘えられてると距離も近いですし甘えられるとは思うのです（少し照れるけどじっと見つめ返してみて。耳に手が触れるたびに言葉よりもわかりやすく嬉しそうに耳をぴこぴこと動かし）  
(2023/4/15 21:27:04)

クレー> わっ♡よくみたらクエットちゃん猫耳なんだ〜かわいい♡(ずん子お姉ちゃんの横からぐいっとのぞいてみて。ずん子お姉ちゃんにクレーもよしよしされながら…♪)   (2023/4/15 21:28:39)

クエット> おー…サンドイッチなのです。具材はずんだ…？ずん子お姉さんは小さい子が好きそうなのです…両手に女の子抱えてハーレムなのです（偏見…でも実際喜んでるので間違ってはなさそうなのです）   (2023/4/15 21:29:27)

東北ずん子> 私は無理に距離感いっぱい詰める人ですが。それはそれでいいこと…になるときもあります。クエットさんも遠慮なく私に何してもいいですってサインって事になれば、いい、かなぁ？(ずんだのサンドイッチ、うーん、パンにあうのかな。ずんだってちょっとだけ考え込んで)小さな女の子は大好きですよ、それはもい。とてつもなく、凄く！(クエットさんを抱えながら、クエットさんも撫でて。えへへって顔を蕩けさせる。クエットさんの首筋とか。ちょっと身体をつーっと指で触れて悪戯もしちゃいますが)
  (2023/4/15 21:32:13)

クエット> ふふん、こういったお耳はこのお部屋にはあまりいなかったりするのです？普通だと思ってたのですけど、みんなに褒められるとちょっと自慢できるのです（クレーさんもお耳尖ってて…エルフなのです？と興味ありげに視線を送って）   (2023/4/15
21:33:13)

クレー> クエットちゃんかわいいもんね♪(クレーもずん子お姉ちゃんにすりすりしながら、クエットちゃんにうん♪と頷いて)…ピーナッツバターっていうのがあるくらいだからパンにも合うと思うよ♪(わからないけどっ)   (2023/4/15 21:37:49)

クエット> 勢いに流されて…というのはクエットもありそうなのです……でも何してもいいと言われても…ボディタッチならクエットはするよりされるほうが…？お耳でこしょこしょっとするのは好きなのですけど（こういうの言うのちょっと恥ずかしいのです…とてれてれ）思った以上の反応が返ってきたのです。小さい子が癒しになってそうなのです……ひゃぁっ！？（指でなぞられ新しい刺激に体を少し跳ねさせて）
  (2023/4/15 21:38:24)

クエット> お姉さんたちにかわいいと言われるのは慣れてるのです…けど同じくらいの子に言われるのはそれはそれで…照れる、のです（でもクレーさんもかわいいのです…とぼそり）   (2023/4/15 21:41:02)

東北ずん子> おー、クエットさんがそれはもう……いい声を♥(ちょっとだけクエットさんの首から腕を優しく手で撫でて。ふにふにっと小さく触れて。胸元付近を避けながらクエットさんの身体を手で触れて)なるほど……確かに？意外とないですからね、ずんだぱん…あ、でもずんだパンっていう響きならあり、そう？(ぼんやり、クレーの足をしれっとつんつんふれつつ
  (2023/4/15 21:42:26)

東北ずん子> あ、しっかずんだパンありました(ならサンドイッチもありなのかなぁ   (2023/4/15 21:43:00)

クレー> ひとりお姉ちゃん今何かしてる…？(静かにしてるひとりお姉ちゃんに目線を送って)   (2023/4/15 21:43:41)

後藤ひとり> 私ですか？……ボケーッとしてました……休みの日なので……   (2023/4/15 21:44:12)

クレー> クレーそっちいってもいい…？(ひとりお姉ちゃんのとなりを見つめて)   (2023/4/15 21:45:50)

クエット> はー……びっくりしたのです、悪戯するとはわかっていたのですけど…実際にされるとこう……どきどきするのです（撫でてくるのは慣れてきたけど…それでもさっきので心臓はどきどきと少し早くて）ずんだパン……存在してしまうのですね…なんでも掛け合わせるのが人間の食に対する貪欲さを表している気がするのです…
  (2023/4/15 21:47:17)

後藤ひとり> え？あ、はい……何も無いですけどそれで良ければ………(こくん……)   (2023/4/15 21:47:18)

クレー> (とことこー、ひとりお姉ちゃんのとなりに座ってむぎゅううー)   (2023/4/15 21:48:32)

クレー> 万能ずんだだねっ♪(えへへ)>ずん子お姉ちゃん   (2023/4/15 21:50:39)

後藤ひとり> いらっしゃいませ……ぼっちの世界に……(抱きしめながらなでなで)   (2023/4/15 21:50:44)

東北ずん子> ひとりさんはあれですね、いつも静かにしてる感じ、私に似ている所があると思うんです！(きらきら、クレーともまたいっぱいぎゅーってしましょうってひらひら)　かけ合わせを楽しむというのは大事ですね、私も改めてクエットさんに(楽しそうに見下げながら、クエットさんの獣耳に、ふーっと、甘い息を吐いて)
  (2023/4/15 21:51:30)

クレー> クレーがきたからもうぼっちじゃないよ♪(ひとりお姉ちゃんをクレーの小さなうででぎゅーと抱きしめてあげるのっ。クレーの身体じゃ足りないかもだけど、しっかり抱きしめてあげて顔もぴっとりくっつけてちゃう)   (2023/4/15 21:52:49)

後藤ひとり> いつも静かにしてるんですか！？私はともかくずん子さんって……そうですね……クレーちゃんが来たので2人になりました……(抱き合いながら背中を手で撫でてあげて)   (2023/4/15 21:54:46)

クエット> しずか……？ずん子お姉さんが静かにしている様子があまり想像できないのです…（あちらでもいちゃつき始めてのです……あれ？これはクエットがその分いろいろされるのでは…）ずん子お姉さ、んぅぅ……っ…はぁ…（ヒトの耳よりも敏感なのか、息を吹きかけられただけでもびくびく…少しだけ甘い息を吐いちゃって）
  (2023/4/15 21:54:54)

クレー> ひとりお姉ちゃんよしよし…♪(クレーも撫でてもらいながら、ひとりお姉ちゃんもクレーが撫でてあげるの♪)……えへへ、ひとりお姉ちゃんにもなでなでしてもらえた♡(にぱーと笑顔で)   (2023/4/15 21:57:17)

東北ずん子> ふふふー私も結構静かにしてますけどね。でも今のうちに……んぅ♥クエットさん(甘ったるい声をクエットさんにささやいて。ふれさせ、軽く…少しだけクエットさんの獣耳…はむっとちいさく甘噛みしちゃいます)   (2023/4/15 21:58:17)

2023年04月14日 19時39分 ～ 2023年04月15日 21時58分 の過去ログ
「版権百合部屋」
現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
