チャット ルブル [/image/luvul/images_title.gif]/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年08月25日 02時16分 ～ 2023年09月01日 04時38分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

高坂桐乃 ◆> じゃあTOP4になった   (2023/8/25 02:16:32)
おしらせ> 小鳥遊ホシノさんが退室しました。  (2023/8/31 03:46:26)

おしらせ> 無言時間が25分を超えたため、東北ずん子さんが自動退室しました。  (2023/8/31 03:51:52)

おしらせ> 小鳥遊ホシノさんが入室しました♪  (2023/9/1 02:04:11)

小鳥遊ホシノ> こんばんは〜♪今夜も今夜でお邪魔するね〜？   (2023/9/1 02:04:30)

小鳥遊ホシノ> お邪魔はしたけど相変わらず夜遅くだし,あんまり期待はできなさそうかな.   (2023/9/1 02:12:33)

おしらせ> 後藤ひとりさんが入室しました♪  (2023/9/1 02:27:44)

後藤ひとり> お、お邪魔します……   (2023/9/1 02:27:50)

小鳥遊ホシノ> あ,いらっしゃいませ〜♪初めましてだね〜♪   (2023/9/1 02:33:11)

後藤ひとり> は、初めまして……後藤ひとりです……   (2023/9/1 02:34:07)

小鳥遊ホシノ> ひとりちゃん変わった名前だね？わたしは小鳥遊ホシノだよ♪まぁまぁ,そんなに緊張しなくて大丈夫だからさ,ゆるっといこ？   (2023/9/1 02:35:24)

後藤ひとり> あ、は、はい……頑張ります……ホシノさんですね…よろしくお願いいたします……(ぺこ)   (2023/9/1 02:37:22)

小鳥遊ホシノ> こんな夜中に顔を出すってことは…ひとりちゃんも夜更かししすぎて昼夜逆転しちゃった感じ？   (2023/9/1 02:40:10)

後藤ひとり> そうですね……夜眠れなくて……   (2023/9/1 02:41:11)

小鳥遊ホシノ> あるある…♪どこかのタイミングで無理矢理なおしたりしないとそれがずーっと続いて大変なことに…とかもセットで,だけど.   (2023/9/1 02:45:35)

後藤ひとり> ですよね……夜寝れなくて昼寝グースカしちゃって結局……みたいね   (2023/9/1 02:46:27)

小鳥遊ホシノ> 最悪のパターンはそれで用事をすっぽかしたり…（めそらし）   (2023/9/1 02:48:13)

後藤ひとり> 私も明日やる事あるのに……(うぅ……)   (2023/9/1 02:50:26)

小鳥遊ホシノ> うへ,まさに今言った通りのやつだね.午後からとかだと寝過ごす可能性が高く…   (2023/9/1 02:52:39)

後藤ひとり> なので早めに寝ないと……あわわ   (2023/9/1 02:53:37)

小鳥遊ホシノ> もう既に丑三つ時も終わりかけで幽霊もねる時間だけどね〜早めの時間はすぎちゃったと思うよ？   (2023/9/1 02:56:03)

後藤ひとり> たしかに……(がーん)   (2023/9/1 03:00:13)

小鳥遊ホシノ> こうなったらこのまま語り明かす…のは難しそうだし,タイミングみて多少眠くなってきたら寝ちゃうのも手だね？   (2023/9/1 03:02:17)

後藤ひとり> まぁでもせっかく人がいるし…話すのもいいですね   (2023/9/1 03:04:12)

小鳥遊ホシノ> うへ,おじさんに付き合ってくれるなんて最近の若い子は優しいね〜…♪   (2023/9/1 03:05:43)

後藤ひとり> えっとホシノさんは何歳なんですか………？   (2023/9/1 03:07:42)

小鳥遊ホシノ> 一応17だよ〜？   (2023/9/1 03:08:40)

おしらせ> 桜花あさひ ◆gAmHDzY8Wcさんが入室しました♪  (2023/9/1 03:09:52)

桜花あさひ ◆> こんばんはだぁっ♪   (2023/9/1 03:09:59)

後藤ひとり> 16です私は……おじさんと言うほど老けて……ん？おじさん？   (2023/9/1 03:10:13)

後藤ひとり> あ、あさひさん久しぶりです……   (2023/9/1 03:10:20)

小鳥遊ホシノ> こんばんは〜♪なんだか元気な子が来たね？   (2023/9/1 03:10:29)

桜花あさひ ◆> えへへひとり姉ちゃん久しぶりだなぁ♪   (2023/9/1 03:10:55)

後藤ひとり> あ、はい……げ、元気してました？   (2023/9/1 03:11:05)

桜花あさひ ◆> ふふん♪あさひは毎日元気だぞっ♪   (2023/9/1 03:11:07)

桜花あさひ ◆> あっ、はじめましてだぞ〜♪あさひだぞっ♪   (2023/9/1 03:11:44)

小鳥遊ホシノ> 1年っていうのは実はすごく大きな差でね〜…？ん,おじさんがどうかしたの…？   (2023/9/1 03:12:08)

後藤ひとり> ならよかったです……(よしよし)   (2023/9/1 03:12:09)

後藤ひとり> ホシノさん男の人なんですか？……   (2023/9/1 03:12:24)

小鳥遊ホシノ> 初めまして〜.わたしは小鳥遊ホシノだよ,よろしくね〜…♪   (2023/9/1 03:12:31)

小鳥遊ホシノ> いやぁ、さすがに女の子だよ？ただみんなみたいにキラキラしてるわけじゃないからね♪   (2023/9/1 03:13:04)

桜花あさひ ◆> んへへ♪ひとり姉ちゃんも元気だったかぁ♪？   (2023/9/1 03:13:44)

後藤ひとり> ホシノさんも綺麗だと思いますよ……！   (2023/9/1 03:13:47)

後藤ひとり> わ、私はぼちぼち……   (2023/9/1 03:13:52)

桜花あさひ ◆> ホシノ姉ちゃんだなぁ♪ふふ、よろしくなーっ♪   (2023/9/1 03:13:53)

後藤ひとり> ホシノさんが1番お姉さんですからね   (2023/9/1 03:17:38)

桜花あさひ ◆> ひとり姉ちゃんも元気でよかったぞぉ♪   (2023/9/1 03:19:04)

後藤ひとり> 夏休みなので……(うへへ)   (2023/9/1 03:19:33)

桜花あさひ ◆> 夏休みっ……そろそろ終わっちゃうぞ〜…(しょんぼひ)   (2023/9/1 03:23:47)

後藤ひとり> ですね……もう9月ですよ……(よしよし)   (2023/9/1 03:24:39)

後藤ひとり> ホシノさんは起きてます？………   (2023/9/1 03:24:44)

桜花あさひ ◆> はやいなぁ……もっと夏休み長かったらな〜っ   (2023/9/1 03:26:47)

桜花あさひ ◆> 寝ちゃったかぁ……？   (2023/9/1 03:26:52)

後藤ひとり> 短いですよね……寝たぽいですね……   (2023/9/1 03:27:30)

桜花あさひ ◆> あと１ヶ月くらい……もっと外で遊びたいぞ！   (2023/9/1 03:28:52)

桜花あさひ ◆> んむぅ、遅いからな〜……（じっ   (2023/9/1 03:29:06)

後藤ひとり> ですね……土日に遊ぶしかないですよね……   (2023/9/1 03:29:58)

後藤ひとり> 私も油断したら……   (2023/9/1 03:30:04)

桜花あさひ ◆> セミもいなくなっちゃって寂しいぞ……   (2023/9/1 03:34:26)

桜花あさひ ◆> 眠かったら寝なきゃだぞっ   (2023/9/1 03:34:32)

後藤ひとり> ま、まだ起きれます……せっかくあさひちゃんも来てくれたので……   (2023/9/1 03:35:35)

桜花あさひ ◆> そうか〜……？ふふ、じゃあもう少しお話しようなぁ♪(ぎゅぅっ)   (2023/9/1 03:38:06)

おしらせ> 無言時間が25分を超えたため、小鳥遊ホシノさんが自動退室しました。  (2023/9/1 03:38:06)

後藤ひとり> 久しぶりに会えたので……♪(抱きしめてよしよし)   (2023/9/1 03:39:29)

桜花あさひ ◆> あんまり来れなくてごめんなぁ……？ふふ、久しぶりのひとり姉ちゃん〜♪(むぎゅむぎゅ、すりついて)   (2023/9/1 03:40:53)

桜花あさひ ◆> おやすみなさいだぞっ…！   (2023/9/1 03:41:00)

後藤ひとり> 攻めては無いですよ……忙しいならしたかないんです……(胸に寄せて撫でて)   (2023/9/1 03:44:14)

桜花あさひ ◆> んむぅ……ふふ、それなら良かったぁ♪…久しぶりのひとり姉ちゃんの匂い…やっぱり好きだぞ〜…♪（すんすん、胸に顔を埋めて笑って）   (2023/9/1 03:45:29)

後藤ひとり> えへへ…そこまで匂いに気を使っては無いですけどね……♪(胸でパフパフしながら抱きしめて)   (2023/9/1 03:46:51)

桜花あさひ ◆> ひとり姉ちゃんの匂い〜……って感じがして大好きだぞ〜…♪(胸元から顔を上げてむぎゅぅっと抱きついて胸をくっつけて)   (2023/9/1 03:51:47)

後藤ひとり> 不思議な匂いです……私もあさひちゃんの匂い好きですよ……♪(抱き合いながら胸をむにゅんと押し付けて)   (2023/9/1 03:54:21)

桜花あさひ ◆> ふふっ、好き同士だなぁ♪(ほっぺたに顔を近づけてちゅーっと唇をくっつけて)   (2023/9/1 03:56:51)

後藤ひとり> ですね……♪お、お返しです……♪(こちらも頬をキスをして……)   (2023/9/1 03:58:06)

桜花あさひ ◆> えへへ♪ひとり姉ちゃん優しいから好き好きだぁ♪(ほっぺたを少し赤くして膝に座り)   (2023/9/1 04:01:14)

後藤ひとり> あさひちゃんも優しいです……♪(膝に座ってきたあさひちゃんを撫でながらウトウト)   (2023/9/1 04:03:06)

桜花あさひ ◆> ひとり姉ちゃんのぜーんぶ大好きだ〜♪…む、眠たくなってきちゃったか〜……？(じっと顔を見上げながらすりすりほっぺた撫でてみて)   (2023/9/1 04:05:33)

後藤ひとり> 私もあさひちゃんそのものが好きです……♪ですね……少し……明日は……床屋行くので…(頬を撫でられて擽ったそうに)   (2023/9/1 04:07:39)

桜花あさひ ◆> ふふ、嬉しいぞっ♪そっかぁ♪ふふ、ひとり姉ちゃんもっと綺麗になっちゃうなぁ♪(さらさらと髪に触れて)んぅ、久しぶりに一緒に寝てもいいか〜……？   (2023/9/1 04:09:40)

後藤ひとり> 髪伸びてきたので少し切ろうかと……え、も、もちろんいいですよ……♪(髪を触られながら抱きしめ)   (2023/9/1 04:10:29)

桜花あさひ ◆> 夏は長いとちょっと暑そうだなぁ……じゃあ今日は一緒にだなっ♪(すりすり頬を擦り合わせて)   (2023/9/1 04:16:37)

後藤ひとり> ですね……コミュ障に床屋はきついけど……はい……♪同じ布団で……♪(布団をかぶりむぎゅり)   (2023/9/1 04:17:51)

桜花あさひ ◆> ひとり姉ちゃん応援してるぞっ！……ふふん…♪久しぶりのひとり姉ちゃんと久しぶりに一緒に〜……♪(布団の中でくっついて嬉しそうに笑って)   (2023/9/1 04:21:03)

後藤ひとり> ありがとうございます……溶けて無くならないようにしないの……ワクワクですね……♪(布団の中で抱き合いながら目を閉じて)   (2023/9/1 04:22:14)

桜花あさひ ◆> ワクワクで寝れるか心配だなぁ……ふぁあ…(そう言いながら瞼を擦りあくびをして)   (2023/9/1 04:23:45)

後藤ひとり> の割には眠そうですね……(苦笑しながら擦り付き)   (2023/9/1 04:26:29)

桜花あさひ ◆> えへへ……ふとんはいったら…眠たくなってきちゃって〜…♪(くすくす笑いながら)   (2023/9/1 04:28:42)

後藤ひとり> ですよね。お布団の魔力はつよつよ……さ、さいごに……♡(恥ずかしがりながら唇と唇を重ねて)   (2023/9/1 04:29:52)

桜花あさひ ◆> かてないな〜……んむ…ふふっ、おやすみのちゅーだなぁ♪じゃああさひからも〜っ♪(自分からもちゅーっともう1回キスしてみて)   (2023/9/1 04:33:02)

後藤ひとり> んっ……♡ありがとうございます……♡おやすみなさい……♡(あまりの恥ずかしさにあさひちゃんに抱きついて)   (2023/9/1 04:35:07)

桜花あさひ ◆> えへへ♪ひとり姉ちゃんもおやすみなさいだ〜……♪(ぎゅぅと抱きついたまま目を閉じて直ぐに寝息を立て始めて)   (2023/9/1 04:37:58)

後藤ひとり> 【おやすみなさい……♪また今度会いましょうね♪】   (2023/9/1 04:38:52)

2023年08月25日 02時16分 ～ 2023年09月01日 04時38分 の過去ログ
「版権百合部屋」
現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
