/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2018年06月09日 13時36分 ～ 2018年06月11日 09時28分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

フカ次郎> いや、大丈夫……14時からちょっと野暮用だから   (2018/6/9 13:36:14)
京塚志温> それは頼もしいわ…///♪(羨ましいそう、こんなにスタイルがよくても経験がない)今から少しだけ、しても大丈夫かしら？(不慣れだけどねと念押ししつつ)   (2018/6/10 22:18:32)

マシュ・キリエライト> は、はいっ！　不肖マシュ・キリエライト、精いっぱいお相手させていただきます……（求められれば嫌とは言えず、しゃん、と背筋を伸ばしてしまうわたしです）   (2018/6/10 22:19:51)

京塚志温> そんなに固くならなくても大丈夫よ？(なぜが私がそういう立場に普通逆なのではと思いつつ軽く抱きついてキスをしようと唇を近づけてみる)   (2018/6/10 22:21:27)

マシュ・キリエライト> 性分ですので、お気になさらず……んっ♥（少し唇を広げ、しおんさんの唇を軽くついばむわたしです。こちらからも、あまり力が入らない程度に抱きしめてみましょう）   (2018/6/10 22:23:20)

京塚志温> んんっ…♥ふふっ…なら気にしないわ…///(唇をついばまれる、初めてのキスは甘いような不思議な感覚で、もっと求めるように抱きついて胸が形をむにゅむにゅと変形させるくらいに抱きついて相手の身体の温もりを感じようと)   (2018/6/10
22:25:25)

マシュ・キリエライト> ぷぁ……♥ (服越しでもしおんさんのぬくもりが伝わってきます。   (2018/6/10 22:27:12)

マシュ・キリエライト> （そのぬくもりに甘えるように、だんだん深く深く、しおんさんの唇を求めてしまうわたしです）   (2018/6/10 22:27:50)

京塚志温> んん…♥ちゅう…♥(身体を密着させつつも熱いキスを交わし合う2人、なれないキスながらもマシュの舌に絡めるように自分の舌をだす志温、だんだんと目が蕩け初めて   (2018/6/10 22:30:37)

マシュ・キリエライト> んっ、ちゅ……♥ んっ、んぅ、ん……♥ んー……♥ （口は広げ気味に、慣れないしおんさんの舌を導くように。ゆっくりゆっくり、と自分に言い聞かせながら、しおんさんの唇を、舌を、お口の中をじっくりと味わうわたしです）  
(2018/6/10 22:33:33)

京塚志温> んん…////ちゅっ…♥れろっ…///ん、んんー…♥(舌をゆっくりゆっくりとなれない舌をリードさせてもらいつつ舌の感触を感じ合う私達、顔は赤くて)   (2018/6/10 22:35:07)

マシュ・キリエライト> んっ♥ ん、はぁ……♥ お上手ですよ、しおんさん……んっ♥ （しおんさんの熱が私にも飛び火してしまいます。その熱に浮かされるようにシオンさんを抱きしめ、背筋から腰へと愛撫する手を休めないわたしです）   (2018/6/10
22:36:59)

京塚志温> ふふっ…///ありが……あっ…♥とうね…///～(キスの感覚で蕩けている志温、腰を愛撫させられると身体を震わせて気持ちよさを味わいつつ、)   (2018/6/10 22:38:39)

マシュ・キリエライト> どういたしまして……先ほどぎゅってしてくれた、ささやかなお礼です……♥
（わたしからも身体をすり寄せ、熱を伝えるわたしです。お嫌だったらおっしゃってくださいね、とささやきかけながら、しおんさんの上半身の着衣を、ひも解くように脱がせにかかるのです）   (2018/6/10 22:41:07)

京塚志温> お礼なんていいのに…でも嬉しいわね～ありがとう…♪(そんなことないわ、嬉しいわよと上の着衣を脱がされると大きめの胸がプルんっと揺れて露になるも隠そうとはせずに)   (2018/6/10 22:44:37)

マシュ・キリエライト> ありがとうございます、では、その、ご厚意に甘えて……（量感のあるお胸に圧倒されながらも、一つつばを飲み込み、なんとかブラを外すわたしです。あらわになったしおんさんの大きなお胸をいとおし気に撫で、舌からお出迎えしながら乳首にキスを落としていきます……）
  (2018/6/10 22:47:18)

京塚志温> ひゃっ…////♥(ブラをはずされても大きさは健在であり乳首にキスをされると身体をビクッと震わせてしまい声も漏らしてしまい、下からはなにか不思議な感覚が)   (2018/6/10 22:49:54)

マシュ・キリエライト> 大丈夫ですよ……力、抜いてくださいね……♥
（わたしのキスで気持ちよくなってくださってる、と思うと、なんだかむらむらっと湧き上がるものも感じてしまうわたしです。片胸の乳首に優しくキスを落とし、吸い上げていく一方で、もう片方の胸はやわやわとこね回しながら、指先を乳首にかけてもしまうのです）  
(2018/6/10 22:52:45)

京塚志温> ええ…今回はそうさせて貰うわ…////♥(片方の胸は舐められて、もう片方は揉まれて指先で   (2018/6/10 22:54:03)

京塚志温> 【続きます】   (2018/6/10 22:54:14)

京塚志温> 弄られてしまい別々の感覚が流れ込んでしまい不思議な感覚、そう思いつつも乳首は硬くなってしまい)   (2018/6/10 22:54:56)

マシュ・キリエライト> んっ♥ ん、ん、んぅ……♥ んぅん、ちゅっ♥ ちゅっ♥ あむっ……ん♥ （固くしこった乳首を、まるで果物か何かのようについばむわたしです。しおんさんの息遣いと火照っていく身体を感じながら、スカートの方にも手を掛けてしまうのです）  
(2018/6/10 22:58:10)

京塚志温> ま、マシュちゃん…♥も、もう落ちないとなの…///(胸を吸われながらも名残惜しそうに、スカートが脱がされつつもそう伝えて)   (2018/6/10 23:00:16)

マシュ・キリエライト> ……はっ。（そうでした。しおんさんはカレンさん一族、夜はしっかり寝られる方でした）……そうですか、それでは、続きはまたの機会に……（おやすみのキスですよ、とささやいて、唇にキスを一つ。そして、着衣をお返ししますね）  
(2018/6/10 23:01:48)

京塚志温> ええ…///(夜は寝ないとダメなタイプ、お休みのキスを受け止めつつ私もキスを返して、衣服を着て手を振り帰宅する)また会えたらよろしくお願いしますお願いするわね♪////【お疲れ様です、また会えたらよろしくお願いします】   (2018/6/10
23:03:36)

マシュ・キリエライト> はい、わたしの方こそ。おやすみなさい、しおんさん（ぺこりと一礼するわたしです）   (2018/6/10 23:04:11)

京塚志温> ええ…(手を振りそのばを後にして)【それではまたー】   (2018/6/10 23:05:11)

おしらせ> 京塚志温さんが退室しました。  (2018/6/10 23:05:13)

マシュ・キリエライト> （とはいえ現在23時。必ずしも早い時間とは言えません。お目々もレムレムしてきましたし、わたしも早めに撤収しましょう。洗い物を片付け終えたのを確認して、左右を確認し、退場します……お疲れさまでした）   (2018/6/10
23:07:18)

おしらせ> マシュ・キリエライトさんが退室しました。  (2018/6/10 23:07:25)

おしらせ> Z23さんが入室しました♪  (2018/6/11 01:20:55)

Z23> こんばんは…(静かに扉を開け、顔だけ覗かせると辺りを見回してみて)……こんな時間ですし、静かですねー…(誰もいなそうなことを確認すると、ぽふんとソファに腰掛けて)   (2018/6/11 01:23:54)

Z23> …戻りましょうかね。指揮官さんも読ん でますし(立ち上がって軽くのびー…。そそくさとお部屋を後にして)   (2018/6/11 01:48:55)

おしらせ> Z23さんが退室しました。  (2018/6/11 01:48:56)

おしらせ> ロングアイランドさんが入室しました♪  (2018/6/11 02:49:12)

ロングアイランド> 寝付けそうで眠れない日あるよね～(そふぁにぐてーん   (2018/6/11 02:52:07)

おしらせ> 無言時間が20分を超えたため、ロングアイランドさんが自動退室しました。  (2018/6/11 03:12:32)

おしらせ> 霍青娥さんが入室しました♪  (2018/6/11 04:43:38)

霍青娥> ふあ…寝ちゃってた、二人ともごめんなさい（そう言いながらあくびをしながら起き上がるとゆっくりと身体を伸ばしていて   (2018/6/11 04:44:08)

霍青娥> んん〜（ゆっくりと身体を伸ばしながら今日もしばらくしたら用事があるのでどうしようかなと思いつつお茶の用意をしていて   (2018/6/11 04:50:34)

霍青娥> ずずっ（お茶をゆっくりと飲みながらゆったりとしつつおにぎりを用意するとぱくつきはじめて   (2018/6/11 04:57:05)

おしらせ> 無言時間が20分を超えたため、霍青娥さんが自動退室しました。  (2018/6/11 05:17:36)

おしらせ> リグル・ナイトバグさんが入室しました♪  (2018/6/11 08:40:46)

リグル・ナイトバグ> 流石にこの時間だからそんなに長居が出来るかどうかというとあれだけれど。(んーっと身体を伸ばして。リビングのソファに腰を下ろし、ふうっと。外が雨だと寝覚めがあんまりいい物じゃないのだった)   (2018/6/11 08:42:24)

リグル・ナイトバグ> んー。(甘めの飴玉、ポケットから取り出して包装を解いてからお口の中へと放ってころころ。口の中で転がしては広がっていく甘みで少し頬を緩ませ目を細め…触角がぴこぴこと動いては脚をぱたぱた。皆、体調を崩さないと良いんだけれどと外を見ながらぽつりと漏らし)
  (2018/6/11 08:55:01)

おしらせ> 古明地こいしさんが入室しました♪  (2018/6/11 09:05:28)

古明地こいし> せいや！（ぴこぴこ揺れてるりぐるさんの触覚をにぎい。ぴこぴこしてるものって無意識に握りたくなるよね！！）……おはよーございます！！（触覚を握って目があったらにっこりあいさつ）   (2018/6/11 09:07:09)

リグル・ナイトバグ> ふぎゃぅ！(流石に意識してた訳じゃ無いからそこ握られると素っ頓狂な声を)…お、おひゃよう。……(とりあえずその手を退かすようにこいしさんの手を軽く撫でてから退けさせようと。急に、掴んだら、駄目！)   (2018/6/11
09:08:27)

おしらせ> ディズィーさんが入室しました♪  (2018/6/11 09:12:34)

古明地こいし> んー……だめかぁ……（軽くスリスリしてからしょうがないなぁってかんじで手を離して……ぐたり、キャラは変わってもいつもの膝枕スタイルに）ということでりぐるちゃんお久しぶり？   (2018/6/11 09:12:56)

古明地こいし> おはようございます！はじめまして？です？   (2018/6/11 09:13:47)

ディズィー> おはようございます………えいっ（部屋に入ってみると触角をにぎにぎしてるこいしさんの姿を見て、もう片方の触角をぎゅっと握る。深い意味はありませんでした。その場のノリってやつですね）   (2018/6/11 09:14:18)

リグル・ナイトバグ> 触れる位の段階から行こう…(ビックリしすぎて大変だった、意識が何処か行きそうだったかもしれない、多分)…ん、お久し…ぶり、かな？(言う程久々かなとは思わなくもないけど久々かも知れない、感覚がマヒしてた)   (2018/6/11
09:14:53)

リグル・ナイトバグ> ディズィーさん、おは…ひゃ！？……でぃ、ディズィーさんまで…！(其処、何だかんだで弱点だから！とは今の状況じゃ喋ろうとしても喋れなかった。ディズィーさんの手もぺたぺた、退かそうと。ノリで、弄ばれてる！)   (2018/6/11
09:16:10)

ディズィー> おはようございます。はじめましてですね。ディズィーと言います。リグルさんはお久しぶりですね――あっ、ごめんなさい。なんとなく流れで握っちゃいました（手をぺたぺた触って離すように促されると手を離す。ピコピコ揺れるものに触れたくなるのは本能的なものでしょうか。アホ毛とか特に）
  (2018/6/11 09:17:30)

リグル・ナイトバグ> ディズィーさんはお久しぶりだね…な、流れで握られるのも結構大変だからね！？(離れる手を見ながら――動くものをぺちぺちする、猫みたいな気がして来た)…く、二人の弱点見つけたら私もやり返そう…。。   (2018/6/11 09:19:16)

古明地こいし> はーい！！（すりすり、膝枕状態でしたの触覚を軽く触ってから、起き上がって上の触覚をにぎい！ド直球。）はじめましてー！ディズィーさんにはりぐるさんの触覚いじり負けないよ！！   (2018/6/11 09:19:30)

古明地こいし> 弱点……私の触覚触る？（うねりうねり。対戦格闘で割りと自由自在に動かしてるさーどあい。攻撃に使う位だから敏感ではないとはおもう。）   (2018/6/11 09:21:34)

リグル・ナイトバグ> いや、そういう…直球とかそういうレベルじゃ無いから！んぅうっ(軽く振れてからのにぎぃ、…確かにいきなりでは、いや、これいきなりだ！)…こいしさんのそれは弱点というかむしろ触れると絡め取られそうな気がしてくる……   (2018/6/11
09:22:29)

ディズィー> うーんと……小さい子が誰かに無邪気に甘えてるとついつい釣られたりしません？（ですから、流れで握ってしまうことってあると思うのですよ。えぇ）こいしさんにはあるんですね？私には触角みたいなものはありませんが（ピコピコ揺れるものはなかった。ただ、こいしさんのそれは触覚と言っていいものなのか）
  (2018/6/11 09:24:52)

リグル・ナイトバグ> 判るような、判らないような……けど、誰かが触れたりじゃれついたりするなら流れで触ったりは――……うん。(少し考えた後に。あるかもって頷いて。ディズィーさんの弱点……じー)   (2018/6/11 09:26:35)

古明地こいし> 大丈夫、絡めとっても痛くはないよ？投げないとダメージには……（さーどあいのコードをつかって、りぐるさんの頭を器用にナデナデ。）
あー。気持ちはわかる！！無邪気かはおいておいて……（さっきさらっと下ネタぶっこんでしまった。たしかにこれ……触覚というよりは触手？かな？）   (2018/6/11 09:28:21)

2018年06月09日 13時36分 ～ 2018年06月11日 09時28分 の過去ログ
「版権百合部屋」
現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
