チャット ルブル [/image/luvul/images_title.gif]/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年03月12日 00時34分 ～ 2023年03月12日 14時18分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

モリガン ◆> さあ、二人とも召し上がれ♪（二人に手を差し伸べて）   (2023/3/12 00:34:48)
(出て行く前に充電♡ぎゅーっと抱きしめて…数十秒……充電したら額に口付けしてて) お疲れ様ぁ、みなさーん♪ (ほんのり赤くした頬を隠すように笑顔で手を振って扉は向かってお部屋を後にしてて)   (2023/3/12 13:03:38)

おしらせ> 錦木千束 ◆zMYfgmhp9wさんが退室しました。  (2023/3/12 13:03:40)

京町セイカ> お疲れ様ー、がんばってね   (2023/3/12 13:04:28)

小春六花> そしてそっちもおつー。   (2023/3/12 13:04:38)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> んむぅ…もぉ…会えなくなる前の最後くらい。ここにしてくれたっていいじゃん…(額に口付けされたら、むすぅ…不満足顔ででも背中を叩いてお見送り。「待ち合わせ部屋に時間帯指定でもしてくれたら合わせるから」って。最後に声掛けて。)  
(2023/3/12 13:05:06)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> 今そんな感じ~   (2023/3/12 13:05:14)

小春六花> なっほーね。　   (2023/3/12 13:06:39)

おしらせ> 無言時間が25分を超えたため、桜衣乃さんが自動退室しました。  (2023/3/12 13:06:47)

小春六花> イノちゃんは無理はやめようね。   (2023/3/12 13:06:57)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> つっかれたー   (2023/3/12 13:08:23)

小春六花> 疲れたならそこのセイカさんのおっぱいを揉むといいですよ。   (2023/3/12 13:08:55)

京町セイカ> みんな大変よね…   (2023/3/12 13:08:58)

京町セイカ> はえっ！？   (2023/3/12 13:09:01)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> こう。絶対お昼寝しそうだから、抱き枕が欲しい気分   (2023/3/12 13:09:19)

小春六花> それは自分でどっちに抱きつきたいか決めてもろて。   (2023/3/12 13:09:42)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> まぁ、だから候補探しの途中だなぁ   (2023/3/12 13:10:50)

小春六花> 言うて悲しいことにいま候補が私とセイカさんしかいなくない？他所の部屋もあるとかなら別だけど。   (2023/3/12 13:12:22)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> ん~？だから、探してるって感じ。乱入もかもーんってことだよー   (2023/3/12 13:14:01)

京町セイカ> まぁ気持ちはわかるわ。候補がないとはいえ安易に決めたくない感じ   (2023/3/12 13:15:00)

小春六花> なーるほどね。いい人来るといいねぇ…   (2023/3/12 13:20:55)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> うん？それにふたりは割と結構ペアっぽい印象もあって手を出しにくいってのがあるかな~。   (2023/3/12 13:22:01)

小春六花> いや、そんなことないけど。（まがお）   (2023/3/12 13:22:23)

京町セイカ> うん、そこまででは？   (2023/3/12 13:23:18)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> あくまで「印象」ね。事実が違っても、あたしはそう思ってるー、ってだけ   (2023/3/12 13:23:21)

小春六花> まぁ、言いたいことはよくわかる。私も普段ガヴさんとイノちゃん揃ってたら部屋に入れないし。（頷き）   (2023/3/12 13:25:31)

京町セイカ> まぁそういうふうに見える相手がいればいいなぁとは思うわねー。恋人みたいなまではなくても友達くらいでも。   (2023/3/12 13:25:43)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> うん、それとおんなしこと。(こくこく   (2023/3/12 13:26:06)

おしらせ> 桜衣乃さんが入室しました♪  (2023/3/12 13:34:30)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> おか~えり？   (2023/3/12 13:34:41)

桜衣乃> 寝起き誤タップにつき……   (2023/3/12 13:34:57)

小春六花> おかえりー？   (2023/3/12 13:35:14)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> 寝てたんか~い。お出かけ大丈夫~？   (2023/3/12 13:35:17)

桜衣乃> 入れたしこのままいよっかな……こんにちは〜♡   (2023/3/12 13:35:17)

桜衣乃> 大丈夫かどうかを問われると……うん、ちょっとだけ大丈夫という感じですね〜……   (2023/3/12 13:38:51)

小春六花> 今度はどったのよ。ガヴちゃんでも抱く？   (2023/3/12 13:39:19)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> ギリギリアウトなライン踏みかけてないか！？   (2023/3/12 13:39:36)

桜衣乃> あぁいえ、おでかけまでの時間のことです……   (2023/3/12 13:39:40)

京町セイカ> やー、まぁ遅刻しないようにするならなんかしてた方がいいでしょうけど   (2023/3/12 13:40:14)

小春六花> アナルプラグつけておかないから…   (2023/3/12 13:40:31)

桜衣乃> いやー、ほんとに……。   (2023/3/12 13:40:55)

桜衣乃> 帰ったらつけますね〜   (2023/3/12 13:41:05)

京町セイカ> えっなにそのやりとり怖い   (2023/3/12 13:41:24)

桜衣乃> 私の寝落ち対策ですね〜、入れておくと寝落ちせずに済みます……おや、セイカちゃんはこちらのお話に興味がおありで？   (2023/3/12 13:42:35)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> 寝落ち対策と言えるのか微妙な寝落ち対策…っ？   (2023/3/12 13:43:21)

おしらせ> 絹川みちほさんが入室しました♪  (2023/3/12 13:44:05)

絹川みちほ> こんにちはあ   (2023/3/12 13:44:13)

桜衣乃> あ、みちほちゃんこんにちは〜♪   (2023/3/12 13:44:28)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> いらっしゃーい   (2023/3/12 13:44:46)

小春六花> こんちゃっす。   (2023/3/12 13:45:45)

絹川みちほ> （萌え袖パタパタ）   (2023/3/12 13:45:46)

京町セイカ> こんにちはー   (2023/3/12 13:46:48)

小春六花> なんか良さげな抱きまくら候補来たんじゃない？   (2023/3/12 13:47:11)

桜衣乃> おトイレを我慢しながら寝ることができますか……っていう発想から生まれた対策法ですよ……！   (2023/3/12 13:47:14)

絹川みちほ> 抱きまくら候補？   (2023/3/12 13:48:06)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> おトイレ我慢しながらは確かに寝れないな…ぁ(こくんこくん   (2023/3/12 13:48:07)

京町セイカ> あ、後別に興味の方向はそっちじゃないからね！？>衣乃ちゃん   (2023/3/12 13:49:39)

小春六花> だから常に尿道ほじればいいは何か間違っている定期   (2023/3/12 13:50:10)

桜衣乃> あら？違いました？　んふふ……   (2023/3/12 13:50:28)

絹川みちほ> 六花ちゃん…にょーどーは……うん…   (2023/3/12 13:51:52)

桜衣乃> えー、体に電気ショックとか、マッサージ器具で気持ちよくなったりよりはいいと思いますが…♪   (2023/3/12 13:52:37)

桜衣乃> ちなみにどなたかローターつけっぱなして寝ちゃった経験あります？   (2023/3/12 13:54:22)

京町セイカ> 窓開けっぱなしで寝ちゃったみたいな気軽さで探す経験じゃないわよそれ…   (2023/3/12 13:54:52)

小春六花> 私は寝てるときに上の階の人が包丁でさされた経験しか……   (2023/3/12 13:55:39)

絹川みちほ> 六花ちゃん、ガクブル   (2023/3/12 13:56:16)

京町セイカ> みんないろんな経験してるのね…   (2023/3/12 13:57:23)

桜衣乃> ……あれ、いなさそう…。　みなさんおもちゃ使わない派でしょうか……   (2023/3/12 13:58:06)

絹川みちほ> 衣乃ちゃんはある、ということかな？   (2023/3/12 14:04:10)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> おもちゃはたまに使うけど、ローターは使ったことないかも~…。   (2023/3/12 14:05:08)

桜衣乃> いえ、ローター寝落ちは流石にないですね〜……   (2023/3/12 14:05:37)

絹川みちほ> 衣乃ちゃんもなかったんだ、よかったよ   (2023/3/12 14:06:18)

小春六花> 他のはあるんですね……   (2023/3/12 14:09:23)

桜衣乃> いや〜、ローターはそもそも電池がもったいなく……   (2023/3/12 14:09:49)

京町セイカ> みんな結構持ってるのねそういうの…   (2023/3/12 14:11:33)

絹川みちほ> あっ、それだけ使うのね   (2023/3/12 14:11:44)

おしらせ> 後藤ひとりさんが入室しました♪  (2023/3/12 14:12:23)

後藤ひとり> おはようございます……(目をゴシゴシ…)   (2023/3/12 14:12:31)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> いらっしゃーい   (2023/3/12 14:12:35)

桜衣乃> セイカちゃんはもうたくさんおもちゃ持ってるものだと思ってましたが……？   (2023/3/12 14:12:46)

絹川みちほ> おはよ、ひとりちゃん、つんつん   (2023/3/12 14:13:00)

京町セイカ> ……私ここにきてからが初体験だったからね？   (2023/3/12 14:13:14)

桜衣乃> えーっ、うそーっ！？   (2023/3/12 14:13:36)

桜衣乃> だってあの手慣れてる感はその道のプロのはずでは…！？   (2023/3/12 14:14:00)

後藤ひとり> 3時間まるまる寝てました……(つんつんされて)   (2023/3/12 14:14:13)

絹川みちほ> 眠れてよかったよ、ひとりちゃん   (2023/3/12 14:14:26)

絹川みちほ> ……私だっておもちゃなんか持ってないなあ……   (2023/3/12 14:14:44)

桜衣乃> あ、おはようございますひとりちゃん。…おや、ここは１階でしたか。   (2023/3/12 14:14:51)

絹川みちほ> 一階だよー   (2023/3/12 14:15:10)

後藤ひとり> たまにどの階層か分からない時ありますよね   (2023/3/12 14:15:21)

桜衣乃> お部屋が埋まってますので緊急告知を……このたび百合部屋の3階を作りましたので、ぜひご利用くださいませ〜♪   (2023/3/12 14:15:32)

小春六花> じゃあ私は抜けておこうかな…   (2023/3/12 14:15:52)

京町セイカ> 手慣れてるってなによ！？   (2023/3/12 14:16:31)

絹川みちほ> おお、３回できたんだ   (2023/3/12 14:16:33)

桜衣乃> そして私はそろそろおでかけの準備をしなければなので、六花ちゃんに同じく……   (2023/3/12 14:16:37)

小春六花> またいにー   (2023/3/12 14:16:39)

おしらせ> 小春六花さんが退室しました。  (2023/3/12 14:16:43)

後藤ひとり> お疲れ様です……   (2023/3/12 14:16:57)

絹川みちほ> 六花ちゃん、また会おうね   (2023/3/12 14:17:07)

絹川みちほ> 衣乃ちゃんも気をつけてね   (2023/3/12 14:17:18)

桜衣乃> お疲れ様でした〜♪　それでは、またのちほど……♪   (2023/3/12 14:17:29)

桜衣乃> みちほちゃんもありがとうございます〜…♪   (2023/3/12 14:17:39)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> おつかれさま~   (2023/3/12 14:17:47)

京町セイカ> 2人ともお疲れ様。といったところで私も用事を済ませておこうかしら   (2023/3/12 14:17:55)

おしらせ> 桜衣乃さんが退室しました。  (2023/3/12 14:18:02)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> 一気に雪崩るなだれる(ぐぇー   (2023/3/12 14:18:06)

絹川みちほ> セイカちゃんも背後？   (2023/3/12 14:18:40)

2023年03月12日 00時34分 ～ 2023年03月12日 14時18分 の過去ログ
「版権百合部屋」
現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
