/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年02月22日 19時50分 ～ 2023年02月23日 09時11分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

東北ずん子> ふたりに添い寝してもらえるときいて！(ぎゅ、ぎゅ   (2023/2/22 19:50:56)
ライネス> ふふっ、添い寝程度あれば…それこそキス以上に日常だよここでは♪…了承して貰えて何よりだ。それなら…っと（くすっと笑えば…凭れていた身体を少し離せば相手の腰回りにくっつくように抱きしめて）   (2023/2/23 02:46:45)

京町セイカ> にゃっ！？(腰にぎゅっとされるのにぴくりとしながらもくっついてくるライネスちゃんをこちらからも迎えるように抱いてそのままパタンとソファに倒れる)   (2023/2/23 02:48:03)

ライネス> ん、……最後の驚きの声が猫みたいだったな（こんな所でも猫の日にちなんだのだろうか、といっても日付は変わっているが）私の体温でだけで寒ければ言ってくれ…控えてる従者に毛布を持ってこさせるだろうから…（なんて少し寝心地は気にしつつも…ともに倒れ込んだままに抱きしめれば…此方はこのまま寝るつもり満々で）
  (2023/2/23 02:51:39)

京町セイカ> ね、狙ったわけではなかったけどね！？(あせあせと弁解始めながら)……じゃあ今日はこのまま…おやすみなさい(綺麗な金髪を撫でながら顕になった額にちゅっ)   (2023/2/23 02:53:26)

ライネス> だろうね…♪（狙っている方が驚きだよなんてつい笑ってしまいながら）ふあ……ん、あぁ…おやすみだセイカ（額に触れた柔らかい熱は不意打ちで…一瞬きょとんと驚いた後に、自然と頬を緩めながら、身体を凭れさせて目を瞑るとしようか）   (2023/2/23
02:57:01)

京町セイカ> 【では、これでお開きかな？】   (2023/2/23 02:57:37)

ライネス> 【かな。遅い時間になってしまったし…お互いゆっくり休むとしようか】   (2023/2/23 02:58:15)

京町セイカ> 【ええ、ではありがとうございました。お疲れ様でした】   (2023/2/23 02:58:38)

ライネス> 【此方こそ…またお互いタイミングあった時は仲良くして貰えると嬉しいよ。おやすみなさい】   (2023/2/23 02:59:05)

京町セイカ> 【もちろん、またエスコートしてくださいね？】   (2023/2/23 02:59:35)

ライネス> 【了解したよ。次は…今日よりも恥ずかしくて気持ちい事までエスコートさせて貰うよ♪】   (2023/2/23 03:01:33)

京町セイカ> 【楽しみにしてるわね。じゃあまた！】   (2023/2/23 03:02:02)

ライネス> 【またね！】   (2023/2/23 03:02:15)

おしらせ> 京町セイカさんが退室しました。  (2023/2/23 03:02:21)

おしらせ> ライネスさんが退室しました。  (2023/2/23 03:02:22)

おしらせ> ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱさんが入室しました♪  (2023/2/23 08:33:11)

おしらせ> 後藤ひとりさんが入室しました♪  (2023/2/23 08:38:49)

後藤ひとり> おはようございます…   (2023/2/23 08:39:08)

後藤ひとり> あれ……？   (2023/2/23 08:48:32)

おしらせ> ラトナ・プティさんが入室しました♪  (2023/2/23 08:54:36)

ラトナ・プティ> おはプテ   (2023/2/23 08:54:57)

後藤ひとり> あ、どうも…   (2023/2/23 08:56:01)

ラトナ・プティ> どうもぉ（ゆらゆら）   (2023/2/23 08:56:30)

後藤ひとり> アニスさんは寝てますね……   (2023/2/23 08:56:41)

おしらせ> BBペレさんが入室しました♪  (2023/2/23 08:56:55)

BBペレ> よーしそれじゃあアニスさんの体に落書きをしましょう！！（ひょこりと現れる系サーヴァントBBです。油性ペンいっぱい持ってきました！）   (2023/2/23 08:57:19)

ラトナ・プティ> 寝てるねぇ   (2023/2/23 08:57:26)

後藤ひとり> 起きてバレても知りませんよ……(じとー)   (2023/2/23 08:57:54)

おしらせ> 無言時間が25分を超えたため、ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱさんが自動退室しました。  (2023/2/23 08:58:12)

おしらせ> ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱさんが入室しました♪  (2023/2/23 08:58:15)

BBペレ> なんとなくこのネタをやりたいがために現れただけなのでスマホからなBBちゃんです。バッテリーめっちゃ摩耗するので割りとすぐに消えちゃいますが、ふふふふ♡　バレて怒られるのもまた絡むネタができたということで――（ペンキャップきゅぽん。脚の内側にこう、「正」って文字を――）
  (2023/2/23 08:58:28)

ラトナ・プティ> あちでどうなってもうちはしらない（うにゃ）   (2023/2/23 08:58:32)

後藤ひとり> あ、目覚めました……   (2023/2/23 08:58:42)

ラトナ・プティ> ばんけんもいれた。   (2023/2/23 08:59:59)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ> あれ………ごめんごめんそめそも最初入ってる認識なかΣはぁぁぁっ……/////!？(意味が解らない……とりあえず何かしようとしてるBBをげしげしと……或いは見られてるかもだけど気にする余裕なく……   (2023/2/23
09:00:09)

おしらせ> イリア・コーラルさんが入室しました♪  (2023/2/23 09:00:43)

イリア・コーラル> おはようございます、失礼します。   (2023/2/23 09:01:09)

後藤ひとり> 入ってる認識がないとは………！？あ、どうも   (2023/2/23 09:01:18)

ラトナ・プティ> おはプテ   (2023/2/23 09:01:22)

BBペレ> あ、起きちゃった。しかも保護者も来ちゃいました。ちぇー…諦めるしかなさそうですねえ（でもせっかくなので股ぐらは撮っときましょう、ぱしゃ）   (2023/2/23 09:01:48)

おしらせ> 中野三玖 ◆WY5HuZnICQさんが入室しました♪  (2023/2/23 09:02:13)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ> イリアっ…………!？な、何か朝から珍しくないっ………!？(はてさて救いの女神か或いは……   (2023/2/23 09:02:15)

中野三玖 ◆> ふあ……ぁぁ…   (2023/2/23 09:02:23)

BBペレ> じゃあ仕方ないのでひとりちゃんに落書きしましょうか。脚の内側に「正」って落書きしておけば、水着を着た時などに男子から大人気ですよお？（行き場のなくなったペン先ゆらゆらさせつつ）   (2023/2/23 09:02:42)

後藤ひとり> 保護者……！？あ、おはようございます   (2023/2/23 09:02:43)

ラトナ・プティ> おはプテ   (2023/2/23 09:03:09)

中野三玖 ◆> (…保護者？)……ねむい   (2023/2/23 09:03:11)

イリア・コーラル> 姫様お早うございます…朝から随分とお盛んなご様子で…（違う）   (2023/2/23 09:03:35)

後藤ひとり> …………どうして矛先が私の方へ！？そもそも今の時期に水着を着ることは無いです……！(慌ててBBさんから離れて)いや……お話しかしてないです   (2023/2/23 09:03:47)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ> Σっーーーーー/////!？(慌ててスカートは押さえたものの…状況は既に手遅れ感満載…)そ、そもそも何か、操作間違えたんでしょっ…………普通に入る気、無かったしっ……………   (2023/2/23 09:03:52)

ラトナ・プティ> （お姫様はおさかんだったという看板掲げてみよう）   (2023/2/23 09:04:20)

BBペレ> じゃあもう脚の付け根ギリギリまで見えかねないミニスカート穿いてお尻揺らしながら町中歩きましょうよー、陰キャ卒業できますよぉ？　ほら、陽キャに憧れてるんでしょう？（ふふふう）   (2023/2/23 09:04:36)

後藤ひとり> 眠いなら寝ましょう……。操作ミス…たまに居ますよね……   (2023/2/23 09:05:13)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ> はぁぁぁ////!？そもそも昨日居たから時間見付けて行ったのに寝てたメイドは何処の誰だっ………!？(ぴしぴし、お前だよって   (2023/2/23 09:05:14)

BBペレ> 客観的事実として私とアニスさんがお盛んだったということになっている。ということは序列こそ入れ違いになれど、これは本当にアニスさんとBBちゃんがびちゃびちゃモーニングファックをして事実にするしかないのでは？？？（撮影した画像をカルデアTiktokにアップロードしつつ）
  (2023/2/23 09:05:46)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ> そもそも、何で朝からこんな人多いっ………!？処理おっつくかこんなのーっ………!   (2023/2/23 09:05:54)

中野三玖 ◆> (ひとりちゃんの方にズルズルと)   (2023/2/23 09:06:11)

後藤ひとり> ミニスカも持ってないのですし足も寒くなるし……というかそれは陽キャではなく痴女では………(ひいいい………)三玖さんはどうしました？   (2023/2/23 09:06:41)

ラトナ・プティ> 朝だからだよたぶん（たぶん）   (2023/2/23 09:07:11)

後藤ひとり> イリアさんは怪我の影響で気絶してたんですよ……ﾀﾌﾞﾝ   (2023/2/23 09:07:16)

BBペレ> 陽キャも痴女も大差ないんじゃないです？？（暴論）   (2023/2/23 09:07:21)

イリア・コーラル> おや違いましたか…？ええ、いつの間にか抱き枕にされてましたね…（しれっと姫様の動向をチェック済みのメイド）   (2023/2/23 09:07:37)

後藤ひとり> それは……分からなくもないけど……いずれにしてもやっぱりほら段取りが必要なんですよ……いきなりそんな駆け足は………まずは星の眼鏡をかけて……   (2023/2/23 09:08:47)

BBペレ> いいですか？　人当たりがよくてみんなに好かれてて男子からも人気者で――そんな陽の気の人物が処女だなんてそれこそ幻想というやつじゃないでしょうか！　何故か性に関することだけ急激に陰に転向することなどあるのでしょうか。つまりひとりちゃんのところの陽キャなボーカルの子も裏ではそれはもう色々とやってるに決まってます。
  (2023/2/23 09:09:00)

BBペレ> アニスさんとその保護者さんはいつもいちゃいちゃしてますねえ、羨ましいです、寝取りたくなりますね。   (2023/2/23 09:09:21)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ> なってないわっ…………!盛ってんのアンタ一人でしょっ……!？朝からアンタの相手とか休みでも無い限りしんどいってのっ……!はぁもう……最近まともに見ないと思ったらっ…待ってアンタ今何した…？(既に色々混沌な状況下でしれっと何かしやがった…!？慌てて端末らしき何かを奪い取ろうと
  (2023/2/23 09:09:28)

中野三玖 ◆> (ぎゅー…)ﾆｬｰ…   (2023/2/23 09:10:05)

後藤ひとり> ……きらら作品に男という概念はないんですよ………？女の子は女の子同士で絡むんです………虹夏ちゃんは彼氏いるってネタにされてますけど(更に上を行く暴論)猫がいますね……(よしよし)   (2023/2/23 09:10:53)

BBペレ> BBちゃんは気まぐれですもーん。割りと外からは毎日眺めてますけど、既にふたりペアになってるケースが多くて入りづらいじゃないですかぁ。BBちゃんは空気が読めるんですー。――きゃー！　アニスさんどこを触ろうというのですか！　えっちー！（端末自分の胸元に突っ込みながら、ふりふり、ゆさゆさ）
  (2023/2/23 09:11:09)

2023年02月22日 19時50分 ～ 2023年02月23日 09時11分 の過去ログ
「版権百合部屋」
現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
