/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年03月02日 10時38分 ～ 2023年03月02日 23時18分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

白金燐子> そ、そんなことは…   (2023/3/2 10:38:44)
後藤ひとり> あ、行ってらっしゃいです   (2023/3/2 19:14:03)

おしらせ> 森久保乃々さんが退室しました。  (2023/3/2 19:14:12)

白金燐子> いってらっしゃいませ…   (2023/3/2 19:14:13)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> いってらっしゃーい   (2023/3/2 19:14:42)

後藤ひとり> という私も地味に眠く……   (2023/3/2 19:14:46)

白金燐子> 私も眠く…   (2023/3/2 19:15:08)

後藤ひとり> まあ夜ご飯あるので寝れませんが……   (2023/3/2 19:16:09)

白金燐子> 私もよるご飯ありますね…   (2023/3/2 19:16:29)

後藤ひとり> 眠い……(燐子さんにもたれ掛かり)   (2023/3/2 19:17:35)

白金燐子> んっ（よしよしとあたまなでてあげて）   (2023/3/2 19:18:01)

後藤ひとり> 燐子さんお姉ちゃんみたいですね……(すりすり)   (2023/3/2 19:19:24)

白金燐子> お姉さんですか？（よしよし）   (2023/3/2 19:19:57)

後藤ひとり> はい……包容力があります……(ぎゅ)   (2023/3/2 19:20:52)

おしらせ> 絹川みちほさんが入室しました♪  (2023/3/2 19:21:08)

絹川みちほ> こんばんは   (2023/3/2 19:21:12)

白金燐子> んっ、確かに友達にもよく言われます…（よしよし）　こんばんは   (2023/3/2 19:21:47)

後藤ひとり> なので姉や母親かと……(抱きしめてて)   (2023/3/2 19:22:30)

後藤ひとり> こんばんはです   (2023/3/2 19:22:32)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> いらっしゃーい   (2023/3/2 19:22:48)

白金燐子> そう見える人にはそう見えるんでしょうか（よしよし）   (2023/3/2 19:24:27)

絹川みちほ> こんばんは、やっとお仕事終わりだよ   (2023/3/2 19:24:42)

白金燐子> お疲れ様でした…   (2023/3/2 19:24:55)

後藤ひとり> そうですね……大人ぽく見えます……(胸に顔埋め)   (2023/3/2 19:25:46)

絹川みちほ> ありがとうございます。そういえばはじめましてだね、私は絹川みちほ。よろしくお願いしますね   (2023/3/2 19:26:14)

白金燐子> んっ、それはうれしいですね（よしよし）   (2023/3/2 19:27:13)

白金燐子> どういたしまして。白金燐子です、よろしくお願いしますもうすぐ落ちますが…   (2023/3/2 19:27:56)

後藤ひとり> 私もご飯と眠気が…(撫でられてうとうと)   (2023/3/2 19:28:16)

白金燐子> 何とか気合でおきましょう（よしよし）   (2023/3/2 19:28:59)

後藤ひとり> あ、ご飯呼ばれたので行ってきます……(頬にキスして)   (2023/3/2 19:29:44)

白金燐子> んっ、いってらっしゃいです（おかえしにこっちもほほにきすしかえして）   (2023/3/2 19:30:23)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> いってらー   (2023/3/2 19:33:10)

絹川みちほ> 燐子ちゃんだね、よろしくね。私も顔出しくらいだなあ   (2023/3/2 19:33:16)

絹川みちほ> いってらっしゃい   (2023/3/2 19:33:20)

白金燐子> はい、よろしくおねがいします。ではおちますねお疲れ様でした…   (2023/3/2 19:34:03)

おしらせ> 白金燐子さんが退室しました。  (2023/3/2 19:34:06)

絹川みちほ> お疲れ様だよ   (2023/3/2 19:34:43)

後藤ひとり> 戻りました……   (2023/3/2 19:40:15)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> お疲れ様だなぁ   (2023/3/2 19:40:17)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> おかえりー   (2023/3/2 19:40:22)

後藤ひとり> とはいえ眠気が……少し取れましたが   (2023/3/2 19:43:14)

絹川みちほ> おかえりなさい   (2023/3/2 19:48:29)

後藤ひとり> 2人は眠気どうですか？   (2023/3/2 19:52:43)

絹川みちほ> 私は今のところは大丈夫だよ。もうそろそろご飯で少し離れるけどね   (2023/3/2 19:56:59)

後藤ひとり> なるほど……私は少し仮眠しようかと……   (2023/3/2 19:58:29)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> あたしは少し眠いかも。仮眠しようかと思ってるくらい   (2023/3/2 19:59:05)

後藤ひとり> なら寝ます？……(むぎゅ)   (2023/3/2 19:59:43)

絹川みちほ> じゃあ、ひとりちゃんとガヴリールちゃんが仮眠するなら、私も一旦離れて用事してこようかな？   (2023/3/2 20:00:32)

絹川みちほ> むぎゅ   (2023/3/2 20:00:37)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> どうしようかなぁ   (2023/3/2 20:01:22)

後藤ひとり> 私は寝ようかと……(おふたりを抱きしめて)   (2023/3/2 20:02:01)

絹川みちほ> すりすり   (2023/3/2 20:02:14)

後藤ひとり> ぎゅー   (2023/3/2 20:07:17)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> ぎゆぅー   (2023/3/2 20:09:27)

後藤ひとり> 寝ようかな……(すりすり)   (2023/3/2 20:11:57)

絹川みちほ> おやすみなさい？   (2023/3/2 20:27:03)

おしらせ> 無言時間が25分を超えたため、天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄさんが自動退室しました。  (2023/3/2 20:34:30)

おしらせ> 無言時間が25分を超えたため、後藤ひとりさんが自動退室しました。  (2023/3/2 20:36:58)

おしらせ> 無言時間が25分を超えたため、絹川みちほさんが自動退室しました。  (2023/3/2 20:52:10)

おしらせ> 桜花あさひ ◆gAmHDzY8Wcさんが入室しました♪  (2023/3/2 22:00:35)

桜花あさひ ◆> こんばんはだぁ♪   (2023/3/2 22:00:42)

おしらせ> クレーさんが入室しました♪  (2023/3/2 22:20:18)

クレー> こーんばんは～(ひょっこり現れたクレー登場～♪)   (2023/3/2 22:21:22)

桜花あさひ ◆> クレーこんばんはだぞーっ♪   (2023/3/2 22:21:57)

クレー> あさひお姉ちゃんこんばん……ああっ、パジャマかわいいー♡   (2023/3/2 22:22:42)

桜花あさひ ◆> えへへ、いいだろ〜♪かいじゅうあさひだぞ〜っ♪   (2023/3/2 22:23:31)

クレー> わあーいいなぁ～♪(あさひお姉ちゃんのかいじゅうパジャマ眺めながら)   (2023/3/2 22:28:59)

クレー> あうっ……！クレー間違えたっ   (2023/3/2 22:29:41)

クレー> 今日ね、千冬お姉ちゃんの誕生日だって聞いてねクレーお祝いを言いに来たんだけど   (2023/3/2 22:30:15)

桜花あさひ ◆> ふふ、ぽかぽかだぞ〜♪（にこにこ）お誕生日っ、そうなのかぁっ♪   (2023/3/2 22:32:46)

クレー> そうそう、今日2日が誕生日なんだって♪   (2023/3/2 22:33:40)

クレー> ちょっとだけ上覗いてきてくるね…！   (2023/3/2 22:34:25)

おしらせ> クレーさんが退室しました。  (2023/3/2 22:34:28)

桜花あさひ ◆> 行ってらっしゃいだ〜♪あさひもすこしだけ落ちるぞ…っ   (2023/3/2 22:37:24)

おしらせ> 桜花あさひ ◆gAmHDzY8Wcさんが退室しました。  (2023/3/2 22:37:25)

おしらせ> クレーさんが入室しました♪  (2023/3/2 22:39:30)

クレー> あにゃ…あさひお姉ちゃんまたねー。今日はアニメの日だからクレーもゆっくり見る予定なのっ   (2023/3/2 22:40:35)

クレー> ちなみに明日はあの子の誕生日なんだけど、会えるかな…？会えたらお祝いしてあげたいんだけどな…(ぽわぽわと浮かべて)   (2023/3/2 22:41:46)

クレー> とりあえずお風呂入ってこよ…！また後でくる～   (2023/3/2 22:49:02)

おしらせ> クレーさんが退室しました。  (2023/3/2 22:49:05)

おしらせ> 五十鈴れんさんが入室しました♪  (2023/3/2 22:55:41)

五十鈴れん> こ、こんばんはです…はい。帰宅中で返信遅めですけど…お邪魔します…（こくこく…）   (2023/3/2 22:56:43)

おしらせ> 桜衣乃さんが入室しました♪  (2023/3/2 22:57:46)

おしらせ> 桜花あさひ ◆gAmHDzY8Wcさんが入室しました♪  (2023/3/2 22:58:22)

桜花あさひ ◆> ただいまだぁ♪   (2023/3/2 22:58:28)

桜衣乃> 上はいい雰囲気なので…おふたりにまかせて……と…♪ あ、れんちゃん！こんばんは〜♪ れんちゃんも帰り道ですか〜？   (2023/3/2 22:58:29)

桜衣乃> あ、あさひちゃん♪こんばんは〜、おかえりなさい〜？　……あらっ、そのパジャマ…かわいいですね〜っ♡   (2023/3/2 22:59:01)

五十鈴れん> あっ…衣乃さんもあさひさんも、こんばんはです…衣乃さんがフリーでいるところ…久し振りに見ました…はい…   (2023/3/2 22:59:38)

桜花あさひ ◆> えへへ、いいだろ〜♪(褒められれば自慢げに胸を張り)   (2023/3/2 23:00:02)

桜衣乃> フリーというか、私も帰り道で返信遅くなってましたし、……ほら、気遣いのできる女の子ですから♡(ちら、と上に目配せ)   (2023/3/2 23:00:46)

桜衣乃> はいっ、とってもかわいくてお似合いで……ふふっ♡記念に一枚撮ってもいいですか〜？♡(スマホ取り出しながら、カメラ用意して…)   (2023/3/2 23:02:20)

おしらせ> 花隈千冬さんが入室しました♪  (2023/3/2 23:04:12)

おしらせ> 錦木千束 ◆zMYfgmhp9wさんが入室しました♪  (2023/3/2 23:04:15)

桜花あさひ ◆> 写真？ふふっ、いいぞいいぞ〜っ♪かっこよく撮ってね〜っ♪(両手を広げてがおーっとポーズを取り)   (2023/3/2 23:04:27)

花隈千冬> 衣乃さんも…今日は空気悪くしちゃって申し訳ありませんでした……と謝罪だけ……。   (2023/3/2 23:04:37)

桜衣乃> …えっ、いきなりどうしたんですか千冬ちゃん……   (2023/3/2 23:05:08)

五十鈴れん> 衣乃さんも帰りでした…今日は暖かい方なので、寒さには耐えれます…。あさひさん、気付いたら衣乃さんに脱がされているので…き、気を付けて下さい…はい   (2023/3/2 23:05:27)

花隈千冬> あ、いえ…モリガンさんと遊んでるところ邪魔しましたし…上の人みんな何も発言できなくなりましまし……申し訳ないことしたな…と。謝りにだけ…。   (2023/3/2 23:05:42)

五十鈴れん> き、急な謝罪です…千冬さんもお誕生日、おめでとうです…はい   (2023/3/2 23:05:57)

錦木千束 ◆> お邪魔しまーす♪ いきなりシリアス展開！？…(元気よく挨拶した口を両手で抑えて黙り込んじゃってて…)   (2023/3/2 23:06:03)

花隈千冬> 衣乃さんも追い出すような形になったので……はい。それだけです。   (2023/3/2 23:06:14)

花隈千冬> れんさんは、ありがとうございます。とても嬉しいです。えっと、これだけなので落ちますね…失礼しました。   (2023/3/2 23:06:44)

おしらせ> 花隈千冬さんが退室しました。  (2023/3/2 23:06:47)

五十鈴れん> 千束さんもこんばんはです…も、もうパジャマで寝る気まんまんです…   (2023/3/2 23:06:47)

桜花あさひ ◆> こんばんはだぁ♪   (2023/3/2 23:07:27)

錦木千束 ◆> れんれん…昨日はめっちゃ迷惑かけちゃったねぇ… 最後の書き置きもしっかりと見てたんだけど…うん、頭痛くて寒いしで二度寝して…そのまま退出時間迎えてたよぉ… (両手を合わせて頭を下げて謝罪っ…)   (2023/3/2 23:07:45)

五十鈴れん> 上はちゃんと覗いてなかってので…でも、普通に楽しくお喋りしてる様に見えましたけど…はい   (2023/3/2 23:07:51)

桜衣乃> いえ、私は別に帰り道でほんとに返信できてなかったし、千冬ちゃんも私にお祝いされても無反応だったしせーちゃんいるしで、とりあえず抜けてあげようと……千冬ちゃんも難儀ですねぇ……。   (2023/3/2 23:07:53)

錦木千束 ◆> あさひも今晩は…♪ わぁ！かいじゅうパジャマめっちゃ可愛いなぁ…♪   (2023/3/2 23:09:21)

桜衣乃> あ、千束ちゃんもこんばんは〜♪ …ま、まぁ、このお部屋にはよくあることで……   (2023/3/2 23:09:57)

五十鈴れん> え、えっ…そんな、大丈夫です。私、千束さんと添い寝する時は…寝顔を見るのが目的なので…はい。で…でも、朝に少しだけお話できたら嬉しい…くらいの欲は持ってますけど…えへへ（小さな手の平を振って、謝らないで下さい…と笑顔で頷き…）  
(2023/3/2 23:10:16)

桜衣乃> とりあえずあさひちゃんは撮っておきますねっ、はい、チーズ♡(ぱしゃしゃしゃしゃしゃしゃしゃしゃしゃ)   (2023/3/2 23:10:23)

桜花あさひ ◆> えへへっ♪だろだろ〜♪ふふふ♪それにぽかぽかだぞ〜♪(軽くお尻を振って尻尾を動かし)   (2023/3/2 23:11:02)

桜花あさひ ◆> あははっ♪いっぱい撮っていいぞ〜っ♪(カメラに向けて色んなポーズを見せて)   (2023/3/2 23:11:22)

おしらせ> 吉田優子さんが入室しました♪  (2023/3/2 23:11:34)

吉田優子> まぞくのおでましです！   (2023/3/2 23:11:48)

錦木千束 ◆> 衣乃も今晩は…♪ 今日はえちえちしてないんだー？めっちゃ珍しい… (むふふーって口元を手で隠して少し揶揄うような笑みを浮かべてて)   (2023/3/2 23:12:16)

桜衣乃> ところでれんちゃ〜ん？私がまるで誰でも脱がすみたいな風評被害やめてくださ〜いっ……流石の私も、何でも脱がせばいいわけではありませんよっ！　まずは衣装も楽しんでからですね、うへへへへ……♡   (2023/3/2 23:12:52)

五十鈴れん> 千冬さんは衣乃さん大好きですから…少しの違和感をとても気にしちゃうんです…私も分かります…はい（こくこく…）   (2023/3/2 23:12:58)

桜衣乃> あ、優子ちゃんこんばんは〜♡ こっちにくるの珍しいですね〜♪今リング埋まってるからかな…？   (2023/3/2 23:13:36)

桜花あさひ ◆> ふふ、こんばんはだっ♪   (2023/3/2 23:13:52)

五十鈴れん> シャミ子さんもこんばんはです、はい…私と闘うために鍛えてきましたか…   (2023/3/2 23:14:06)

吉田優子> あ、いや……れんさんが私の事好きなみたいなので！(どや)   (2023/3/2 23:14:09)

錦木千束 ◆> 天使… れんは本当天使だぁぁ… 優しい… (両手を握って涙目で見上げるようにぃ…) うん、これからも朝お仕事行く時に一言入れたりするように出来たらいいけどぉ…千束朝はめっちゃ弱いから…約束はできないなぁ…破りたくないしぃ…  
(2023/3/2 23:14:10)

桜衣乃> はーい♡かわいく、かっこよく撮ってあげますからね〜♡こっち向いて〜♡(と、360度いろんな角度からあさひちゃんを撮影して…)   (2023/3/2 23:14:20)

吉田優子> 今日こそけっとうだー！   (2023/3/2 23:14:21)

錦木千束 ◆> らっしゃーい…♪   (2023/3/2 23:14:27)

吉田優子> あ、はい！よろしくお願いします！ひとりさんのCCなので挨拶は大丈夫です！私は吉田優子まぞくしてます！   (2023/3/2 23:14:54)

錦木千束 ◆> ポカポカなら千束も負けてないなー♪ めっちゃサメさんあったかいんだぜっ…♪   (2023/3/2 23:15:19)

五十鈴れん> そ、そうですよね…衣乃さんは着衣プレイも、それはそれで…でした。わ、私も好きです…着衣プレイ…   (2023/3/2 23:15:35)

桜花あさひ ◆> ふふ♪写真撮られるのも好きだな〜っ♪(怪獣ポーズで楽しそうに笑って)   (2023/3/2 23:17:42)

桜花あさひ ◆> 千束姉ちゃんはサメパジャマかーっ♪ふふんっ、でもかいじゅうの方が強いぞ〜っ！   (2023/3/2 23:18:07)

五十鈴れん> あっ…い、いえ。む…無理しなくて大丈夫ですから…それより千束さん…身体には気を付けて下さい…朝も早いですし…帰りも遅い感じなので…はい。また時間のある時は…いっぱい遊んで欲しいですけど…えへへ（両手を包む様に握り返すと、嬉しそうに照れ笑いします…）
  (2023/3/2 23:18:14)

2023年03月02日 10時38分 ～ 2023年03月02日 23時18分 の過去ログ
「版権百合部屋」
現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
