/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年02月13日 13時17分 ～ 2023年02月13日 19時56分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

結月ゆかり> 錬金術じゃないですか   (2023/2/13 13:17:33)
おしらせ> 結月ゆかりさんが入室しました♪  (2023/2/13 19:22:31)

結月ゆかり> そうですね、経産婦になる前ですね(追撃チャンス)   (2023/2/13 19:23:04)

おしらせ> 結月ゆかりさんが退室しました。  (2023/2/13 19:23:05)

琴葉茜> あ、ちなみにうちはえっちで相互理解したい派かなー。仲良うお話するのもぜんぜんありやと思うけど。…でもさすがにおめめを交換したりするのは避けたい（読んだ。いやべつにしたくてした訳でもないだろうけど）   (2023/2/13 19:23:06)

ペコリーヌ> そうですよ、えっちは大事なんですよ。沢山いちゃいちゃすれば。相手との相性わかりやすいです！   (2023/2/13 19:24:24)

琴葉茜> その言葉そっくりそのままお返しするわ…（絶賛だっこなうをぢとーり）　けいさんぷ。　（ごそごそ調べ）　…………カイ、おまえ（戦慄）   (2023/2/13 19:25:18)

ディズィー> 支援と追撃とか…時間差で私の黒歴史に微妙に刺さるんです……。   (2023/2/13 19:25:40)

おしらせ> 結月ゆかりさんが入室しました♪  (2023/2/13 19:25:58)

ペコリーヌ> ディズィーさんになにが(あたたかいめ   (2023/2/13 19:26:09)

結月ゆかり> 子供産んだのが黒歴史とか一晩の過ちでデキ婚したみたいで…興奮しますよね。こんばんは、あと一時間くらい寝たかったですけどそんな時間は窓から投げ捨てます   (2023/2/13 19:27:03)

おしらせ> 後藤ひとりさんが入室しました♪  (2023/2/13 19:28:29)

後藤ひとり> 戻りました……   (2023/2/13 19:28:36)

ペコリーヌ> ゆかりさんはちゃんとねてください！？こんばんはっ   (2023/2/13 19:28:37)

羽鳥智世 ◆> …あ、こんばんは。   (2023/2/13 19:28:45)

ディズィー> …………（わからない人のために。ディズィーはイグゼクスの後のシリーズで結婚して子供がいます。それでもちゃんと格闘ゲームのメインキャラクターで出演しています）…………。（目を据わらせて手を組んで）   (2023/2/13 19:28:48)

結月ゆかり> お帰りなさい、それからこんばんは。まぁ3時間ちょっと寝たので…14時間は戦えますね   (2023/2/13 19:29:16)

羽鳥智世 ◆> ……（私も人妻だよ、って目線）   (2023/2/13 19:29:27)

琴葉茜> 実は托卵でしたみたいな説もそれはそれで………おっと。（なんか目線がおっかなくなってきたのでおくちちゃっく）　はいお二人ともこんばんわー。   (2023/2/13 19:29:30)

羽鳥智世 ◆> あと、後藤さんはおかえりなさい。   (2023/2/13 19:29:55)

ペコリーヌ> 細かいことはきにしちゃだめですよ。そういうのはこう、きにしないでやることやっておくだけなのでいいんです！   (2023/2/13 19:30:10)

結月ゆかり> こ、子作りの経験とかは…？(ちら。自称人妻にインタビュー)   (2023/2/13 19:30:11)

ディズィー> ……（目線の優しさに目尻に涙）   (2023/2/13 19:30:16)

後藤ひとり> はい戻りました……   (2023/2/13 19:30:31)

結月ゆかり> カイとソルがその事実に気付いて、お義父さ──やめろ！！！！！ってなるシーン大好きです   (2023/2/13 19:31:12)

琴葉茜> ゼクスまでしかやっとらんかったけどあの二人が義理の父子になるの面白すぎるやろ…。   (2023/2/13 19:32:27)

ディズィー> （インタビューしてくる方に後ろの羽根が骸骨に変化して手をポキポキ鳴らせてる）………。（旦那とお父さんの話しをしている方を後ろの羽根が氷のナイフを研ぎながら見てる）   (2023/2/13 19:32:33)

結月ゆかり> ふふ。こちらはノーコメントみたいですね(うふふ)　智世さんの方はどうなんでしょうか？(ちら)   (2023/2/13 19:33:52)

琴葉茜> ぼ、暴力はいけない。　ペコちゃん、ほら、ディズィーちゃん止めて？　セクハラで。（指の間から親指だすアレでぐッ）   (2023/2/13 19:34:05)

ディズィー> ………こほん。私も旦那と父が仲睦まじい（誤解あり）姿はとても微笑ましく思います。   (2023/2/13 19:34:13)

ペコリーヌ> なるほど？(ディズィーさんの胸をむにゅっと。軽く揺らすくらい持ち上げてつつみこみ)   (2023/2/13 19:34:42)

羽鳥智世 ◆> ちょっと人外なので子作りの概念がないですね…   (2023/2/13 19:35:20)

ディズィー> （ペコリーヌさんの頭をスリッパで殴る）   (2023/2/13 19:35:28)

ペコリーヌ> さっきはさせてくれたじゃないですかぁ！？(きゃうん、きゅー)   (2023/2/13 19:35:53)

結月ゆかり> 関係性ごっちゃごっちゃしてますよね。…大体、公式設定にはなってますけども、ディズィーさんはソルの娘とは匂わせ程度しかなかったような…   (2023/2/13 19:36:12)

結月ゆかり> なるほど。まぁ、お腹に穴開けるよりは楽ですよ、お股に穴開く程度です(指で輪っか作ってそこにもう片方の手で人差し指を通すジェスチャー。にこー)   (2023/2/13 19:37:30)

ディズィー> 乗せられてするからですよ…（ジト目）母のことはもっと伏せられているので…一度匂わせになったら歯止めがかからなかったのかもしれません。   (2023/2/13 19:37:33)

琴葉茜> あの旦那さんは子作り以前にまず情緒をなぁ…。　おおペコちゃん　やられてしまうとは　なさけない（ペコちゃんここに眠る。墓石代わりに頭の上にプリン置いたろ。）   (2023/2/13 19:37:46)

ペコリーヌ> ディズィーさんのおっきなむね…柔らかかったです。ぐふ…(ぺこりーぬ　ここにねむる)   (2023/2/13 19:38:19)

羽鳥智世 ◆> エリアスの情緒はその……はい…（めそらし）   (2023/2/13 19:38:31)

結月ゆかり> まぁ、そうですよね…そもそもイグゼクスって何年前ですか…ブレイブルーですら10年前という事実に指先が震えて検索できないゆかりさんです…(ぎぎぎ)   (2023/2/13 19:38:44)

羽鳥智世 ◆> あ、でも旦那の中に取り込まれかけたこととかならあります   (2023/2/13 19:38:54)

結月ゆかり> ……丸呑みですか、逆に   (2023/2/13 19:39:11)

ディズィー> 個人的にすっごく面白くて楽しいのですが…茜さんとゆかりさんを同時にレスするのは、文章と指のきようさから難しいですから、行間と表情は読んで下さい   (2023/2/13 19:39:14)

ペコリーヌ> ……どんな作品なんでしょう、聞けば聞くほど見れなそうな作品です(ふわぁ   (2023/2/13 19:40:04)

結月ゆかり> あ、ゆかりさんはあれです、雑談特化モードなので適当で大丈夫ですよ(うふふ)　まぁ、いざやるとなったらやりますからね！   (2023/2/13 19:40:24)

ディズィー> グサ………（年代の話しは刺さってる。けっこう致命傷だ）   (2023/2/13 19:40:28)

琴葉茜> 丸呑みっちゅうか…　触手プレイやったな（非常に誤解を招くひょうげん）   (2023/2/13 19:40:49)

結月ゆかり> …考えないでおきましょうね、ディズィーさん。ゆかりさんも考えたくないので(めそらし)   (2023/2/13 19:41:12)

結月ゆかり> 触手プレイ！(がた)   (2023/2/13 19:41:26)

羽鳥智世 ◆> あれは…触手…うん。茨と肉の蔦まみれだったし…確かに…？   (2023/2/13 19:42:02)

ペコリーヌ> ディズィーさんならちょっと触らせてくれるかと…後悔はしてません(えへへ、そういうノリでセクハラしてってのは好きですし)   (2023/2/13 19:42:06)

ディズィー> そうですよね…（固い握手を求めようかと思ったけど、触手プレイに気がいったのでゆかりさんは放置することにした。助かった）   (2023/2/13 19:42:14)

結月ゆかり> いたそう…ですね(痛そう)   (2023/2/13 19:42:38)

羽鳥智世 ◆> 痛かったですね。   (2023/2/13 19:43:42)

ディズィー> 触られるのは良いですけれど…そういうノリでされても嫌がることは少ないですけど……。セクハラはセクハラですよ……。   (2023/2/13 19:43:58)

結月ゆかり> ほらひとりちゃんもようつべでASMRやマッサージ器具で配信やってる女のコ見てる場合じゃないですよ(ぐいー)   (2023/2/13 19:44:17)

結月ゆかり> でしょうね。ゆかりさんは触手とか茨とかないので安心してくださいね！   (2023/2/13 19:45:04)

ディズィー> ゆかりさんと智世さんの痛そうって…愛を受け入れた言葉の重みと、   (2023/2/13 19:45:27)

ディズィー> おいたをして折檻された痛みくらい差がありますよね…   (2023/2/13 19:45:59)

ペコリーヌ> 痛いの話はほどほどにしてくださいね、ね！ぎりぎり平気ですが(ばんばん   (2023/2/13 19:46:30)

琴葉茜> どんな作品て言うとなぁ。…特異体質で人間社会に居づらい子と、あほみたいに強い人外がちょっとずつ距離つめたりぶつかりあったりして仲良うなっていく話…？　めっちゃ大雑把に言うと異種恋愛譚やからそういうの好きなら面白いかなぁ…？　いや全然恋愛モノっぽくないけど。むしろ最新刊近くはバトルまんがになってたけど。
  (2023/2/13 19:46:43)

結月ゆかり> …ま、まぁ、どっちの痛みが辛いかと言われたら心のダメージの方がきついかもですねぇ   (2023/2/13 19:46:52)

結月ゆかり> バトル漫画路線で時々ギャグやるくらいで丁度いいです。アークナイツみたいな完全に救いのないディストピアみたいな終わってる世界も好きですけども…遊びくらいは欲しいですよね。あとおっぱい   (2023/2/13 19:48:04)

ディズィー> …あ、ごめん…（その話にのめり込みそうになったので、ペコリーヌさんを撫で）   (2023/2/13 19:48:11)

結月ゆかり> ……でも、初っ端から主人公の恋人が改造されてラスボスになってその後ディズィーさん産まれるとかダーク過ぎますよね   (2023/2/13 19:49:31)

ペコリーヌ> あ、いえいえ、私が個人的にそういう話が本当想像しちゃって…どうしてもだめなだけなので(はふ、ディズィーさんにくてー)　痛いのはSMとかそういうので十分です！   (2023/2/13 19:49:34)

ディズィー> （茜の解説とゆかりの感想に）…合ってるけれど雰囲気とか、様式美とか心構えってだいじですよね…。   (2023/2/13 19:49:46)

ペコリーヌ> 格闘ゲームの設定が無駄に重かったりするのはよくあることですし？   (2023/2/13 19:50:17)

ディズィー> うん…話しは合ってるけれども…茜みたいにオブラートと軽いのりに包んで話してほしかったです…（ゆかりを捕まえて頭をグーでごりごり）   (2023/2/13 19:51:16)

結月ゆかり> 重すぎる、重くしすぎても投げっぱなしになりますし…。軽いほうが投げっぱなしにしても怒られないし、とかそんな理由ありそうですね…(ARCの闇)   (2023/2/13 19:51:17)

羽鳥智世 ◆> 最新刊はおもいっきりいじめにあってて、親戚にたらい回しにされる描写が露骨だったりしたけど、私の成長を感じられて最高でした。   (2023/2/13 19:51:22)

結月ゆかり> いだいいだいいだい！！！ギアとのハーフのパワーはまずいですって！！(ぐぎぎぎ)   (2023/2/13 19:52:07)

羽鳥智世 ◆> あとフィロメラの裸がセクシーでしたね…。   (2023/2/13 19:52:29)

結月ゆかり> なるほど、強くなれたんですね…   (2023/2/13 19:52:29)

ペコリーヌ> …え、いまもやってるんです？(初耳   (2023/2/13 19:52:47)

ディズィー> ARCはそういうの多いというのか…それをつけても明るいウエスタンなのりで誤魔化しちゃうのが、私は好きというのか…。   (2023/2/13 19:53:02)

琴葉茜> あれをセクシー言うてええんやろか…。（とおいめ）   (2023/2/13 19:53:07)

結月ゆかり> 智世さんの裸はセクシーじゃないんですか(ちら)   (2023/2/13 19:53:12)

羽鳥智世 ◆> 漫画は来月発売で第二部完結、アニメ来季でその……学院編を全部映像化してくれるみたいです。   (2023/2/13 19:54:30)

結月ゆかり> きっと、そのノリでなんとかしちゃう雰囲気にしたのが最新作なんでしょう。なんか全体的に色とかタッチが昔の血みどろダークって感じより、ポップでライトな印象受けますし(こくこく。やったことはありませんけども)   (2023/2/13
19:54:36)

ディズィー> 大丈夫です。散々二次創作界隈で貧乳ネタでイジられて頑丈になった精神がこんなことで壊れることはないでしょうから。（最後にゴリっと言わせて）   (2023/2/13 19:54:36)

羽鳥智世 ◆> 私の裸は映像化済みですけどそこまで…   (2023/2/13 19:55:07)

羽鳥智世 ◆> 18巻のフィロメラはセクシー…のはず…です…。   (2023/2/13 19:56:00)

結月ゆかり> せい、しんと…肉体の強さは…！あががががが……あべしっ(がく)   (2023/2/13 19:56:13)

ディズィー> 私も最新作はやったことないんですよね……というか実はイグゼクスの前半でボロ負けするくらい……ゲームを殺るよりネットの方が考察が深まるというか……。（がくっも言わせたゆかりを投げ出しつつ）   (2023/2/13 19:56:50)

2023年02月13日 13時17分 ～ 2023年02月13日 19時56分 の過去ログ
「版権百合部屋」
現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
