/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2022年11月24日 02時40分 ～ 2022年11月26日 01時16分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

渋谷凛 ◆> やっぱり…クレーの頭の中はまだまだピンク色そうだけど……？   (2022/11/24 02:40:31)
桜衣乃> …はい、レイナちゃんですね♪ …おしゃべりは苦手でしょうか…。みなさん、きっとレイナちゃんのことも気になってると思いますよ？ほら、もっと大きな声でもう一度♪(頑張れ〜、と手を振って応援してみます)   (2022/11/26 00:38:26)

後藤ひとり> わ、私は………ぬ、脱いでもあまり需要はありませんが………(わ、私も……！？と)   (2022/11/26 00:38:49)

レム> んぅっ… (貴女のお胸がレムの顔を埋めて少し息苦しくなってしまいながらも…お顔を左右にすりすりって擦りながら谷間からお顔を見上げろように見つめていて…) こ、これ以上は… レムは寒そうにしてる貴女を暖めようとしただけですから…
(頬は真っ赤に染まりながら3人の絡みを見てドキドキは高まり続けています…♡)   (2022/11/26 00:39:43)

クレー> えー？そんなことないよ？クレーは知ってるよ？♡ひとりおねえちゃんがいいもの持ってるの…(ジャージのジッパーに手をかけて少しジーっと下ろしてあげちゃうの)   (2022/11/26 00:39:58)

レム> ひとりさんが脱いだらレムはとてもドキドキ胸が高鳴ってしまいます…♪ ひとりさんはとても美人で可愛らしく反応も…レムはひとりさん大好き…です。   (2022/11/26 00:41:11)

錦木千束> もう大分部屋んなか暑いんだけど……！んぅぅ〜……！みんなで脱げば怖くないってヤツ？(しゅる、っとタイを解き、胸元を露出させて…)   (2022/11/26 00:42:38)

後藤ひとり> え、え、……わ、わたしの服なんか脱いでも………あっ………///し、仕方ないですね……///(ジャージを脱がされて大きめの胸が露出されながら下のジャージも脱いで下着だけに……)千束さんの胸も立派です………   (2022/11/26
00:43:03)

レイナ･プラウラー> …レイナ･プラウラー。15歳。(名前と年齢をしれっと呟きつつ、やはり何処か落ち着かない様子で、今度はソファの上でゴロンと横になって)   (2022/11/26 00:43:35)

桜衣乃> そうですよぉ、私よりおっぱい大きいんですよね♪こないだ見たから知ってます…♡
…レムちゃんは……(メイド服の隙間から見える肌…。その胸のラインを見つめては、胸を押しつけ合う感じに…)…結構、ありますね…♪……どうですか？レムちゃん、私と…いえ、みんなと一緒に脱いでみませんか…♡そしたら、もっとあったかくなりますよ……♡(ぴっぴっ、とお部屋の温度上げながら、レムちゃんのほっぺなでなで…♡)
  (2022/11/26 00:44:05)

クレー> クレーもぬぐっ…よいしょ(赤いお洋服ぬぎぬぎしてクレーも下着姿に)わぁ…やっぱり2人ともいいもの持ってるね♡(千束お姉ちゃんとひとりお姉ちゃんのおっぱいを交互に見比べ♡)   (2022/11/26 00:44:58)

桜衣乃> ……うーん。…レイナちゃんは……ふふ、その気になったら、私達と同じ格好になってみてくださいね♪イノは待ってますから♪   (2022/11/26 00:45:26)

後藤ひとり> わ、わたしの胸は少し大きいだけで……///そ、そうですね……レムさんもメイド服から立派なのが見えてます………♡   (2022/11/26 00:45:55)

クレー> レムおねえちゃんのメイド服もかわいいし、おっぱいも大きいとクレーも思ってたの♡レムおねえちゃんもかわいくて素敵だよ♡   (2022/11/26 00:48:15)

レム> はぁ…はぁ…♡ はい…レムも少し暑くなってきましたから脱ごうと思っていたところです… 千束様も皆様で脱げば怖くないとおっしゃったましたので…便乗します…♪ (メイド服を丁寧に脱ぎながら畳んで下着姿になってしまいますね…♡)
衣乃様がお部屋の温度を余計に上げたのはお見通しではありますけれど今回は見逃した方が皆様楽しめると思うレムです…♪   (2022/11/26 00:49:23)

桜衣乃> ……なんと、この部屋は入れる人数が最大6人までなのですかっ。(見直してみて驚愕…)…もう少し入れたかもしれませんが…でも多過ぎても大変ですし…この人数はむしろベスト…？   (2022/11/26 00:49:59)

クレー> ひとりお姉ちゃん…千束お姉ちゃん…♡(クレーもふたりのおっぱい見比べてたらどきどきしてちょっと甘え顔で)クレーもっといちゃいちゃしたいな…♡   (2022/11/26 00:51:49)

レム> レムの胸が立派…お褒めに預かり光栄です、ひとり様もジャージでは隠しきれていないとても魅力的なモノをお持ちになられていますね…♡ レムは眼福です♡   (2022/11/26 00:51:58)

桜衣乃> ……ふふ、むしろ着てたら暑すぎるくらいには……♡…わぁぁ……♡メイド服の下はそうなってるんですねぇ……♡(下着姿のレムちゃん…♡ぎゅーっと抱きついて、おなかとか太ももとか密着させて…♡すりすりすり…♡)そうですよ、みんなで脱いだら怖くない…♡女の子しかいないんですから、もっと軽い気持ちで脱いじゃいましょ♡
  (2022/11/26 00:52:30)

後藤ひとり> い、いえいえ私のなんてそんな大それたものでは……れ、レムさんの方がおっきくて形も良くてすごいと思います………♡   (2022/11/26 00:52:41)

錦木千束> (もぞり、もぞりとリコリス制服の上を開けさせ下着を晒すと…)みんなで脱げばぁっ、とかなんとか言っといてアレだけど。私は…一線越えるなら個室派なんだよなぁ……。(気持ちは揺れる。流れに呑み込まれていくんだろなー…このまま……。)  
(2022/11/26 00:52:55)

桜衣乃> 個室はひとりしかお相手できませんからね〜。千束ちゃん、覚悟を決めてください？(にこにこにこ…。期待の眼差しを向けながら、レムちゃんとイチャコラしちゃって…)   (2022/11/26 00:53:55)

クレー> クレーもぉ…奥のお部屋でふたりっきりも好きだけど…みんなでするのも好きだからぁ…だから今日はこのまま一緒にしてほしいなぁ…♡お願い千束お姉ちゃん(千束お姉ちゃんにハート目でおねだり♡)   (2022/11/26 00:55:32)

レム> くすぐったいです… 衣乃様…♡ 軽い気持ちでって…レムは眺める専門みたいなところありましたから… 疲れた人を癒す役みたいところ… (色々擦れて凄くくすぐったくて甘い吐息漏れてしまいます…)   (2022/11/26 00:59:32)

レム> レムのお胸よりはひとり様のお胸がレムは好きです… とても白くて形も良いですし… 手触りなど最高級だとレムは思いますから…♪   (2022/11/26 01:01:32)

桜衣乃> だーめーですよぉ？このお部屋に入ったら最後、見てる人だって狙われる側…♡こうやって、お部屋の中の女の子にいただかれても…(甘い吐息漏らすレムちゃんの下着をそっと外してしまうと、私もシールを外して…生おっぱいをお互いに出させて、ふにふにぐにぐに押し付けちゃいます…♡)…文句言わせませんから♡どうですか〜？見る側から参加する側になった気分は…♪
  (2022/11/26 01:02:26)

後藤ひとり> な、なんで触っても何のに手触りを……！？そ、それにレムさんの胸の形も私は好きですし……柔らかそうです………♡   (2022/11/26 01:03:07)

錦木千束> わぉぉ…純粋な目でなんてお願いを……。(躊躇しながらも、こくん…。そのままスカートのジッパーを下ろして……。)ま、まー…いいよなー…たまにはさぁ…。   (2022/11/26 01:03:13)

クレー> ひとりお姉ちゃん…♡(ぱふっとおっぱいに顔を当てるとそのままもみもみと小さな手で揉んで甘えながらすりすりと…クレーはドキドキでちょっと興奮してるの//)   (2022/11/26 01:03:13)

レム> 千束様の気持ちはレムとってもわかります… 恥ずかしさに負けてしまいますから… レムも一線を越えるなら奥のお部屋で2人きりで…これがとても合っているとかもしれません… (下着姿でとても恥ずかしそうにもじもじ股を擦り合わせながら…♡)  
(2022/11/26 01:03:18)

クレー> 千束お姉ちゃんもクレーのこと触ってみて？♡頭だけじゃなくて、身体の方もなでなでしてほしいの♡   (2022/11/26 01:04:47)

後藤ひとり> んんっ……♡くすぐったい……♡(クレーさんの幼い手で胸を揉まれるとそれだけで喘いでしまい……♡)   (2022/11/26 01:05:21)

レム> すっ…少し強引にされるのは慣れていません…ですけど…はい、悪い気持ちにはなりませんよ…♡ (2人のお胸が押しつぶし合い擦れて突起同士ずりずりって触れ合ったらレムは耐えられません…♡) ぁ…んぅ…♡ 衣乃様はとても強引で少しレムも驚きです… ♪
(右手で頬を撫でながらえっちな衣乃様を見つめていて♡)   (2022/11/26 01:07:04)

錦木千束> だよなだよなぁ…！なんか恥ずかしくって遠慮？しちゃうってゆーかぁ……。(レムに、わかるぅー！っと二度三度と頷いて…。ちょっとくすぐったそうに、もじっ……♡と身動ぎすると…)クレー……よよよぉ…いつからそんな大胆な子に……。(労るような手付きでクレーの胸元をなでなで…って…。)
  (2022/11/26 01:08:17)

おしらせ> 無言時間が25分を超えたため、レイナ･プラウラーさんが自動退室しました。  (2022/11/26 01:08:37)

レム> ひとり様… よろしければレムのお胸を揉んでみますか？　ふふっ…もう参加してるわけなのでレムは気にしませんから…ひとり様が良ければおいでくださいませ…♡ (左手で手招きしながら3人を微笑ましく見つめています♡)   (2022/11/26
01:08:57)

後藤ひとり> れ、レムさんがいいなら……メイドさんのおっぱい触りたいです……♡(レムさんがそう言うなら……♡とドキドキしつつも手をわきわきさせて右手をレムさんの胸に添えて軽く揉んで)   (2022/11/26 01:10:00)

クレー> クレーはぁ…こんな感じだよぉ？♡衣乃おねえちゃんにいーっぱい色々教えてもらって…奥のお部屋だっていったことあるんだから♡はぁ…どきどきとまらないのっ♡みんなかわいくておっぱい出してすっごくえっちなの…♡   (2022/11/26 01:10:43)

レム> 千束様の思っていることはレムは理解できます…ですけれど… レムは少し今の状況を楽しんでしまっているので千束様も楽しんでくださいませ…♡ (下着をずらされて露出して恥ずかしくてぎゅっと衣乃様を抱きしめて見られないようにしています…♡)  
(2022/11/26 01:11:30)

桜衣乃> 私の役目は、このお部屋を訪れたすべての女の子がスムーズにえっちなことができるように誘導することですから♡もちろん…(よいしょ、とレムちゃん抱えながら5人集まるように近寄って…)…みなさんのやりたいことが叶うように、案内するのも私の務め…ですね…♡レムちゃんも本当は、みんなに混じりたいんですよね…♪(触れ合うひとりちゃんとレムちゃんをみてにんまり♡)
  (2022/11/26 01:11:46)

クレー> んんっ♡千束お姉ちゃんのなでなでぇ…クレーだいすきっ♡にゃっ(なでなでされて暑くてドキドキしながら触られて少し敏感に感じ取っちゃって♡)   (2022/11/26 01:11:52)

クレー> 衣乃おねえちゃんこういう時いてほしいなって思ってた…♡クレーにはまだできないからぁ…、だから来てくれて嬉しいっ♡   (2022/11/26 01:12:56)

レム> ぁ…ふふっ…♡ひとり様はあまり慣れていないみたいでとても可愛い触り方をするのですね… ひとり様…メイドさんのお胸を揉んだ感想はどうですか…？♡ (左手で綺麗な桃色の髪を撫でながら反応がとても可愛くて微笑ましく見つめてしまいます…♡)  
(2022/11/26 01:13:27)

桜衣乃> 私は表でみなさんと一緒にえっちするのが好きなんですが〜、恥ずかしい子、事情がある子はいますからね〜。…その時はちゃんと約束して、2人で待ち合わせての移動をおすすめします♪(ワンポイントアドバイスしつつ、クレーちゃんをいいこいいこ…)  
(2022/11/26 01:13:46)

後藤ひとり> ふへへ……♡柔らかくて……それでハリもある凄いバランスのいい胸ですね……♡ずっと揉んでいたいです……♡(髪を撫でられてうっとりしながら両手でゆっくりと揉みほぐした)   (2022/11/26 01:14:55)

桜衣乃> すぐに出来るようになりますよ♪クレーちゃんは私の教えをすぐ学んでくれますから、私の真似っこでこのお部屋を象徴する水先案内人になれるはずです♪ 頑張りましょうね♡   (2022/11/26 01:15:01)

レム> れ、レムは…偶には混ざるのも悪くはないと思いますけど…レムは下手なので…ご迷惑をかけるくらいなら眺める方が好きです…♡ 見てるだけでもレムは満足してしまいますから… お喋り相手ならいつでも歓迎のレムです…♪   (2022/11/26
01:15:53)

クレー> むー(レムおねえちゃんのおっぱいに夢中になってるひとりお姉ちゃんをみて)、えいっ♡ふにふにっもみっ♡(ちょっと強くひとりお姉ちゃんのおっぱいをもみもみとして)   (2022/11/26 01:16:57)

2022年11月24日 02時40分 ～ 2022年11月26日 01時16分 の過去ログ
「版権百合部屋」
現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
