/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年03月19日 01時24分 ～ 2023年03月20日 20時06分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

後藤ひとり> なら行ってらっしゃいです♪待ってますね   (2023/3/19 01:24:05)
朝倉可憐> うん、最近始めてずっとリセマラしてた感じかな……。ド畜生なのはうん、始める前から開発元がそういう会社なの知ってるから大丈夫かな。（消滅都市からのWFSのゲームのファンではあるという話。知ってるかな、消滅都市）…やってみたかったけど、どうせ地獄なんだろうな…って思ってたんだけど……ABコラボあたりで気になって、先日秋葉原でストアやってて我慢できなくなっちゃった。（元気なタマさんを眺めながら、知ってる顔が二人目にホッと一息）
  (2023/3/20 15:35:54)

國見タマ> リセマラも地獄ですからね！可憐さんは誰狙いでリセマラした感じですか？消滅都市は知りませんけど、開発が同じということでしょうか？ABコラボは無料ガチャもヘブバンにしては大盤振る舞いでしたし、何よりゆりっぺさんが実質の無料配布ｷﾀｰ‼︎でしたから！神運営です！手の平ぐるんぐるんです！！因みに奏さんは大爆死しました！骨も残らなかったです！（小さな拳をぐっと握りながら早口で一気に紡げは、お茶をぐびぐび飲んで喉を潤し）
  (2023/3/20 15:42:07)

朝倉可憐> 一週間くらいしてた気がする……。えっと…今のガチャの子だから……大島さんの、６番目の子、かな。もしくは佐月さんがでたら終わりにしようと思ってたんだけど、どっちかとSSを二人でゴールにしようと思ってて…全然終わらなくなっちゃった。　消滅都市はうん、開発が同じソシャゲだね。強制横スクアクションなんだけど…あなたはどっちのヒロインを見捨てますか？とか、プレイヤーを直接なぐるような演出をしてくるメタ視点を凄い絡めてくるシナリオが特徴かな…。……そうだよね、このゲーム天井高そうだし…ガチャもなかなか引け無さそうだし……。（こっちもペットボトルのお茶をくぴり、くぴり。）
  (2023/3/20 15:46:54)

國見タマ> とにかくガチャがド畜生ですから！運営はドS野郎です！6番目と言うと…六宇亜さんですか。かなり強いのでリセマラで取れたなら言う事なしです！可憐さんの勝ち確です、ありがとうございました！マリさんも氷フィールド持ちなので、スコアタとかには重宝します。ぎえぇぇ…！消滅都市…そっちもそっちで最上の切なさじゃないですか。とは言っても、ヘブバンはサービス開始当時と比べると色々と緩くはなってます。前はレベル上限も上げ辛かったので…3章ボス戦は鬼門でした。色々と遊び易くなったので、始めるタイミングとしては最適だと思います！（大袈裟に頷きながら表情をころころ変えて、嬉しそうに言葉を続けて）
  (2023/3/20 15:56:09)

國見タマ> すみません！私はそろそろ訓練に行かないと怒られてしまいます！また見掛けたら遊びに来ますので！乙であります！（一気にお茶の残りを飲み干すと、マントを翻して颯爽と部屋を出ていく途中で躓いて。泣きそうになりながら退室しました）   (2023/3/20
15:59:15)

おしらせ> 國見タマさんが退室しました。  (2023/3/20 15:59:19)

朝倉可憐> ですね、その人です。まだ名前を覚えられてないけどリセマラでよく触れる人はなんとなく覚えるくらいにぐるぐるしてたから、ちょうどよかったのかも。うん、１週間粘ったかいあり、ありがとうございました。フィールド…とかはまだよくわからないけど、そういうのがあるんだ…、いつかほしいな。　最上の切なさ…はそうだったかも。あ、うん。タマさんも会いに来てくれてありがと。またこっちでも会おうね。
  (2023/3/20 15:59:52)

朝倉可憐> あたしもそろそろ一度…落ちておくね。遊んでくれた人ありがと。   (2023/3/20 16:03:48)

おしらせ> 朝倉可憐さんが退室しました。  (2023/3/20 16:03:51)

おしらせ> 倉田ましろさんが入室しました♪  (2023/3/20 16:34:15)

倉田ましろ> こんばんは…   (2023/3/20 16:34:39)

倉田ましろ> そういえば最近七深ちゃんみないなぁ（げんきかな？）   (2023/3/20 17:32:06)

おしらせ> 朝倉可憐さんが入室しました♪  (2023/3/20 18:39:57)

朝倉可憐> こんばんは、他の階にたくさん人が居るみたいだけれど…何か訳あり？   (2023/3/20 18:40:18)

倉田ましろ> んっ、私はここが安定するからここにいるだけだよぉ…   (2023/3/20 18:46:00)

朝倉可憐> 安定。わかるようなわからないような…。えっと…お邪魔じゃないならいてもいいかな？   (2023/3/20 18:47:06)

倉田ましろ> 人がいると埋まっちゃうしねぇ。大丈夫だよぉ、あっ自己紹介モルフォニカのボーカルの倉田ましろです…   (2023/3/20 18:48:26)

朝倉可憐> ボーカルってことはバンドしてるのかしら。えっと…私もボーカルしてるんだ。朝倉可憐っていいます。   (2023/3/20 18:52:06)

倉田ましろ> あ、はいモルフォニカでしてます…あっ、可憐さんもボーカルなんだ…（なんか縁あるなぁおんがくけいのひとと）   (2023/3/20 18:53:32)

朝倉可憐> 本業は軍人なんだけれどね。……同じチームの人がチーム内で結成しちゃったから流れでね。（ほんとうの意味で音楽系なのはリーダーの人だけかな？って首を傾げたり）   (2023/3/20 18:55:37)

倉田ましろ> 軍人さん…そうなんだ、何かと戦ってる人ってことか…。あーなるほどそういうことか…（ふむふむ、なるほどとうなずいて）   (2023/3/20 18:57:37)

朝倉可憐> 何かと戦ってるってことであってるよ。　怪物…なんだけれどね。でも…リーダーの人は結構人気バンドだったんだって。   (2023/3/20 18:59:44)

倉田ましろ> まーそうだよね軍人さんだもんね…。怪物かぁ…怖いなぁ…。有名なバンドのひとだったんだね…   (2023/3/20 19:00:39)

朝倉可憐> ゲーマーの私でも知ってるくらい…だからすごいのかも。（こくこく）アパレルブランドとかも出してたからカリスマなのかもね。   (2023/3/20 19:04:45)

倉田ましろ> てことは私たちの世界でいうロゼリアさん立ちいちか…（ふむふむ）そ、それはすごいね…   (2023/3/20 19:06:19)

朝倉可憐> そういう立ち位置なのかも…。（たぶん）うん……実際センス凄かった。本当に。   (2023/3/20 19:09:23)

倉田ましろ> そういうことにしときましょう…（深く考えるとあれなので）…きいてみたかったなぁ…   (2023/3/20 19:11:06)

朝倉可憐> 多分ましろちゃんも耳にしたことあると思う……。広告でよく流れてたし…。   (2023/3/20 19:12:07)

倉田ましろ> 私広告あまり見ないほうだからなぁ…でもcmできいたことはあるきがする…   (2023/3/20 19:19:30)

朝倉可憐> うんうん……それにyoutubeとかにあがってるのとかあるし……。探せば聞けると思うわ？   (2023/3/20 19:21:36)

倉田ましろ> わかったぁ、いつか聞いてみる…とそろそろ落ちるねぇお話しありがとうお疲れ様でした…（ぺこっ）   (2023/3/20 19:23:10)

おしらせ> 倉田ましろさんが退室しました。  (2023/3/20 19:23:14)

朝倉可憐> あ、お疲れ様。   (2023/3/20 19:26:24)

おしらせ> 後藤ひとりさんが入室しました♪  (2023/3/20 19:28:17)

後藤ひとり> こんばんは……とお昼ぶりですね……   (2023/3/20 19:28:29)

朝倉可憐> あ、うん。お昼ぶり……上の階は解散してたんだ。   (2023/3/20 19:28:49)

後藤ひとり> ですね、私もご飯とお風呂なので離脱してました……(お風呂上がりでポカポカ)   (2023/3/20 19:30:39)

朝倉可憐> それじゃあ今日はあとは遊ぶだけ……だね。   (2023/3/20 19:31:14)

後藤ひとり> そうですね……やることも無いのでSwitchとかで遊ぼうかな……   (2023/3/20 19:32:11)

朝倉可憐> Switch、何して遊ぶの？   (2023/3/20 19:32:47)

後藤ひとり> カービィwiiとかマリカとかですね……   (2023/3/20 19:33:08)

朝倉可憐> 結構ゲームで遊ぶんだ…。最近ゲームする暇ないからちょっと羨ましいな…。   (2023/3/20 19:33:30)

後藤ひとり> 忙しいって言ってましたね……私も4月に入ったら今よりも遊ぶ暇は無くなりますね……   (2023/3/20 19:36:11)

朝倉可憐> ピークは過ぎたんだけれどね…。ソシャゲする程度の余裕は出てきたわけだし。   (2023/3/20 19:39:50)

後藤ひとり> お疲れ様です……ソシャゲは逆にモチベないんですよね……ブルアカとかしたけどリセマラで満足してしまいました……   (2023/3/20 19:40:45)

朝倉可憐> ヘブバン始めませんか…？   (2023/3/20 19:45:53)

後藤ひとり> いいですよ？続くかは別として……   (2023/3/20 19:47:23)

朝倉可憐> 多分……続くかと言われると厳しいかも。結構過酷な世界だから……   (2023/3/20 19:51:43)

後藤ひとり> とりあえず明日からリセマラします……   (2023/3/20 19:54:26)

朝倉可憐> リセマラはボーダーは高いけど楽……だったよ。   (2023/3/20 19:58:36)

後藤ひとり> なるほど……リセマラ大変だとそれだけで満足しちゃうので……   (2023/3/20 20:02:31)

朝倉可憐> 大体SSRをガチャで２体がボーダーみたい。　キャラを狙うとうん……地獄だったわ。   (2023/3/20 20:05:02)

後藤ひとり> なるほど……推しはいないというか……キャラは月歌さんしか知らないので大丈夫です…   (2023/3/20 20:06:54)

2023年03月19日 01時24分 ～ 2023年03月20日 20時06分 の過去ログ
「版権百合部屋」
現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
