/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2018年08月17日 17時11分 ～ 2018年08月20日 17時23分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

竹井 久> 【ちなみに部屋は継続して露天風呂のままよ】   (2018/8/17 17:11:26)
朔月美遊> 本当に…はしゃいでる……そんなに嬉しいの?(あまりのテンションの上がりっぷりに少し唖然としながら、戸惑うままにグラスとアイスを受け取り)だ…大丈夫?(両手に甘味を持ったまま慌てたように)   (2018/8/20 16:18:12)

クロエ> 　ん、だ、だいじょーぶ！ちょっとびっくりしただけだからっ♪(額を指でおさえつつも凝りずにアイスを咥えつつ)　そうそう、びっくりといえばー……　前回はすっごく楽しいコトしたわよね？　ミユの意外な一面が見れてびっくり＆ドキドキしちゃった♪　ミユもああいう激しいのできちゃうんだなー、って、ふふっ♪　(ソファに座りつつミユをいたずらっぽい表情で見つつアイス棒をちろちろ舐めながら流し目してみたり)　
  (2018/8/20 16:21:53)

朔月美遊> んっ………!?(大丈夫と言われ、ホッと安心してサイダーを飲もうとしたところに爆弾を落とされ危うく吹き出しそうになる)へ……え…楽しい…コト…?(目を回してしまったように、視線を色んな方向へ差迷わせながら何のことだろうと考えている)  
(2018/8/20 16:25:41)

クロエ> 　なによぅ忘れたとは言わさないわよー？　ここはもちろん次元がおかしくなってるから、色んなミユや、色んな”わたし”が居るんだろうけどさ。　本当に覚えがない？　それとも……　覚えてないフリ？　このソファで色々したじゃない？　　あ、座らないの？　(言いつつ自分の横のスペースぽんぽん)
  (2018/8/20 16:30:15)

おしらせ> 渋谷凛さんが入室しました♪  (2018/8/20 16:31:33)

朔月美遊> あぅ…覚えて……ないです(本当に私がそんな事…を……クロと……?)す…座ろうと思ってたけど……(そんな話を聞いてしまえば座ってもだいじょうぶなのかと心配になるもの、両手に持ったアイスを時折ペロッと舐めながらソファの前で躊躇している)  
(2018/8/20 16:32:46)

クロエ> と、リンじゃない！　こんにちわー！(手ふりふり)   (2018/8/20 16:32:47)

朔月美遊> こん…にちは…?(物音に後ろを振り向くと見覚えのない女の人…とても綺麗な人で、将来あんな風に慣れたらお兄ちゃんは褒めてくれるだろうかと考えて)   (2018/8/20 16:33:50)

渋谷凛> なにか騒々しいというか姦しいね……（あぁるんと女の子達を見ながらそうなんだと笑い）うん、こんにちわ（二人に挨拶してから麦茶を取って来てはソファの方へと座らない美遊の分も場所を自分とクロの間に開けて座り）   (2018/8/20 16:33:55)

クロエ> 　あれ、そっか！　それじゃ気にしないで！　ちょっと勘違いしちゃった、えへへ♪　　うわ、なんかわたし自分から恥ずかしいコトをバラしたような気がするわー……(褐色の頬をちょっと赤らめながら、気にしないで、とばかりに手をぶんぶん)　ともあれそれじゃこの次元では初めましてってことかしら、よろしくねっ♪(ぎゅーっ、と抱きつきつつ)　　　リンもこんにちわー！　明日からまた暑くなるのよね、熱中症対策は十分か、とか言いたくなるわー
  (2018/8/20 16:39:32)

朔月美遊> 騒々しいのは…クロだけで……(何か変な勘違いをされていそうと不安になりながらソファに座るりんさんを眺めていて)う…うん…よろしく……(ともあれ違う次元の自分が…と考えると、洋服の趣味がバレた時くらいに真っ赤になってなぜだか睨みつけたくなってしまう)
  (2018/8/20 16:41:11)

渋谷凛> 【流れ的にはキャラ合わせで来た別人みたいな……？】   (2018/8/20 16:42:10)

朔月美遊> 【そう…です、クロが居たから…】   (2018/8/20 16:43:05)

クロエ> 【みたいね♪　いやぁ嬉しいわー……♥(てれてれ】   (2018/8/20 16:43:34)

朔月美遊> 【う…うん……】   (2018/8/20 16:44:11)

渋谷凛> うん、そういうときは色々と教えて染めてみればわかるんじゃないかな……？　別の娘でも美遊ちゃんというのは変わらないよね（目の前で抱きつかれてる美遊をひょいと横から引き寄せては二人の間で捕まえて）ね……？   (2018/8/20 16:46:21)

クロエ> 　む、確かに騒がしいけど。　いいじゃない、騒がしいくらいがちょうどいいのよ。ミユだってキライじゃないでしょ？　それともうるさいわたしはキライ？(うるうる、琥珀色の瞳を潤ませつつ悲しげな顔をつくってみたり。　ぎゅーってすれば薄い白キャミ越しにノーブラの肌がミユの身体に密着しちゃいつつ)　　あー、もーリンずるいわ。　わたしはね、本来はねっ、せめ！せめなの！　ホントに！　だいぶこう思い切り真逆に突張しちゃったけどね！？　あとどっちも好きだけどね！(リンに横からミユをとられて、ぷくーっと膨れつつそのままぎゅーっ)
  (2018/8/20 16:49:08)

朔月美遊> へ……!?あの…何…?(状況が分からないと言うように困惑した表情を浮かべて、両側から寄ってくる2人を交互に見ながら)うるさいのは…きらいじゃないよ…?(何故だか分からないが悲しそうに目を潤ませるクロに何故だか罪悪感が湧いてくるように)  
(2018/8/20 16:50:53)

おしらせ> レム・ガレウさんが入室しました♪  (2018/8/20 16:53:56)

渋谷凛> クロエは私の前では可愛い所を見せるって事で良いし……美遊は可愛がられるよね？（そっと両側から美遊を覗き込みながらちゅっと小さい彼女の頬にキスをして）人が集まればそこそこ騒がしくなっていくところだしね？   (2018/8/20 16:54:24)

クロエ> 　(言いつつちょっと暑苦しさを感じ、エアコンのスイッチをピッ☆　冷房にしつつ。　冷えて乾いた空気が暑くじめっとした空気を爽やかなものにしていく。　冷えて乾燥した空気もミユにくっつけばちょうどいい心地よさで、気持ち良さそうに目を細め横のミユにぺったりくっついて)　んふふっ♪　嫌われてなくて良かったー……♪　みゆー、ぎゅってしてー、ぎゅーってー♪＞ミユ　　　　むむ、リン！　”ソレ”は秘密よ！　恥ずかしいんだからねっ(ぷくー！)＞リン　　　あ、新しい人ね、こんにちわ？
  (2018/8/20 16:57:59)

レム・ガレウ> こんばんは･･･（大人しく入ってくると、賑やかだなと猫耳少女が来て）   (2018/8/20 17:01:53)

渋谷凛> うん、こんばんわ？　   (2018/8/20 17:05:17)

朔月美遊> っ……(頬に口付けの感触を受け、さっき知り合ったばかりの人なのにとぶつぶつ小さな声で) こんばんは……?(ふと後ろを振り向くと、ヒトの身体に…猫の耳…?私みたいに付けたものだろうか…)   (2018/8/20 17:05:56)

渋谷凛> 秘密の事は秘密のままで……かな。美遊には見られたり知られたりするかもしれないけれど仕方ないよね（美遊ごしにクロエをつついては遊んで）ほら、美遊もここじゃあ色々と仲良くするような場所だから、ね？   (2018/8/20 17:06:39)

朔月美遊> わ…分かったけど…(グイグイ来るクロに根負けしたのかくっ付いてくるクロにゆっくり腕を回して)   (2018/8/20 17:07:08)

クロエ> 　あっと曇りなせいか時間感覚わかんなくなるわねー、もう五時？　少ししたらそろそろ家に戻らなきゃ。今夜はばーべきゅー……　なんだけど、なんかこー曇天模様の空の下でやってもイマイチ盛り上がりに欠けるわね。じめじめしてるし。　みんな今夜の夕食はどんな感じ？　(とそこで改めて来た人に目を向け)　　　あら珍しい、次元がアレコレしてるせいか珍しい人も来るのね。猫の獣人さん？　可愛らしいわね♪(はぁい、と片手をあげてみて)＞レム　　
  (2018/8/20 17:07:20)

朔月美遊> 夜…和食だよ…?多分魚…… じゅう…じん…さん?(もしかして本物かと分かると、目を輝かせる)   (2018/8/20 17:12:02)

渋谷凛> そうだねご飯は適当に任せて済ませちゃうかな……？　カレーみたいな感じでね（さらっと考えながらうんと頷き）もう少し手を抜くとスパゲティやおそばみたいになるけれど   (2018/8/20 17:12:16)

おしらせ> 京塚志温さんが入室しました♪  (2018/8/20 17:13:39)

京塚志温> 【こんばんはー】   (2018/8/20 17:13:47)

レム・ガレウ> ハイ、宜しくおねがいします。（容姿　https://myanimelist.cdn-dena.com/images/characters/13/353668.jpg
[/JumpUrl2/?url=https%3A%2F%2Fmyanimelist.cdn-dena.com%2Fimages%2Fcharacters%2F13%2F353668.jpg]）   (2018/8/20 17:14:03)

クロエ> 　(リンのつんつんしてくる指に指を絡ませつつ、ミユが腕回してくれると、わー☆　とばかりにぎゅー……　ミユの白肌に頬ずりするように甘えちゃう♪)　まあほらミユは親友だし、リンとはここで会ったばかりだけど良くしてもらったしー♪　秘密は秘密のままで、ね。　でもリンやミユの恥ずかしい顔も見てみたいっ！(くわっ)　　ミユんとこはお魚さんかー！　和食いいよね、いいよねー。お兄ちゃん担当のときは美味しい和食がでてくるから楽しみなんだけど。　あ、そのときはミユもお呼ばれする？　　　リンのカレーもいいわねー！夏だからこそっていう感じで、食欲なくてもあの香りを嗅いだらお腹減ってきちゃうし……！　一口サイズの小さめじゃがいもとか、ごろっと食べごたえあるの好きよ！＞リン　　と、夜になったからか、ぞくぞくね、こんばんわ！
  (2018/8/20 17:15:41)

京塚志温> どうもー   (2018/8/20 17:16:11)

朔月美遊> こんばんは……人が…沢山ですね(キョロキョロと意外に往来の激しい部屋に視線を走らせる)   (2018/8/20 17:16:19)

渋谷凛> クロエ……夏にジャガイモを入れたらダメだよ……（目を細めてみせて）　それはクロエ次第じゃないかなぁ？　クロエが色々と試してみてだね……（うんうんと頷き）　　いらっしゃい志温   (2018/8/20 17:18:16)

朔月美遊> うん、行きたい…かな…(クロのお兄さんとイリヤにも会いたいから…と。相変わらず接触の激しいクロに気後れするのか流されるまま)   (2018/8/20 17:18:17)

京塚志温> どうも～京塚志温です～   (2018/8/20 17:18:37)

クロエ> 　何だろこの感じ、ミユに似てるわ！(猫耳少女に視線を向けつつ、新しい人たちが来れば)　そういえば名乗ってなかったわ。　クロエって呼んで、よろしく♪　　　うん、イリヤもお兄ちゃんも言ってたよ、お兄ちゃんのときは連絡するわ。　……ミユ、人多いと大変？(ほっぺつん、つん)
  (2018/8/20 17:20:22)

クロエ> 　え、夏にじゃがいもってダメなの！？　なんで、なんで？　なんか普通に食べていたような気がするんだけど……　　むぅ、それじゃリンの恥ずかしい顔見られるよーにイタズラしちゃう、ふふー♪(手をわきわきしつつ、でもふと考え)　あーでもなんか返り討ちにあいそうな気がするわ……(へにょーん、脱力。ヘタレるわたし)
  (2018/8/20 17:22:31)

京塚志温> クロエちゃんね～よろしくお願いします～   (2018/8/20 17:23:15)

朔月美遊> 似てる…?(言われてレムさんの方を見るがよく分からない…クロが言うのだから似ているのだろうか、不思議な気分になりながらジッと続けてレムさんの方を眺めていて)うんん…大変じゃないけど…あんまり慣れてないから(つつかれると、反抗するようにむーっと頬を膨らませて)
  (2018/8/20 17:23:24)

2018年08月17日 17時11分 ～ 2018年08月20日 17時23分 の過去ログ
「版権百合部屋」
現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
