/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年03月25日 17時02分 ～ 2023年03月31日 01時32分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

後藤ひとり> 私には千束さんみたいな陽キャの塊は出来ませんが……   (2023/3/25 17:02:55)
緒山みはり> 朝にちゃんとおきれたらなんでも聞いてあげよう（よしよし）   (2023/3/28 16:53:55)

後藤ひとり> それは嬉しいです……(むぎゅ)   (2023/3/28 16:55:41)

緒山みはり> おきれたらだけどねぇ（よしよし）   (2023/3/28 16:56:31)

後藤ひとり> 自信ないかも……(すりすり)   (2023/3/28 16:56:59)

緒山みはり> 自信を持とう（よしよし）   (2023/3/28 16:58:17)

後藤ひとり> 持ってたら陰キャしてませんけどね……(むぎゅ)   (2023/3/28 16:58:56)

緒山みはり> お兄ちゃんと一緒だなぁ（   (2023/3/28 16:59:32)

緒山みはり> よしよし）   (2023/3/28 16:59:38)

後藤ひとり> まひろさんとはほぼ同族です……(すりすり)   (2023/3/28 17:00:05)

緒山みはり> 同族だねぇ（よしよし）   (2023/3/28 17:04:23)

後藤ひとり> 私ももう少ししたらあんな感じに………(ぎゅう)   (2023/3/28 17:06:18)

緒山みはり> なったら何もいうこときかないでおこうかな（ぼそっ）   (2023/3/28 17:06:51)

後藤ひとり> それは悲しいです……引きこもらないようにします……(すりすり)   (2023/3/28 17:08:06)

緒山みはり> わかればよろしい（よしよし）   (2023/3/28 17:12:29)

後藤ひとり> ありがとうございます……(むぎゅ)   (2023/3/28 17:14:18)

緒山みはり> どういたしまして（よしよし）   (2023/3/28 17:14:38)

後藤ひとり> 褒められることのことはしてないです……(うつらうつら)   (2023/3/28 17:17:55)

緒山みはり> そうかなぁ？（あたまなでなで）   (2023/3/28 17:18:22)

後藤ひとり> はい……というわけで少しだけ休もうかな……(すりすり)   (2023/3/28 17:21:01)

緒山みはり> おやすみなさいだねぇ（ちゅっ）   (2023/3/28 17:22:02)

後藤ひとり> また夜に会えたらぜひ……(ちゅ)   (2023/3/28 17:22:23)

おしらせ> 後藤ひとりさんが退室しました。  (2023/3/28 17:22:24)

緒山みはり> はーい（ひらひら）   (2023/3/28 17:22:36)

おしらせ> 無言時間が25分を超えたため、緒山みはりさんが自動退室しました。  (2023/3/28 18:40:27)

おしらせ> 無名さんが入室しました♪  (2023/3/28 22:22:24)

おしらせ> 無言時間が25分を超えたため、無名さんが自動退室しました。  (2023/3/29 00:28:07)

おしらせ> 倉田ましろさんが入室しました♪  (2023/3/29 16:25:26)

倉田ましろ> こんにちは   (2023/3/29 16:25:33)

おしらせ> 倉田ましろさんが退室しました。  (2023/3/29 17:42:32)

おしらせ> 緒山みはりさんが入室しました♪  (2023/3/30 09:57:27)

緒山みはり> おはようございます。   (2023/3/30 09:57:38)

緒山みはり> そろそろ行く準備しないとなぁではおつかれさまでしたぁ   (2023/3/30 11:09:46)

おしらせ> 緒山みはりさんが退室しました。  (2023/3/30 11:09:51)

おしらせ> 錦木千束 ◆zMYfgmhp9wさんが入室しました♪  (2023/3/31 01:03:54)

錦木千束 ◆> 眠れなーい……   (2023/3/31 01:08:08)

おしらせ> 倉田ましろさんが入室しました♪  (2023/3/31 01:15:09)

倉田ましろ> 眠れない夜が来る...   (2023/3/31 01:15:26)

錦木千束 ◆> そういう時もあるあるだよねぇ… (ソファ腰掛けてぼーっとしちゃいながら…両足ぶらぶら~~)   (2023/3/31 01:19:21)

倉田ましろ> ねぇーあるある過ぎるよねぇ...(はふぅっとそのままくつろぐように座って)   (2023/3/31 01:21:05)

錦木千束 ◆> 千束は急に寝ちゃうから注意~~！　あ、自己紹介的なことしてた方が良さげだぁ… 私は錦木千束でーす♪ よろしくっ… 挨拶遅れちったけど、そこは許してねぇ… (ソファに凭れて…ゆらゆらぁ…)   (2023/3/31 01:26:07)

倉田ましろ> そこは大丈夫だよぉ? あっ、そういえばよくすれ違ってたからなぁ倉田ましろです...よろしくお願いします。気にしてないですよぉ...(こっちもゆらゆらしてて)   (2023/3/31 01:27:40)

おしらせ> 後藤ひとりさんが入室しました♪  (2023/3/31 01:29:10)

後藤ひとり> 寝る前に少しだけ……   (2023/3/31 01:29:17)

倉田ましろ> こんばんはぁひとりさん   (2023/3/31 01:29:29)

後藤ひとり> お久しぶりですね……   (2023/3/31 01:29:46)

倉田ましろ> お久しぶりだねぇ,,,   (2023/3/31 01:30:00)

錦木千束 ◆> ましろ…めっちゃ可愛い名前じゃん…♪ すれ違ってたっぽい？　千束は忘れっぽいからなぁ…もうお婆ちゃんなんだよぉ…とほほ…(目を細めてお婆ちゃん口調…)   (2023/3/31 01:30:57)

後藤ひとり> 元気してました？………   (2023/3/31 01:31:19)

錦木千束 ◆> ひとり~~♪ やっほー♪お邪魔してまーす…(サメの手を上げて知り合いの君に手を振ってて)   (2023/3/31 01:31:57)

後藤ひとり> はい……お久しぶりですね……(こくん)   (2023/3/31 01:32:19)

倉田ましろ> ありがとうございます...すれ違ってたかなぁ?入ったときには相方さんとどこか行ってたので...おばあちゃん?私とおないどしくらいじゃ...?(きょとん)   (2023/3/31 01:32:31)

2023年03月25日 17時02分 ～ 2023年03月31日 01時32分 の過去ログ
「版権百合部屋」
現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
