/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年02月19日 11時23分 ～ 2023年02月20日 08時27分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

おしらせ> ｱﾆｽﾌｨｱ･ｳｨﾝ･ﾊﾟﾚｯﾃｨｱさんが退室しました。  (2023/2/19 11:23:04)
後藤ひとり> お勉強するだけでも偉いですよ……私頭良くなくて……はい……ついでにギターボーカルもしちゃいましょう……(ぐっ)今のところ揉めては無いので大丈夫です……寝落ちも改善できてるし……   (2023/2/20 02:45:34)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ> そもそも勉強もアル君居るからまともにやってないんだよねぇ私も……歌は流石にひとりには勝てないかなー…ユフィとツインでやってるし(CD買った？と唐突宣伝)羨ましい…私は寝落ち改善しにくいんだよねー…気を付けないと…  
(2023/2/20 02:50:04)

後藤ひとり> 頭良さそうなのに意外………アルさんはよく分からないけど……歌！？私はギターはともかく歌のは恥ずかしいですし……(only for
youですっけ……Amazonミュージック入ってるのでそれで聞いてますね……)むしろ最近は寝れなくて朝とかお昼にずっと寝てますよ……   (2023/2/20 02:52:24)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ> 基本王位継承権放棄してるからそういうのはアル君にお任せ!…だったんだけどなーんか雲行き怪しいんだよねー………そもそもひとりのバンドってボーカル誰なの…？それすら知らないんだけどそう言えば(結局ぼちろ未視聴勢が此処に)…それはどっかで戻さないと後々後悔するぞーっ…私みたいにベースが不規則って言うなら兎も角…？
  (2023/2/20 02:54:44)

おしらせ> 無言時間が25分を超えたため、ユフィリア・マゼンタさんが自動退室しました。  (2023/2/20 02:54:44)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ> ありゃ…やっぱユフィ寝ちゃったか……？お休み…？(ぽふぽふ   (2023/2/20 02:56:05)

後藤ひとり> 私は次回予告を見て既に絶望してます……はい………だから百合作品に男は要らないんですよ……え？あ、はい……喜多郁代………ユフィさんが前までしてたキャラですね………(時間ある時見て……なんて)少なくとも4月になるまでには治します  
(2023/2/20 02:58:26)

後藤ひとり> 夜も遅いですからね………   (2023/2/20 02:58:32)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ> 傑物と凡愚の魔学何とか…だっけ？そんな話だよねー……まぁ、覚悟して観て欲しいな…私も8話はリアタイ出来るし此処で観てるかもだし…　只アル君は…うん、あんまり誤解だけはしないで欲しい、かな…(目逸らし)あれ…郁代なの？ひとりは歌ってない……？3月半ばぐらいには戻さないと習慣として根付かないかなー…　　ってもう三時か…んん…悪いけど、私もそろそろ、寝ちゃおう、かな…ひとりも又今度ゆっくり、ね…♪お休みっ♪(ひとりをぽふぽふと撫で乍ら至近距離ウィンク、寝ちゃったユフィを抱えて姿を消して…
  (2023/2/20 03:01:39)

おしらせ> ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱさんが退室しました。  (2023/2/20 03:02:01)

後藤ひとり> と、お疲れ様でした……とりあえず続きを楽しみにして寝ますか……(撫でられるとこちらもうつらうつらと寝始めて)   (2023/2/20 03:06:41)

おしらせ> 後藤ひとりさんが退室しました。  (2023/2/20 03:06:45)

おしらせ> 倉内安奈さんが入室しました♪  (2023/2/20 06:20:03)

倉内安奈> ふぁぁ、おはようございまーす…(眠い目擦りながらふらふらとお部屋に入ってきます)   (2023/2/20 06:21:03)

倉内安奈> 眠気が覚めるまで、少しの間のんびりさせてもらいましょうかぁ…(ソファに腰掛ければ、ぽやー…と)   (2023/2/20 06:23:52)

おしらせ> カールスルーエ ◆MSTR.Awjvgさんが入室しました♪  (2023/2/20 06:38:29)

カールスルーエ
◆> おはようございます、もう少しだけ起きておきますかねぇ…ふふ、お邪魔しますよぉ。（ふぁ…と小さくあくびを漏らしつつ部屋の中に入れば。メイド服姿の少女にほんの少し身体を硬直させてしまったものの、艶のある黒髪を見てはすぐに警戒心を解いて。起きているかどうかを確認するように顔前で手をふりふり。）
  (2023/2/20 06:40:51)

倉内安奈> (うとうと…)……はっ(ふと、人の気配を感じて目を開いて見れば手がひらひらと舞っています。少しびっくりして目を見開いて上目で)お、おはようございますっ…！(ご挨拶は得意のはずなのですが、完全に油断していました。少し上ずった声でご挨拶します)  
(2023/2/20 06:45:20)

カールスルーエ
◆> うふふ、随分とお疲れのようですねぇ。えぇ、おはようございます、部屋の主ではありませんが…初めまして、カールスルーエと言います♪（慌てふためく姿を楽しげに眺めつつ、穏やかな声色で挨拶を。そして振っていた手で彼女の頬をそっと添えてから撫でなでして…♪先程警戒したのはこちら側の世界である意味危険なメイドさんがいた事から起因しているとか。それはともかく貴女のお名前は？なんて聞いてみたり。）
  (2023/2/20 06:51:13)

倉内安奈> ……初めまして、ですね。私は倉橋安奈と言います(少し落ち着きましたが、まだちょっと動揺しているのか座ったままご挨拶しちゃいます無害な普通のメイド中学生です)ふ、ぇ…？んぅ……(ぺこりと頭を下げようとしたら、頬に触れられて思わず小さく声を上げてしまいます。お顔を見てみると可愛らしい方で、そんな方に不意打ち気味に優しく触れられてしまったら思わずどきっとして…きゅんとしてしまいます)…ぁ、あの。なんてお呼びしたらいいでしょうか…？(気持ち良さそうに目を細めつつも、尋ねちゃいます)
  (2023/2/20 06:57:35)

カールスルーエ
◆> …ふむふむ、何となくニシキ（こちらの世界で言う日本のような国）の方ですねぇ。私の事…ですか。ここにいる皆さんは普段はカールさん、スルーエさん、なんて呼ばれてますねぇ。（なんの捻りもありませんが、続く言葉にほんの少しシニカルチックに言いつつ。大人しい様子から少しからかいを込めてむぎゅり、貴女の顔を胸に軽く埋めさせてみたり…♪）
  (2023/2/20 07:02:18)

倉内安奈> では、スルーエさんと……きゃっ…！？(ぽみゅん。唐突に顔を柔らかい感触に包まれて、またびっくりしてしまいます。普段はもうちょっと賑やかなはずなのですが、寝起きなのと不意を突かれてばかりですので、自分のペースが掴めません。会ったばかりのスルーエさんに翻弄されています。それに)……私の心、読めちゃったりします…？(心地よい柔らかさに包まれながら質問しちゃいます。何故私の好みを知っていたのでしょうか。寝起きなら素敵な女の人の胸で甘えたくなるのは私にとって当然のことです。手をそっとスルーエさんの胸へと上げて、ふにゅ、ふに…片手で自分の顔に押し付けながら聞いちゃいます)
  (2023/2/20 07:10:07)

カールスルーエ
◆> さぁ、どうでしょう。私は人の心を見ただけでわかるほどの超能力者ではありませんが…人心を掌握する為の観察眼ならあるかもしれませんねぇ？♡（くすくす、張りのあるやわかな胸に夢中な様子に可愛らしいですねぇ、なんて呟きながらも。よしよしと頭を撫でつつ…答えになってないような答えで返して。）それにしても随分と私のお胸が気に入っているようですが…貴女のも中々のものでは？♡（貴女からの頬擦りに少しだけ心地好くなっているのが緩んだ頬で分かってしまったかも。…だからお返し、という意味愛を込め、ふに、ふにふに。貴女の胸を軽く揉んでみましょうか♪）
  (2023/2/20 07:15:41)

倉内安奈> ど、どう、でしょうか……ん、んん…♡(胸に触れられると、小さく声を漏らしてしまいます。とても大きい胸というわけではありませんが、中学生にしたら平均よりやや大きいといったところでしょうか。ただ、時々自分でいじったりしているので感度はいいです。優しく頭を撫でられるのも大好きなので、ふる、ふると顔を振るようにしてスルーエさんの胸に擦り付け甘えながら、もじもじと身体をよじらせてしまいます。足は内股になっちゃって……)
  (2023/2/20 07:21:48)

カールスルーエ
◆> …ふふっ、何となくですが…貴女は見た目通りの大人しい方でしょうか？それともただ私に愚弄されて大人しくなっているだけでしょうか♡（前者ならこんな大胆な服なんて着れないはず…と踏んだ模様。さすさす、なでなで、ドレス越しの胸を撫で回しているのは胸の尖りを探すような手つきで♡頭を撫でていたほうの手を話変わりに太ももの太股の間に手を滑り込ませては、しゅり、すりすり♡太腿と股のきわどい所をどんどん撫でて♡何かお求めがございますかぁ？♡そんな甘い言葉を持ちかけて♡）
  (2023/2/20 07:29:38)

倉内安奈> 翻弄…されてますね……でも、こうやってされるのも…んぅ♡いいもの…ですっ…♡(御姉様に沢山愛されるのも好きな私です。手をスルーエさんの腕にそっと添えて、大人しく愛撫され続けます。ブラは付けていませんから、服の上からでも徐々に弾力を帯びた先端がつん、と指先に当たるのが分かってしまうと思います。優しい手付きに太ももから腰の辺りまでぞわぞわとした緩い快感に襲われて)ご奉仕、されてる…みたい、ですっ♡(焦らされるように内腿撫でてもらうの、感じちゃいます。快楽に耐えるように太もも、開いたり閉じたりして、はぁ、はぁ…♡息も少しずつ荒くなっちゃいます)あ、あの……ここ…(スルーエさんの手を取れば、スカートの中…白レースのショーツの上へと誘ってしまいます。ここ、切なくなって…きゅんきゅんしています。寝起きと言うのもあって、触れたらきっと熱々です…)
  (2023/2/20 07:40:22)

カールスルーエ
◆> …おやおや、寝起きは身体が熱くなるタイプでしょうか♡それに…“も”と付くことは、普段は私のように“する側”の方なんですね？♡（…一旦胸を触れる手を離しては、優雅にくるり、貴女の背後に回り込んで。同じくブラを付けていない胸をそれぞれの肩に乗せつつ頭を挟むように…むにぃ♡と押し付けてから。）安奈さんはご奉仕するのがお好きですかぁ？♡好きなのでありましたら…後でお部屋をお誘いしてお願いするので…今はもう少しだけ、愛でさせてくださいねぇ♡（トントンっ、かりっかりっ…♡服の上に膨らんだ尖りを指の腹で突いたり、爪で軽く引っ掛けたり♡もう片方の導かれた方の手は…くしゅ、こしゅ、こしゅ…♡触り心地のいいショーツ越しに割れ目を撫で回しつつ…つぷっ…♡少し横にずらしては薬指を中に押し込み、少しづつ解し始めて…♡）
  (2023/2/20 07:47:59)

倉内安奈> したり、されたり……半々くらい、でしょうか。愛してあげるのも、愛されちゃうのも…好きで。ん、ぷっ♡(素敵な女性相手だったら割となんでも受け入れてしまう私です。スルーエさんのやわやわなお胸に顔を挟み込まれてしまえば、ほぉ…♡熱い吐息を谷間に当ててしまいます。両手を背中に回して…むぎゅ。しがみつくように抱き締めて)…ん、んぅ…んんー…♡(スルーエさんの問いに、胸の中でこくんこくんとう頷くことしか出来ません。胸と股間、一緒に擦って気持ちよくしてもらえれば、くぐもった声を漏らしてしまいます。クリ、刺激されるとびく、びくと時折身体を跳ねさせて…)ん、ふぁぁぁっ…♡(細い指、中に入ってきました。まだ中を貫かれた事がないので、ぎゅーっとした感じたことの快感です。熱々になってる膣内はスルーエさんの指をきゅううー…って締め付けてます。ちょっと天井擦りながら奥突っつかれたら、すぐにイっちゃうかもしれません…♡)
  (2023/2/20 07:58:21)

カールスルーエ
◆> …いわゆる、オールマイティという事ですねぇ♪羨ましいです、私もそれだけの受けの包容力があればもっと良かったのですが…♪（背後から再び正面へと向かせて抱きしめつつ、生憎受けは気分的な所がありますから…とちょっとした悩みを吐露するも。中学生相手に大人寄りの身体をこれでもかと用いて骨抜きさせようとしていたり♡）…気持ちいいですか、気持ちいいですよねぇ♡…おや、これは…うふふ、随分と“希少性”がありますねぇ…♡（胸の尖りを指できゅぅー…っ♡と摘む最中、膣中の線状の膜の感触を感じては…にんまりとした笑みで♡しゅっしゅっ♡摘みながら人差し指で胸の尖りのてっぺんを擦りつつ、膣中にゆっくり、中指を押し込んでは…膜を破らないように気をつけつつ…奥をとんとんっ、こりっこりっ…♡刺激を与えながら、締め付ける直前に浅い所まで引っ込め、ざらつく窪みを撫で回しましょう♡…漏らしていいんですよぉ♡なんて甘い声で囁きます♡）
  (2023/2/20 08:11:20)

倉内安奈> ん、ぃぅ…はぁ、はぁー……♡(スルーエさんの指が私の中で優しく暴れてしまっています。胸の先端はスルーエさんの指を強い弾力で押し返そうとしてて、膣の奥の方突っつかれる度に、お腹の下の方が締め付けられるみたいにきゅんきゅんして、勝手に身体がびくんっと動いてしまいます。じんわりと、我慢できないような波がどんどんと集まってくれば…)ぁ、だめ、だめっ…いっく、いき、ますっ…♡(ぐーっ…と足伸ばして、全部スルーエさんに委ねる感覚を覚えれば…)～～～っ♡♡♡(びく、びくくんっ♡♡一際強く身体を跳ねさせて、割れ目からは暖かいお汁がぷしゅ、ぷしゅっ…♡ショーツを濡らしてしまいます。…なんだか、お漏らししてしまったみたいな感覚です)
  (2023/2/20 08:21:13)

倉内安奈> 【ごめんなさい。そろそろ時間になってしまいました…。また、可愛がっていただけると嬉しいですっ】   (2023/2/20 08:21:58)

カールスルーエ ◆> 【はぁい、私もそろそろ寝ようと思っていたので…うふふ、こちらこそまたよろしくお願いしますねぇ♪お付き合いありがとうですよぉっ】   (2023/2/20 08:22:47)

カールスルーエ
◆> …あぁ、可愛いですねぇ安奈ちゃん♡私の指がそんなにも気持ちいいだなんて…♡（瞬く間に達してしまった彼女、暫くの絶頂による硬直の後の…ぐったりと弛緩しきっての失神状態の身体を受け止めては…こちらもこちらで満足感によって襲ってきた眠気を感じては…「このまま、一緒に寝ましょうか…♡」なんて甘い声で囁いてから
───奥のお部屋で鍵をかけた後、貴女を抱き枕のように抱きつきながら眠りについたのでした…♡）   (2023/2/20 08:26:23)

倉内安奈> 【勘違いもフォローして頂きましたし、何よりのんびり進行にお付き合いして頂いてありがとうございましたっ。では、失礼いたします。お疲れさまでしたぁ(ぺこり】   (2023/2/20 08:26:50)

おしらせ> 倉内安奈さんが退室しました。  (2023/2/20 08:27:33)

カールスルーエ ◆> 【と、こんな感じで〆ておきますねぇ。はぁい、お疲れ様でした、見送った後に失礼しますねぇ♪（手をふりふり…♪）】   (2023/2/20 08:27:48)

おしらせ> カールスルーエ ◆MSTR.Awjvgさんが退室しました。  (2023/2/20 08:27:50)

2023年02月19日 11時23分 ～ 2023年02月20日 08時27分 の過去ログ
「版権百合部屋」
現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
