/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2020年09月19日 17時59分 ～ 2020年10月09日 00時39分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

東北イタコ> むむむむ…(何かお悩みなイタコちゃんですわ)   (2020/9/19 17:59:58)
東北イタコ> この有酸素運動が実を結んでくれたら嬉しいのですけどもねぇ(ぼんやり)   (2020/10/8 16:57:11)

東北イタコ> 10代と20歳の壁って意外とありますわぁ(このイタコおねーちゃん20歳は特別な訓練を受けています)   (2020/10/8 17:04:13)

東北イタコ> 台風の所為で憂鬱な雨が降りますわねぇ…   (2020/10/8 17:09:29)

東北イタコ> 降ってくるなら可愛い女の子か、可愛い女の子からの『キスの雨』が良いですわー(ワガママおねーちゃん)   (2020/10/8 17:10:13)

東北イタコ> …ふぅ。なんだか倦怠感ですわ   (2020/10/8 17:19:31)

東北イタコ> ぽややん…   (2020/10/8 17:30:04)

おしらせ> ゼシカさんが入室しました♪  (2020/10/8 17:30:39)

ゼシカ> はじめまして…お邪魔してもいいかしら…？   (2020/10/8 17:31:02)

東北イタコ> 初めましてー。　いらっしゃいまし、異国のお人   (2020/10/8 17:31:29)

ゼシカ> ありがとう。さっきまで混浴？ってのに入ってたけど、独特な文化ね…   (2020/10/8 17:32:35)

東北イタコ> 混浴に入ってましたのね～。　襲われたりしませんでしたかしら？(なんて少し冗談を)   (2020/10/8 17:33:22)

ゼシカ> むっつり男に胸を触られかけたけど、一喝したら大人しくなったわ（笑）他の子はお持ち帰りされてたけど…   (2020/10/8 17:35:41)

東北イタコ> そうなんですのねー。　まぁ、混浴とも成ればセクハラは日常茶飯事ですわ   (2020/10/8 17:37:02)

ゼシカ> そういうものなのね…イタコお姉様は経験豊富そう…   (2020/10/8 17:38:26)

東北イタコ> そーんな事ありませんわよー。　何かとこのお部屋でぼんやりしてる事ばっかりですわー(苦笑して)   (2020/10/8 17:40:16)

ゼシカ> ふ〜ん…（そんな風には見えないというようにイタコさんと顔と体を見る。）けど、ここの部屋の雰囲気は落ち着いててすごく素敵ね！男の人ってどうも苦手で…   (2020/10/8 17:44:29)

東北イタコ> (何だか勘違いのオーラを感じますわ～？　ともあれ)　粗暴な男性に付き合うのは疲れますものねぇ…(はふん、と溜め息ひとつ)   (2020/10/8 17:46:01)

ゼシカ> そうね〜。イタコさんも過去に何かあったの？   (2020/10/8 17:47:47)

東北イタコ> 色々とゴニョゴニョありましたわー…(遠い目)   (2020/10/8 17:48:25)

ゼシカ> なになに聞きたい！（笑）（目をキラキラさせて）   (2020/10/8 17:49:53)

東北イタコ> 苛められたりなんやかんやですわー…あと暴力とか   (2020/10/8 17:50:54)

ゼシカ> あ、ごめんなさい…聞いたらまずいことだったわね。嫌なこと思い出させちゃってほんとごめんね。   (2020/10/8 17:51:45)

東北イタコ> ま、人生のしょっぱい部分なんてそんなもんですわ   (2020/10/8 17:52:29)

ゼシカ> 大人だな〜（憧れの眼差し）今はお幸せに？？   (2020/10/8 17:54:57)

東北イタコ> まだまだ幸せには遠いですわ～(はふん、って溜め息)   (2020/10/8 17:55:35)

ゼシカ> 人生って大変なのね…イタコさんお色気ムンムンだからもうお子さんもいらっしゃるのかと…   (2020/10/8 17:56:59)

東北イタコ> わたくしまだ二十歳ですわよっ！？   (2020/10/8 17:57:19)

ゼシカ> え、ごめなさい！（笑）全然見えな…あ、いや、私からみたら二十歳でも大人の女性だから…   (2020/10/8 17:58:16)

東北イタコ> あー、無理に取り繕わなくても大丈夫ですわ。　年齢差があると大人に見えますものね。特に女の子って   (2020/10/8 18:00:19)

ゼシカ> ええ…（汗）私もイタコさんみたいな歳の取り方に憧れるわ   (2020/10/8 18:01:23)

東北イタコ> あらあら、ちゅわわわ(照れ)   (2020/10/8 18:03:44)

ゼシカ> （か、可愛い…♡）これまで仲の良い歳上の女性がいなかったから、話せてすごく嬉しい♡   (2020/10/8 18:05:31)

東北イタコ> そう言われますと照れ臭いのですわぁ   (2020/10/8 18:06:47)

ゼシカ> お姉様なのに可愛いのね（笑）（頭なでなで）   (2020/10/8 18:07:50)

東北イタコ> うぅ～。　威厳が足りないですわ…   (2020/10/8 18:08:14)

ゼシカ> そんなことないわ。色んな一面があって素敵ですよ♡   (2020/10/8 18:08:42)

東北イタコ> そうかしらー…？(頬をぽりぽり)   (2020/10/8 18:10:26)

ゼシカ> そうよ。ほら、よしよ〜し（自分の胸の谷間にイタコさんの頭をかかえ、なでりを繰り返す）   (2020/10/8 18:12:06)

東北イタコ> はわわ…   (2020/10/8 18:12:37)

ゼシカ> 気持ちいい？   (2020/10/8 18:12:59)

東北イタコ> んーっ、暖かくてやーらかいですわー   (2020/10/8 18:13:37)

ゼシカ> いい枕でしょ？このまま寝ちゃってもいいわよ♡   (2020/10/8 18:14:28)

東北イタコ> それも良いですわねぇ…(あふ…)   (2020/10/8 18:15:57)

ゼシカ> ふふ…おっきい赤ちゃんみたい。（さらに深く頭を谷間に押し付けるようにだきしめる）   (2020/10/8 18:17:32)

東北イタコ> んー…(なんだかおっぱいに溺れそうですわ…)   (2020/10/8 18:18:13)

ゼシカ> 溺れちゃってください♪（ソファーに座り抱きしめなでりを続ける）   (2020/10/8 18:20:26)

東北イタコ> んー…お胸少し借りますわ…意外と眠気が…　おやすみなさい…(すやあ。)   (2020/10/8 18:21:17)

ゼシカ> ふふふ、寝顔も可愛いわね♪ ゆっくりお休みになって♡   (2020/10/8 18:22:29)

おしらせ> 東北イタコさんが退室しました。  (2020/10/8 18:22:39)

おしらせ> ゼシカさんが退室しました。  (2020/10/8 18:22:48)

おしらせ> 高町なのはさんが入室しました♪  (2020/10/8 20:34:08)

高町なのは> こんばんは。久しぶりにお邪魔しまーす（サイドテールを揺らしながら部屋に入ってはソファに座り）   (2020/10/8 20:34:37)

高町なのは> 今日も冷えるなぁ……こういうときはフェイトちゃんと一緒にお布団に包まりたいかも（人差し指を顎に当てながら妄想を膨らませて）あ、もちろん誰でも大歓迎だけどね（他作品も歓迎とメタ）   (2020/10/8 20:56:29)

おしらせ> 無言時間が20分を超えたため、高町なのはさんが自動退室しました。  (2020/10/8 21:35:16)

おしらせ> 九条カレンさんが入室しました♪  (2020/10/8 22:43:35)

九条カレン> ここに来るのも久しぶりデス...   (2020/10/8 22:43:44)

おしらせ> 無言時間が20分を超えたため、九条カレンさんが自動退室しました。  (2020/10/8 23:05:18)

おしらせ> 佐倉杏子さんが入室しました♪  (2020/10/9 00:02:02)

佐倉杏子> あー、さっみぃ……。(ぶるぶる震えながら部屋に駆け込み、暖房をつけて)   (2020/10/9 00:02:43)

おしらせ> 暁美ほむら ◆lxd9gSfG6Aさんが入室しました♪  (2020/10/9 00:13:12)

暁美ほむら ◆> えぇ、確かに夜はすっかり寒くなったわね。でも暖房をつけるほどかしら。（魔法を使って瞬間移動したみたいに現れれば相手の方を見て）   (2020/10/9 00:13:57)

佐倉杏子> うっせ。使えるもんは使わなきゃ損だろ？せっかく備え付けてあるんだしさ？(ちらりとそちらに視線を向けて手をひらひら)   (2020/10/9 00:16:17)

暁美ほむら ◆> ....（手を振られれば軽く頭を下げ返す）まぁ、管理人にぼやかれても構わないならそれでも良いけど...（制服に一枚上着を着ているため寒くはないらしいが、相手が寒そうなのはわかっているので止めはしなかった...）   (2020/10/9
00:18:04)

佐倉杏子> かまいやしねーよ、そんなもん。あたしが使ったなんて誰もわかんねーしさ？(かりかりとチョコ菓子を齧りながらソファーに身を横たえ、至福の顔)   (2020/10/9 00:19:29)

暁美ほむら ◆> バチが当たっても助けてあげないわよ...（小さくため息をつけば同じくソファに座って静かに缶コーヒーを飲み始めた...）   (2020/10/9 00:21:27)

佐倉杏子> 当てれるもんなら当ててみろって感じだね。(にっと悪戯っぽく笑い)こんなとこで珍しいじゃん。ほむらも相手さがしてんのか？   (2020/10/9 00:22:57)

暁美ほむら ◆> ...まぁ、貴女なら神なんて敵でもないんでしょうけど（その自信には口出しできない、と頷いて）いいえ？他の誰かが貴女のちょっかいに晒されるのを防いだだけよ。（横目で小さく笑えば遠回しに「貴女だから来た」的なことを言って...）  
(2020/10/9 00:26:33)

佐倉杏子> はぁ？んだそりゃ。くどいてんのかい？(けらけらと笑いながらも、不覚にも頬を赤く染めて目を反らし)   (2020/10/9 00:28:28)

おしらせ> 環いろはさんが入室しました♪  (2020/10/9 00:29:49)

おしらせ> 鹿目まどかさんが入室しました♪  (2020/10/9 00:31:10)

佐倉杏子> 今夜も賑やかだな…。(ぱちくり)   (2020/10/9 00:31:32)

鹿目まどか> ……お邪魔するね？（ぺこりと頭を下げて入ってくると。少しだけお邪魔だったかななんて…）えっと、何も見てないよ？   (2020/10/9 00:31:49)

暁美ほむら ◆> 言葉と体が別々に動いてるわよ。落ち着きなさい...（クス、と微笑めば口元に手を当てて）....部屋の名前を変えるべきかしらね。（賑やかになるのは良いけども、なんて言いながら）   (2020/10/9 00:32:06)

暁美ほむら ◆> いらっしゃい、、そんなに気を使わなくてもただの世間話をしていただけよ？（大丈夫大丈夫、と微笑みながら挨拶をしては手招きをした）   (2020/10/9 00:32:56)

環いろは> 私もお邪魔します… (良い感じの雰囲気だった2人を横目にソファに腰を下ろして)   (2020/10/9 00:34:16)

佐倉杏子> よ、こんばんは。おう、ただの世間？話…？(口元に手を当てあくびを漏らしながら手を振り)んま、いいけどさ。賑やかなのも。   (2020/10/9 00:34:21)

鹿目まどか> うん、いいよ…それじゃあ改めてお邪魔しちゃうね（こんばんわと頭を下げてからソファの方へと。横に改めて頭を下げていろはちゃんの隣に）   (2020/10/9 00:35:12)

暁美ほむら ◆> ええ、こんばんは....いろはさんで良かったかしら？（あんまりそっちは詳しくない様子。）   (2020/10/9 00:35:25)

佐倉杏子> いろはもこんばんは。(なーんか視線が気になる……隅の方に小さくなっておこう)   (2020/10/9 00:36:50)

暁美ほむら ◆> ...........（無言になりながら、ソファの角で静かに隣にこなかったまどかを見てしょんぼりしていた、無論分かりづらく眉だけ下げる反応だが）   (2020/10/9 00:37:06)

鹿目まどか> えっと……仲良しだったよね……（なんて入りはしてもとほむらちゃんと杏子ちゃんの雰囲気に首を傾げて）……ほら、私達は後からきちゃったしね   (2020/10/9 00:39:27)

2020年09月19日 17時59分 ～ 2020年10月09日 00時39分 の過去ログ
「版権百合部屋」
現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
