/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2022年12月26日 01時28分 ～ 2022年12月26日 12時05分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

錦木千束> 平和…ってことだね。少なくとも、今のこの国じゃ（うんうん）   (2022/12/26 01:28:51)
ｽﾚｯﾀ･ﾏｰｷｭﾘｰ> の、のーちきゅうじん…？(頭にハテナを浮かべながら、不思議そうにしてて)   (2022/12/26 11:22:33)

後藤ひとり> あ、あーゆーじゃぱにーず？   (2022/12/26 11:23:08)

クレー> アイム、テイワットヒューマン   (2022/12/26 11:24:07)

クレー> イエア♪   (2022/12/26 11:24:19)

クルル ◆> そういえば作者が人間の体じゃない、みたいなこと言ってたわね？   (2022/12/26 11:24:23)

アリス> あ、いえ。私は生まれも育ちも火星なので。平和そのものの違う火星ではあるんですけれど。   (2022/12/26 11:24:25)

後藤ひとり> そうらしいです……   (2022/12/26 11:24:30)

ｽﾚｯﾀ･ﾏｰｷｭﾘｰ> あっ、あいむまーきゅりー！   (2022/12/26 11:25:52)

後藤ひとり> まーきゅーりさん！あ、あいむひとり！   (2022/12/26 11:26:08)

渋谷凛 ◆> 水星の人ってことじゃないかな？   (2022/12/26 11:26:24)

後藤ひとり> 水星と火星人がここに！？   (2022/12/26 11:27:11)

ｽﾚｯﾀ･ﾏｰｷｭﾘｰ> へっ？な、なまえはス、すれったマーキュリーですっ！   (2022/12/26 11:27:16)

クレー> ナイストゥー、ミートゥ♪>スレッタお姉ちゃん   (2022/12/26 11:27:39)

後藤ひとり> すれったさん……あ、あーゆーいんきゃ？   (2022/12/26 11:27:52)

クルル ◆> あら残念、私は水星でも火星でもなかったわね   (2022/12/26 11:28:02)

ｽﾚｯﾀ･ﾏｰｷｭﾘｰ> あいむっ…ぱいろっと！(ふんすっ)   (2022/12/26 11:28:41)

後藤ひとり> ぱいろっと………おお……飛行機運転出来るんですね……   (2022/12/26 11:29:03)

渋谷凛 ◆> 水先案内人だね……？   (2022/12/26 11:29:28)

ｽﾚｯﾀ･ﾏｰｷｭﾘｰ> (なんだか違う方向でとられてるっ…？！)   (2022/12/26 11:30:58)

後藤ひとり> (なんか思ってたのと違うって顔してる……！？)   (2022/12/26 11:31:23)

アリス> あ、はい。えっと……そちらの方は私達のことをご存知なのでしょうか。   (2022/12/26 11:31:51)

後藤ひとり> (言えない……この中でろくに知ってるのスレッタさんだけなんて……)   (2022/12/26 11:32:41)

ｽﾚｯﾀ･ﾏｰｷｭﾘｰ> ！あ、あいむほるだー！(思い出したように身振り手振りで)   (2022/12/26 11:32:43)

渋谷凛 ◆> 【……目の前に二つ目のスレッタが……】   (2022/12/26 11:33:42)

後藤ひとり> ほ、ほるだー？かせきほるだー？   (2022/12/26 11:34:14)

渋谷凛 ◆> 何か色々と伝わってない感じだね……   (2022/12/26 11:34:53)

後藤ひとり> スレッタさんはパイロットって考古学者なんですね！   (2022/12/26 11:35:47)

クルル ◆> んー、色々と伝わってない気がしないでもないけれど……（水星の魔女は完結したら一気見するから完結したら起こしてちょうだい（ぇ）   (2022/12/26 11:37:59)

渋谷凛 ◆> 【クルルさんは7月までおやすみなさい……】   (2022/12/26 11:39:07)

後藤ひとり> (Abemaで見てるから実は遅れてます)   (2022/12/26 11:39:44)

アリス> My job is to guide tourists by Gondola.　A gondola is a rowing boat.……でいいんでしょうか。   (2022/12/26 11:39:45)

後藤ひとり> 流暢……   (2022/12/26 11:40:20)

クレー> クレー、ココアでも淹れようかな(こたつから立ち上がって…やかんにお湯とぽとぽ…)   (2022/12/26 11:40:24)

クレー> なるほど…>アリスお姉ちゃん   (2022/12/26 11:41:29)

ｽﾚｯﾀ･ﾏｰｷｭﾘｰ> あいむっ…あいむ……アイムぐるーむっ！   (2022/12/26 11:41:57)

後藤ひとり> あいむぎたりすと……   (2022/12/26 11:42:34)

クルル ◆> あら、私も手伝うわよ（クレーについてってカップ出し）   (2022/12/26 11:42:53)

渋谷凛 ◆> My Class is Swordfighter?　かな……？   (2022/12/26 11:43:00)

クレー> (アイドルじゃなかったの…！？)>渋谷のお姉ちゃん   (2022/12/26 11:44:14)

ｽﾚｯﾀ･ﾏｰｷｭﾘｰ> ひぇっ…(なんだか恐ろしい単語が聞こえた気がして、ばたんっと押し入れの扉をしめて)   (2022/12/26 11:44:23)

アリス> 剣士…！？   (2022/12/26 11:44:34)

クレー> あっ、クルルちゃん♪ありがと…！(何だかんだ6人分のお湯をいれてたので手伝ってくれてにこっ♡)…じゃあ…火をつけて……カチッ……ボッ……(火がついて…お湯を作り始めて)   (2022/12/26 11:45:44)

渋谷凛 ◆> いいよね…剣って……（アイドルな時もあるね……？）   (2022/12/26 11:46:39)

後藤ひとり> あ、逃げた！   (2022/12/26 11:46:41)

クルル ◆> 私じゃ剣は使えないから羨ましい限りね（カップ並べて思いついたように冷蔵庫から何か取り出しながら）   (2022/12/26 11:47:45)

ｽﾚｯﾀ･ﾏｰｷｭﾘｰ> …エアリアルぅ…   (2022/12/26 11:48:19)

後藤ひとり> えあ……りある……えあーりある？……空気が綺麗？   (2022/12/26 11:48:43)

クレー> (アイム、ボンバーガール♪だと違う作品になりそうだから言わないでおこ…ってやかん見つめながら……)……ピー！！！(ふっとうした音)……おっとと…(カチッと火を止めて)   (2022/12/26 11:48:53)

アリス> えっと……マーキュリーさん、でよろしいのでしょうか。少しこちらに来ませんか？   (2022/12/26 11:48:59)

ｽﾚｯﾀ･ﾏｰｷｭﾘｰ> ぅ…(キィ…と扉を開けてそこから顔を覗かせて)……(ゆっくりと下半身から押し入れのスペースから出して行って)   (2022/12/26 11:52:12)

後藤ひとり> なんか出方がホラーですね……   (2022/12/26 11:52:34)

アリス> 完熟マンゴーが何言ってるんですか。   (2022/12/26 11:52:55)

後藤ひとり> なんで私まで！？   (2022/12/26 11:53:10)

クレー> クルルちゃん？……ココアいれちゃうよ？(カップにココアの粉…、クレーがここでよく飲むインスタントのココア♪それを…6つのカップにいれて…)……とぽぽ……(お湯をついで……)…うん、完成♪   (2022/12/26 11:53:13)

アリス> はい、そうです。みんなこわくないですから……まずはゆっくりと深呼吸をしましょう。すーー、はーー、です。   (2022/12/26 11:53:51)

クルル ◆> ちょっと待ってちょうだいね……っと、これでよし（冷蔵庫からわちゃわちゃして取り出したホイップクリームをココアに浮かべーの）   (2022/12/26 11:54:07)

渋谷凛 ◆> 何か…乃々をみてるような気分になってきたかも……？   (2022/12/26 11:55:32)

ｽﾚｯﾀ･ﾏｰｷｭﾘｰ> …すっ、、すー……はー……(目の前で深呼吸のレクチャーをしてもらいつつ、落ち着いた様子で)   (2022/12/26 11:56:19)

クレー> あ、それ…小春お姉ちゃんが好きなやつ♪…クルルちゃんありがとう♪   (2022/12/26 11:57:04)

アリス> はい、少しは落ち着けましたか？（にこ……って柔和な微笑み）   (2022/12/26 11:57:54)

クルル ◆> ココアにはやっぱりクリームがあったほうがいいもの♪   (2022/12/26 11:58:20)

クレー> うん…♪…はーい！みんな、ココアどうぞー！(みんなの分をそれぞれの前においてあげるの♪)   (2022/12/26 12:00:08)

後藤ひとり> あ、ありがとうございます♪   (2022/12/26 12:00:20)

アリス> クレーちゃんはありがとうございますね。   (2022/12/26 12:00:28)

渋谷凛 ◆> うん、ありがとう   (2022/12/26 12:01:27)

ｽﾚｯﾀ･ﾏｰｷｭﾘｰ> とっ…とと、とりあえず…おちつきましたっ   (2022/12/26 12:02:11)

後藤ひとり> 良かった……   (2022/12/26 12:02:53)

アリス> はい、それなら良かったです。そしたらあたりをゆっくり見渡して、みなさんの顔を覚えていきましょう。   (2022/12/26 12:05:43)

2022年12月26日 01時28分 ～ 2022年12月26日 12時05分 の過去ログ
「版権百合部屋」
現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
