/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年03月14日 18時20分 ～ 2023年03月16日 08時57分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

おしらせ> 丸山彩さんが退室しました。  (2023/3/14 18:20:13)
マルガ・ナルゼ> ふふ♥それじゃこうしてよ…と♥ふぁぁ……（汗ばんだおっぱいにすりすりと頬ずりし、また大きく欠伸）こっちこそありがと♥また会えたらよろしくね♥それじゃおやす…み……（瞼を開けていられなくなると、すぐに寝息立て始めて…）   (2023/3/16
03:26:46)

おしらせ> マルガ・ナルゼさんが退室しました。  (2023/3/16 03:26:54)

BBペレ> はぁい、おやすみなさいませー♡（寝静まったのを抱きしめたまま、ぱちんと指を鳴らして――個室のベッドへと一緒に入り、すやぁ、っと。色々ぐちょぐちょな液体散らばってる室内の後片付けとかは知りません）   (2023/3/16 03:27:37)

おしらせ> BBペレさんが退室しました。  (2023/3/16 03:27:46)

おしらせ> レンさんが入室しました♪  (2023/3/16 07:11:10)

レン> …はぁ。早起きなんてするもんじゃないね。…ねむ。(くしくし、と瞼を片手で擦りながら大きなあくび一つ。涙目をもう一回くしくしくし。)…ん。天気もいいし、二度寝できる雰囲気でもないか。このまま起きてよ…誰か来るかもしれない。(まぁ、来なくてもソシャゲでやることあるし…。ソファの上に仰向けで寝そべると肘掛けを枕にする感じのいつもの姿勢でスマホぽちぽち。)
  (2023/3/16 07:15:20)

レン> ……一回も上ぶれない、どうなってんだこれっ！(羅針盤…うっ、頭が…。)まぁ、今回の対人は適当でいいか。久しぶりの中距離だから好きなキャラ並べて遊びたかったのに…。(唇を尖らせてぶー、ぶー。課金してキャラ引いてもこれだよ！怖いね、ウマ娘！！)  
(2023/3/16 07:26:16)

おしらせ> 琴葉茜さんが入室しました♪  (2023/3/16 07:29:05)

琴葉茜> ふぁわ…ん、おはよーさーん。茜ちゃんやでー…（目擦り擦り。）　ソシャゲは最近もうデイリーすら微妙にめんどいのにいまだに続けてしまうんよな。まぁさすがにお金はもうほとんど入れてないけど…（お船はまぁ…うん。めんどう以前の問題やったね…）　ん、レンちゃんはおウマさんやっとるんか。………あぁ、それで思い出した。なぁなぁ、唐突やけど茜ちゃんの自慢話聞いてー（よっこいせーと対面のソファに座りつつ。）
  (2023/3/16 07:32:06)

レン> おはよ、茜。(…夜更かししてたな。なんとなく伝わってきた。)デイリーやれるだけまだやる気あると思うよ？…ログインすら億劫になったら終わりだよ、本当のね…(資源を貯めて試行回数で殴り続ける…あれって今思ったけど何が楽しかったんだろう…。遠い目になりそ…。)　うん？なにかしたの？(ちらり目配せ。姿勢は仰向けのまま微動だにせず。)
  (2023/3/16 07:34:48)

琴葉茜> 直接会うのなんか久しぶりやんなー（…なんとなく疑わしげな視線。ふふふ、ばれたか…うっかり寝そびれた。）　ああー………めっちゃわかる。なんかもう起動すんの…ええかな…ってなると、そのあともう起動せんよな…（戦略のせの字もない、特攻艦育てて限界まで強化した装備のっけて出撃させるだけやったからな…そしてそこまでやっても運ゲーである。いやキャラは好きやったんよ、キャラは…今でも好き。）　うん。あんな、いまセブンで一番くじやっとるんよ。そんでこないだ、なんとなーく二枚だけ引いたらＢ賞のサトノダイヤモンドさんのフィギュアあたった。
  (2023/3/16 07:38:22)

レン> そう？…あー、今週そんなに来てなかったっけ、俺…(ぽりぽり。バレバレだよ、あんな時間まで…。)　そういうこと。そうなったらもうアンインストール、かな…。飽きたときは冷めるのも早いから、ね(ギミックとかも意味わかんなかったね。攻略組とかいう人柱がいなければクリアなんかできたもんじゃない。で、クリアしてからのお目当てのキャラが出るまで周回…。きつかった。アーケードのはまだ楽しかったよ、腕の差出たし)　おおー、すごいじゃん。フィギュアかぁ…当たっても飾るとこないから箱でそのまま積んじゃうのって俺だけ…？(そしたらいつの間にか忘れてて、こんなのあったなってなるやつ。)…俺もイラストボード欲しくて探したけど全滅だったよ！
  (2023/3/16 07:45:04)

琴葉茜> んや、なんかそんな気がしただけで、気の所為やったかもしらん（…あれ、誰かと間違えてへん？うち、昨日は朝とお昼くらいにしか顔出してなかったような）　せやなぁ…ソシャゲてあんがい容量も食うしなぁ。（ぜ○ましネットにはお世話になりました。…周回もなぁ。それでも未だに運営続いてるのちょっと不思議やわ…あぁアーケードは楽しそうやんな、あれ家庭用に来ないかなー）なんか引きよかったわー。うん、うちもフィギュアの類とか箱のまんま積んじゃう（胸はりえっへん）
あぁ、ほとんどの店舗では即殺だったらしいな。うちの近所だけどーいうわけかだーれも買わんみたいで、いまだに全然残っててな…昨日の時点でもＡ賞Ｂ賞のフィギュア、うちがとったサトノさんだけやったで。　あ、でな。この話のオチなんやけども。   (2023/3/16
07:51:47)

琴葉茜> うち、ウマ娘はアプリも触ったことないしアニメも漫画も一切見たことないんよなー（あっはっは、手ぱたぱた。何わろてんねん。）   (2023/3/16 07:52:32)

レン> ううん、実際今週は…しなきゃいけないことあって、周回とかしてたから(こくん。ぅ…してる。ピンク色だから、つい…。間違えてた)　最近のは特にね。20GB程度じゃ驚かなくなっちゃったよ…(原神とかウマ娘のせい。うん、あの頃のソシャゲ…ブラゲーは維持費もかからないからね。とうらぶとかもそうだけど。未だに怪盗ロワイヤルとか生きてるし。戦コレは死んだのにっ。ずっと言われてるよね、それ)　うーん、たぶんそれ、入荷時期ずれたのかも？一番くじって発売日に売れて、2セット目が残るとか結構あるみたいだしね。あはは。そうだね、見ても面白いと思うよ、アニメもシンデレラグレイも。アプリだけはぜっっっっっっっっったいにオススメしない、やらない方がいい、本当に！！(現役トレーナーの忌憚なき意見ってやつ)
  (2023/3/16 08:01:25)

琴葉茜> まぁどうしても忙しい時期はあるやろしなぁ。うちもおしごと以外はソシャゲの周回とえっちくらいしかしてへんかったし（雑か。まぁ確かにピンク微妙に多いけども）
なー。（容量がデカければええもんとちゃうやろと。とうらぶはお姉様がたが支えとるんちゃうかな…艦これほど運ゲーでもないやろし。知らんけど。うわ古い名前が出たな…まだ生きとるんかあれ。さすがにうちもそのへんまでいくと現役ちゃうけども…　家庭用来てほしいけどたぶん永遠に来ないだろうなーともずっと言われとるな）　あ、そういうパターンもあるんか。なるほど………あーお友達にもオススメされたな。どうせなら３期見ろ、３期見るなら２期から見とけって。１期はあんま盛り上がらんから見んでもいいらしいけど。まぁ見たら面白いんやろなっていうのはわかるんやで？わかるんやけどなー………………あー、やっぱり？最初はもう覇権かってくらい売れたのにな。やっぱり因子運ゲー失敗したら虚無、は如何ともしがたかったか…（痛ましげに目を伏せ。）
  (2023/3/16 08:11:46)

レン> …俺も、そんな感じ。そもそも他に趣味もないけどね…(ぼそぼそ。ピンク色ばっかりで、しかも3文字多いしっ。苦しい言い訳)　まぁ、そもそも原神はスマホでやるもんじゃないから…(売上的にもスマホからの課金あんまされてないし。まぁ、艦これもグッズやコラボとかで売上出すタイプだから…何もとうらぶはそこまでパクらなくても、って思ったり。俺もそうだよ、でも昔テレビのCMでよく見てたなー、って。今じゃテレビすら見なくなったけど…。)　うん、一期はね。一期で独立してて、そこでお話終わってるから…。二期はストーリーも面白いし、三期はその続きの話だから…たぶん見ておいた方がいいよ。キタサン世代だから割と最近の話でもあるし…まぁ、テイオーの世代からかなりジャンプしちゃってるけど。2000年のあたりの話はようつべでナリタトップロードの話をするみたいだから、そっちも面白いと思う。クラシックの話は…だけど。(シニアは世紀末覇王の独壇場だから…。目そらし。オタク特有の早口)
  (2023/3/16 08:20:18)

レン> そもそもアプリはね、それ以前に対人しかやることなくって、ついでに言えば初心者への導線やフォローも全くない、一時期のFGOみたいな動きしてるからなっ。というか2周年になってもイベント復刻やらないって意味わかんないよっ、聞いたことないんだけど！！  
(2023/3/16 08:21:53)

琴葉茜> ……いやぁ、それ言うてしまったらおしまいやろ（インドア派の趣味とか限られるし。アウトドア派？そもそもチャットとかやらんのと違うかな…　まぁしゃーない、事実多いし…そんなんぱっと見だけで名前とかそんな細かく見んのも無理ないわ）　あぁ、あれけっこうガッツリめのアクションぽいもんな。スマホでやったら指つりそう。（とうらぶはまだまともな商売してそうに見えるけどな…艦はなんか届いたグッズがやばかったみたいな話をよく聞く…。
あぁ、うちはもうずぅっと前からテレビ見てへんわ。ネットでよくない？ってなる）
あぁ、らしいな。うちは史実の競馬これっぽっちもわからんからそのへんはよう解らんのやけど。でも見たら面白いのはわかる、見たらたぶんハマるんやろなっていうのもわかる。でもアニメとか見始めるのにけっこうなカロリー消費するんや…！（くっ…！　しかしレンちゃんめっちゃ詳しいな。）
  (2023/3/16 08:28:30)

琴葉茜> FGOもあれでええかげん初心者お断りやと思うけども（そんでもなんとかなるレベルのゲーム性の浅さ。お話とキャラは好きやけど）　え、FGOもわりと大概やったけど…ウマ娘のほうそんなガチでイベ復刻せんの…？   (2023/3/16 08:29:58)

レン> う、うん…そう、かも？(茜も同じだった…！あ、でも俺は一応外で遊んだりも…ゲーセンとか、だけど。アウトドアなのかな…。)　そうなんだよね。…かと言ってコントローラーで快適かと言われたら今度ボタン余るっていう…。(ガードくらいは欲しかったなぁ、それかニーアみたいなジャスト回避からのカウンターとか。スマホユーザー？知らないよそんなの。そうなんだ、確かに居酒屋コラボのメニューと商品が全然違うとかぐちゃぐちゃだったってやつ。…だよね、そうなっちゃうよ。夜中起きててもネットなら関係ないし…。)　うん？俺もウマ娘から調べたにわかだから、全然まだまだ知らないことだらけだよ…あはは。うん、しないよ。したことない。最初のイベントですら復刻してないんだから、2周年になったのに。
  (2023/3/16 08:36:38)

琴葉茜> ふふっ…まぁ、こういう場所でこうやってお話するの、楽しいから、ええやん…？（何ぞ悟ったような微笑み。あぁ、うちも昔はゲーセンよう行ったな…音ゲーとSTGばっかやったけど。…少なくとも屋外ではない、と思う…。）
ボタン余るにしてもコントローラのほうがまだマシな気はするけども。まぁアクション性にまでこだわりだすと最終的にコンシューマで出せばええやんって話になってしまうので…（そもそもスマホでアクションゲーやらすなって話ではあると思う。スマホゲーて出先で手軽にぽちぽちできるのが理想やと思うんやけどな…原神とかお外でやったら転ぶと思う。お船のは、あとなんやっけ…瑞雲の模型がやばかったとかも聞いたな。あとテレビは偏向報道というかマスゴミのイメージが強くてどうしても好かれへん）
いやぁ全然しらんうちからしたらなぁ。まあ好きになったら色々調べるもんな。…もしそれで復刻しないイベントの配布物が必須級の有用度だったりしたら最悪やな。   (2023/3/16 08:44:08)

レン> …話すだけじゃない、でしょ？(じろり。俺も、うん、ゲームをやるというよりかは…覗きに行って眺めるくらい、だから。要は冷やかし。い、一応…歩いたりもするからっ)　原神は出てるよ、PS4とかでもできるしね…？(…原神に関しては自国の売上とか考えた結果な気がする。自国だとスマホでできなきゃ見向きもされないとか…。ま、まぁ…あのへんは報道しない自由ばっかり行使してるから…ね。)　全部のキャラで使うわけじゃないんだけど、一部のキャラで必須のカードがあって、俺はちょうどサボってた時期のカードで若干つみかけてたよ…(ぼそぼそ。まぁ、逃げとか出さないからいいんだけどなっ、逃げキャラは諦めてる！)
  (2023/3/16 08:50:43)

琴葉茜> そらもちろん♡
レンちゃんもまた遊んで欲しいなー、こんどお暇なときどう？こんどはちゃんと自制と加減するから♡（両手合わせて、えへー♡　あぁ、上手なひとのプレイ横から見てるのだけでもわりと楽しいよな…うちはUFOキャッチャー系の景品眺めるのとか好きー。いやうちかて歩くくらいはするで…！？）
既に出てた。あぁ…お国柄かぁ。そこはしゃーないなぁ（さすがに他国のソシャゲ事情はようわからんけど。スマホ最優先なんか…。　都合ええよなー。それならネットで調べて真贋は自分で判断するわ。）
うわぁ。まさかなと思ったらほんまにそのパターン…。代用できるか、上位互換のカードでも実装してくれたらええんやけど、そういうのに限って用意してくれんかったりするからなぁ…（レンちゃんはええかもしらんけど、逃げの子が押しのご新規さんどうすんのやろ…そら適正ガン無視して別方向に育てたりもやろうと思えばできるやろうけど…！）
  (2023/3/16 08:57:12)

2023年03月14日 18時20分 ～ 2023年03月16日 08時57分 の過去ログ
「版権百合部屋」
現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
