チャット ルブル [/image/luvul/images_title.gif]/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年03月18日 13時09分 ～ 2023年03月19日 01時23分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

中野一花 ◆> 目玉焼きを乗っけます…！   (2023/3/18 13:09:25)
堂領姫子> あさひさんはパンツルック派ですか？   (2023/3/18 23:43:07)

堂領姫子> ジャンプしたらみえちゃいますね、ひとりさん   (2023/3/18 23:43:28)

後藤ひとり> そういうことです……消しましたけど……   (2023/3/18 23:44:19)

イリア・コーラル> ハイ流石にチラは無理ですね…長いですから…潜る…またマニアックですね…もしかしたら姫様が隠れているかも…？   (2023/3/18 23:44:39)

堂領姫子> 消したんですね…   (2023/3/18 23:46:47)

後藤ひとり> そんなシーンないのにすぐに脳内に浮かんでしまった……あの人は堂々と捲って見そうですけど   (2023/3/18 23:47:03)

後藤ひとり> さすがに消しました……それをアー写にすふわけには……   (2023/3/18 23:47:14)

桜花あさひ ◆> ふふ、動きやすいからズボン好きだ〜♪スカートは〜…嫌いじゃないけど〜、いっぱい動けないから〜……   (2023/3/18 23:47:30)

後藤ひとり> わんぱくですね……私はジャージしか……   (2023/3/18 23:48:54)

イリア・コーラル> 姫様は破天荒な方ですからね…誰かから逃げるときに隠れるくらいは有るかもですね。   (2023/3/18 23:49:39)

堂領姫子> スカートが動きを妨げるんでしょうか   (2023/3/18 23:50:54)

後藤ひとり> 破天荒なのが取り柄です……あんな陽キャ性能私にあれば良いのに………あー隠れる時に……子供の頃してそうですね……   (2023/3/18 23:51:14)

堂領姫子> ひとりさんのジャージ以外の姿も見てみたいかもです   (2023/3/18 23:51:23)

堂領姫子> 流石にアー写には出来ませんね   (2023/3/18 23:51:41)

堂領姫子> 破天荒なんですね…   (2023/3/18 23:51:57)

後藤ひとり> 基本ジャージです……   (2023/3/18 23:52:46)

イリア・コーラル> 漫画の方では普通に描かれてましたよね。   (2023/3/18 23:52:55)

後藤ひとり> 私の場合は…まあ……時たま……アニメでも無理やり着せ替えられたし…   (2023/3/18 23:54:17)

堂領姫子> きせかえは他のバンドメンバー総出で、ですかね…   (2023/3/18 23:55:35)

後藤ひとり> 喜多ちゃんとか虹夏ちゃんはオシャレしてそう…   (2023/3/18 23:57:00)

イリア・コーラル> ひとりさんの私服姿可愛いですからね…その後灰になってましたが   (2023/3/18 23:59:11)

桜花あさひ ◆> ひとり姉ちゃんの洋服すっごい可愛かったなぁ♪いつもジャージじゃなくてあれ着ればいいのに…(じっ)   (2023/3/19 00:00:22)

後藤ひとり> しなしなになりました……む、むりです！ずっと来てたらドロドロに溶けてしまいます……   (2023/3/19 00:00:55)

堂領姫子> ドロドロに？Σ   (2023/3/19 00:03:43)

桜花あさひ ◆> どろどろ…んぅ、ひとり姉ちゃんの可愛い格好見たいぞ〜……っ   (2023/3/19 00:03:47)

後藤ひとり> わ、分かりました……ほんの少しだけなら……   (2023/3/19 00:04:08)

堂領姫子> 私も見たいですね   (2023/3/19 00:04:52)

後藤ひとり> (ゴソゴソ着替えて……虹夏ちゃんに着させられたのを着て)   (2023/3/19 00:06:57)

イリア・コーラル> とろけたら…まぁ…その時はその時で…。   (2023/3/19 00:07:16)

後藤ひとり> 投げやりな態度はよしてください………(恥ずかしそうにモジモジ)   (2023/3/19 00:08:59)

イリア・コーラル> ふふ、可愛らしいですね…とても似合ってますよ？   (2023/3/19 00:10:08)

堂領姫子> 可愛い……！   (2023/3/19 00:10:40)

後藤ひとり> ほ、褒められても何も出ませんよ……///え、えへへへ…………(褒められるとすぐに調子に乗って)   (2023/3/19 00:10:56)

桜花あさひ ◆> おおっ！ふふふっ、めちゃくちゃ可愛いぞ〜っ！(むぎゅーっ)   (2023/3/19 00:11:10)

後藤ひとり> 可愛くないですけど……///あ、ちょっと……//みんないるのに……//(抱きしめて撫でて上げて)   (2023/3/19 00:13:38)

堂領姫子> ふふっ、尊いですね   (2023/3/19 00:15:43)

イリア・コーラル> ふふ、素敵な光景ですね   (2023/3/19 00:16:15)

後藤ひとり> み、見られてます……///   (2023/3/19 00:17:52)

桜花あさひ ◆> えへへ、可愛いぞ〜♪おしゃれさんだなぁ♪(にこにこ)   (2023/3/19 00:18:50)

後藤ひとり> ぜ、全然そんなことないです……///(ぷるぷる)   (2023/3/19 00:19:57)

堂領姫子> ふふっ、ひとりさんは可愛いですよ   (2023/3/19 00:21:42)

イリア・コーラル> はい、可愛いですね…（ひとりさんの頭をなでなで）   (2023/3/19 00:24:16)

後藤ひとり> あうっ、な、なんかみんなに愛でられてます…(撫でられてにベッドわらい)   (2023/3/19 00:25:17)

堂領姫子> ひとりさん、つんつん   (2023/3/19 00:26:05)

後藤ひとり> (撫でられてにへっとわらいでした…)   (2023/3/19 00:28:06)

後藤ひとり> あ、は、はい！   (2023/3/19 00:28:10)

堂領姫子> 可愛いです……つんつん   (2023/3/19 00:28:55)

桜花あさひ ◆> あさひも〜♪ふふ、つんつん〜♪(ほっぺたふにふにつんつん)   (2023/3/19 00:29:18)

後藤ひとり> 私ばっかり……でも悪くないかも……///(ご満悦なぼっち)   (2023/3/19 00:31:19)

堂領姫子> ふふっ♪   (2023/3/19 00:35:56)

イリア・コーラル> 今日はひとりさんが皆さんを侍らせてますね…（なでなで   (2023/3/19 00:36:37)

堂領姫子> （皆さんをそれぞれなでなで）   (2023/3/19 00:36:54)

後藤ひとり> 今日だけは主役です………たまには悪くないですね……(にへ……)   (2023/3/19 00:37:20)

桜花あさひ ◆> 今日はひとり姉ちゃんの日だぁ♪(すりすり)   (2023/3/19 00:40:19)

後藤ひとり> ですね……♪後藤ひとりの日です……(あさひさん撫でて)   (2023/3/19 00:41:21)

堂領姫子> ひとりさんの日、ですね♪   (2023/3/19 00:42:12)

イリア・コーラル> 今日はなでなで日和ですね…   (2023/3/19 00:42:20)

後藤ひとり> いい日ですね……♪(ぽやん)   (2023/3/19 00:44:47)

桜花あさひ ◆> ひとり姉ちゃんかわいい記念日〜……♪(すりすりむぎゅぅ)   (2023/3/19 00:47:02)

堂領姫子> なでなで日和、いいですね…   (2023/3/19 00:47:13)

後藤ひとり> 別の人の可愛い記念日もいつか作りましょう……！   (2023/3/19 00:49:00)

堂領姫子> そうですね、また作りましょう♪   (2023/3/19 00:52:25)

桜花あさひ ◆> みんなの可愛い記念日！ふふ、毎日になっちゃうなぁ♪   (2023/3/19 00:52:48)

イリア・コーラル> 毎日が記念日…良いですねそれ。   (2023/3/19 00:53:28)

後藤ひとり> そしたら毎日祝日で休めますね。ぐへへ……   (2023/3/19 00:55:03)

イリア・コーラル> そうなると…ひきこもりで…お酒におぼれる日々が…（抉る様に）   (2023/3/19 00:56:05)

後藤ひとり> ……うう………きくりさんとお酒漬けになってきます…いやいやダメです！まだそこまで堕落する訳には…   (2023/3/19 00:56:48)

桜花あさひ ◆> お酒は大人になってからだぞ！   (2023/3/19 00:57:22)

後藤ひとり> ここいる人イリアさん以外飲めないかと……   (2023/3/19 00:58:26)

堂領姫子> たしかに未成年ですね   (2023/3/19 00:58:38)

イリア・コーラル> そうですね…年齢的には私くらいですね成人しているのは。   (2023/3/19 01:02:24)

後藤ひとり> お酒飲んだら……イリアさんどうなるんだろう……きくりさんみたいに……   (2023/3/19 01:03:31)

イリア・コーラル> どちらかといううと…静かに飲みたいですね…？   (2023/3/19 01:05:59)

後藤ひとり> お酒吹きかけたり顔面踏んづけたりしたらダメですからね………全然そんな姿想像できませんが   (2023/3/19 01:06:31)

堂領姫子> 選挙権のある成人の年齢は18歳に引き下げられましたけど、引き続きお酒などは20歳からですからね。それに伴い、結婚出来るのも男女共に18歳からになりました…   (2023/3/19 01:06:37)

堂領姫子> イリアさんは静かに飲みたいんですね   (2023/3/19 01:06:59)

桜花あさひ ◆> 顔踏んだり…そんな人いるんだな…   (2023/3/19 01:08:13)

イリア・コーラル> 流石にそんな破天荒な…姫様と声が似た方のような事は…あれはライブ中ですしパフォーマンスですよねきっと？   (2023/3/19 01:12:08)

堂領姫子> どんなパフォーマンスなんでしょう…(汗)   (2023/3/19 01:14:35)

後藤ひとり> いやあれは本気かと……というよりアニスさんこそ今お酒飲んで吹っ切れるべきです。あんなジメジメしたアニスさんみてられません………   (2023/3/19 01:14:36)

イリア・コーラル> アルコール片手に…空中戦繰り広げる姫様…お、おそろしいぃ…   (2023/3/19 01:16:47)

堂領姫子> 想像したくないですね……(汗)   (2023/3/19 01:17:16)

後藤ひとり> 誰も手つけられなくなりますね……こわい……   (2023/3/19 01:17:51)

イリア・コーラル> っと…もう一時過ぎてたんですね…私はこの辺りで失礼しますね…酔いどれプリンセス…後が怖そうです。   (2023/3/19 01:17:51)

イリア・コーラル> それでは皆様またです。   (2023/3/19 01:18:07)

おしらせ> イリア・コーラルさんが退室しました。  (2023/3/19 01:18:13)

桜花あさひ ◆> おやすみなさいだぁ♪   (2023/3/19 01:19:59)

桜花あさひ ◆> お酒…怖いんだなぁ…   (2023/3/19 01:20:06)

後藤ひとり> お疲れ様です……2人は大丈夫ですか？   (2023/3/19 01:20:32)

桜花あさひ ◆> ふふ、大丈夫だぞっ♪この後お風呂入らなきゃだ〜…♪   (2023/3/19 01:23:36)

2023年03月18日 13時09分 ～ 2023年03月19日 01時23分 の過去ログ
「版権百合部屋」
現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
