/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2022年11月15日 00時27分 ～ 2022年11月18日 19時32分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

東北ずん子> また二人でお話もさせてくださいね(ぎゅ　はふー   (2022/11/15 00:27:29)
フィー> そうだったんですね。（きていいですよ？と両手広げ）   (2022/11/18 18:49:04)

おしらせ> 桜衣乃さんが入室しました♪  (2022/11/18 18:49:27)

東北ずん子> ん、おじゃましまーす(そのままぎゅーっと抱き着いて。もたれかかり   (2022/11/18 18:49:34)

桜衣乃> ……はぁ、いいもの見せてもらいました……♡（ドアの向こうで鼻血どっばどば）   (2022/11/18 18:50:00)

フィー> はーい、いらっしゃい。（むぎゅー、と抱きしめ返し。足も絡めちゃって…）   (2022/11/18 18:50:23)

東北ずん子> あ、いつもの衣乃ちゃん。こんばんはー(そのまま優しくフィーをなでで。こつっと額をあて   (2022/11/18 18:50:47)

桜衣乃> うぇっへへへ……♡クレーちゃんがお部屋に馴染めたようでなによりです…♡こんばんは、ずん子さんにフィーちゃん…♡…あ、私のことは気にせず続けてくださいな…♪学校の帰りにたまたま立ち寄ってただけなので……♪   (2022/11/18 18:52:14)

おしらせ> ひなさんが入室しました♪  (2022/11/18 18:53:26)

ひな> 🍓こんにちは）私の名前はひなです、私は23歳です）初心者のセックスモデル18歳以上）私はヌードで写真を撮られるのが好きです）リンクで私の写真を評価してください ➤ Www.Ja.cat/id395692
(リンクをコピーして、ブラウザで開いてください)   (2022/11/18 18:53:30)

フィー> ふふ…（嬉しそうに撫でられ。）あ、衣乃さんもいらっしゃいです。   (2022/11/18 18:53:39)

おしらせ> ひなさんが部屋から追い出されました。  (2022/11/18 18:53:44)

東北ずん子> 相変わらずですねぇ、そういう気構えはわたしすきですよー(フィー酸にむにゅ、大きな胸を押し付けるように凭れて。すり、すり、身体をくっつけちゃいます   (2022/11/18 18:54:41)

桜衣乃> 私も混じりたい気持ちはやまやまですが、今日はちょーっと予定がありますので、軽い挨拶だけで…♪それでは、また…♡   (2022/11/18 18:56:11)

おしらせ> 桜衣乃さんが退室しました。  (2022/11/18 18:56:15)

フィー> わわ、おっぱいでっかいですね…（割とすとーんとしたお胸。いいんです、アンドロイドなので好きに換装できますし…！）   (2022/11/18 18:57:28)

東北ずん子> 私はちっちゃいのもすきですよ、ちっちゃいこも好きですよ！(きらっきら、つんつん   (2022/11/18 18:57:51)

フィー> ずん子さんはロリコンさんですか…？（冗談めかして言うと、ちょっとくすぐったそうに身じろぎ…）   (2022/11/18 19:01:13)

東北ずん子> ……そ、そうですよ(目そらし　ふふ、フィーさんとはお話したかったんですが中々タイミングが合わずに(はふーっとうれしげに、腰をぎゅっともたれ   (2022/11/18 19:02:00)

おしらせ> クレーさんが入室しました♪  (2022/11/18 19:03:17)

クレー> ただいまっ   (2022/11/18 19:03:25)

フィー> そうですね、あまり来れていなかったので・・・（むぎゅーっとだきしめて、すりすりと体こすりつけ   (2022/11/18 19:04:01)

東北ずん子> おや、クレーさんおかえりなさーい(フィーさんにこつっと額をあてて、軽く顔を寄せてちゅ、小さくくちづけ   (2022/11/18 19:04:38)

クレー> あっ、ずん子お姉ちゃんだーこんばんはっ(おててふりふり♡)2人ともくっついてる…♡クレーもっ！(えいっと飛びつくようにぎゅっと入ってきて)   (2022/11/18 19:05:50)

クレー> そういえば…玄関のとびら血だらけだったんだけど…知ってる？(きょとん顔)   (2022/11/18 19:07:20)

フィー> おかえりなさいです。…そんなに気にすることはないと思いますよ？   (2022/11/18 19:07:57)

東北ずん子> ん－(クレーさんをぷにぷに　その言い方だと色々誤解招きますからね。クレーさん！   (2022/11/18 19:08:06)

クレー> まさか…ついにこの百合のお部屋で痴情のもつれが…！！！(ドカーンとカミナリ落ちたかのようなミステリー顔で)…えへへ、冗談だよっ   (2022/11/18 19:09:35)

クレー> あぁ、衣乃おねえちゃん来てたんだね(過去ログノートぺらぺら)残念、また会えるといいなー♡えへへ、3人でぎゅうだよ♡あったいねー   (2022/11/18 19:11:04)

フィー> 暖かいですねぇ。（むぎゅむぎゅ   (2022/11/18 19:12:49)

東北ずん子> フィーさんをなし崩しにエッチなことする作戦がっ(はふー、のびー   (2022/11/18 19:13:17)

クレー> じゃましちゃった…？(うるうるとずん子お姉ちゃんを見つめて)   (2022/11/18 19:14:50)

フィー> ふふ、フィーとしてはされても構わなかったんですけどね？（とかずん子の耳元で囁いちゃって）   (2022/11/18 19:15:32)

東北ずん子> いえいえ…ふふ…フィーさんをいたずらして。その気にさせてからが本番なので(ぷるっと震えて、ぎゅっと抱き着くとフィーさんに改めるように額をこつっ   (2022/11/18 19:16:52)

フィー> そうですか？（ぎゅーと抱きしめ返し、おでこ合わせてじーっと見つめて）   (2022/11/18 19:20:05)

クレー> はわわ……♡(頭をくっつけあってらずん子お姉ちゃんとフィーお姉ちゃんたちをみて手で口を抑えながらどきどきと見守って)   (2022/11/18 19:20:41)

東北ずん子> そうですよぉ、えへへー♥(小さく目を細めて、顔を寄せると、ちゅっと、小さく唇を合わせて   (2022/11/18 19:20:54)

フィー> フィーとしては、このままずん子さんを食べてしまってもいいんですけどね？（くすっと笑い、ちゅと唇を触れ合わせた後にぺろっとずんこの唇なめ   (2022/11/18 19:21:48)

クレー> あわわ…き、キスしたぁ…♡(大好きな二人が目の前でキスをし始めてクレーもますますどきどきしながら見つめちゃう)   (2022/11/18 19:23:04)

東北ずん子> わたしとしては食べられるよりは食べられたいですけど。あわわ(見られて恥ずかし気に目を細めて)うー、フィーさんをがつがつ食べ返すんですからね(ぺろり、ぺろり、舌と舌をぴちゃっと小さく目の前で絡めあって   (2022/11/18 19:24:06)

フィー> フィーは食べるのも食べられるのも好きですし？（むちゅ、と唇を重ねると、舌を絡め合いながらずん子の口の中くすぐっちゃって）   (2022/11/18 19:26:42)

クレー> 2人の舌がからまって…音まで聴こえる♡(くちゅくちゅと2人のキスの音が聴こえて目からも耳からもらぶらぶな百合の雰囲気にどきどき止まらなくなるの)   (2022/11/18 19:29:07)

東北ずん子> んぅ……ちゅ、ちゅう♥(唾液を絡めあって、ちろ、ちろり。音が響くようにして。唇を吸い付き、ぎゅ、ぎゅ、身体を密着させ音を聞かせるようにしちゃいます)   (2022/11/18 19:29:07)

フィー> ふふ…レぅ、むちゅ、んっ♡（唾液を交換しながら、ソファに完全に寝っ転がるような体制に…）どういうことしたいんですか？（唇離すと、ぎゅっと抱きしめ身体もっと密着させ。耳元でささやくとふぅと息吹き込んじゃって）   (2022/11/18
19:32:52)

2022年11月15日 00時27分 ～ 2022年11月18日 19時32分 の過去ログ
「版権百合部屋」
現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
