/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2018年03月16日 20時53分 ～ 2018年03月30日 01時54分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

吉川ちなつ> こんばんは～   (2018/3/16 20:53:37)
モードレット> 【こんばんは】   (2018/3/30 01:25:08)

マシュ・キリエライト> モードレッドさん？　こんばんは   (2018/3/30 01:25:27)

モードレット> よう、掃除か真面目だね(少し笑いながら部屋に入っていく)   (2018/3/30 01:26:20)

マシュ・キリエライト> 寝付けなかったので、せめて片付けだけでも、と思いまして（知人と出会えてうれしいような恥ずかしいようなわたしです）   (2018/3/30 01:27:11)

マシュ・キリエライト> （そういえば、モードレッドさんはFGO何章あたりのモードレッドさんですか？　メインシナリオは一通り読みましたので、ネタバレが気になる所があれば、わたしの方で合わせます）   (2018/3/30 01:28:52)

モードレット> ほう、寝れねーのかい運動でもすればすぐ寝れるぞ、(ゆっくり近づく)   (2018/3/30 01:29:18)

マシュ・キリエライト> 運動……お、お手柔らかにお願いします（カルデアでの知人と深いラブに及ぶのは初めてなので、若干ぎこちないわたしです。でもどんな運動かは了解も期待も想像もしています）   (2018/3/30 01:31:21)

マシュ・キリエライト> （ちなみにオフですのでカルデア制服ですが、お好みの衣装があればどうぞ）   (2018/3/30 01:32:42)

モードレット> (ぎこちない姿を見て少しニヤリと笑い)おいおい、運動って何のことだと思ったんだ？俺は剣術とかだと思ったが(何を想像してるかわかったうえで更に近づく)   (2018/3/30 01:33:44)

モードレット> (制服で大丈夫です)   (2018/3/30 01:34:02)

マシュ・キリエライト> （見透かされてます―！？）けっ、剣だとシールダーのわたしは多少ハンデがありますし、間近で十分拝見していたのでお腹いっぱいです、あと、その、何のことかと思ったかと言われますと、深いラブと申しますか、そもそもこの部屋の表札に書いてあるようなごにょごにょですっ
  (2018/3/30 01:36:15)

マシュ・キリエライト> （顔を真っ赤にしてあわあわしています。驚いた拍子に眼鏡が多少ずれているのにもわたしは気づきません）   (2018/3/30 01:37:16)

モードレット> (ジリジリと寄っていき壁ドンをして逃げれなくす)   (2018/3/30 01:38:27)

モードレット> (すみません途中送信です)   (2018/3/30 01:38:46)

マシュ・キリエライト> （了解です）   (2018/3/30 01:38:54)

モードレット> ジリジリと寄っていき壁ドンをして逃げれなくして耳元で)案外真面目ちゃんな、マシュも 結構好きなんだな (眼鏡を直してあげる)   (2018/3/30 01:40:33)

マシュ・キリエライト> （モードレッドさんの流れるような壁ドンにドキドキしています。高ポイントです。繰り返しますが高ポイントです）そ、それは、その……はい……すき、です……   (2018/3/30 01:42:09)

マシュ・キリエライト> （目を潤ませてモードレッドさんを見つめます……）   (2018/3/30 01:45:10)

モードレット> じゃあ、どんなことをしたいんだ?(いじわるく言うと耳をあまがみしたり舐めたりする)素直にいったらご褒美くれてやるよ   (2018/3/30 01:46:51)

マシュ・キリエライト> （あ、耳、弱いです……）ぐっ、具体的に申し上げますと……わたしは、モードレッドさんに、えっちなことを、して、欲しい、です……   (2018/3/30 01:49:29)

マシュ・キリエライト> （抽象的なような気もしますけれど、もうわたしとしてはこれで精いっぱいでいっぱいいっぱいであわあわです。あわあわですが、身体の方は暖まっていってます……）   (2018/3/30 01:51:02)

モードレット> よく言えました、じゃあ約束通りご褒美だ(そのまま少し強引だがキスをする逃げれないように少し体を押し当てて)   (2018/3/30 01:51:19)

モードレット> (精いっぱい感が逆に良いですよ、わかりましたそのまましましょうか)   (2018/3/30 01:52:35)

マシュ・キリエライト> （ふわぁぁぁ……ぽーっとなりながら、モードレッドさんのキスを受け入れます。一瞬ためらいますが、おずおずと抱きしめます）   (2018/3/30 01:52:50)

マシュ・キリエライト> （ありがとうございます。ふつつかなわたしですが、頑張って深いラブに及ぼうと思います）   (2018/3/30 01:53:37)

モードレット> (そのまま舌を侵入させて絡める、力が抜けてもいいように体をしっかり支える)   (2018/3/30 01:54:57)

2018年03月16日 20時53分 ～ 2018年03月30日 01時54分 の過去ログ
「版権百合部屋」
現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
