/


「最強勇者VS雑魚サキュバス」の過去ログ

現在のルーム [/ChatRoom?room_id=273774]
過去ログ一覧 [/PastLogList?room_id=273774]

タグ 罰 [/?tag_id=2952#freerooms]  対決 [/?tag_id=4107#freerooms]  サキュバス [/?tag_id=10321#freerooms]  イメチャ [/?tag_id=33#freerooms]  サイコロ
[/?tag_id=1251#freerooms]

2023年09月29日 00時36分 ～ 2023年10月14日 09時57分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

ロニエ♀サキュバス> 【こんばんは、お邪魔してもよろしいでしょうか？】   (2023/9/29 00:36:30)
アイナ♀サキュバス> 【いえいえ、そちらの描写も素敵でしたよ！ありがとうございました！】   (2023/10/13 01:34:19)

ハルク♂勇者> 【とてもドキドキさせて下さいました…！長時間お疲れ様でした、また機会があればお願いしますっ。】   (2023/10/13 01:36:44)

アイナ♀サキュバス> 【はい、機会が有りましたらお願い致します！それではお疲れ様でした！】   (2023/10/13 01:37:11)

おしらせ> アイナ♀サキュバスさんが退室しました。  (2023/10/13 01:37:13)

おしらせ> ハルク♂勇者さんが退室しました。  (2023/10/13 01:39:02)

おしらせ> スイ♂勇者さんが入室しました♪  (2023/10/13 23:47:31)

おしらせ> レイラ♀サキュバスさんが入室しました♪  (2023/10/13 23:50:25)

レイラ♀サキュバス> こんばんは   (2023/10/13 23:50:52)

スイ♂勇者> 【こんばんは】   (2023/10/13 23:50:59)

スイ♂勇者> 【よろしくお願いします！】   (2023/10/13 23:51:15)

レイラ♀サキュバス> 【よろしくお願いします】   (2023/10/13 23:52:35)

スイ♂勇者> 【レイラさんの外見教えて下さい！】   (2023/10/13 23:52:56)

レイラ♀サキュバス> 【白髪ロングで身長は170くらいですねー】   (2023/10/13 23:55:10)

スイ♂勇者> 【了解です！NGとかありますか？】   (2023/10/13 23:57:34)

レイラ♀サキュバス> 【こちらは特にないです】   (2023/10/13 23:57:46)

スイ♂勇者> 【こっちの外見は黒髪短髪、175センチ、って感じです】   (2023/10/13 23:58:27)

レイラ♀サキュバス> 【把握しましたー】   (2023/10/13 23:58:53)

スイ♂勇者> 【描き出しはどちらからしますか？】   (2023/10/13 23:59:09)

レイラ♀サキュバス> 【お願いしても良いですかー？】   (2023/10/13 23:59:34)

スイ♂勇者> わかりましたー   (2023/10/13 23:59:41)

スイ♂勇者> （森の奥の古城に魔物がいると噂が広まっていた。しかし、討伐に向かった者は誰一人と帰ってはこなかった。   (2023/10/14 00:01:35)

スイ♂勇者> （それでも新たに、討伐に向かうスイ）一体どこまで歩けば城があるんだ…（ひたすらに森を歩き続ける）   (2023/10/14 00:02:36)

レイラ♀サキュバス> あらあら、こんなところで勇者様に会えるなんてラッキーですね(そう呟きながら森の中から歩きながら現れて)ふふ...残念ですけどここで倒させて頂きますね〜   (2023/10/14 00:08:02)

レイラ♀サキュバス> 1d6 → (6) = 6  (2023/10/14 00:08:09)

スイ♂勇者> 【いきなり…】   (2023/10/14 00:08:25)

レイラ♀サキュバス> ふふ...無防備ですね(勇者に襲いかかり、勇者を地面に押し倒して馬乗りになって、勇者のズボンをずらして、勇者のそれを勃たせてから勢いで入れて騎乗位の体勢になって)あらあら、勇者様も所詮こんなものなのね〜(勇者の上で腰を振りながら余裕の表情を浮かべながら勇者を見下し煽りながら、勇者を射精させる勢いで腰を振り続けて)
  (2023/10/14 00:12:47)

スイ♂勇者> えっなに！？（あまりに唐突すぎて抵抗する暇もなく、慣れた手つきで脱がされ、しごかれ、、すぐにガチガチにしてしまう…）あっぁぁあ、、、や、、いくっ、、！！！っぁぁあ、、、（そのままイってしまう）　   (2023/10/14 00:15:40)

レイラ♀サキュバス> あらあら、魔物に押し倒されてすぐに射精しちゃいましたね〜、勇者様弱すぎ〜(射精してしまった勇者を勇者を笑みを浮かべながら見つめて煽らながら)   (2023/10/14 00:20:37)

レイラ♀サキュバス> 1d6 → (5) = 5  (2023/10/14 00:22:26)

レイラ♀サキュバス> (勇者の上に馬乗りになったまま、勇者の耳元で囁いて)勇者様〜♡このまま気持ち良くなって、負けちゃってもいいんですよ〜♡(勇者の耳元で煽りながら囁き続けて)   (2023/10/14 00:26:08)

スイ♂勇者> はぁ、、はぁ、、はぁ、はぁ、、、（いきなり激しく腰を動かされ、すぐにイってしまい、体力がなかなか回復しない）うるさい、、、   (2023/10/14 00:27:40)

スイ♂勇者> （しかしまだ、理性は保たれており、体は動かせないが反抗する意志はある）また、イクわけな、、、（レイラの魅力に惑わされてしまい、最後まで言い切れない）   (2023/10/14 00:29:32)

スイ♂勇者> 、、、、手で、、してくださいっ、、（魅力に負け、思わずおねだりを口に出してしまう）   (2023/10/14 00:31:33)

レイラ♀サキュバス> ふふふ♡勇者様がそこまで言うんだったらしてあげますよ〜♡(そう言って勇者のソレを慣れた手つきで扱き始めて)どうですか〜勇者様♡気持ち良いですか〜?♡(そう言いながら笑みを浮かべて手で扱き続けてやって)   (2023/10/14
00:36:19)

おしらせ> 無言時間が25分を超えたため、スイ♂勇者さんが自動退室しました。  (2023/10/14 01:05:48)

おしらせ> 無言時間が25分を超えたため、レイラ♀サキュバスさんが自動退室しました。  (2023/10/14 01:05:48)

おしらせ> メア♀サキュバスさんが入室しました♪  (2023/10/14 07:42:29)

おしらせ> 勇者♂さんが入室しました♪  (2023/10/14 07:45:56)

勇者♂> おはようございます   (2023/10/14 07:46:06)

おしらせ> 勇者♂さんが退室しました。  (2023/10/14 07:46:51)

おしらせ> 拓磨♂勇者さんが入室しました♪  (2023/10/14 07:47:01)

おしらせ> 拓磨♂勇者さんが退室しました。  (2023/10/14 07:47:19)

おしらせ> キルア♂勇者さんが入室しました♪  (2023/10/14 07:47:39)

キルア♂勇者> おはようございます   (2023/10/14 07:47:52)

メア♀サキュバス> 【うん、おはよう。それじゃよろしくね】   (2023/10/14 07:48:27)

キルア♂勇者> お願いします   (2023/10/14 07:48:39)

メア♀サキュバス> 【書き出しどっちやる？私やってもいいけど】   (2023/10/14 07:49:16)

キルア♂勇者> お願いします   (2023/10/14 07:49:36)

メア♀サキュバス> 【了解、場面設定とか衣装リクエストある？】   (2023/10/14 07:50:23)

キルア♂勇者> サキュバスはお姉さん系でもいいですか？   (2023/10/14 07:51:03)

メア♀サキュバス> 【うん、まあ大丈夫かな】   (2023/10/14 07:51:36)

キルア♂勇者> ありがとうございます   (2023/10/14 07:51:47)

メア♀サキュバス> 【それじゃいい感じに書いてくるね】   (2023/10/14 07:52:43)

キルア♂勇者> わかりました   (2023/10/14 07:52:53)

メア♀サキュバス> こんばんはー、よかったら今晩いっしょにどう？(今日も無事クエストをこなし、軽く酒を飲み色街を歩いていると娼婦に扮したメアに声を掛けられる。酔いで気が大きくなってたこともありそのまま誘われるままについていく)   (2023/10/14
07:57:17)

メア♀サキュバス> 1d6 → (5) = 5  (2023/10/14 07:57:40)

キルア♂勇者> お願いします1d6   (2023/10/14 07:57:50)

キルア♂勇者> 1d6 → (2) = 2  (2023/10/14 07:57:54)

メア♀サキュバス> 【あれ？ここイメチャ部屋だって大丈夫だよね？】   (2023/10/14 07:59:17)

キルア♂勇者> はい   (2023/10/14 07:59:31)

メア♀サキュバス> 【ん、ならいいや】   (2023/10/14 08:00:26)

キルア♂勇者> お願いします（誘惑のままについていく）   (2023/10/14 08:01:03)

メア♀サキュバス> さてと…それじゃあ、どんなことしてほしいかな？(部屋に入り服や装備を脱がせると彼の上に跨り誘惑する。ベビードールにパンツだけといった露出の多い格好で囁いてくるメアにキルアも正直に答えてしまう)   (2023/10/14 08:05:14)

メア♀サキュバス> 【あ、外見は黒髪をひとつ結びで前に垂らしてる感じで、胸はDくらいで】   (2023/10/14 08:06:16)

キルア♂勇者> いじめて欲しいです甘えたいです（本能のままに答える）   (2023/10/14 08:07:29)

メア♀サキュバス> 【5 チャームボイス（勇者を魅了し、次のターンの勇者の行動を"おねだり"に変える）】   (2023/10/14 08:08:22)

メア♀サキュバス> 【おねだり（サキュバスの攻撃を1〜3から選び、2倍の効果で受ける） 選んでね】   (2023/10/14 08:08:48)

キルア♂勇者> 3でお願いします   (2023/10/14 08:10:04)

メア♀サキュバス> 【はーい】   (2023/10/14 08:10:29)

メア♀サキュバス> うん、それじゃこうやって…おっぱいで抱きしめながら、足で弄ってあげる♪(キルアの頭を抱え込むようにして胸に埋めさせると、膝裏にローションを垂らし彼の逸物を挟み込む。甘い香りに頭が蕩けていき、ぎゅ、ぎゅっと時折キツめに挟まれたり太ももで押しつぶされたりと様々なやり方で彼に快感を与える)
  (2023/10/14 08:16:02)

メア♀サキュバス> 【で、ダメージ30でそっちのターンはおねだりもう一回私のターンね】   (2023/10/14 08:17:11)

キルア♂勇者> あぁヤバい気持ちい（どんどんちんこが大きくなる）   (2023/10/14 08:17:23)

キルア♂勇者> はい   (2023/10/14 08:17:26)

メア♀サキュバス> 1d6 → (4) = 4  (2023/10/14 08:17:34)

メア♀サキュバス> ほーら、もっと頭とろとろにしちゃって、気持ちいい事だけ考えてればいいの♪ゆっくり深呼吸して、体の力ぬいちゃいな(次第に足だけでなく手も使い彼の逸物を弄り始める。甘やかすように頭を撫でながらメアの香りを胸いっぱいに吸い込み快感に溺れていく)
  (2023/10/14 08:23:10)

キルア♂勇者> 1d6 → (1) = 1  (2023/10/14 08:23:56)

キルア♂勇者> あぁもう我慢できない出そう！（チンこがビクビクして我慢汁が溢れ出る）   (2023/10/14 08:24:52)

メア♀サキュバス> 【あ、攻撃エッチなのでもいいよ？】   (2023/10/14 08:24:53)

キルア♂勇者> 乳首を摘むで   (2023/10/14 08:25:23)

メア♀サキュバス> 【いや、できたらもうちょいロルしてほしいかな…】   (2023/10/14 08:26:29)

キルア♂勇者> ロルとは？   (2023/10/14 08:27:19)

メア♀サキュバス> 【…えっと、ロールプレイの略でそのキャラになりきって色々行動するってことで…要するにもうちょい何やったか描写とか表現が欲しいかなーと】   (2023/10/14 08:29:47)

キルア♂勇者> 分かりました   (2023/10/14 08:30:49)

メア♀サキュバス> 【ほら、過去ログ見てもけっこう色々やってるでしょ？】   (2023/10/14 08:30:52)

キルア♂勇者> はい   (2023/10/14 08:30:58)

キルア♂勇者> あぁもう出そうです。出してもいいですか？（亀頭が破裂しそうなくらいパンパンになり我慢汁がどぱどぱでる）   (2023/10/14 08:33:25)

キルア♂勇者> すいませんもう抜けます   (2023/10/14 08:39:10)

おしらせ> キルア♂勇者さんが退室しました。  (2023/10/14 08:39:13)

おしらせ> コータ♂勇者さんが入室しました♪  (2023/10/14 08:52:01)

コータ♂勇者> 【おはよう、まだ見てるかな？】   (2023/10/14 08:52:59)

おしらせ> 無言時間が25分を超えたため、メア♀サキュバスさんが自動退室しました。  (2023/10/14 08:56:09)

おしらせ> コータ♂勇者さんが退室しました。  (2023/10/14 08:56:31)

おしらせ> アヤ♂勇者さんが入室しました♪  (2023/10/14 09:57:44)

2023年09月29日 00時36分 ～ 2023年10月14日 09時57分 の過去ログ
「最強勇者vs雑魚サキュバス」
現在のルーム [/ChatRoom?room_id=273774]
過去ログ一覧 [/PastLogList?room_id=273774]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2026 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
