/


「最強勇者VS雑魚サキュバス」の過去ログ

現在のルーム [/ChatRoom?room_id=273774]
過去ログ一覧 [/PastLogList?room_id=273774]

タグ 罰 [/?tag_id=2952#freerooms]  対決 [/?tag_id=4107#freerooms]  サキュバス [/?tag_id=10321#freerooms]  イメチャ [/?tag_id=33#freerooms]  サイコロ
[/?tag_id=1251#freerooms]

2022年10月22日 19時30分 ～ 2022年10月28日 15時50分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

クライド♂勇者> 【強かった、勝てると思ってました笑】   (2022/10/22 19:30:47)
おしらせ> マナ♀サキュバスさんが入室しました♪  (2022/10/28 14:14:14)

おしらせ> ナオ♂勇者さんが入室しました♪  (2022/10/28 14:18:33)

マナ♀サキュバス> はぁ…ふ、ぁ……あぅ……ぁ…♡（太陽が傾きスラム街の細い路地裏はがすっかり暗くなった頃、フラフラとおぼつかない足取りでやってきたのは、草色の外套を羽織った黒い髪をツインテールにした少女で、誰もいないこの場所で熱っぽい吐息を吐き出している）【対戦相手募集中です♡初心者なのでおてやわらかに…】
  (2022/10/28 14:18:42)

ナオ♂勇者> 【こんにちは】   (2022/10/28 14:18:44)

マナ♀サキュバス> 【こんにちはです。待機描写に合わせていただけたら幸いですっ】   (2022/10/28 14:19:13)

ナオ♂勇者> 【はじめまして。こちらも初心者ですがよろしくお願いします。待機描写に続けますね】   (2022/10/28 14:19:41)

ナオ♂勇者> ふ～。弱いモンスターでも倒して名を上げようと今日も朝から探索しているのに、やっぱり街の近くだと大して弱そうなのはいないもんだな…（まだまだ勇者の駆け出しのナオ。遠出してモンスター狩りにいく度胸がなく少し街はずれを歩くくらいで今日は帰ろうと思っていた矢先、スラム街の路地裏に目を凝らすと何やら熱い吐息を吐き出しているサキュバス？？
こいつは手ごろなのがいたもんだと近寄っていくと…）おい。お前、この勇者に倒されて名声を上げる手助けをしてもらおうか…   (2022/10/28 14:24:13)

マナ♀サキュバス> 1d6 → (2) = 2  (2022/10/28 14:24:59)

マナ♀サキュバス> ひゃっ♡ゆ……ゆうしゃさまぁ♡こんな、欲望にまみれた人たちがいっぱいいるところに……えへへ♡そっか、そーゆうことかな……♡倒すってぇ……マナのこと、押し倒してどーにかしちゃうってことなのかなぁ…♡ねぇ、勇者さまは、すっごくつよいちからでぇ……マナのこと、めちゃくちゃにしてほしいなぁ…♡（声をかけられれば少しばかり驚いたように飛び跳ねるものの、力を持った人間が現れたと知れば、はらりと外套を床に落とし、幼い秘部や小さな胸の膨らみを晒し、紺色のサイハイソックスだけの姿になってスタスタと歩み寄り、ぐいぐいと密着しながらすぐ間近まで顔同士を寄せ、ナオさんの下腹部に小さな手を重ねてまさぐりはじめて）
  (2022/10/28 14:29:52)

ナオ♂勇者> おっおい… サキュバスは色気に満ちた存在とは聞いたことがあるが、こんなに直接的な輩だったのか… ふん… まぁ、名声とともにそういうこともというなら、それはそれで…（まんざらでもないという風な口ぶりで話を続けようとすると…
いきなり外套が落ちたその姿は目を疑うような一糸まとわぬ、いやサイハイソックスだけという何とも言えない姿の少女でしかない… こんな相手を本気でぶっ飛ばしていいものなのか？と思案しているとあっという間に密着を許し… 下腹部をまさぐり始められ…
少しばかり戦意を失いかけてしまう…）おい、やめなさい…（あまりにあっけにとられたもので、子供に注意するような口調で抵抗を見せる）   (2022/10/28 14:36:06)

ナオ♂勇者> 1d6 → (1) = 1  (2022/10/28 14:36:19)

ナオ♂勇者> おい、離れろって言ってるだろ…（マナの小さな体のどこを捕まえればいいかなと考えながら、このまま下腹部を触らせているのも何とも言えないので、とりあえず彼女の両肩を掴むと裸同然の少女にこんなことをするのは気が引ける…と思いながら、彼女のふくらはぎ辺りに足をかけると、そのまま力いっぱい地面に叩きつける…）
  (2022/10/28 14:38:41)

マナ♀サキュバス> 1d6 → (6) = 6  (2022/10/28 14:39:14)

マナ♀サキュバス> やだよぉ……マナ、ゆうしゃさまとエッチしたいもん…♡ふぇ！？きゃあああんぅ！！あ、あぅ……ぁ、ぁぁ…だめ、こんなことされたら……マナ…我慢できないよぉ…思い切り地面に背中を叩きつけられる形で転倒させられれば、どことなく嬉しそうな悲鳴をあげてしまう）ゆ、ゆうしゃさまのせいだからね……ぁ、ぅ……あぁ……♡（普通の少女ならば怪我をしているところだが外傷はなく、身体を少しばかり起こしたかと思えばナオの手を掴んで仰向けになるように引き倒し、すぐにその上に跨れば瞬く間にズボンからナオの肉棒取り出し、すっかりぐちょぬれになった幼い秘部へとあてがえば、体重をかけながらそれを小さな膣穴でくわえこんでいく）ああぁぁっ♡ゆうしゃさまのっ♡あっあっぁぅぅ♡すご、ぃっ♡もう、とまんないよぉ……む、むかしね……マナ、人間の女の子だったの……そ、そのときに……れ、レイプされて、すごく……乱暴にされて……勇者様が…思い出させるから！我慢できないよぉ……！！（しっかりと根元までくわえ込んだあと、腰を前後に動かし、自らの膣壁をとナオさんの肉棒を激しくこすり合わせて）
  (2022/10/28 14:47:12)

ナオ♂勇者> 投げ飛ばされても何でこんなに嬉しそうなんだ… （投げ飛ばして体制を整えて次の攻撃をと身構えようとすると、嬉しそうな悲鳴を上げて地面に叩きつけられたはずの少女は立ち上がると嬉しそうな表情を浮かべて近づいてくる…
底知れぬ恐怖を味わったナオは身動きがとれぬまま仰向けに倒されると… 油断したすきに肉棒を取り出され… あっという間に挿入されている…）おっ、、おい… お前を倒してから好きなようにしてやるって言ってるのに、何を突然…
昔乱暴されたとか、そんなことは自分には関係のないことで、だから…さっさと…解放しておとなしく…たおさ…あっ、、、あぁ…くぅっ、、、うっ、、、（少女の腰つきに不覚にも喘いでしまう勇者…）うっ、、だから、、あぁっ、、だめ・・・中に出る…くぁああ・・・・（そのまま射精してしまう…）【続けてサイコロどうぞ】
  (2022/10/28 14:53:35)

マナ♀サキュバス> 1d6 → (2) = 2  (2022/10/28 14:54:32)

マナ♀サキュバス> や、ぁっ♡あ、あぅっ♡あっあっ♡くるっ♡ゆうしゃさまのせーえき！マナのおまんこに出てるぅ…ッ♡あ、あぅぅ…ッ！！マナのこどもまんこ、名前も知らない男の人に……種付けされちゃってるよぉ……はぁ♡ふぁ…ぁ……ねぇ、勇者さまぁ…すっごく気持ちよかったけどぉ……もっと、もっとほしいな…マナね、おとこにひとに……らんぼうされて、せーえき…いっぱいだしてもらわないと……おかしくなっちゃうの……ゆうしゃさまに、たすけてほしいの……ね？いいでしょ♡（一番奥でナオさんの精液を受け止めたあとは腰を持ち上げゆっくりとそれを引き抜く、そして幼い膣穴から精液がこぼれる様を見せつけながら愛液で濡れたナオさんの肉棒を握り、上下にしごきはじめて）
  (2022/10/28 14:59:37)

ナオ♂勇者> 1d6 → (3) = 3  (2022/10/28 15:00:08)

ナオ♂勇者> うっ…うくっ、、、うぅ…（本当は少女の中に中出しなんてそうそう機会がないことなので喜ぶべきシチュエーションなのかもしれないのに、いかんせん相手は幼女にも見えるサキュバス…
まんまと搾り取られるように精液を放出するとその顔は喜びというよりも悔しさに満ちた表情で…）乱暴されて精液だと…（そんなことよりもさっさと退治してこの場から立ち去らないと、肉棒がいくつあっても足りないんじゃないか…そう考え始める…）あぁ、くっ…（少女の引き締まった膣穴から肉棒が引き抜かれるとまたぎゅっと締め付けられるような感覚に思わず声を漏らして、精液が少女からこぼれる様子を苦悩の表情で眺め…
肉棒を扱かれながら力をためて次の攻撃に備える… 今度こそ一撃で退治してやる… 相手に乗せられているかのように声をかけ…）おぉ、サキュバス上手じゃないか？もっと扱いて気持ちよくしてくれ…   (2022/10/28 15:06:59)

マナ♀サキュバス> 1d6 → (4) = 4  (2022/10/28 15:08:42)

マナ♀サキュバス> ふぁ、はぁ……♡まだ、すっごく、かたい……ゆーしゃさまが話しかけてくれた時から……ずっと、ずーっとね…ゆうしゃさまに押さえつけられて、マナのちっちゃいおまんこ乱暴されたりとかぁ……そこの壁に手をついて…後ろから、とかぁ……いっぱい、いっぱい…考えてるんだよ…♡ちゅ、は…ぁ……ねぇ、まだ出しちゃだめだよ、出すならマナのおまんこか、お口にね…♡（少女の小さな手とは思えない巧みな動きで根元から先端まで執拗に刺激を続けると先端部分に口づけをし、肉棒が良い反応を見せれば根元をぎゅっと締め付けたりして）
  (2022/10/28 15:12:47)

ナオ♂勇者> 1d6 → (5) = 5  (2022/10/28 15:13:30)

マナ♀サキュバス> 【溜め攻撃なのでは！】   (2022/10/28 15:14:07)

ナオ♂勇者> 【サイコロ間違えてましたね＞＜ ご指摘ありがとうございます。 振り直します】   (2022/10/28 15:14:32)

ナオ♂勇者> 1d2 → (2) = 2  (2022/10/28 15:14:42)

ナオ♂勇者> （ここは調子を合わせて油断させてから一気に魔法で攻撃してやろう…）おぉ…お前はマナっていうのか… よく見れば可愛らしいじゃないか… そんなに犯されたり、乱暴されたりするのが好きだなんて、よっぽど人間だった時に快楽を与えられて来たんじゃないのか？
いやらしい女は嫌いじゃないぞ。そうそう、そうやって扱くと男は気持ちよくなって、たくさんマナのことを犯してくれたんだろ？
今日もそうやって、くっ。。くぅ…（寸止めされて苦しそうな表情を見せながら…）お楽しみのところ、これでもくらえ…（手に蒼い炎のような光が宿ったかと思うと、この至近距離でマナの鳩尾あたりにその光がぶつかってマナの小さな身体が宙に舞う…）   (2022/10/28
15:19:38)

マナ♀サキュバス> 1d3 → (3) = 3  (2022/10/28 15:27:16)

マナ♀サキュバス> えへへ♡うんっ♡マナ、いっぱい乱暴してほし……ふぁぅ！？きゃああぅっ！あ、あぅ……ちょっと痛いよぉ…どーして？痛いだけは嫌だよぉ……ねぇ、勇者さまぁ…！（直撃を受けてすぐ隣へごろごろと転がるものの、見た目に外傷はないものの、痛みはそれなりにあり涙をぽろぽろと零す。とはいえ再び勇者へと掴みかかり抱き着くと、自らの太腿をナオさんの肉棒へぎゅうぎゅうと押し付け、強く抱きつきながらそれを何度も何度も擦るようにして）
  (2022/10/28 15:30:21)

ナオ♂勇者> 1d6 → (5) = 5  (2022/10/28 15:34:28)

ナオ♂勇者> くっ…この一撃を食らってもまだ平気な顔して近づいてきやがる…（さすがに近距離で魔法を食らったら退治することができると思っていたナオは油断して再びマナの接近を許してしまう…）おっ、おい、またそんなに肉棒を刺激したら…くぅうう。。。気持ちいい…（逝ったばかりだというのに、ナオの太腿はさすがに若いだけはあってとてもすべすべとして気持ちよく、ストッキングにでも包まれて扱かれているような感覚で…）あぁっ、、ダメ、、、また…（マナの太腿に白濁とした精液を放出してしまい…
もう少しその気にさせてから倒さないと…と思い…）はぁ、、っはぁ…マナ、お前なかなかうまいじゃないか…
ここを気持ちよくしてやるから、もっと楽しもうじゃないか…（少女の小さな胸の膨らみを指で少し弾くと、ちょっと固くなってきた蕾を親指と人差し指で挟み込むと少し強めに潰したり、爪で引っかいたりして刺激し始める…）   (2022/10/28 15:39:16)

マナ♀サキュバス> 1d6 → (4) = 4  (2022/10/28 15:41:13)

マナ♀サキュバス> きゃあっ♡勇者さまぁ……出ちゃったのぉ？マナのお口かおまんこに飲ませて欲しかったのにぃ……でも、まだ硬いからだいじょーぶだよね♡んぁっ♡あ、あぅ……勇者さまぁ…そ、そこ……あっ♡あぅ……やっとその気になってくれたの？は、ぅ♡…マナといっぱい……れいぷせっくす、しよーね♡でも、今度は外に出しちゃだめだよぉ…♡（すっかり硬くなっている胸の先端いじられれば、そのたびに喜びの声をあげ、太腿に付着した精液を手のひらでからめとると、それを肉棒にぬりたくり、ローション代わりにして手や脚でナオの肉棒へ弱い刺激を与えて）
  (2022/10/28 15:44:35)

ナオ♂勇者> 1d6 → (2) = 2  (2022/10/28 15:48:13)

ナオ♂勇者> マナの太腿があまりに気持ち良かったから、我慢できなくて出してしまった… お前の身体が魅力的だからこうなったんだから、お前のせいじゃないか…だから、今度はちゃんとお前もコントロールしないとダメだぞ…
ほら、こんなに乳首も固くして、マナはいやらしい女の子だな…
もっと感じていいんだぞ…（もっと乗せればきっと簡単に倒せる隙がうまれるはずだと信じて、少女との情事にのめり込んでいくナオ…）うっ、、、相変わらず…うまいじゃないか…おい、そんなローションみたいに使ったら…またいくっ…（寸止めされて、不服そうな顔を浮かべたかと思うと、また手の平には青い光が…
こんなところに食らわせたら申し訳ないと思いながら、マナの敏感な胸の頂点に向けて再び魔法攻撃を…）   (2022/10/28 15:50:12)

2022年10月22日 19時30分 ～ 2022年10月28日 15時50分 の過去ログ
「最強勇者vs雑魚サキュバス」
現在のルーム [/ChatRoom?room_id=273774]
過去ログ一覧 [/PastLogList?room_id=273774]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2026 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
