/


「罰部屋【仮】」の過去ログ

現在のルーム [/ChatRoom?room_id=401057]
過去ログ一覧 [/PastLogList?room_id=401057]



2024年10月14日 14時08分 ～ 2024年10月15日 14時33分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂13HL ◆> ふむふむ…新婚…結婚…いいね   (2024/10/14 14:08:10)
エロガキ♂19b ◆> ほれ！くれてやるから着てみろ(どこからともなくパーカーを取り出しクラリスに渡して)   (2024/10/15 13:26:40)

クラリス> わーい！ もしかしてプレゼント用に仕込んだりとかしてました？   (2024/10/15 13:27:31)

エロガキ♂19b ◆> それは秘密～   (2024/10/15 13:27:51)

エロガキ♂19b ◆> まぁ、負けたらまた言われるだろうとは思ってたから、事前に選んではいたけどねぇ   (2024/10/15 13:28:43)

クラリス> これ貰っちゃっていいんですか？（ご機嫌でくるくる回ってる）   (2024/10/15 13:28:53)

エロガキ♂19b ◆> いいよ～、女性ものだしね。好きに使っちゃって～   (2024/10/15 13:29:33)

クラリス> わーいわーい！   (2024/10/15 13:29:53)

エロガキ♂19b ◆> でも今でるのはこれだけよ～！   (2024/10/15 13:30:42)

クラリス> （とはいえ罰ゲーム先読みされちゃってるのも考えものですね…わざを増やさないと！）   (2024/10/15 13:30:46)

クラリス> うち、何着も一度にたかるほどがめつくないですよ！ …ししょーならともかく（ぼそっ）   (2024/10/15 13:31:46)

エロガキ♂19b ◆> もうすぐ罰の時間も終わっちゃうし、おっぱいぐらい揉ませて欲しいな～、なんて？   (2024/10/15 13:32:01)

エロガキ♂19b ◆> いや、、コーデを聞くのもなかなかだけどね！？俺が決めていいの？ってなるから！   (2024/10/15 13:32:40)

クラリス> うぐっ…ちょっとだけですよ？（おねだりされてパーカーの前はだけ）   (2024/10/15 13:33:04)

エロガキ♂19b ◆> わーい！(遠慮なく飛び付きクラリスの豊満なおっぱいをいやらしい手つきで揉んで)   (2024/10/15 13:33:54)

クラリス> ちょっとだけ…のわりに、したごころっ、すごく、ないですか…っ！？   (2024/10/15 13:35:06)

クラリス> （ちょっとの時間なのに呼吸あらめ）   (2024/10/15 13:35:30)

エロガキ♂19b ◆> あはは、少しだけ～、はい終わり～(最後に軽く乳首のところを擦り手を離し)続きはまたこんどね～♡   (2024/10/15 13:36:09)

クラリス> んんっ…！！（胸のさきっぽ攻められて声が出て…勝ったのに〜！！）   (2024/10/15 13:37:11)

クラリス> 解散です、解散！   (2024/10/15 13:37:33)

エロガキ♂19b ◆> あは、やっぱクラリスちゃん弱々～、苛めてた方が楽しい～！♡♡また遊ぼうね♡   (2024/10/15 13:38:01)

クラリス> なにされるかわからないし、二度と負けませんからね！（しっかりパーカーを羽織り直してから帰ります）   (2024/10/15 13:39:13)

クラリス> 【お部屋ありがとうございました！】   (2024/10/15 13:39:40)

おしらせ> クラリスさんが退室しました。  (2024/10/15 13:39:43)

エロガキ♂19b ◆> 次は公開オナニーさせるね♡またね～   (2024/10/15 13:39:44)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/10/15 13:39:46)

おしらせ> エロガキ♀15kbさんが入室しました♪  (2024/10/15 14:15:21)

おしらせ> エロガキ♂13HL ◆3P8hK58TGgさんが入室しました♪  (2024/10/15 14:15:47)

エロガキ♂13HL ◆> 対戦ありがとうございました♪kbお姉ちゃん最後ナイス追い込みでした♪   (2024/10/15 14:16:13)

おしらせ> 黒上フブキさんが入室しました♪  (2024/10/15 14:16:35)

エロガキ♀15kb> 末脚より、アタシは逃げ足のはずなんですけどね？（あはは……なんだか最近追い上げ逆転が多い気が   (2024/10/15 14:16:41)

エロガキ♀15kb> とりあえず、キス、あとお腹周りは触らせてください♡下とか手とかは……ＨＬさんの判断に任せしたいと思いますが、是非に是非に、黒さんとイチャイチャしたい！（ででん！   (2024/10/15 14:17:31)

黒上フブキ> なんで私が負けねぇとなんだよ〜…出てきて早々…。私途中までリーチだったよな…！？   (2024/10/15 14:18:24)

エロガキ♂13HL ◆> ここは最後の立役者のkbお姉さんに楽しんでもらって♪(にこっ)…イチャイチャ沢山してもらって〜♪   (2024/10/15 14:18:30)

エロガキ♀15kb> ふふ、ダイスの神様が言ってます！アタシとイチャイチャされろと♡では、時間ダイスお願いします♡   (2024/10/15 14:19:07)

エロガキ♂13HL ◆> とはいえ僕も頭撫でたりとかはさせてもらいますけど！！…たしかに途中まで負けるなーって思ってましたし   (2024/10/15 14:19:20)

黒上フブキ> …はぁ〜。まぁ、ぐだぐだ言ってんのもしょーじきダサいしな。ぱぱっと最短20分狙って引けばいいか。   (2024/10/15 14:20:02)

黒上フブキ> 10d3+10 → (3 + 3 + 1 + 3 + 1 + 1 + 1 + 2 + 2 + 2) + 10 = 29  (2024/10/15 14:20:10)

エロガキ♀15kb> 期待値ー1　49分まで、とではここにお願いします♡（トントンとソファに座ってアタシのお膝においでおいでして）   (2024/10/15 14:20:49)

黒上フブキ> でもまぁ…30分超よりかはマシか。知る限り一番ヤバいんじゃねぇの？コイツ…。（不機嫌そうにため息を吐きながら歩き、背を向けるように座って。）   (2024/10/15 14:21:54)

エロガキ♂13HL ◆> やばい…たしかに…？(いいお姉さんなんですけどねー？って苦笑いしながら二人の様子を見ながら目の前の光景を楽しんでて)   (2024/10/15 14:23:06)

エロガキ♀15kb> ま、ガキサイドも女性サイドもどっちにも立てるって意味では、この部屋屈指だと、思いますよ？（すすぅっとお臍出てるいつもの衣装、ですよね？ってまずはお腹周りを撫でつつ、うなじからつんつんと唇でつついてから「顔、こっちにください」って振り向くのお願いします♡）
  (2024/10/15 14:23:16)

エロガキ♂13HL ◆> 【5分程席を外します〜進めちゃっててくださーい！】   (2024/10/15 14:25:05)

黒上フブキ> どっちの利点も経験してるからこそなんだよな〜…仮面とか中々聞かねェし。（目の前の少年を睨みつけながら、最近肌寒くなってきた衣装の臍を撫でられるとふるり震えながら、言われた通りにそっと顔を振り向かせて。）   (2024/10/15
14:25:59)

エロガキ♀15kb> ふふぅ♡とはいえ、やっぱり受けたいときってのはあるんですけど……それはそれで、また少し攻めっ気……とも違うんですが……こぉ、欲しくなる成分があるといいますか？（お腹、冷えちゃいません？って量て重ねてゆっくりお臍周りもみもみしつつ、唇、チュッと重ねて舌先で唇をつついてゆっくり湿らせ♡）
  (2024/10/15 14:27:37)

黒上フブキ> まぁ……やっぱわかんねぇよ…！気分によりけりってことだろ？分かんなくもねぇけど…ン、…♥（一瞬同調しかけたものの、やはり分からないと切り捨て。くすぐったいような気持ちよくさせられているかのような淡い刺激に身体を揺らされながら、唇を湿らされて行くたびに意識を他のところに集中しよう、なんて思惑で目元揺らいで。）
  (2024/10/15 14:30:57)

エロガキ♂13HL ◆> 【戻りましたー】   (2024/10/15 14:32:09)

エロガキ♂13HL ◆> ふふっ…こう女の子同士のイチャイチャを近場でみれるのもいいですね〜ドキドキしちゃいます♪(なんて2人のイチャイチャしている様子を邪魔しない位置で見ながら今後の展開をドキドキして見ちゃってて)   (2024/10/15
14:33:09)

エロガキ♀15kb> ん～ん、ふぅ♡（ゆっくり湿らせ、舌先で唾液を唇に塗った後で口の中、くちぅ♡ってゆっくり啄みキス♡）ん、んぅ……ふふぅ♡（ぷはっと小さく慣らして糸を引いつつ）どうしたんですか？なんだか落ち着かないみたいな～♡（お臍、くりくりとつつきつつ、片方の手が脇から腰、お尻の方ですが、当然尻尾をモフモフなでして）
  (2024/10/15 14:33:12)

2024年10月14日 14時08分 ～ 2024年10月15日 14時33分 の過去ログ
「罰部屋【仮】」
現在のルーム [/ChatRoom?room_id=401057]
過去ログ一覧 [/PastLogList?room_id=401057]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
