/


「罰部屋【仮】」の過去ログ

現在のルーム [/ChatRoom?room_id=401057]
過去ログ一覧 [/PastLogList?room_id=401057]



2024年10月23日 07時29分 ～ 2024年10月24日 14時50分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

おしらせ> クラリス ◆vp1gp540pWaYさんが退室しました。  (2024/10/23 07:29:40)
エロガキ♂19b ◆> 昨日の再放送みたい...やります！やりますけども！！結構恥ずかしいんだよ！！(服と下着を脱ぎ全裸になり頭を地面につけ土下座の体制になり)、、勝てるなんて調子に乗ってしまい申し訳ありませんでした...   (2024/10/24
02:43:05)

シャーロット・レイス ◆> そして、次はどうしましょうかね。(まあ、大体やらせることは決まってあるが)そうね。オナニーしながらやってみたいシチュとか体位を答えてね。   (2024/10/24 02:43:41)

エロガキ♂19b ◆> そうだな...シチュは、、なんでも大丈夫だけど...体位なら駅弁とかやってみたいかもねぇ(チンポを掴み扱き始めながら、質問に答え)   (2024/10/24 02:45:28)

エロガキ♂13UC> ん……ぐぅ、またこれな（シャーロットお姉ちゃんっていうお肉ぶら下げて、これされるのきついんだよな。勃つけど、出る感じしないっていうか。軽く握って上下に擦ると徐々に起こしつつ）ん～……体位は、種付けプレスとか、寝バックだと俺みたいなチビでも優位取れて好き……シチュは、ん～……お姉ちゃんとエッチできるなら割と何でも……恋仲～ってのもやってみたいけど、奴隷扱い、とか？
  (2024/10/24 02:45:52)

シャーロット・レイス ◆> そうなのね。二人共シチュはある程度何でも大丈夫と(その後の体位を聞いては、顔を真っ赤にしながら)駅弁？とか、種付けプレスは、どんな感じなのかな。   (2024/10/24 02:48:06)

エロガキ♂19b ◆> 駅弁は説明がめんどいんだよなぁ...レイスちゃんを持ち上げて空中で支えながら突くっていったらいいのかなぁ....っん、、(チンポを扱き続ければ嫌でも勃起して...)   (2024/10/24 02:49:57)

エロガキ♂13UC> 駅弁って、あれでしょ？俺じゃ難しいけど膝抱えて抱き合いながら立つ奴……（対面座位の男が立つみたいな？）どんな感じってか、がっちり押さえつけるの、つま先上になるくらい押し付けて、背中丸くする感じで……上から下に…力入らないから押し返せない～って書いてたけど（奴隷相手ならそういう男本位なのってイメージ強いかも？）
  (2024/10/24 02:50:11)

エロガキ♂19b ◆> 説明してくれるのほんと助かる...駅弁って、、言葉で伝えるの難しいんよねぇ   (2024/10/24 02:51:59)

シャーロット・レイス ◆> そうなのね(ゆでダコ用に全身真っ赤にしては二人から顔をそらして、刺激が強すぎで)【まあ、流石に2人に自演しては言えなかった。絵面が危ないから】   (2024/10/24 02:53:00)

エロガキ♂19b ◆> およ...レイスちゃんこういうの耐性ないのか....いいこと知れたかも～   (2024/10/24 02:54:21)

エロガキ♂13UC> 体デカくないと駅弁は難しいけどね。（腕と腰で持ち上げるんでしょ？ってお兄ちゃんに向きつつ）……何なら、この後お姉ちゃんに種付けプレスと寝バックなら実演してあげようか？（なんてニヤニヤして、けどシャーロットお姉ちゃん目の前にいるのに、チンポ扱いてるだけって、うぅ……滑稽）
  (2024/10/24 02:54:36)

エロガキ♂19b ◆> 確かにね...扱くだけなのは...なかなか辛いな...んん、、   (2024/10/24 02:55:30)

シャーロット・レイス ◆> うるさいわね。しなくていいから。そんな実演は   (2024/10/24 02:56:46)

エロガキ♂13UC> シャーロットお姉ちゃんとセックス気持ちいいからさ、こぉ、扱いてても……体がイキたくないってか、なんか納得しなくて、勃つけど……不満で、さ（うぅって少し震えながら、先走るけどヒクヒクしてそれだけ、みたいな）   (2024/10/24
02:56:48)

エロガキ♂13UC> さ、時間だ……え～俺としては実演したいけどね～♪ヤリタイ体位、だし？（服着る前に、立ち上がってお姉ちゃんの近くにわざといく　チンポギンギンなまま♪）   (2024/10/24 02:57:28)

エロガキ♂19b ◆> あっという間に時間か...速いなほんと   (2024/10/24 02:57:56)

エロガキ♂13UC> お姉ちゃんたちは30分前後だからね。16分はさすがに早いね～   (2024/10/24 02:58:28)

シャーロット・レイス ◆> そうね。毎回、私は違うことを聞いては、顔を真っ赤にしてる気が   (2024/10/24 02:58:46)

エロガキ♂13UC> で、お姉ちゃんどう？もう一戦……寝る時間とか気にするなら個室でお話でも？（そういいつつチンポをお姉ちゃんの太ももにそぉっと押し付ける感じで～♪）   (2024/10/24 02:59:36)

エロガキ♂19b ◆> こうやってヤられるんだって思い浮かべちゃう？   (2024/10/24 02:59:39)

シャーロット・レイス ◆> ユニコーン君押してつけるな。(押したけられて、後退りして)違う…思い浮かべてなんて(その場で固まり思考停止)   (2024/10/24 03:01:36)

エロガキ♂13UC> 押し付けるって、なーにーを？（って言いながらわざと前へ～♪）   (2024/10/24 03:02:20)

エロガキ♂13UC> 【ってか、さすがにここで続けると邪魔になるね。出よっか…多目的？雑談？お姉ちゃんたちどうする？】   (2024/10/24 03:03:04)

エロガキ♂19b ◆> ふふ...面白い反応だねぇ、、何を想像したのやら～   (2024/10/24 03:03:10)

シャーロット・レイス ◆> 【これを続けるなら多目的に】   (2024/10/24 03:04:03)

エロガキ♂19b ◆> 【二人で楽しんでおいで～】   (2024/10/24 03:04:44)

エロガキ♂13UC> 【じゃ、とりあえず多目的でいいのかな？19のお兄ちゃんもOK？】   (2024/10/24 03:04:49)

エロガキ♂13UC> 【って、お兄ちゃん行かないなら個室にしとく？】   (2024/10/24 03:05:00)

シャーロット・レイス ◆> 【19bさんが行かないなら、それもありだね】   (2024/10/24 03:05:40)

エロガキ♂19b ◆> 【それじゃ...あとは任せた！！さらば！！】   (2024/10/24 03:05:57)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/10/24 03:05:59)

エロガキ♂13UC> 【それじゃ、待ち合わせに部屋取ったよ～】   (2024/10/24 03:06:49)

エロガキ♂13UC> 【19のお兄ちゃんはお疲れ様～】   (2024/10/24 03:06:59)

シャーロット・レイス ◆> 【お部屋に入ったわよ】   (2024/10/24 03:07:38)

エロガキ♂13UC> 【じゃ、こっちは抜けるね】   (2024/10/24 03:07:58)

おしらせ> エロガキ♂13UCさんが退室しました。  (2024/10/24 03:08:01)

おしらせ> シャーロット・レイス ◆QpkzOtGYQEさんが退室しました。  (2024/10/24 03:08:20)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/10/24 14:49:13)

おしらせ> 伊織もえさんが入室しました♪  (2024/10/24 14:49:21)

伊織もえ> 時間決めてね   (2024/10/24 14:49:29)

エロガキ♂14C ◆> ルールが変わってて勝った方が波乱だったー。   (2024/10/24 14:49:47)

エロガキ♂14C ◆> 振るんだってー。   (2024/10/24 14:49:53)

エロガキ♂14C ◆> 誤予測変換…   (2024/10/24 14:50:04)

伊織もえ> そうなんだ？   (2024/10/24 14:50:11)

2024年10月23日 07時29分 ～ 2024年10月24日 14時50分 の過去ログ
「罰部屋【仮】」
現在のルーム [/ChatRoom?room_id=401057]
過去ログ一覧 [/PastLogList?room_id=401057]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
