/


「罰部屋【仮】」の過去ログ

現在のルーム [/ChatRoom?room_id=401057]
過去ログ一覧 [/PastLogList?room_id=401057]



2024年11月27日 01時48分 ～ 2024年12月01日 17時23分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂?17A> いいよ、十分エロかったからさ   (2024/11/27 01:48:27)
エロガキ♂11T> トップロードさんのおっぱい大きいし…柔らかいな～(タンクトップをずらして、おっぱいを丸出しにさせて、乳首をつまんで軽く引っ張りつつ…クリを舌で何度も弾いて…濡れてきてるマンコにも指を入れて…ゆっくりかき回す)   (2024/12/1
10:38:44)

エロガキ♂15R
◆> わっ//す、すごいっ//そ、その、そこから倍くらいおっ、おっぱい大きく出来ますかっ？…それとちゅー//…もさせてくださいっ//ん…ちゅ…♡(成長した見た目の銀狼さんに抱き着いて自身の胸板におっぱい押し付ける様に♡その後に唇を塞いで銀狼さんを抱き止めて♡)
  (2024/12/1 10:39:26)

銀狼> ほんとにいいの？すごいことになりそうだけど...確かトップロードさんが86だから...172...！？いいけど変じゃないこれ？(胸を倍に設定して身体に合ってないぐらい大きくさせて)抱き締めるの好きなの？...でも時間までは好きにしてくれていいよっ  
(2024/12/1 10:42:17)

ナリタトップロード> (タンクトップを外されると下着なしのブルマだけの状態に♡少し動くだけで揺れるおっぱいの先っぽ、より敏感になって乳首が屹立して♡)ん、ん、ゆぅ！？♡んんっ、ん、ぁっ♡♡ぁんっ…♡ひぁ…♡お、おまんこ…そんなにっ♡(クリを舌のヌメヌメした感触で責められ、おまんこの中、いやらしく撹拌されたら膝をがくがくさせて、蜜を次々に吐き出させて♡)
  (2024/12/1 10:42:48)

ナリタトップロード> (いつの間にか銀狼さんが超乳さんになっててびっくり！？)   (2024/12/1 10:43:53)

エロガキ♂11T> トップロードさん…おもらししちゃってるね…(クリを強めに吸ってから舌で弾いて…Gスポットをこすりつつ…乳首を爪先でカリカリして…)   (2024/12/1 10:44:18)

エロガキ♂11T> 【っと…時間ですね…】   (2024/12/1 10:44:41)

エロガキ♂15R
◆> ん…♡良いんです…//♡ちゅ…ちゅ//♡(ちょっと大きくし過ぎたな…と思いつつも、胸板に当たる豊満な胸を楽しみ、ホログラムといえど目の前にあるのは美少女の整った顔♡欲望のままに唇を合わせてぎゅーと抱き締め♡)…ちゅ/♡…ぷあ…♡時間…ですねっ//♡銀狼さんっ…ありがとっ♡(時間になると身体を離し、離れた後で改めて見ると身体に似合わない胸が♡)
  (2024/12/1 10:46:59)

ナリタトップロード> あっ、あっう！んくぅぅっ♡♡ま、待っ…イっ、イっちゃいますっ…！♡ふあっ、あああああっ♡♡♡(乳首、クリを執拗に弾かれつつ、おまんこの中、一番感じちゃう所を指でくしゅくしゅくりくりされたらっ♡頭を低くしてお尻を強く突き出して♡)イクっ！！！♡♡♡(アクメに達してしまい、おまんこからしっとりとした蜜、潮を噴射してしまいっ♡)
  (2024/12/1 10:47:02)

ナリタトップロード> 【時間ということで、こんな感じでっ！】   (2024/12/1 10:47:34)

エロガキ♂11T> トップロードさん…すごいイキ顔…こんなエッチなお姉さんだなんて知らなかったな～   (2024/12/1 10:48:04)

銀狼> 満足できたかな？...感覚がないからお望みの反応はできないけど...(もとの体に戻して)   (2024/12/1 10:48:08)

エロガキ♂11T> 【トップロードさん、ありがとうございました】   (2024/12/1 10:49:12)

エロガキ♂11T> 【時間あったら、自分のチンポを味わってもらいたかったですが、それは次回で…(笑)】   (2024/12/1 10:50:02)

ナリタトップロード> 少しは楽しんでいただけましたかっ？♡…ここでは思うがままにはっちゃけていたい私です…！♡ 【はーい！こちらこそありがとうございました〜！】   (2024/12/1 10:50:10)

エロガキ♂15R ◆> はいっ//♡ありがとうございます//♡良いんですっ！銀狼さん可愛いのでっ//♡【お時間ですっ！…正直大きくし過ぎたっ！】   (2024/12/1 10:50:16)

ナリタトップロード> 【わかりました！次回のお楽しみということで！】   (2024/12/1 10:50:57)

エロガキ♂11T> 【こちらこそありがとうございました。ではでは】   (2024/12/1 10:51:00)

おしらせ> エロガキ♂11Tさんが退室しました。  (2024/12/1 10:51:14)

銀狼> 【ホログラムだと...いい反応ができないですね...次は生身できてもいいかも】   (2024/12/1 10:51:14)

ナリタトップロード> 【お疲れ様でした〜！お二人もまた一緒に遊べたら嬉しいです！それではまたっ！】   (2024/12/1 10:52:30)

おしらせ> ナリタトップロードさんが退室しました。  (2024/12/1 10:52:35)

銀狼> 【お疲れ様です！】   (2024/12/1 10:52:45)

おしらせ> 銀狼さんが退室しました。  (2024/12/1 10:52:48)

エロガキ♂15R ◆> 【ホログラムはホログラムで楽しかったですよ！…生身も良いかも……お疲れ様ですっ！】   (2024/12/1 10:52:56)

おしらせ> エロガキ♂15R ◆OZhV/nYN5dWKさんが退室しました。  (2024/12/1 10:52:58)

おしらせ> エロガキ♂11Tさんが入室しました♪  (2024/12/1 16:56:17)

おしらせ> キャットさんが入室しました♪  (2024/12/1 16:56:31)

エロガキ♂11T> きたよ～   (2024/12/1 16:57:24)

キャット> やるぞ！　……と意気込んでみたものの、どうしよっかなー。あんまり男の子をいじめて楽しむわけじゃないし。うーん……とりあえず時間決めちゃおっか。   (2024/12/1 16:58:40)

エロガキ♂11T> 10d3 → (1 + 2 + 2 + 3 + 1 + 1 + 3 + 1 + 3 + 3) = 20  (2024/12/1 16:59:26)

エロガキ♂11T> サイコロ振ってみたよ   (2024/12/1 16:59:47)

キャット> そうだ。女の子のお尻触る練習したらどうかな。セリフとロールをがんばって、あたしがいいよって言ったら触らせてあげるってことで♥　時間までに上手くできなかったらお預けね。   (2024/12/1 17:00:17)

エロガキ♂11T> なるほどね～   (2024/12/1 17:00:56)

キャット> まずは「触る」とか「撫でる」とか、確定的に書くのはダメで、ちゃんと相手がリアクションできるようにね？　ほら、20分までだよ。（ぺろっと舌を出してみせて。少し背を反らしてお尻を強調するようにふりふりっ♥）   (2024/12/1 17:02:12)

エロガキ♂11T> (キャットお姉さんのショートパンツから伸びる足を見ながら…)キャットお姉さん…ほんとスタイルいいよね～(近づいて…)とくにこのお尻とかさ…(じろじろみたりしながら)   (2024/12/1 17:02:54)

エロガキ♂11T> かわいいお尻ふりふりしちゃって…まさか触ってほしいとか？…そんなわけないか…(キャットお姉さんが見せつけるお尻に視線を集中させつつ)   (2024/12/1 17:04:30)

キャット> 好みの男の子になら触らせてあげてもいいけどね。……下心が丸見えでもいいけど、そんなに下ばっかり見てたらヘンじゃない？（ふふ、と思わず笑って。体の向きを変えたらお尻のほうに動いてくんだろうか、と思って向き直る）   (2024/12/1
17:07:11)

エロガキ♂11T> 確かにそっか～(体の向きを変えたキャットお姉さんのこぶりなおっぱいが)   (2024/12/1 17:08:15)

エロガキ♂11T> (キャットお姉さんの体つきを全体的にながめて…)うーん、やっぱり、キャットお姉さんの魅力はお尻だとおもうな～(キャットお姉さんの後ろにまわり)ほんといいお尻してるよね…肉付き良さそうだし   (2024/12/1 17:09:48)

キャット> そうそう。何考えてるか分かんないのがいちばん怖いからね。ちゃんと自分がどういうこと考えてるか分かるようにすると、伝わりやすいよ。（どこ見てるか分かりやすいなーって腕組みして胸を寄せる）   (2024/12/1 17:09:49)

キャット> ……ほんとに動いた！（向きを変えたらほんとうに後ろ側に動いてきたから思わず噴きだしてしまって）肉付きって、あんまり褒めてるように聞こえないんだけど。（踏んでやろうか……ってヒールでコンコンと床を鳴らす）   (2024/12/1 17:13:32)

エロガキ♂11T> キャットお姉さんのおっぱいやお尻を好き放題したかったな～(なんて、キャットお姉さんの周りを移動して…こぶりな胸や肉付き良さそうなお尻に視線を…)あとは…キャットお姉さんにエッチな姿勢させて、どんな顔になるのかとか見たかったな～(勝負に勝ってたらな…なんて思いつつ)
  (2024/12/1 17:13:37)

エロガキ♂11T> そんな吹き出さないでよ～キャットお姉さん、肉付き良さそうなお尻してるから…バックでぼくのおちんちん入れたら気持ちよさそうだな～って考えちゃうよね…(妄想して…少し股間を膨らませて…)   (2024/12/1 17:15:15)

エロガキ♂11T> ん？ヒールで鳴らしちゃって…まさか勝ったからって、攻撃しないでよ…いくらシーフだからって   (2024/12/1 17:17:17)

キャット> それって言葉責め？　羞恥煽りってやつかな……褒められてるのかどうか分からなくなっちゃうな。（まわりをぐるぐる回る動きは子どもっぽいような、言ってる内容にはかわいげがないような）こんな子どもに手は上げないよ。残念だけど、今は見るだけね。大人のお姉さんをその気にさせようとしたら、ちゃんと気持ちが伝わらないとダメなの。（バッテンを指で作ってみせて）
  (2024/12/1 17:19:24)

エロガキ♂11T> 気持ち？が伝わらなかったか～それは残念だな…   (2024/12/1 17:21:16)

エロガキ♂11T> っと…時間だね～   (2024/12/1 17:22:12)

キャット> 時間になっちゃったからねー。ざんねん。次は勝てるように頑張ってね。   (2024/12/1 17:22:55)

エロガキ♂11T> ちゃんとキャットお姉さんを性的な視線でみさせてもらったんだけどな～   (2024/12/1 17:23:11)

2024年11月27日 01時48分 ～ 2024年12月01日 17時23分 の過去ログ
「罰部屋【仮】」
現在のルーム [/ChatRoom?room_id=401057]
過去ログ一覧 [/PastLogList?room_id=401057]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
