/


「罰部屋【仮】」の過去ログ

現在のルーム [/ChatRoom?room_id=401057]
過去ログ一覧 [/PastLogList?room_id=401057]



2024年10月26日 23時14分 ～ 2024年10月28日 14時15分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

生塩ノア> (誤字ばっかり…ううぅ///!   (2024/10/26 23:14:02)
エロガキ♂19H ◆> 15Mさんが上なら私は下、ですかね。失礼しても？（下から覗き込むような姿勢になってスカートにかかる程度の場所のももをちょんちょん、とつっついて）＞藤丸   (2024/10/28 13:56:27)

藤丸立香 ◆> んん……あ、ありがとう……？（お礼を言うのも何か気恥ずかしいけど、他に返す言葉も思いつかなくて。顔に熱を溜めながらも、触りやすいように大人しくして……。）＞15M   (2024/10/28 13:56:58)

藤丸立香 ◆> あっ、う、うん……！（冷静ぶって許可を出すけど、自分の前に男の人が屈んでるってだけで既に恥ずかしい。つん、と触られた太ももは筋肉はあるものの女性的な柔らかさも残していて、その感触を指先に返し。）＞19H   (2024/10/28
13:58:17)

フリーナ> ちょっと！！そっちから触るのは卑怯じゃないのかい！？んんんッ❤それに、最初から触りに来るなんて..君は淑女の相手をしたことがない、と見えるね！(スジをスリスリ触られて体をビクッ❤と震わせながらもまだ強気のしせいで)み、耳元で囁くのは反則だろう！？
  (2024/10/28 13:58:43)

藤丸立香 ◆> （強気で反抗的なのに、時折甘い声が混じるフリーナの言葉を耳が捉えればこっちもちょっと変な気分になってきちゃって……♥今から何をされるのか、嫌でも意識しちゃう。しかも、二人がかりで……。）   (2024/10/28 14:00:15)

エロガキ♂15M
◆> ？どういたしまして？(お礼にピンとこない様子。まぁいいや、なんて特に気にせずに下着のホックを外してしまえば、今度は直接揉みしだいていく。男の娘なんて言うけど、手はしっかりとした男のゴツゴツした手。それで先端を軽く摘んでみせて)……カルデアにいるときって、一人でしてたりするの？
  (2024/10/28 14:00:44)

エロガキ♂15Q> まーまー、これも罰なんだから大人しく受けなきゃ…？んー、そうかも？ここに来る女の子、淑女と言うか…えっちな子が多いから…♥(指を軽く曲げて入り口を浅く、くちくち…♥)なんでも反則にしたりしない…？フリーナって。こっちは反則上等なんだから…♪んぅ…♥(舌を伸ばすと耳穴を舌先でくち、くち♥と舌の這いずり回る音を直で聞かせ…)
  (2024/10/28 14:01:21)

エロガキ♂19H ◆> では、失礼しますね（なんて言っては、つつつつ……と太ももを伝うように手を進めていく。手がスカートに隠れてから暫くして、ももの付け根のあたりまで来る。すぐ近くのショーツに手が当たり、その周りをゆっくりと撫ではじめる）  
(2024/10/28 14:02:13)

藤丸立香
◆> あ……っ♥え、ええと、一人は……あんまり。（ブラのホック外され、下着が抜き取られるように下に落ちて。可愛らしい見た目なのに、はっきり男の人だと分かる手の感触……♥思わず熱い吐息を漏らしながらも、抵抗なんてできずにされるがまま……♥カルデアでは、正直マイルームですら一人になれる時間がないので当然自慰なんてできず、色々溜め込んだまま……♥）＞15M
  (2024/10/28 14:03:02)

藤丸立香
◆> う、うん……。～～っ♥（何と答えればいいのかわからず、ただ頷きだけを返し。侵入した手がゆっくりと腿を上り、這ってくる感触に声にならない声を上げて。ぞく、ぞく……♥その丁寧な触れ方も、徐々に侵食されてしまうみたいで変な感覚になっちゃう……♥）＞19H  
(2024/10/28 14:04:40)

フリーナ> んぁぁ❤❤それは、、ダメだ...(耳の中を舌で弄られればこれまで感じたことの無い感覚に腰が砕けそうになり、更に入り口を触られてしまえば愛液を垂らして15Qの指を汚していき)君...は本当にすることが、、変態だな...んんッッ❤❤  
(2024/10/28 14:05:09)

フリーナ> 【返信が少し遅いのは許してくれたまえ！〈15Q】   (2024/10/28 14:05:44)

エロガキ♂15Q> 【気にしないよ？もうそんなに時間もないしさ♪】   (2024/10/28 14:06:32)

エロガキ♂15M ◆> だろうね♡マスターさんが一人でシてることろなんか見られたら…幻滅されちゃうだろうし♪(わかってた答えにﾆﾔﾆﾔ♡と笑いながら、そう耳元で囁く。くる…くる…♡乳輪を弄っては、かりかりかりぃ♡指先で先端を虐めていく)
んじゃ、今回はお姉さんのお手伝いだ♡(お尻に硬くて熱いの擦り付けながら)   (2024/10/28 14:06:50)

エロガキ♂15Q> …耳、弱いんだね…♥(指先に湿り気を感じると指を深めに押し込み、そのままナカで指を折り曲げてから手首を荒く揺すって、くぷくぷくぷ♥と音を響かせながらおまんこをかき混ぜてあげて…♥)ふふ、これくらいならまだ優しいもんだよ…？即ハメとかしてないしぃ♥
  (2024/10/28 14:08:37)

藤丸立香
◆> そ、そんなこ……ひぁッ♥あ、先っぽ……♥だめ…っ♥（焦らすように乳輪触られてからの先端の愛撫に体はびくっと跳ねて♥カルデアのみんなもサーヴァントのみんなも、自慰を見ただけで幻滅するような人たちじゃないけど……想像すると、体が敏感になった気がして♥スカート越しに押し付けられる感触で、それの形がはっきり感じ取れる、ような……♥）＞15M
  (2024/10/28 14:08:49)

エロガキ♂19H
◆> ふふふ、少しでも感じていただけているなら幸いです。時間いっぱい、楽しんでいってくださいね？（そんなことを言っては、ショーツと脚の間からその中に手を侵入させ、直接秘部ではなくその周囲を優しく撫でる。時折下腹部……子宮の直上に当たる部分もよく揉みながら……）＞藤丸
  (2024/10/28 14:08:53)

藤丸立香
◆> なんっ……♥二人、揃って……♥焦らすみたいな…っ♥（そこまで言って言葉を呑み込む。これじゃまるで直接触って欲しいとねだってるみたいだ。故に堪えて、口を引き結ぶけど……。お腹越しに子宮、マッサージみたいに揉み刺激されれば無意識に腰がゆ～っくりとへこ……へこ……♥し始めて、周囲を触れてるだけの手にも分かるほどの湿度……♥下着の内に籠り始めて。）＞19H
  (2024/10/28 14:11:37)

エロガキ♂19H ◆> （自分も結構遅いですね……お手数おかけしています……）＞15M・藤丸   (2024/10/28 14:11:44)

藤丸立香 ◆> （私は二人相手の時点でてんてこ舞いだから……！気にしないで！）＞19H   (2024/10/28 14:12:21)

フリーナ> ！！...んぁ❤❤ひぁぁ❤❤んんん！❤❤そ、即ハメナなんて...獣ぐらいしかしない、、さ！弄りかたはまだしも、んんっ❤❤中を弄って濡らしてくれる君の...そのやり方は...称賛しよう...ひぃ❤❤(中に指を入れられ掻き回されれば、普段の態度を取るのも厳しく途切れ途切れになりながらも必死に体裁を保とうとするが、気持ちよすぎるからか足はガクガクと震えており❤)
  (2024/10/28 14:12:33)

エロガキ♂15M ◆> あはは♡可愛いね、お姉さん♡先っぽ、ダメなんだぁ…♫(よく鳴く玩具に笑みが止まらない。はむっ♡耳を甘噛みしたり、今度は先端を強めに…ぎゅぅぅ〜〜〜っっ♡♡♡って摘んでみせては)
一回、イっとこ？少しはスッキリ…できるんじゃない？(また、かぷかぷ♡甘噛みしながら)   (2024/10/28 14:12:34)

エロガキ♂15M ◆> (気にしなくていいよ〜♪なんならボクも遅めだし！)   (2024/10/28 14:13:02)

エロガキ♂15Q> …ふふ、別にフリーナだったら…獣みたいに求めちゃうのも、アリなんだけど…♥(ふー、と吐息を耳穴に浴びせながら手首を小刻みに揺すって、ナカの愛液を掻き出す勢いでぐっぽ♥ぐっぽ♥ぐっぽ♥と卑猥な音を立てるようにかき混ぜ、膣壁をしつこく引っ掻きながら…空いている残りの手で衣服の上からフリーナのおっぱいもゆっくりふにふにともんであげて…♥)求められるのは…女の子としても、うれしい…よね♥
  (2024/10/28 14:15:15)

エロガキ♂19H
◆> おや、腰が動き始めて……下着の中も湿り気を帯びてきましたね。もしや、直接欲しいのですか？（意地の悪い笑顔でそう問いかけながら、ゆっくり、でも確かに少しずつ触れる範囲が秘部を中心に狭くなっていく。よりねっとりと快楽を誘う触り方、揉み方をして）＞藤丸  
(2024/10/28 14:15:24)

藤丸立香
◆> あ、あぁッ♥だめ、だめって言ってる、のに……っ♥（胸だけでイくなんてない、あり得ない。そんなにえっちな人間じゃない。と、自分では思っていたのに……♥男の人に触られるだけで全然感じる快楽は段違いで♥耳を甘噛みされながら乳首いじめられて……♥そして、トドメとばかりに強く摘ままれるとびくびくッ♥♥体が痙攣するように跳ねて…♥『ふ、ぅぐ、ぅぅぅぅ……っ♥イッ、く……♥』なんて押し殺しきれない声漏らして、絶頂♥）＞15M
  (2024/10/28 14:15:29)

2024年10月26日 23時14分 ～ 2024年10月28日 14時15分 の過去ログ
「罰部屋【仮】」
現在のルーム [/ChatRoom?room_id=401057]
過去ログ一覧 [/PastLogList?room_id=401057]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
