/


「罰部屋【仮】」の過去ログ

現在のルーム [/ChatRoom?room_id=401057]
過去ログ一覧 [/PastLogList?room_id=401057]



2024年11月04日 09時25分 ～ 2024年11月04日 17時15分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

キタサンブラック> 最近、一番最後にオカズにしたのは何？   (2024/11/4 09:25:34)
ステファニー・ドーラ> （相手により、ですわねｗ１５さんは次回きつめでｗ）   (2024/11/4 16:26:21)

おしらせ> ステファニー・ドーラさんが退室しました。  (2024/11/4 16:26:30)

クラリス ◆> （クラリスは15くんのことばをふかくこころにきざんだ。）   (2024/11/4 16:26:42)

エロガキ♂15R> (いえっ、次はぼくが勝ちますのでっ！)   (2024/11/4 16:26:44)

エロガキ♂15R> (言わなきゃ良かったぁ……)   (2024/11/4 16:27:20)

エロガキ♂15R> それではっ、またっ   (2024/11/4 16:27:28)

おしらせ> エロガキ♂15Rさんが退室しました。  (2024/11/4 16:27:30)

クラリス ◆> お部屋ありがとうございました、   (2024/11/4 16:27:44)

おしらせ> クラリス ◆vp1gp540pWaYさんが退室しました。  (2024/11/4 16:27:47)

おしらせ> エロガキ♂15Rさんが入室しました♪  (2024/11/4 16:46:30)

おしらせ> エロガキ♂15M ◆za77rifW.Yさんが入室しました♪  (2024/11/4 16:46:34)

おしらせ> エアグルーヴさんが入室しました♪  (2024/11/4 16:46:41)

エロガキ♂15M ◆> にゃ、これで全員みたいだね   (2024/11/4 16:47:06)

エアグルーヴ> ここか……さてと…   (2024/11/4 16:47:14)

エアグルーヴ> ３人だけなのか   (2024/11/4 16:47:58)

エロガキ♂15R> 負けちゃったっ…また優しいお姉さんだと良いけどっ   (2024/11/4 16:48:16)

エロガキ♂15M ◆> みたいだね。罰は……いったんサイコロ振って時間だけ決めとく？   (2024/11/4 16:48:40)

エアグルーヴ> それなら仕方ない。私が１人でチンポを２本ともいただくまでだ♡   (2024/11/4 16:48:45)

エアグルーヴ> うむ、振ってみてくれ   (2024/11/4 16:48:57)

エロガキ♂15M ◆> はーい   (2024/11/4 16:49:03)

エロガキ♂15M ◆> 10d3 → (2 + 2 + 3 + 1 + 2 + 3 + 3 + 1 + 2 + 2) = 21  (2024/11/4 16:49:11)

エアグルーヴ> 17：10まで、ということでいいのか？   (2024/11/4 16:49:26)

エロガキ♂15M ◆> うっ…ちょっと高め。うん、時間はそんな感じで〜   (2024/11/4 16:49:40)

エロガキ♂15R> これは、高め…ですか？   (2024/11/4 16:50:02)

エアグルーヴ> 高めなのか……   (2024/11/4 16:50:15)

エアグルーヴ> ああ、女が罰受けるときは多少長めになるんだったな   (2024/11/4 16:50:33)

エロガキ♂15M ◆> 期待値的にはあんま変わらないけどねぇ〜。そうそう、女の子たちは＋10されるの   (2024/11/4 16:51:04)

エアグルーヴ> 了解した。じゃあ早速命令させてもらおう。２人とも全部脱げ。私の前に並んで２本のチンポを捧げろ♡   (2024/11/4 16:51:37)

エロガキ♂15M ◆> うっ…やっぱりそうなるよね…(はーい、なんて渋々返事をしながら、制服や下着を脱ぎ捨ててしまう。現れたのは、可愛らしい顔つきとは似つかない、凶悪なデカちんぽで)
これで、いい？(さっきからビク♡ビク♡と跳ねて先ばしりが、たらぁ〜…♡と下に垂れていく)   (2024/11/4 16:53:41)

エロガキ♂15R> こ、今回はどんな罰が……えっ…//あ、あの//…はい…//分かりましたぁ…///♡…こ、これで良いですかぁ？//♡(身に付けていた衣服を一枚づつ脱いでいき、裸になるとエアグルーヴお姉さんの前に立派なおチンチンを反り返らせて立つ♡)  
(2024/11/4 16:53:54)

エアグルーヴ> （優雅な所作で衣装を脱いで裸になれば、素肌と素肌での語り合いにぞくぞくして♡）結構だ……♡ほぉ？２人とも、いい感じのナニをしてるじゃないか？色艶も若々しくていい♡（２人の間に膝立ちすると、興味深そうに２人の勃起チンポを片手ずるとってしこしこ♡おっぱいに先端をこすり付けてチンポ熱と先走りのぬめりを確かめ♡）
  (2024/11/4 16:56:13)

エアグルーヴ> 別にそんな   (2024/11/4 16:56:34)

エアグルーヴ> 大したことではない…私が一方的に貴様らのチンポの試食会をするだけだ♡   (2024/11/4 16:57:00)

エロガキ♂15M ◆> はぁ…♡んっ♡(こぷっ♡とぷぷっ♡与えられた快感に促され、鈴口から粘り気の強い透明な汁が次から次へと溢れてくる)
そう…なんだ♡ふふ…♡ボクのが美味しいか、沢山味わって確かめてね？♡んんっ！♡(ビクッと腰も震えて、亀頭が乳首をコリッ♡と押し潰すように刺激してしまって)   (2024/11/4 16:59:19)

エロガキ♂15R> わ…お姉さんっ綺麗っ…//そ、そんな…//ひゃう…//♡♡あっ、あのっ、お姉さんっ/♡そんなにしたらっ♡(されるがまま勃起させたおチンチンを扱かれ、おっぱいに擦り付けられると、立派なおチンチンの先端からはエッチな透明なお汁がツーッと垂れる♡)
  (2024/11/4 16:59:33)

エアグルーヴ> すんすん……♡（２本のチンポを手繰り寄せて、カリのあたりに鼻を寄せて臭いをかいでみて）ちゅ、ちゅむ…♡んんっ♡（片手でそれぞれのチンポをしこしこ扱いて、舌を伸ばし、ぬらぁ～～♡と舐めて）なるほど…ふふ、いい味だ♡んっ、はむちゅ♡んんっ、んく♡んっ♡（貪欲すぎるウマのお姉さん、交互に２本のチンポを喉奥まで含ませ、爆乳を揺らしながら先走りごと夢中で味わう♡）
  (2024/11/4 17:01:08)

エロガキ♂15R> あっ………//うう…//♡…お姉さん…本当に綺麗…//その綺麗なお姉さんがっ//♡ぼくの…//おチンチンを夢中で、っ///♡(おチンチンを飲み込まれて喉奥まで使っているご褒美にしか取れない状況で興奮は促され、身体を振るわせてされるがままおチンチンを堪能させている♡)
  (2024/11/4 17:04:33)

エロガキ♂15M ◆> ふぁ…♡まっ……て♡それヤバっ……〜〜〜〜っっ♡♡(柔らかで温かな喉奥に咥え込まれるたびに、おちんぽが口蕩けてしまいそうな感覚に陥ってしまう。立ったまま背筋をピンッと仰け反らせ、可愛らしい顔は快楽に染まって頬を赤く上気させてしまう)  
(2024/11/4 17:04:34)

エアグルーヴ> ん、んん！！むちゅ、んむちゅ♡ふは……♡たまらないひと時だ…しかし…むぅ……時間がないな…少し拙速かもしれんが…すぐに済ませなければ…♡（この状況は私にとってすごく美味しいんだ♡先走りと熱々チンポを口の中で堪能すれば）おい、貴様はそこに仰向けになれ♡（淡桃色セミンロングの男の娘に指示をして）そっちの貴様はそのまま私の横に立ってチンポを食べさせ続けろ♡
  (2024/11/4 17:05:40)

エアグルーヴ> （立ってもらう方は15Rの子のほうで）   (2024/11/4 17:06:09)

エロガキ♂15M ◆> う、うん…♡(よたよた…ふらつきながらも仰向けに倒れ込めば、食べ頃と言わんばかりにエッチな汁でテカつくデカちんぽが…ふるふるっ♡びくんびくん♡と反り立っていて) ……これで、いい？女帝様…♡   (2024/11/4 17:07:53)

エロガキ♂15R> え///…あっ…//はいっ//♡…分かりましたぁ///♡(エアグルーヴお姉さんの横に立つと、お口の前におチンチンを持っていく♡)…あの…お姉さん…？//…も、…出そう…、ですっ……うう…///♡(顔を赤面させ、限界が近い事を伝えると射精しない様に耐え♡)
  (2024/11/4 17:08:40)

エアグルーヴ> そうだ…♡いい子だな…♡さっそくいただくぞ…っ♡（15Mの上に背中を向けて跨ぐと、チンポを掴み…ゆっくり腰を落として、ずぷッ♡ヌチュチュ♡すでに熱く煮え始めたムチムチの媚肉で重なった女帝おまんこの中へ♡）ん、く…♡あぁ…♡んんっ♡（きゅうぅ♡膣壁が収斂してチンポとねっとり一体化♡）んっ…♡出すなら飲ませろ…♡んっち、ちゅ、ちゅむちゅく、ちゅむ♡♡（横を向いて隣に立つ15Rのチンポをキンタマを揉みながら、音を立てて吸い付き♡）んっ、う、ああっ♡（ぱんぱんぱんっ♡おっぱいを大きく揺らしながらおまんこピストンで15Mのチンポを食い荒らすっ♡）
  (2024/11/4 17:10:42)

エアグルーヴ> （時間が短い、短すぎる……さすがに無謀だったか…？（汗）   (2024/11/4 17:11:17)

エロガキ♂15M
◆> あっ♡そんな…♡激しくっ！♡され、ちゃぁあぁ♡いっ……〜〜〜〜〜〜〜っっっ♡♡♡(床の上で大きく仰け反ってちんぽを突き上げてしまったまま、びゅるるるぅぅぅぅぅぅう〜〜〜〜〜！♡！♡！♡噴き出すように男の娘の熱々ザーメンをおまんこ…子宮へと流し込んでしまう♡)
  (2024/11/4 17:12:08)

エロガキ♂15M ◆> 【まぁ、そういうときもあるある♪まだ満足できないなら１人くらい連れ出しちゃえば？なんてね♡】   (2024/11/4 17:13:56)

エロガキ♂15R> あっあっ///♡でちゃ…うぅ…///♡♡だめっっ//…いっちゃ…//…♡…ーっ♡♡♡(整った顔のエアグルーヴお姉さんが大きい胸を揺らしながら自身のおチンチンをしゃぶる光景と快感に抗えず、口の中でおチンチンを膨らませるとドビュッッと口内に子種を吐き出しちゃう♡)
  (2024/11/4 17:15:13)

2024年11月04日 09時25分 ～ 2024年11月04日 17時15分 の過去ログ
「罰部屋【仮】」
現在のルーム [/ChatRoom?room_id=401057]
過去ログ一覧 [/PastLogList?room_id=401057]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
