/


「罰部屋【仮】」の過去ログ

現在のルーム [/ChatRoom?room_id=401057]
過去ログ一覧 [/PastLogList?room_id=401057]



2024年11月12日 23時28分 ～ 2024年11月14日 22時54分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂19H> 対戦ありがとうございます…時間を決めたら始めてください   (2024/11/12 23:28:56)
エロガキ♂13uc> それじゃ部屋ありがとう～   (2024/11/14 22:34:53)

おしらせ> エロガキ♂13ucさんが退室しました。  (2024/11/14 22:35:00)

エロガキ♂19b ◆> 2人も行ってらっしゃ～い！！   (2024/11/14 22:35:03)

グリムアロエ ◆> あたしもこれで～♪お部屋ありがとうねっ   (2024/11/14 22:35:09)

おしらせ> グリムアロエ ◆Su57aCNa9wさんが退室しました。  (2024/11/14 22:35:11)

ヒシミラクル> 今、考えてます！17分！1020秒間に19bちゃんをギャフンと言わせるような！   (2024/11/14 22:35:33)

ヒシミラクル> いってらっしゃいませ〜♪(手をひらひらー)   (2024/11/14 22:35:52)

エロガキ♂15M ◆> みんないってらっしゃ〜い♫   (2024/11/14 22:36:05)

エロガキ♂19b ◆> いまからスタートで53分までかな！   (2024/11/14 22:36:25)

エロガキ♂15M ◆> さてさて〜、リノお姉さんはどんな罰をするのかにゃ？(ﾆﾔﾆﾔ…♡)   (2024/11/14 22:36:49)

リノ> 【4人なら大丈夫ですか？ 3人はしたことあります。＞15Mさん】   (2024/11/14 22:36:50)

ヒシミラクル> 今が昼間だったら、マクド●ルドでモスライスバーガーを注文してきてくださいとか言うところですが…(お店に迷惑なのでやめましょう)   (2024/11/14 22:36:51)

ヒシミラクル> …何が始まるんです？   (2024/11/14 22:37:21)

エロガキ♂15M ◆> 【４人くらいなら見分けつきそうだし大丈夫だと思うよ！】   (2024/11/14 22:37:24)

リノ> 【じゃあ、ここでお願いします！】   (2024/11/14 22:37:46)

エロガキ♂15M ◆> 【OK〜】   (2024/11/14 22:38:03)

エロガキ♂19b ◆> 早く決めないと時間過ぎちゃうよ～(ケラケラ)   (2024/11/14 22:38:09)

エロガキ♂15M ◆> って、もしかしてボクら同い年？>リノ   (2024/11/14 22:38:45)

リノ> （たぶん女の子だけど気になることあるし、似たような子を知ってるし）えっと、すこしでいいから脱いでもらっていい、かな？   (2024/11/14 22:39:12)

ヒシミラクル> 参加したのはいいんですけど、罰までは考えてませんでした…！ハッ……こうしてる間にも刻々と時間が…！とりあえずわたしの肩でも揉んでください！(四つん這いで尻向けて)   (2024/11/14 22:39:22)

ヒシミラクル> (間違えました、正座します！)   (2024/11/14 22:39:33)

エロガキ♂19b ◆> (ヤる気だったんだね...)   (2024/11/14 22:40:00)

リノ> 【同い年ですね！＞15Mさん】   (2024/11/14 22:40:11)

ヒシミラクル> (な、なななないです…)   (2024/11/14 22:40:13)

エロガキ♂19b ◆> はいはいー、わかりましたよー！(ミラ子の方に手を置いて揉みはじめて)強さはどうですか～？   (2024/11/14 22:40:45)

ヒシミラクル> わたしは尻軽なんかじゃないので！尻はデカい…ですけど   (2024/11/14 22:40:55)

ヒシミラクル> ちょっと強めでお願いします〜♡   (2024/11/14 22:41:14)

エロガキ♂15M ◆> 少しって…この制服全部のこと？(下着も含めて…とか？)   (2024/11/14 22:41:32)

エロガキ♂19b ◆> 了解～！(強めに肩をギュッ！ギュッ！ッと揉み)目の前にプールがあれば突き落としたくなるなぁ.....   (2024/11/14 22:42:03)

ヒシミラクル> お゛っっ♡♡♡っくぅ！？   (2024/11/14 22:42:29)

リノ> えっとねえっとね、とりあえずちょっとスカートまくってくれたら大丈夫、たぶん！   (2024/11/14 22:42:31)

ヒシミラクル> プール！？ここ、プールがある世界線なんですか！？   (2024/11/14 22:42:55)

リノ> （全部脱ぐって言われて顔真っ赤）   (2024/11/14 22:43:03)

エロガキ♂19b ◆> .....ミラ子ちゃん～？その声はいったいなにかなぁ？(肩を強めに揉みながらニヤニヤ)   (2024/11/14 22:43:22)

エロガキ♂19b ◆> あったらだけどね！   (2024/11/14 22:43:35)

ヒシミラクル> いや、これはですね…！あの、皆さんもやってると思うんですけど「お」で変換するとお゛♡♡って出てしまって誤タップしたといいますか…あの   (2024/11/14 22:44:54)

エロガキ♂15M ◆> あはは♪そっちが顔真っ赤じゃ〜んw…ま、そういうことなら……はいっ♡(両手でスカートの裾を摘んでﾋﾟﾗｯ♡と捲ってしまう。見えてきたのは、可愛らしい下着を押し上げて立派に熱り立つ肉棒♡)   (2024/11/14 22:45:05)

ヒシミラクル> 次負けたら突き落とされる次回予告みたいなものじゃないですかーー！！   (2024/11/14 22:45:13)

エロガキ♂15M ◆> (まったく恥ずかしがることなく笑顔で見せつけ)   (2024/11/14 22:46:09)

エロガキ♂19b ◆> まったく...マジで犯しちゃうぞー？(首のつけね辺りを親指で押しながら肩をほぐしていき)だってミラ子ちゃんそうしないとプールはいらないじゃん！   (2024/11/14 22:46:21)

リノ> や、やっぱり（これ以上できないくらい顔を赤くしながらも目はそらさずに）   (2024/11/14 22:47:37)

ヒシミラクル> あぅ♡ぐへぇぇ〜〜〜〜♡♡♡(割とガチで気持ちよさそうなツラして、うっとりしちゃうミラ子)プ、プール以外の選択肢もありますよねっ！？温泉とか温泉とか温泉とか！   (2024/11/14 22:47:38)

リノ> 足の筋肉も、お姉ちゃんよりお兄ちゃんっぽいもんね、ってどうしてそんなに堂々とできるの、ずるい！（こっちが恥ずかしいくらいなのに！）   (2024/11/14 22:48:52)

エロガキ♂19b ◆> どんな声出してるのやら....まったく(最後に肩全体をしっかりと掴み力を全力で込めて解し)んー....わかった！なら...海にしよっか！   (2024/11/14 22:49:10)

ヒシミラクル> ん、んぐ♡お、おおっほ…ぉ……♡んーっ…♡(肩の疲れが払われていくような気がしてキラキラし始めて…)海ですか〜……常夏の海ならありですね！あとは南半球なら暖かそう…   (2024/11/14 22:50:58)

エロガキ♂15M ◆> あ、確かめたかっただけかにゃ？それとも……興味津々？♡……もっと近くで見てもいいんだよ？♡(わざと腰を前後に振れば、下着の中でブッッといのがﾕﾗﾕﾗ…ﾕﾗﾕﾗ…♡揺れて、ﾋﾞｸﾋﾞｸﾋﾞｸｩｩ！♡と跳ねて♡)   (2024/11/14
22:51:41)

リノ> それにしても、男の子のものって、こんなに大きいんだね（おそるおそる、下着が膨らんでるところを、かるく触って）   (2024/11/14 22:52:06)

エロガキ♂15M ◆> 別に、恥ずかしがることじゃないしね〜♫   (2024/11/14 22:52:07)

エロガキ♂19b ◆> おおよそエロマッサージだなこれ....ミラ子ちゃんこんなエロい声出せたんだねぇ～...肩揉みはこんなもんでいいでしょう！！海なら行くなら夏だよなぁ   (2024/11/14 22:52:36)

エロガキ♂15M ◆> んっ…♡そうだよ♡可愛い子がいたら…みんなこうなるんだから♡(触られて可愛らしい喘ぎを漏らしたあと…) はい、時間で〜す♡   (2024/11/14 22:53:31)

リノ> ひゃっ！？（触る前から揺れたり跳ねたりしてて、思わず手をひっこめて）こ、こんなの無理だよっ   (2024/11/14 22:53:45)

ヒシミラクル> ふええ、わたしの発音するボイスに一部ノイズが出てましたけど、少年誌にも普通に掲載できるレベルのふつーのマッサージですよね！？ね！？ふーー…ありがとうございます……これで17分……さすがに早いや、あっという間だ…   (2024/11/14
22:54:00)

2024年11月12日 23時28分 ～ 2024年11月14日 22時54分 の過去ログ
「罰部屋【仮】」
現在のルーム [/ChatRoom?room_id=401057]
過去ログ一覧 [/PastLogList?room_id=401057]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
