/


「罰部屋【仮】」の過去ログ

現在のルーム [/ChatRoom?room_id=401057]
過去ログ一覧 [/PastLogList?room_id=401057]



2025年05月12日 06時27分 ～ 2025年05月25日 13時30分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

黒神めだか> しつこい、出来ないものは出来ない   (5/12 06:27:40)
エロガキ♂13Al> わん♥　わん♥（大きい体だから届かないけど、むっちり太ももに向かって腰をかくっかくっ♥）   (5/23 23:26:19)

一般女性> それじゃ…ヘコヘコしたいだけなら～(一旦AIを離すと四つん這いになって)ここに擦り付けていいからね～♡…(お尻をフリフリさせ)   (5/23 23:28:51)

エロガキ♂13Al> わんっ♥（後ろを向いた間にズボンを脱ぎ下ろしてしまって、びんっ♥　と膨らんだのを飛び出させて。上向きにひくひく震えるものを、抱えるほど大きなお尻に押しつけて）わんっ♥　わんっ♥（かくっ♥　かくっ♥　後ろから腰を振って擦りつけて。むっちりしたお尻に硬いのをずりずり♥　擦りつけて先走りで汚しちゃう♥）
  (5/23 23:30:23)

一般女性> っあ♡…んんっ…もっと発情しちゃったかな？…(パンツ越しでも押し付けられると少し反応してしまい)   (5/23 23:31:49)

エロガキ♂13Al> はー、はー……わっふ♥（ケダモノらしく腰をへこへこ♥　ぺちぺち♥　硬いの擦りつけながらタマタマもぶつけるみたいに♥　むっちしりたお尻に覆いかぶさって、ぐり♥　ぐり♥　お尻の谷間に押しつけたままコスコス♥）   (5/23
23:33:15)

一般女性> そんなにヤりたかったんだっ♡…でも残念だったね。今回は私が勝っちゃったからね～♡…っん♡…(小柄な身体で覆い被さって腰を振り続けてきて、少し挑発してさらに興奮を高めようとし)   (5/23 23:36:13)

エロガキ♂13Al> わん♥　わん♥　はあはあっ……♥（お尻側だけじゃなくて太ももの間にも勃起を滑りこませてぐり♥　ぐり♥　反り返った形で擦りながら、だんだん動きがぐ、ぐ♥　と力強く押し出すような動きに名っていって……♥）   (5/23 23:37:53)

一般女性> っん…はぁ…我慢せずにピュッピュッ～って出していいからね♡…たくさんお尻を汚されても平気だからっ♡…(太股の間にも擦り付けて、力強くなっている感じがして)   (5/23 23:41:16)

エロガキ♂13Al> わふぅ……っふ、わんっ♥　わんっ♥（甲高く声をあげながら、お尻にぎゅーっと押しつけて……そのまま、びゅーーーっ♥　びゅるるる♥　服の上からお尻にべっとり精液浴びせて張り付かせちゃう♥）   (5/23 23:42:11)

一般女性> っんん♡…出ちゃったね～(押し付けられたまま勢いよく出てきてお尻が汚れてしまい、指ですくって糸を引かす)   (5/23 23:45:20)

エロガキ♂13Al> はー、はー……♥（お尻にしがみついたまま、最後までへこへこ♥　腰を動かしてぴゅ、ぴゅーっ♥　出し切っちゃう）   (5/23 23:45:49)

一般女性> もう時間過ぎちゃいましたね…どうでした？(しがみつかれたまま後ろを見て)   (5/23 23:47:00)

エロガキ♂13Al> わ、わん……じゃなくてえ……こ、これはこれで……次はこのまま後ろからずぽずぽしたい……♥（エロガキの考えることはエロガキだった）   (5/23 23:48:28)

一般女性> じゃあもしAIさんが勝ったらのお楽しみですね。…(一旦立ち上がってパンツを脱ぐとベットリと汚れた部分を顔に近付けてスースー嗅いで)   (5/23 23:49:53)

エロガキ♂13Al> はーい……やっぱり嗅いでるー♥（にやにや）   (5/23 23:50:27)

一般女性> お風呂に入っても…匂いは変わりませんね…(パンツを離すと少し鼻にもついてしまい)   (5/23 23:51:11)

エロガキ♂13Al> そりゃそのにおいはね……やっぱり好きなんだー♥（丸出しになっちゃってるお尻も楽しそうに眺めて♥）それじゃあ、今日は行こっか！   (5/23 23:51:55)

一般女性> そうしたいところですが、そろそろ眠気が…(もう少しいたいも感じるも眠気には敵わず)   (5/23 23:53:47)

エロガキ♂13Al> え、もちろん解散しようって意味だけど……もっとしたいって思ってくれてるってことかな♥　それも次回のお楽しみってことでー♥   (5/23 23:54:26)

一般女性> えぁ//…そっちの意味だったの？…なんだか恥ずかしい…(勘違いしてしまい顔を赤らめ)ではまたの機会に…おやすみなさいっ♪   (5/23 23:55:39)

エロガキ♂13Al> はーい、またねっ！   (5/23 23:55:50)

おしらせ> エロガキ♂13Alさんが退室しました。  (5/23 23:55:53)

おしらせ> 一般女性さんが退室しました。  (5/23 23:55:58)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (5/25 13:05:46)

おしらせ> ククルさんが入室しました♪  (5/25 13:05:51)

エロガキ♂14C ◆> さーてと、時間決めー……の前にいちおー聞いておこうかな？時間、余裕あるのかな？   (5/25 13:06:39)

ククル> 時間の余裕自体はあるんだけど、延長できる気力体力までは微妙な感じかなぁ   (5/25 13:07:44)

エロガキ♂14C ◆> ん、りょーかいっ。じゃあサクッとシてもらっちゃおーかなっ。   (5/25 13:08:08)

エロガキ♂14C ◆> 10d3+10 → (2 + 2 + 3 + 3 + 1 + 1 + 3 + 2 + 2 + 2) + 10 = 31  (5/25 13:08:11)

ククル> 勝ったら抱き枕にしてお昼寝するつもりだったし！   (5/25 13:08:23)

エロガキ♂14C
◆> 49分まで！ってことでー……まだ水着に着替えてもらうには早いかな……って、それなら終わったらアフター個室で抱き枕になってもいいけどー？えへへ、それじゃあ久々にまずは甘えちゃおっ♡（ククルおねーさんの下に歩み寄っては抱きついて、お約束とばかりに胸元へと顔を押し付け。）
  (5/25 13:09:33)

ククル> そう来られると、今のうちから抱き枕にしたくなっちゃうな～（抱きつかれれば積極的に胸元でむぎゅ、と）女の子いないって言ってたし、あれかな、結構たまってる感じ？   (5/25 13:11:33)

エロガキ♂14C
◆> えへへ、今、抱き枕にしてもいいけどすぐには寝かさないよー？（ククルおねーさんからも抱き寄せられ、顔におっぱいを押し付けるようにされては心地良さに面持ちを緩ませて。）そー、だね……だから、ククルおねーさんのおっぱいで挟んで、溜まってるのたーくさん出してほしいなぁ…？♡
  (5/25 13:13:14)

エロガキ♂14C ◆> 【今更ながら49分までじゃなく、39分までだった…！】   (5/25 13:16:07)

ククル> よーし、だったら久々にお姉ちゃんが一肌ぬいであげよう！（言いながら文字通りに服を脱いで下着も外して、胸をむき出しにして）こっちから積極的にいってもいいけど、罰らしく押し倒されちゃったほうがいいのかな？   (5/25 13:17:20)

エロガキ♂14C
◆> わーいっ♡んー……どっちかっていうと、僕はしてもらう方が好きだから……ククルおねーさんから来てくれる方が嬉しいかも。（目の前で服を脱ぎ、下着まで脱いではおっぱいを露わにするのを見れば自身もズボン、そして下着も脱いでは少しだけ固くなったおちんちんを露わに。期待から少しずつ固くなりながらびくびくっ、と跳ねさせて。）
  (5/25 13:19:31)

ククル> うんうん、じゃあ（びくびくしてるおちんちんを、前屈みに自分からお迎えにいって）はい、おとなしくしてね～（胸の谷間でつかまえて、ゆっくり揺らしながら、大きくなって伸びてきたら捉えようと舌を伸ばしながら顔も近づけて）   (5/25 13:22:59)

エロガキ♂14C
◆> ぁっ……♡んんっ、おねーさんのおっぱいに挟まれるの、すごく久々かも……っ♡（おっぱいの谷間に捕えられるように挟みこまれたおちんちん、早くも先走りの汁を漏らしてはククルおねーさんがおっぱいを揺らし、擦る動きを潤滑にして。伸ばされた舌がおちんちんの先端に触れれば、大きく身体が震えて。）
  (5/25 13:26:45)

ククル> あっ、すごい（たちまち元気になったおちんちんに目を細めて、それでも勢いに負けないよう挟む胸にも力を込めながら、しっかり身体を揺らして）あむ、んっ（頃合いを見計らって、伸びてきたおちんちんの先っぽを、唇のあたりで挟むかんじに捕まえながら、舌を這わせて刺激もして）
  (5/25 13:30:37)

2025年05月12日 06時27分 ～ 2025年05月25日 13時30分 の過去ログ
「罰部屋【仮】」
現在のルーム [/ChatRoom?room_id=401057]
過去ログ一覧 [/PastLogList?room_id=401057]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
