/


「罰部屋【仮】」の過去ログ

現在のルーム [/ChatRoom?room_id=401057]
過去ログ一覧 [/PastLogList?room_id=401057]



2025年03月04日 23時36分 ～ 2025年03月09日 21時06分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂13Al> ぱーんーつ！　ぱーんーつ！（コール）   (3/4 23:36:43)
ククル> 27分まで！   (3/9 15:54:17)

エロガキ♂19b ◆> 長い！？...ぐぬぬ、、何をするつもり～？   (3/9 15:54:37)

ククル> とりあえずお約束の質問からね、勝ったら何するつもりだったのかな？（いたずらっぽく）   (3/9 15:55:03)

エロガキ♂19b ◆> んー...とりあいずー脱がして～...ククルちゃんの乳首やおっぱい、オマンコを好き放題苛めて時間があったらそのまま種付け、かな！...   (3/9 15:56:04)

ククル> なるほどね…まあ、負けててもおかしくない戦いだったし、その願いを半分なら叶えてもいいよ（そう言いながら上着だけ自ら脱いで）そのかわり、腰から下はノータッチだよ！   (3/9 15:59:09)

エロガキ♂19b ◆> おぉ！？...つまり～おっぱいは触ってもいいってことだよね！わかった！下は触らないようにするよー！！ククルちゃん！   (3/9 16:00:39)

ククル> 好き放題にはできないのも罰のうちってことでいいよね（話が早いとばかりに頷き）   (3/9 16:01:56)

エロガキ♂19b ◆> 確かに？その辺はククルちゃんのさじ加減！...とりあいずーおっぱい触ってもいいんだよね？♡(早く触りたいと言わんばかりに手を動かして)   (3/9 16:03:23)

ククル> もちろんだよ、早くしないと時間なくなっちゃうよ？（ほらほらって挑発するように肌蹴た胸元を突き出してみせて）   (3/9 16:04:50)

エロガキ♂19b ◆> むー...そんな挑発されたら我慢できるわけない～！♡(手を伸ばし胸を揉みしだき、人指し指で乳首をこすって♡)   (3/9 16:05:57)

ククル> んっ、さすがに手慣れてる感じだね（揉みながらも擦ってくるやり口に眉を動かして）ちなみに、手触りは100点満点のうち何点くらい？   (3/9 16:08:13)

エロガキ♂19b ◆> 95点！きっとこれから成長するかもしれないからね、100点はあげないのだー♡(乳首の先端を爪でカリカリっ♡としてみて♡)   (3/9 16:09:35)

ククル> むしろ95点もくれるんだ！？（心底おどろいた様子で）もっと立派な胸の人ともやりたい放題してるものだと思ってたよ…（感じないわけではないけど擦られるのは割と平気そう）   (3/9 16:11:36)

エロガキ♂19b ◆> おっぱいには無限の可能性があるからね～...大きくても小さくても魅力的だから低い点は基本つけないのだ！...(両乳首を摘まみ弄りながら引っ張ったり押し込んだりしてみて♡)   (3/9 16:13:44)

ククル> その言い方って何だかずるくないかな？（採点基準をからかうように）んー、どっちかというと、大きく広くってされるほうがいいかも（女の子次第だけどね、って付け加えながら、手をとって胸全体を揉んでくれるように動きを促して）   (3/9 16:17:58)

エロガキ♂19b
◆> ずるいかなー？...いろんな人のおっぱい揉んできたから採点基準が変なのかも～？...フムフム、こうかなー？(乳首から手を離し胸を広くしっかりと揉みし抱き♡)ククルちゃんのおっぱいは～...ほんのりと柔らかさがあって揉みやすいんだよね～...柚比が少し沈む、的な！
  (3/9 16:20:54)

ククル> 上を見たら切りがないけど出るとこは出てる自覚あるし、やっぱり満遍なくしてほしいっていう、ね（そんな解説するまでは割と余裕、でも揉み方が変わると結構じんわりと熱くなってきて）えへへ、そうそう、そうやって全体の感触を味わってほしいな…っ   (3/9
16:23:10)

エロガキ♂19b ◆> 満遍なく満遍なく～...正直ずっと揉んでれるぐらいちょうどいいおっぱいかもしれない..揉み心地がよさ過ぎる♡(時に強めに、時に優しく揉みかたを変えながら弄ってみて♡)   (3/9 16:25:59)

ククル> ふっふっふ、ずっと揉んでいたかったら、勝たなきゃダメだからねっ（予定の時間になると上着を羽織り直して）もちろん簡単には勝たせてあげないけど！   (3/9 16:28:19)

エロガキ♂19b ◆> ありゃ...もう時間～、、やっぱ勝てなかったのは悔しい！勝ってたらそのオマンコもおっぱいも自由だったのに～！！(手を離して離れ)   (3/9 16:29:26)

ククル> 楽しみつつも程程に悔しがってもらえたようで、お姉ちゃんは満足です！（実は年下なのは内緒）それじゃ、またねー！   (3/9 16:31:35)

おしらせ> ククルさんが退室しました。  (3/9 16:31:46)

エロガキ♂19b ◆> 手の上で踊らされた気がする！次はかーつ！！待ったねー！！   (3/9 16:32:11)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (3/9 16:32:12)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (3/9 20:35:07)

おしらせ> ククルさんが入室しました♪  (3/9 20:35:25)

エロガキ♂14C ◆> 悔しいなあ、むぅ。   (3/9 20:35:40)

ククル> 時間きめるよっ   (3/9 20:35:55)

ククル> 10d3+10 → (1 + 1 + 3 + 1 + 2 + 2 + 1 + 2 + 2 + 3) + 10 = 28  (3/9 20:35:58)

ククル> 4分まででいいかな   (3/9 20:36:23)

エロガキ♂14C ◆> うん、いいよー。   (3/9 20:37:04)

ククル> ちなみに、勝ったら何するつもりだったのかな？（近い距離から見つめて）   (3/9 20:37:20)

エロガキ♂14C
◆> んーとね、僕おっぱいがすごく好きだからおっぱい吸わせてもらいながらおちんちんしこしこしてもらったり……おねーさんのおっぱいなら、僕のおちんちん挟めそうだから挟んでみたかったかなあ。（ぐい、と近い距離から見つめられては視線を泳がせつつ溜息混じりに吐露して。）
  (3/9 20:38:39)

ククル> そっか、残念だったね…きもちよくなりたかったんだ？（割といい勝負だったし、どうしようかなと考えて）   (3/9 20:41:20)

エロガキ♂14C
◆> 気持ちよく……もだけど、おっぱい使って甘やかされるっていうのが僕好きなんだよね。……おねーさんが甘やかすのが大好き、って言うなら僕は大歓迎なんだけど。（何かを考えるような様子に首を傾げつつ、負けたことへの悔しさに眉を寄せた面持ち浮かべ。）   (3/9
20:43:31)

ククル> ふーん…じゃあ、服の上からだったら好きなように胸を触ってもいいよ？（甘やかされるのが好きと聞けば、にんまりとして）   (3/9 20:45:10)

エロガキ♂14C ◆> ……へ？いいの？なら、お言葉に甘えて。（楽しげな笑みを浮かべたのと共に、胸に触れて良いと聞かされると目を丸くしつつ、両手を伸ばしてククルおねーさんの服越しのおっぱいを緩やかに揉み触れて。）   (3/9 20:46:34)

ククル> 男の子ってほんとに胸が好きだよね（いいのと言われつつもすかさず触れてくるのに満更でもなさそうで）なんかね、勝った後だから興奮してるのかもだけど、こういうのもいいかなって   (3/9 20:49:56)

ククル> （答えながら、もっと強くしてもいいんだよとばかりに、揉み触れる手に自分の掌を添えたりもして）   (3/9 20:51:22)

エロガキ♂14C
◆> うん、すごく大好きだよっ。だって、柔らかくて気持ちいいんだもんっ。（掌に伝わる服の布地越しにも柔らかな感触に興奮を覚えつつ、指先を押し沈めるようにゆっくりとした手つきで揉みしだき。）そうなの？……だったら、おねーさんが気持ちよくなれるように僕に命令してもいいと思うよ？（掌の上に重ねられるククルおねーさんの掌、その意図を察しては形を変えるように揉みしだき。）
  (3/9 20:53:43)

ククル> うーん、きもちよくしてほしい、とは少し違う感じなんだよね、うまく説明できないんだけど…それだったら胸よりも違うところ触ってもらうし（答えながら、強めに胸を揉んでくる様子に、体を火照らせながらも顔はにこやかで）しいていえば、ちょっとだけでも本能を晒してほしいというか…うーん、やっぱり言葉で説明は難しいかも
  (3/9 20:58:47)

エロガキ♂14C
◆> 本能を晒す……？ってことは、僕が本当に勝ってたらどんなことしようとしてたか、出来る範囲ですればいいってことかな？（言葉に悩む様子のククルおねーさん、けれどもなんとなく意図を理解しては自分の口で言葉にしてみて。）それならねー、僕ならこーするっ。（揉みしだく手はおっぱいの外側に添えつつ、空いた内側に顔を押し付けては甘えるように頬擦りをして。その間も添えた掌でおっぱいの大きさと柔らかさを堪能するように揉みしだき。）
  (3/9 21:01:54)

ククル> こらー、調子に乗らないのっ（たしなめるような言葉遣いとは裏腹に声のトーンは楽しげで、押し返すようなこともなく…と思いきや、あえなく時間切れのため結局、体を離すことに）まあ、徐々に相手のやりたいことを探っていくのも醍醐味、なのかな？   (3/9
21:06:29)

2025年03月04日 23時36分 ～ 2025年03月09日 21時06分 の過去ログ
「罰部屋【仮】」
現在のルーム [/ChatRoom?room_id=401057]
過去ログ一覧 [/PastLogList?room_id=401057]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
