/


「罰部屋【仮】」の過去ログ

現在のルーム [/ChatRoom?room_id=401057]
過去ログ一覧 [/PastLogList?room_id=401057]



2025年03月25日 00時27分 ～ 2025年03月30日 22時14分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (3/25 00:27:43)
エロガキ♂19b ◆> 種っ付け～♪種っ付け～♪エリナリーゼちゃんに種っ付け～♪(上機嫌に歌いながら部屋にはいり)ギリギリまで我慢させられてる性欲をまえに、急がないって言う選択肢はないんだよ♡   (3/30 05:13:36)

エロガキ♂19b ◆> 10d3+10 → (3 + 1 + 3 + 2 + 3 + 3 + 3 + 2 + 1 + 2) + 10 = 33  (3/30 05:13:58)

エロガキ♂19b ◆> おまけして47分までかな！   (3/30 05:14:36)

エリナリーゼ> 殿方の我慢されてるお顔も私、結構好みですのよ♡(撓垂れ掛かりながら手を伸ばして19さんの太腿すりすり撫でて♡)47分まで...楽しみましょう♡   (3/30 05:16:10)

エロガキ♂19b ◆> そうだねー！時間もないし...楽しもっ♡まずは服をぜーんぶ脱いでエリナリーゼちゃんの恥ずかしいとこ見せて♡(撓垂れかかったエリナリーゼちゃんの耳元で囁き♡)   (3/30 05:18:03)

エリナリーゼ> あん♡せっかちですけれど...嫌いじゃありませんわ♡(するりと離れてから服も肌着も脱いで、体は特別隠そうともしないまま口元を手で隠してくすりと笑う)どうしましょう♡ご奉仕でも触り合うのも...♡お好きにしてくださいまし♡   (3/30
05:21:48)

エロガキ♂19b
◆> 俺はせっかちだからね～...それにさっきも言ったけど、、たくさん我慢させられてもう限界なのだ！(エリナリーゼちゃんの身体を見て我慢ができなくなり自分も服を全て脱ぎ捨て既にビキッ！♡とフル勃起しているチンポをだしちゃって♡)せっかくだから～まずはお口でお願いしようかな♡その間にオマンコの準備も、ね♡
  (3/30 05:23:44)

エリナリーゼ> ふふふっ♡もちろん良いですわよ♡立派な男性ですわね♡(見せつけられてるおちんぽに膝立ちで顔寄せてご挨拶にちゅ♡と亀頭にキスしてから吐息吐きかけながらゆっくり丁寧に裏筋から舐め上げながら男の匂いに目がとろん♡としてきて♡自然とお腹の奥からきゅぅ♡と感じて指でとろとろ溢れる愛液で解しながら竿にキスして♡)
  (3/30 05:29:06)

エロガキ♂19b
◆> おぉっ...久しぶりに舐めて貰うの気持ちい♡(軽く舐められただけでビクッ！と全身を震わせて先端から我慢汁をダラダラと垂れ流し♡)エリナリーゼちゃんチンポの扱いわかってて最高っ♡(脚を軽く震わせながら舐められキスされる刺激に頑張って耐えており♡)  
(3/30 05:32:01)

エリナリーゼ> んっ♡とても逞しくて...素敵ですわよ♡(おちんぽが気持ち良さそうに濃い匂いさせて垂らすのを亀頭から咥えて吸い出しながら飲み込んで♡褒められて笑顔で咥えたままゆっくり頬張って喉の奥までゆっくり吸い付きながら舌を裏筋に沿って絡めて♡それからじぃっ♡と上目遣いで見詰めながら顔を動かしてじゅぽ♡じゅぽ♡音させて♡)
  (3/30 05:38:35)

エロガキ♂19b
◆> それやばいっ...気持ち良すぎて即イキしそっ♡我慢してたのだしちゃいそうになっちゃう♡(パンッパンに膨らんだ金玉からギュンギュンと精子が生産されチンポへと上ってきてチンポさらに膨らまし♡)上目遣いもほんと...はぁはぁ♡もう、でちゃいそう♡エリナリーゼちゃん♡
  (3/30 05:42:03)

エリナリーゼ> ん♡いいれすわ♡らひてくらさいまひ♡(口の中で大きくなるおちんぽにうっとりしながら唾液たっぷり絡めて上目遣いのまま見詰めて♡太腿腕回して喉の奥までしっかり受け入れながら激しく吸い付きながら溢れてくるのをしっかり飲み込んで♡)   (3/30
05:46:11)

エロガキ♂19b ◆> ああっ！！もう我慢無理ィ！！イグッ！！(エリナリーゼちゃんの頭を掴み逃がさないにしてから喉奥で濃厚精子を大量射精♡腰をビクッ！ビクッ！と震わせながら完全に射精が終わるまで頭をぐぐっと押さえつけており♡)   (3/30
05:48:37)

エリナリーゼ> んぐっ♡うっ♡ご、ぉ♡(頭掴まれて押さえ付けられると喉の奥に熱い塊注がれて生臭くて青臭い男の味と匂いが口にも広がって♡抵抗せずに受け入れながら喉奥でおちんぽを締め付けながらゆっくり飲みこんで♡目を細めながらうっとりし♡)   (3/30
05:51:36)

エロガキ♂19b
◆> はぁはぁはぁ..最高...(ようやく射精が収まりゆっくりとチンポを引き抜くもまだまだだしたりないと言わんばかりに硬くなっており♡)エリナリーゼちゃんの口、、すっごくよかったよー♡でももう時間も過ぎてるみたい...まだ時間あるならさ、、個室で続きとかどうかなぁ？♡
  (3/30 05:54:49)

エリナリーゼ> んっはぁ♡残念ですけれど...少し怪しい時間ですわ...   (3/30 05:57:23)

エロガキ♂19b ◆> あーら、それは残念♡...ならエリナリーゼちゃんへの種付けはまた今度♡...もしやるときは魔力結晶なんて作らせずに孕んじゃうぐらい注いであげるからね♡(耳元で囁き服を渡して)あ、下着は記念に貰っていくね♡   (3/30
05:59:26)

エリナリーゼ> あら♡私のことお詳しいですのね？期待しておきますわね♡下着無しで帰らせるなんて酷い殿方ですわ♡   (3/30 06:01:27)

エロガキ♂19b ◆> ここで会う女の子のことは調査済み♡ふふっ、俺は悪いエロガキだからね♡返してほしければまた今度勝負して勝つんだなっ！何てね♡それまでに使ってるかもしれないけど！...   (3/30 06:02:57)

エリナリーゼ> 返せなんて言いませんわ♡ただ次は満足させて下さいまし♡私を思い出して使われても文句もありませんもの♡折角ですしサービスですわ♡(竿と玉袋にキスして♡)私そろそろ行きますわね、また会いましょう♡   (3/30 06:06:07)

おしらせ> エリナリーゼさんが退室しました。  (3/30 06:06:10)

エロガキ♂19b ◆> はーいっ！またね、エリナリーゼちゃん♡...次会うときはちゃーんと可愛がってあげるからね！！   (3/30 06:07:26)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (3/30 06:07:32)

おしらせ> エロガキ♂13Alさんが入室しました♪  (3/30 22:13:23)

おしらせ> リーフさんが入室しました♪  (3/30 22:13:46)

エロガキ♂13Al> 今日は完敗だったので体をゆだねます……（正座）   (3/30 22:14:07)

リーフ> （ピコピコハンマーとヘルメットを持ってくる）   (3/30 22:14:27)

2025年03月25日 00時27分 ～ 2025年03月30日 22時14分 の過去ログ
「罰部屋【仮】」
現在のルーム [/ChatRoom?room_id=401057]
過去ログ一覧 [/PastLogList?room_id=401057]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
