/


「罰部屋【仮】」の過去ログ

現在のルーム [/ChatRoom?room_id=401057]
過去ログ一覧 [/PastLogList?room_id=401057]



2024年11月06日 23時20分 ～ 2024年11月09日 09時13分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂15M ◆> うっ……うぅ……(横になったまま涙して) こ、今度こそ…今度こそ、勝つからなぁ……！   (2024/11/6 23:20:15)
◆> 期待を裏切らずにえっちな脱ぎ方してくれた……！（少しずつ見せつけるように次々と衣装のパーツを脱いで行く様子を眺めながら、遂には目的であったレオタード姿になるのを見れば、再び歩み寄って。）この下って何か履いてるのかなー？それとも……？（手を伸ばす先は下腹部を覆う布地、上から確かめるように撫で回すように触れてみて。）
  (2024/11/9 01:01:39)

セピア
◆> あんっ……♡何も、履いていませんよ……♡すぐに愛を注ぎ込める、ようにっ……♡(下腹部をレオタードの上から撫で回されるだけで、いつもの笑顔に朱を浮かべてしまう。彼の手には、布地越しながらもセピアの秘部の感触があり……♡)……普段服が破ける時も、ここだけは守ってもらってますから……特別♡ですよぉ♡
  (2024/11/9 01:05:24)

エロガキ♂14C
◆> あ、ホントだっ♪……へー？やっぱりセピアおねーさんってえっちだなぁ……♡（軽く撫で回すだけで上擦った声が聞こえ、手には明らかに柔らかな肌と割れ目の感触。更にその割れ目をなぞるように押し付けた指先で布地の上からなぞるように滑らせては、おっぱいとは対称に小ぶりにも見えるお尻までもをさわさわ……と撫でまわし。）
  (2024/11/9 01:09:24)

セピア
◆> んんっ……あっ♡はぁっ♡んもぅっ……♡随分といやらしい触り方、ですねぇ～♡(やはり笑顔のまま、股間もお尻も弄ってくる手に、欲を掻き立てられてしまう。心が疼き出す仲、秘部を濡らす愛液がいつの間にかレオタードにまでシミを作っていて……♡)……こういう子♡だぁい好きですっ♡
  (2024/11/9 01:13:30)

エロガキ♂14C
◆> はーい、時間切れー♡今夜はイケイケなおねーさんに少し意地悪してみたくなっちゃったんだー、ごめんねー？（シミの浮かび上がり始めた下腹部からすっと手を引いては少しイタズラな笑み浮かべ。）今度からは罰ゲームの時はそのカッコしたほーが、皆すぐ食いついちゃうかもね♡
  (2024/11/9 01:16:20)

セピア ◆> (股間から手が離れていけば、せつなそうな顔で)あらあら……やはり時間が経つのは早いですねぇ……(そして一歩下がれば、脱いだ服を拾うだけ拾って)ふふっ♡今度からはそうしてみますね♡是非皆さまに愛を注ぎ込んでもらいたいので……♡  
(2024/11/9 01:19:06)

エロガキ♂14C ◆> 30分たっぷりあっても、少し丁寧にいじめちゃえばこんなもんだよねー♪次はたくさん甘えちゃおっかなーっ♡（切なそうな面持ちに抑えきれない笑いを漏らし）それじゃ、今夜はこれでかいさーん！おやすみなさい、セピアおねーさんっ。  
(2024/11/9 01:21:02)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (2024/11/9 01:21:08)

セピア ◆> では……おやすみなさいませ……♡良い夢を～……♡(ふーっ♡ふーっ♡と、快楽を収めようと深呼吸をしつつ、セピアも立ち去っていく)   (2024/11/9 01:22:07)

おしらせ> セピア ◆Su57aCNa9wさんが退室しました。  (2024/11/9 01:22:10)

おしらせ> キョン子さんが入室しました♪  (2024/11/9 08:29:25)

おしらせ> エロガキ♂12Ω ◆6OvpM3d56Eさんが入室しました♪  (2024/11/9 08:29:48)

エロガキ♂12Ω ◆> わーい、勝ったったー。   (2024/11/9 08:30:23)

エロガキ♂12Ω ◆> 対ありー。キョン姉ちゃんはギャンブルクソ雑魚な敗北者じゃけぇのぉ   (2024/11/9 08:30:47)

キョン子> き、着替えたぞ……(悔しさと恥ずかしさで顔を赤くし、手で股間を隠している。乳首はハート型のニプレス着用)   (2024/11/9 08:31:29)

エロガキ♂12Ω ◆> わー、おまんこ丸出しの変態バニーだー。(下から見上げ隠す掌退かして妨害しつつ早速生おまんこ撮影ぱしゃり)   (2024/11/9 08:32:43)

エロガキ♂12Ω ◆> 10d3+10 → (1 + 3 + 2 + 1 + 2 + 3 + 3 + 3 + 1 + 1) + 10 = 30  (2024/11/9 08:33:48)

キョン子> 時間設定前の撮影はマナー違反じゃないのかっ！　(あせって身を捩り)   (2024/11/9 08:34:04)

エロガキ♂12Ω ◆> きっちり平均値ー。   (2024/11/9 08:34:15)

キョン子> エロガキ……   (2024/11/9 08:34:51)

エロガキ♂12Ω ◆> まぁまぁ、という訳で今からスタートなー？(後ろ側丸出し生尻肉ぺちん)   (2024/11/9 08:34:58)

エロガキ♂12Ω ◆> 大体5分までと言った所ジョージ   (2024/11/9 08:35:21)

キョン子> 痛っ(前にしていた手を叩かれたお尻に回したため股間が露わになる)   (2024/11/9 08:36:06)

キョン子> 【尻尾は両面テープで貼り付けてます】   (2024/11/9 08:36:53)

エロガキ♂12Ω ◆> お、ご開帳～。(すかさず割れ目くぱぁ抉じ開け粘膜接写ぱしゃぱしゃ)   (2024/11/9 08:37:34)

エロガキ♂12Ω ◆> (玩具の方のつけてもいいのよー？)   (2024/11/9 08:37:48)

キョン子> 【無茶言わないw】   (2024/11/9 08:38:20)

エロガキ♂12Ω ◆> (前に背後がド変態言ってたからそっちもイケるかとw)   (2024/11/9 08:39:17)

キョン子> そんな写真ばかり……この変態っ……(言葉で反撃するが勢いはない)   (2024/11/9 08:39:40)

キョン子> 【そこを開発するのがエロガキの使命？　素材的にはまだ『まっさら』なので】   (2024/11/9 08:40:31)

エロガキ♂12Ω ◆> こんな格好の姉ちゃんに言われても説得力無いのよー♡(スマホ仕舞い開いた手で膣穴に指いれるとくちゅくちゅかき混ぜ始め)   (2024/11/9 08:40:47)

エロガキ♂12Ω ◆> (お、そう言うパターンね。なら弄る分には遠慮無く使わせて貰おっかな。)   (2024/11/9 08:41:20)

キョン子> や、やめろっ！　痛いっ！(あまり濡れていないと言うより経験そのものがないキョン子にはきつい愛撫に感じたようだ)   (2024/11/9 08:42:09)

エロガキ♂12Ω ◆> おっと、こりゃ失礼ー？(子供の小さく細い指一本でも固く咥える弄られ慣れてない感じに指を抜き取り先ずはクリを指先で何度も転がして)   (2024/11/9 08:43:58)

キョン子> あ、あうっ！　(敏感なクリトリスを刺激され背筋がビクンと震え、膝がカクンと落ちる。しゃがみ込むことで一旦エロガキの指から離れる)   (2024/11/9 08:45:43)

エロガキ♂12Ω ◆> おっと。(咄嗟に相手支えようと下からお尻抱え足の間のしゃがみこみ、おまんこ目の前に来るとそのまま吸い付きしゃぶりついて)   (2024/11/9 08:47:48)

キョン子> あ、あぁ……や、こんな子供にっ！(エロガキの下の動きに合わせ身体が時折痙攣する。ぴったり閉じていた股間の割れ目が内側からの液体により徐々に柔らかくなってくる)   (2024/11/9 08:50:47)

エロガキ♂12Ω ◆> (奥から溢れてくる汁を舐め取りクリ毎揉みくちゃに舐め転がす事でおまんこ刺激し続け、柔らかくなってきた割れ目抉じ開け唾液たっぷりの舌が中へと潜り込み)   (2024/11/9 08:52:34)

キョン子> ニュルンッ(と音を立てそうな雰囲気でエロガキの舌があたしの奥に入ってくる。こんなことってあたし自身で理解できない現象で頭の中が混乱する。弟より年上たが明らかに子供の手によって開花されていく感覚は、あたしの混乱と一種の恐怖が襲いかかる)  
(2024/11/9 08:55:34)

エロガキ♂12Ω ◆> (相手の気持ちも知らずに気儘に行為押し進め激しく吸い付くおまんこじゅるるる吸い上げる音響かせ、中では蛞蝓の様に舌が動き回り柔らかく蠢く膣を擦ってクリごと愛液啜り上げて)   (2024/11/9 08:57:53)

キョン子> や、やめ……た、たすけて……あたしが壊れるっ！　おかしくなるぅっ！！(エロガキの舌の動きは相当に慣れている。こうなった時点であたしに勝ち目なんかない。未知の快感に翻弄されながらあたしは助けと許しを乞う)   (2024/11/9 08:59:14)

エロガキ♂12Ω
◆> ほらイッちまえよキョン姉ちゃん♡ガキにおまんこイカされろ♡(敗者は蹂躙されるのが定めと決まっており助け願う声も虚しく激しく吸い付きイカせにかかり、前から抱き着き腰に回す掌はがっつりお尻を掴んで全開開いており肛門皺が伸びて見せびらかす様に露出させながらおまんこ引き寄せ逃げられない様にして)
  (2024/11/9 09:02:25)

キョン子> あ、あひっ！　や、やぁぁ……ダメッ！　見るなぁ！！(あたしの意思など関係なく送り込まれる快感に我慢という堰は決壊し、快感とともに股間からおびただしい液体が溢れ、エロガキの口周りから顔を濡らしていく)いった……こんなの……   (2024/11/9
09:07:04)

エロガキ♂12Ω ◆> ぷあっ(口に流し込まれる夥しい量の液体、身体をびくびく震わせなすすべもなく絶頂至る間おまんこ吸い上げ刺激あたえ続け、余韻浸る間口を離せば絶頂直後のおまんこ開き蠢き具合を動画に収めて)   (2024/11/9 09:09:56)

エロガキ♂12Ω ◆> ん、大体こんなもんかなー。   (2024/11/9 09:10:38)

キョン子> や、やめ……とるなぁ(慌てて両手で顔を塞ぐが既に手遅れなのはわかっているが、隠さずには居られない。そして悔しさで涙も止まらす嗚咽が部屋に響く)   (2024/11/9 09:11:34)

キョン子> 【ひどい人♪】   (2024/11/9 09:12:08)

エロガキ♂12Ω ◆> (ウッキウキで言うなしw)   (2024/11/9 09:12:28)

キョン子> 【このド変態♪】   (2024/11/9 09:12:49)

エロガキ♂12Ω ◆> (ブーメラン乙♡)   (2024/11/9 09:13:06)

キョン子> 【覚えてろよぉ♪】   (2024/11/9 09:13:32)

エロガキ♂12Ω ◆> んじゃこの辺りで解散かね？どっちもがっつり保存しとこー   (2024/11/9 09:13:45)

2024年11月06日 23時20分 ～ 2024年11月09日 09時13分 の過去ログ
「罰部屋【仮】」
現在のルーム [/ChatRoom?room_id=401057]
過去ログ一覧 [/PastLogList?room_id=401057]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
