/


「罰部屋【仮】」の過去ログ

現在のルーム [/ChatRoom?room_id=401057]
過去ログ一覧 [/PastLogList?room_id=401057]



2024年11月11日 00時56分 ～ 2024年11月12日 23時28分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂12Ω ◆> うし、てな訳で俺はサラダバー。寝るかは分からんが。   (2024/11/11 00:56:18)
中野 一花> え - っ と 、どうする .. ?   (2024/11/12 22:49:34)

シンデレラ> ....美しくないは...勝ったのだから堂々としてほしいわね....   (2024/11/12 22:49:45)

エロガキ♂10sx> 僕も複数による時間はかまわないですよ（勿論お姉さん方々良ければ）   (2024/11/12 22:50:12)

エロガキ♂14C ◆> ぐだっちゃってごめんね？それじゃあ仕切り直して……先着順で構わない？>10sくん   (2024/11/12 22:50:18)

エロガキ♂10sx> 勿論だよ。遅れての参戦だからね   (2024/11/12 22:50:50)

エロガキ♂10sx> ともかく19Hさんお疲れ様でした   (2024/11/12 22:51:34)

エロガキ♂14C ◆> 誘ってくれた一花おねーさんをえらびたいんだけど、この前酷い目にあわせてくれたシンデレラおねーさんに仕返ししたいから、今回はシンデレラおねーさん選ばせてもらうね？   (2024/11/12 22:51:36)

シンデレラ> 意外ね....一花さんに抱きつくかと思っていたは♡   (2024/11/12 22:52:12)

エロガキ♂10sx> わかりました。それでは一花お姉さん､よろしくね？   (2024/11/12 22:52:16)

中野 一花> お っ け - ♡ 10sxくん よろしく ~ ♡   (2024/11/12 22:52:34)

エロガキ♂14C ◆> それじゃ相手決まったし、時間決めサイコロ振るよー。   (2024/11/12 22:53:12)

エロガキ♂14C ◆> 10d3+10 → (2 + 2 + 2 + 2 + 3 + 1 + 2 + 1 + 1 + 2) + 10 = 28  (2024/11/12 22:53:19)

エロガキ♂14C ◆> 少し下振れ気味……21分までっ。   (2024/11/12 22:53:41)

シンデレラ> ふふっ...でもいいわ♡♡王子さまは私に何をしてほしいのかしら？...とっても楽しみね♡   (2024/11/12 22:53:46)

エロガキ♂10sx> 二手に別れる？   (2024/11/12 22:53:46)

中野 一花> そ - しよ っ か ♡   (2024/11/12 22:54:48)

エロガキ♂14C
◆> 僕は気にしないからこのままここでやるよ。……さて、シンデレラおねーさんはこの前僕に酷いことしてくれたよねー？僕が何を望んでるかは……わかるよね？（シンデレラおねーさんに歩み寄り抱き着きつつ、もあまり甘えるような感じにはせずにじぃ、っと上目に見つめ）  
(2024/11/12 22:55:05)

エロガキ♂10sx> じゃあこちらがアフター部屋に移動するね？（一花お姉さんの手を引いて）   (2024/11/12 22:55:44)

おしらせ> エロガキ♂10sxさんが退室しました。  (2024/11/12 22:56:04)

中野 一花> じ ゃ 、ごゆ っ くり ~ ♡   (2024/11/12 22:56:04)

おしらせ> 中野 一花さんが退室しました。  (2024/11/12 22:56:07)

エロガキ♂14C ◆> いってらっしゃーい   (2024/11/12 22:56:18)

シンデレラ> さぁ...なにかしら？私になにかを望むならその口から聞かせてほしいわね♡♡王子さまのお願いならなんでも聞いてあげるは♡(14c君の背中に手を回して顔に胸を押し付けて♡...)   (2024/11/12 22:56:48)

エロガキ♂14C ◆> ……って、いきなりアフターじゃなくて多目的じゃないのかな……？   (2024/11/12 22:57:02)

シンデレラ> ええ...いってらっしゃい♡素敵な物語を♡   (2024/11/12 22:57:11)

シンデレラ> アフターにいってしまったわね...   (2024/11/12 22:57:38)

シンデレラ> 素晴らしいは♡....彼女は私たちを常に見ているのね...   (2024/11/12 22:59:14)

エロガキ♂14C
◆> っ……分かってるくせに。この前みたいな焦らしじゃない、ちゃーんとおっぱいでおちんちん甘やかしてよっ！……でも、脱ぐんじゃなくてこーさせてもらうね？（顔に押し付けられたおっぱいに軽く押し付け返しつつ、胸の下に手を回して薄手の布地に穴を開けて）着たまま、挟んでね？ドレス汚れるのは罰ゲームだから仕方ないよねっ？
  (2024/11/12 22:59:29)

エロガキ♂14C ◆> ……見てるんだねー。労いたい。   (2024/11/12 23:00:32)

シンデレラ> いいわ♡♡王子さまのの望みを叶えてあげるは♡ええ....存分に汚してちょうだい♡♡私が王子さまのものだと一目でわかるようにしっかりマーキングするのよ♡♡(14c君のズボンとパンツを脱がせて...)やっぱり王子さまはとてもいいものを持ってるは♡私が気持ちよくさせてあげるわね♡♡
  (2024/11/12 23:02:08)

エロガキ♂14C
◆> ……罰ゲームなのに、なんだか嬉しそーに見えるのは気のせい？（どこか楽しそうにも見えるシンデレラおねーさんに首傾げつつも、ズボンとパンツ脱がされて露わになったおちんちんは既にぴぃんっ♡と張り詰めちゃっていて。）ちゃーんと……きもちよくして、ねっ。僕のおっぱいだって、たーくさんマーキングさせちゃうからっ♡
  (2024/11/12 23:03:59)

シンデレラ> とても嬉しいわよ♡♡このために前回王子さまにあんないたずらをしたのだから♡♡王子さまが私を追いかけてくれると信じて...ね♡♡(王子さまのおちんちんの先を軽く撫でてそのままおっぱいで優しく挟み込み♡♡王子さまの顔を見つめながらゆっくりと上下に揺らして刺激しはじめて♡)王子さまのおちんちん....とても熱い♡...はぁ♡はぁ♡♡
  (2024/11/12 23:07:08)

エロガキ♂14C
◆> っ、なんだよそれ……っ♡ぼくに、執着されたかった、の……？♡だったら、甘やかしてくれればそれだけでいいのに……っぁ♡（おちんちん、先っぽ撫でられるだけでびくんっ♡って跳ねさせて、おっぱいに挟み込まれちゃうと柔らかい感触で与えられる快感に先走りが涙のように溢れ出ちゃって。）ぅぅっ♡シンデレラおねーさんのおっぱい、やわらか……っ♡
  (2024/11/12 23:09:32)

シンデレラ> 簡単には許してはダメなの♡♡私に勝ったごほうびにあげないと美しくないは♡♡それに...前回甘やかしていたら今回私の王子さまは貴女じゃなかったかもしれないは♡ふふっ....もっと堪能していいのよ♡♡(唾液をおっぱいに垂らして滑りをよくしだんだんと早くしながら先端をペロッ♡♡となめて♡)
  (2024/11/12 23:13:26)

エロガキ♂14C
◆> ぅ、ぁ……♡こだわりがあるん、だね……っ♡だったら、今日はちゃーんと甘やかして、よっ……♡（シンデレラおねーさんの両肩に手を置いて凭れ掛かり、耳元で熱い吐息を漏らしつつ先っぽ舐められたおちんちんをさらにビクビクって震わせて、先っぽぶっくり膨らませて……♡）
  (2024/11/12 23:15:21)

シンデレラ> 勿論よ♡♡王子さまはとてものだから♡♡膨らんできたわね♡♡我慢せずにだしてもいいのよ♡♡王子さまのザーメン私に飲ませてほしいは♡♡(根本から上にかけておっぱいで擦りながら亀頭をパクッ♡♡と咥えて舌でチロチロと舐めてみて♡♡)  
(2024/11/12 23:18:10)

エロガキ♂14C
◆> は、ぁっ……で、ちゃうっ……♡きもちよくて、でちゃうっ……♡ぅ、ああっ♡（おっぱいで丹念におちんちん擦り扱かれて、先っぽを口と舌先で執拗に責め立てられると限界迎えちゃって。シンデレラおねーさんのお口の中にせーえき、びゅくんっ♡って勢いよく出しちゃうっ♡）
  (2024/11/12 23:20:41)

シンデレラ> んんっ♡ん...ゴクッ♡♡(14c君のはきだしたせーえきを半分ほど飲み干し口を離して♡♡)とても濃い♡♡王子さまのせーえき...やみつきになってしまいそうよ♡♡(恍惚な笑みを浮かべわざとらしく口許からせーえきを垂らし自分のおっぱいにかけて♡♡)ふふっ....名残惜しいけど今回はここまでみたいね♡♡
  (2024/11/12 23:23:17)

エロガキ♂14C
◆> ぅう……♡せっかくなら、もっと甘えたかったけど……しかたない、よね……っ♡（射精して、余韻に浸りながら自分の出したせーえきを、シンデレラおねーさん自らおっぱいに垂らす光景におちんちんびくびくさせつつ、名残惜しい面持ち浮かべ）……また、勝って甘えさせてもらうから、覚悟してよね！
  (2024/11/12 23:25:24)

シンデレラ> ええ....楽しみにしているは♡....さあ...次の組も待っているは♡♡行きましょう...14c君♡♡私たちの行き先はきっと....同じなはずよ♡   (2024/11/12 23:25:55)

エロガキ♂14C ◆> ん……お部屋開けなくちゃ、だね。それじゃあ行こっか。お部屋ありがとーございましたー。   (2024/11/12 23:26:36)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (2024/11/12 23:26:41)

おしらせ> シンデレラさんが退室しました。  (2024/11/12 23:26:53)

おしらせ> 常闇トワ ◆oGpXeP7rCgさんが入室しました♪  (2024/11/12 23:27:53)

おしらせ> エロガキ♂19Hさんが入室しました♪  (2024/11/12 23:28:03)

おしらせ> リノさんが入室しました♪  (2024/11/12 23:28:12)

2024年11月11日 00時56分 ～ 2024年11月12日 23時28分 の過去ログ
「罰部屋【仮】」
現在のルーム [/ChatRoom?room_id=401057]
過去ログ一覧 [/PastLogList?room_id=401057]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
