/


「罰部屋【仮】」の過去ログ

現在のルーム [/ChatRoom?room_id=401057]
過去ログ一覧 [/PastLogList?room_id=401057]



2024年10月10日 22時56分 ～ 2024年10月11日 12時23分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂19b ◆> 【おっけーです】   (2024/10/10 22:56:03)
エロガキ♂15M ◆> お二人ともおつかれ〜   (2024/10/11 05:09:59)

常闇トワ ◆> はい//   (2024/10/11 05:09:59)

常闇トワ ◆> お気に入り2人目です   (2024/10/11 05:10:10)

エロガキ♂15M ◆> にゃ、それはちょっと妬いちゃうかも……なんてね♡いつかはその子と3Pしてトワ様を快楽漬けにするのもいいかも♪   (2024/10/11 05:11:01)

常闇トワ ◆> もう快楽漬けされちゃってますよ///   (2024/10/11 05:11:54)

エロガキ♂15M ◆> これよりもっとだよ♪理性ブッ壊すくらいの…ね♡   (2024/10/11 05:12:18)

エロガキ♂15M ◆> んじゃ、立ち話もなんだし解散だ〜   (2024/10/11 05:12:39)

常闇トワ ◆> はひ///お疲れ様でした   (2024/10/11 05:12:46)

エロガキ♂15M ◆> お疲れさま、おやすみ〜   (2024/10/11 05:13:04)

エロガキ♂15M ◆> 【あと……和ちゃんに先約付いたけど、いつかはボクとも絡んでほしいなぁ、と思いつつ。ばいば〜い！】   (2024/10/11 05:13:38)

おしらせ> 常闇トワ ◆oGpXeP7rCgさんが退室しました。  (2024/10/11 05:13:51)

おしらせ> エロガキ♂15M ◆za77rifW.Yさんが退室しました。  (2024/10/11 05:13:51)

おしらせ> エロガキ♂r16さんが入室しました♪  (2024/10/11 12:06:43)

おしらせ> エロガキ♂D18 ◆v/8rmrVKkEさんが入室しました♪  (2024/10/11 12:06:53)

おしらせ> 雪花ラミィさんが入室しました♪  (2024/10/11 12:07:10)

おしらせ> 白銀ノエルさんが入室しました♪  (2024/10/11 12:07:12)

おしらせ> 常闇トワ ◆oGpXeP7rCgさんが入室しました♪  (2024/10/11 12:07:14)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/10/11 12:07:15)

常闇トワ ◆> トワも罰受けないとダメ？   (2024/10/11 12:07:26)

エロガキ♂r16> そらそうよ   (2024/10/11 12:07:34)

エロガキ♂14C ◆> ダメ。   (2024/10/11 12:07:35)

エロガキ♂D18 ◆> そらダメですね、先輩と後輩の責任を……   (2024/10/11 12:07:52)

雪花ラミィ> ラミィ頑張ったやん？ね？だからその頑張りに免じて…！（）   (2024/10/11 12:08:01)

常闇トワ ◆> このアルコール先輩が戦犯じゃんか〜   (2024/10/11 12:08:04)

白銀ノエル> ぐへへ…道連れですぜトワ様…（元凶そのいち）   (2024/10/11 12:08:04)

エロガキ♂r16> いちばん頑張ってないハーフエルフだ。面構えが違う()   (2024/10/11 12:08:21)

エロガキ♂14C ◆> 先輩の責任は後輩がとるべきだよね？（にっこり   (2024/10/11 12:08:38)

エロガキ♂D18 ◆> この人はホンマに……   (2024/10/11 12:08:39)

雪花ラミィ> あ゛ぁ〜〜！？戦犯じゃあないですぅーー！あとラミィトワ様の後輩ですから！！！（べらべらべら）   (2024/10/11 12:08:50)

常闇トワ ◆> これはアルコール制限だな〜   (2024/10/11 12:09:12)

エロガキ♂r16> あとアルコール先輩ってだれだ()   (2024/10/11 12:09:14)

おしらせ> エキドナ ◆r8To80Q7JEさんが入室しました♪  (2024/10/11 12:09:19)

白銀ノエル> エキドナさぁーん…ご迷惑おかけします〜   (2024/10/11 12:10:03)

エロガキ♂D18 ◆> これはアルコール後輩ですね……どうしましょう、ラミィさん貰いたいですねぇ…おや、エキドナさん…いいんですか？ほぼ参加してなかったのに……   (2024/10/11 12:10:10)

エロガキ♂14C ◆> んで、残りが移動してくるかどうか待ってる間にそーだん。人数多いから相手決まったら多目的も使って分散するのもありかな、と思ったら同数じゃなくなったんだ？   (2024/10/11 12:10:26)

エキドナ ◆> ボクも一応来ておいたよ、と言っても余るだろうとは予想しているけれどね(ベティの扉渡りで変なとこからのそ、)   (2024/10/11 12:10:37)

雪花ラミィ> エキドナ様、ｽﾏｯｾﾝｼﾀｰ（ﾄﾞｹﾞｻﾞｰ）   (2024/10/11 12:10:41)

常闇トワ ◆> アルコールは没収します‼︎   (2024/10/11 12:11:10)

エロガキ♂D18 ◆> もう一人の人は……   (2024/10/11 12:11:19)

エロガキ♂r16> とりあえず俺最後に来たし戦果も微妙だから最後で   (2024/10/11 12:11:19)

エキドナ ◆> 謝る事じゃないさ、それにボクは勝ちたい、負けたい、なんて何も言っていないんだから(土下座頭なで、)   (2024/10/11 12:11:23)

雪花ラミィ> やぁぁぁだぁぁぁ！！！ラミィ悲劇のヒロインなのぉぉぉ！！！アルコール呑むのぉぉ！！！   (2024/10/11 12:11:45)

白銀ノエル> しばらく禁酒わっぱに…   (2024/10/11 12:11:50)

エロガキ♂D18 ◆> あの部屋静かになるなぁ……   (2024/10/11 12:12:01)

エロガキ♂r16> めんどくさいエルフだ。沢山頭を撫でてやろう   (2024/10/11 12:12:08)

エロガキ♂14C ◆> ま、まあいいや。あと、よかったらおねーさんたちに相手決めてもらおーかなって。ダイス振ってもらって大きい数字の人から。2人に選ばれたガキ側はそのまま2人と、でどーだろ？   (2024/10/11 12:12:11)

エキドナ ◆> 余ったらボクは帰るとするよ(椅子腰かけてティーセット準備して)   (2024/10/11 12:12:13)

常闇トワ ◆> 戦犯のヒロインの間違いでしょうが‼︎   (2024/10/11 12:12:17)

エロガキ♂D18 ◆> はーい、自分はそれでいいですよ   (2024/10/11 12:12:45)

エキドナ ◆> トワさんも昨晩ぶりだね、挨拶が遅れてしまったよ   (2024/10/11 12:12:47)

エロガキ♂r16> はいな   (2024/10/11 12:13:19)

白銀ノエル> そういうことなら振りますか〜   (2024/10/11 12:13:22)

常闇トワ ◆> そうだねエキドナさん   (2024/10/11 12:13:24)

エロガキ♂14C ◆> 1d100でどーぞー   (2024/10/11 12:13:32)

雪花ラミィ> ラミィドラフト心が痛みのスケだから低い数字でろ！低い数字！   (2024/10/11 12:13:34)

白銀ノエル> 1d100 → (52) = 52  (2024/10/11 12:13:38)

雪花ラミィ> 1d100 → (16) = 16  (2024/10/11 12:13:38)

雪花ラミィ> ひっきーーーー   (2024/10/11 12:13:42)

エロガキ♂r16> これは有能エルフ   (2024/10/11 12:13:49)

エロガキ♂14C ◆> （本当に低い数字出すやつがあるか、って顔）   (2024/10/11 12:14:04)

白銀ノエル> 見事なフラグだぁ   (2024/10/11 12:14:11)

エロガキ♂D18 ◆> (そんなことある？)   (2024/10/11 12:14:26)

エロガキ♂r16> ラミィは望まない出目が出るタイプかもしれん()   (2024/10/11 12:14:39)

雪花ラミィ> フラグはへしおらせていただいた　怪盗らみぃ   (2024/10/11 12:15:14)

白銀ノエル> じゃあ団長は14くん行きます！！せっかくシバかれるならショタがいいよね！！   (2024/10/11 12:15:18)

エロガキ♂r16> トワ様？   (2024/10/11 12:15:33)

エロガキ♂14C ◆> トワおねーさんとエキドナおねーさんも振ってー？   (2024/10/11 12:15:46)

常闇トワ ◆> 1d100 → (62) = 62  (2024/10/11 12:16:02)

白銀ノエル> あ、全員で振るのね   (2024/10/11 12:16:05)

エロガキ♂D18 ◆> 覆った……   (2024/10/11 12:16:14)

エキドナ ◆> あ、見つかってるね、、   (2024/10/11 12:16:15)

エキドナ ◆> 1d100 → (71) = 71  (2024/10/11 12:16:26)

常闇トワ ◆> アルコールなんかに負けない‼︎   (2024/10/11 12:16:31)

エロガキ♂D18 ◆> お隠れでは無かったようで……エキドナさん！？   (2024/10/11 12:16:36)

エロガキ♂14C ◆> （笑ってる）   (2024/10/11 12:16:36)

エロガキ♂D18 ◆> 出目デッカ……   (2024/10/11 12:16:48)

エロガキ♂r16> 1d100 → (76) = 76  (2024/10/11 12:16:48)

白銀ノエル> つ、つよい…やはりアルコールに反比例するのか…   (2024/10/11 12:16:59)

エロガキ♂r16> んー、こういう時は高いしクトゥルフならだいたい失敗じゃねぇか   (2024/10/11 12:17:03)

エキドナ ◆> あれ、帰れる流れ、、？どこだろう、、   (2024/10/11 12:17:09)

エロガキ♂D18 ◆> え、女性だけだったはずでは……？   (2024/10/11 12:17:11)

エロガキ♂r16> いや、振りたいから振った()   (2024/10/11 12:17:24)

エロガキ♂14C ◆> じゃあエキドナおねーさん→トワおねーさん→ノエルおねーさん→ラミィおねーさんの流れで指名していってね！   (2024/10/11 12:17:26)

雪花ラミィ> ええ…？このサイコロ呑兵衛に反応してんの……？じゃあイカサマじゃねーーか！！！（ばんばんばん）   (2024/10/11 12:17:48)

エロガキ♂r16> イカサマ(アルコール感知)   (2024/10/11 12:18:02)

常闇トワ ◆> これは事実だよ受け入れなよw   (2024/10/11 12:18:08)

エロガキ♂D18 ◆> 呑兵衛の神が住んでるのかもしれん……チンチロ？   (2024/10/11 12:18:17)

エキドナ ◆> ぼ、ボク、、指名しろと言われても少し困ってしまってね、、1番目が高かったから1番最後に並ぶのは、、ダメだろうか？   (2024/10/11 12:19:02)

エロガキ♂r16> なら今度は3d6だな()   (2024/10/11 12:19:09)

エロガキ♂D18 ◆> 振らなくていいですけどね～   (2024/10/11 12:19:24)

エロガキ♂14C ◆> むー、仕方ないなあ……まあギリギリに入ってきたし、それでもいいかぁ。   (2024/10/11 12:19:48)

エキドナ ◆> ボクだけでいいんだ、あとの子は率先して選んでくれるだろうから、、(彼女たちにちら、ちら、)   (2024/10/11 12:20:06)

エロガキ♂14C ◆> とりあえず1:2:1になるようにね。繰り上げでトワおねーさんから指名してー。   (2024/10/11 12:20:54)

常闇トワ ◆> じゃあトワが一番最初〜   (2024/10/11 12:21:06)

常闇トワ ◆> じゃあ14で‼︎   (2024/10/11 12:21:44)

雪花ラミィ> りょーかいでありんすよ〜   (2024/10/11 12:21:46)

エロガキ♂D18 ◆> ちなみにですけど、これ入り乱れるとどっちがどっちになるか分からないので1:1の人は個室や多目的室の方がいいのでは……？分かります？   (2024/10/11 12:21:50)

常闇トワ ◆> 悪いな団長‼︎   (2024/10/11 12:21:55)

エロガキ♂D18 ◆> 流石14さん……人気だなぁ…   (2024/10/11 12:22:07)

エロガキ♂14C ◆> （団長も僕選んでたから結果的にラミィおねーさんが選んだら確定なのでは）   (2024/10/11 12:22:30)

白銀ノエル> まーじーか〜、でもこれ2人は同じ人指名するん？団長被ってもええやつ？   (2024/10/11 12:22:31)

エロガキ♂14C ◆> まあ重複指名も順番の特権だからね。それじゃあラミィおねーさんが選んだら最後エキドナおねーさんの相手も決まるね？   (2024/10/11 12:23:27)

2024年10月10日 22時56分 ～ 2024年10月11日 12時23分 の過去ログ
「罰部屋【仮】」
現在のルーム [/ChatRoom?room_id=401057]
過去ログ一覧 [/PastLogList?room_id=401057]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
